CITY OF POST OFFICE,ADDRESS,CITY,STATE,ZIP,PHONE,LONGITUDE,LATITUDE,Location
Ada,231 W Main St,Ada,OK,74820,(580) 436-3017,-96.680903,34.774378,"(34.774378, -96.680903)"
Adair,110 S William Penn St,Adair,OK,74330,(918) 785-2234,-95.273046,36.436798,"(36.436798, -95.273046)"
Adams,407 Main St,Adams,OK,73901,(580) 253-6568,-101.073529,36.7563,"(36.7563, -101.073529)"
Addington,201 Parker St,Addington,OK,73520,(580) 439-2248,-97.967908,34.246406,"(34.246406, -97.967908)"
Achille,110 E Main St,Achille,OK,74720,(580) 283-3997,-96.387496,33.833486,"(33.833486, -96.387496)"
Ada,131 E 12th St,Ada,OK,74820,(580) 332-6118,-96.678115,34.773276,"(34.773276, -96.678115)"
Afton,101 NW 1st St,Afton,OK,74331,(918) 257-4042,-94.921251,36.63563,"(36.63563, -94.921251)"
Agra,13 S Main St,Agra,OK,74824,(918) 375-2237,-96.843871,35.840168,"(35.840168, -96.843871)"
Albany,109 N Wade St,Albany,OK,74721,(580) 924-3189,-96.174519,33.88123,"(33.88123, -96.174519)"
Albert,104 Main St,Albert,OK,73001,(405) 643-2796,-98.411959,35.23359,"(35.23359, -98.411959)"
Albion,110 S Kentucky St,Albion,OK,74521,(918) 563-4421,-95.095679,34.66619,"(34.66619, -95.095679)"
Alderson,49 W Highway 270,Alderson,OK,74522,(918) 423-7480,-95.698389,34.8995,"(34.8995, -95.698389)"
Alex,111 S Main St,Alex,OK,73002,(405) 785-2249,-97.778653,34.917643,"(34.917643, -97.778653)"
Aline,104 N Main St,Aline,OK,73716,(580) 463-2291,-98.450659,36.51328,"(36.51328, -98.450659)"
Allen,107 S Easton,Allen,OK,74825,(580) 857-2253,-96.415995,34.87374,"(34.87374, -96.415995)"
Altus,217 W Cypress St,Altus,OK,73521,(580) 482-3339,-99.335554,34.640137,"(34.640137, -99.335554)"
Altus,204 S 3rd St,Altus,OK,73523,(580) 482-2065,-99.285786,34.654269,"(34.654269, -99.285786)"
Alva,408 Government St,Alva,OK,73717,(580) 327-2400,-98.664376,36.804711,"(36.804711, -98.664376)"
Amber,402 E Main St,Amber,OK,73004,(405) 222-0511,-97.870998,35.160385,"(35.160385, -97.870998)"
Ames,108 E Marie Gautier Blvd,Ames,OK,73718,(580) 753-4229,-98.184241,36.24416,"(36.24416, -98.184241)"
Amorita,102 Broadway Ave,Amorita,OK,73719,(580) 474-2511,-98.292979,36.92452,"(36.92452, -98.292979)"
Anadarko,120 SW 1st St,Anadarko,OK,73005,(405) 247-6461,-98.243669,35.06646,"(35.06646, -98.243669)"
Antlers,219 N High St,Antlers,OK,74523,(580) 298-2526,-95.62053,34.232699,"(34.232699, -95.62053)"
Apache,302 E Evans,Apache,OK,73006,(580) 588-3829,-98.363181,34.893766,"(34.893766, -98.363181)"
Arapaho,668 Main St,Arapaho,OK,73620,(580) 323-2008,-98.954359,35.57773,"(35.57773, -98.954359)"
Arcadia,205 N Odor St,Arcadia,OK,73007,(405) 396-2494,-97.324081,35.663197,"(35.663197, -97.324081)"
Ardmore,208 1st Ave SW,Ardmore,OK,73401,(580) 223-8383,-97.131236,34.171594,"(34.171594, -97.131236)"
Arkoma,308 Sicard St,Arkoma,OK,74901,(918) 875-3843,-94.435109,35.353348,"(35.353348, -94.435109)"
