Fiscal Year,Vendor Name,Street Address,Vendor Address City,Vendor Address State,Vendor Address Zip Code,Issue Date,Payment Amount,Department Description,Business Unit,Account Description
2007,A G EQUIPMENT CO,3401 W ALBANY,BROKEN ARROW,OK,74012,08/15/2006,$10649.55,QUALITY JOBS INCENTIVE PAYMENT,OKLAHOMA TAX COMMISSION,DISBURSEMENT OF INCENTIVE PAYMENTS TO QUALIFIED ESTABLISHMENTS
2007,A G EQUIPMENT CO,3401 W ALBANY,BROKEN ARROW,OK,74012,08/15/2006,$15730.68,QUALITY JOBS INCENTIVE PAYMENT,OKLAHOMA TAX COMMISSION,DISBURSEMENT OF INCENTIVE PAYMENTS TO QUALIFIED ESTABLISHMENTS
2007,A G EQUIPMENT CO,3401 W ALBANY,BROKEN ARROW,OK,74012,06/13/2007,$22886.78,QUALITY JOBS INCENTIVE PAYMENT,OKLAHOMA TAX COMMISSION,DISBURSEMENT OF INCENTIVE PAYMENTS TO QUALIFIED ESTABLISHMENTS
2007,AAR OKLAHOMA,6611 S MERIDIAN,OKLAHOMA CITY,OK,73159,03/15/2007,$61171.28,QUALITY JOBS INCENTIVE PAYMENT,OKLAHOMA TAX COMMISSION,DISBURSEMENT OF INCENTIVE PAYMENTS TO QUALIFIED ESTABLISHMENTS
2007,AAR OKLAHOMA,6611 S MERIDIAN,OKLAHOMA CITY,OK,73159,06/13/2007,$58353.62,QUALITY JOBS INCENTIVE PAYMENT,OKLAHOMA TAX COMMISSION,DISBURSEMENT OF INCENTIVE PAYMENTS TO QUALIFIED ESTABLISHMENTS
2007,AAR OKLAHOMA,6611 S MERIDIAN,OKLAHOMA CITY,OK,73159,06/13/2007,$62919.32,QUALITY JOBS INCENTIVE PAYMENT,OKLAHOMA TAX COMMISSION,DISBURSEMENT OF INCENTIVE PAYMENTS TO QUALIFIED ESTABLISHMENTS
2007,ADFITECH INC,3001 TECHNOLOGY DRIVE,EDMOND,OK,73013,07/13/2006,$34698.53,QUALITY JOBS INCENTIVE PAYMENT,OKLAHOMA TAX COMMISSION,DISBURSEMENT OF INCENTIVE PAYMENTS TO QUALIFIED ESTABLISHMENTS
2007,ADFITECH INC,3001 TECHNOLOGY DRIVE,EDMOND,OK,73013,10/16/2006,$38232.29,QUALITY JOBS INCENTIVE PAYMENT,OKLAHOMA TAX COMMISSION,DISBURSEMENT OF INCENTIVE PAYMENTS TO QUALIFIED ESTABLISHMENTS
2007,ADFITECH INC,3001 TECHNOLOGY DRIVE,EDMOND,OK,73013,01/18/2007,$46518.54,QUALITY JOBS INCENTIVE PAYMENT,OKLAHOMA TAX COMMISSION,DISBURSEMENT OF INCENTIVE PAYMENTS TO QUALIFIED ESTABLISHMENTS
2007,ADFITECH INC,3001 TECHNOLOGY DRIVE,EDMOND,OK,73013,04/16/2007,$50562.79,QUALITY JOBS INCENTIVE PAYMENT,OKLAHOMA TAX COMMISSION,DISBURSEMENT OF INCENTIVE PAYMENTS TO QUALIFIED ESTABLISHMENTS
2007,ADVANCE FOOD CO #1 & #3,201 S RALEIGH RD,ENID,OK,73701,08/15/2006,$83972.49,QUALITY JOBS INCENTIVE PAYMENT,OKLAHOMA TAX COMMISSION,DISBURSEMENT OF INCENTIVE PAYMENTS TO QUALIFIED ESTABLISHMENTS
2007,ADVANCE FOOD CO #1 & #3,201 S RALEIGH RD,ENID,OK,73701,10/16/2006,$111119.02,QUALITY JOBS INCENTIVE PAYMENT,OKLAHOMA TAX COMMISSION,DISBURSEMENT OF INCENTIVE PAYMENTS TO QUALIFIED ESTABLISHMENTS
2007,ADVANCE FOOD CO #1 & #3,201 S RALEIGH RD,ENID,OK,73701,02/15/2007,$113705.62,QUALITY JOBS INCENTIVE PAYMENT,OKLAHOMA TAX COMMISSION,DISBURSEMENT OF INCENTIVE PAYMENTS TO QUALIFIED ESTABLISHMENTS
2007,ADVANCE FOOD CO #1 & #3,201 S RALEIGH RD,ENID,OK,73701,05/15/2007,$130803.96,QUALITY JOBS INCENTIVE PAYMENT,OKLAHOMA TAX COMMISSION,DISBURSEMENT OF INCENTIVE PAYMENTS TO QUALIFIED ESTABLISHMENTS
2007,ADVANCED FINANCIAL SOLUTIONS 1,4344 CHARTER AVENUE,OKLAHOMA CITY,OK,73108,09/15/2006,$94902.16,QUALITY JOBS INCENTIVE PAYMENT,OKLAHOMA TAX COMMISSION,DISBURSEMENT OF INCENTIVE PAYMENTS TO QUALIFIED ESTABLISHMENTS
2007,ADVANCED FINANCIAL SOLUTIONS 1,1200 SOVEREIGN ROW,OKLAHOMA CITY,OK,73108,12/14/2006,$115066.74,QUALITY JOBS INCENTIVE PAYMENT,OKLAHOMA TAX COMMISSION,DISBURSEMENT OF INCENTIVE PAYMENTS TO QUALIFIED ESTABLISHMENTS
2007,ADVANCED FINANCIAL SOLUTIONS 1,1200 SOVEREIGN ROW,OKLAHOMA CITY,OK,73108,05/15/2007,$110913.47,QUALITY JOBS INCENTIVE PAYMENT,OKLAHOMA TAX COMMISSION,DISBURSEMENT OF INCENTIVE PAYMENTS TO QUALIFIED ESTABLISHMENTS
