TAG AGENCIES,ADDRESS,CITY,STATE,ZIP,PHONE1,PHONE2,LONGITUDE,LATITUDE,Location
Midwest City Tag Agency,119 South Air Depot,Midwest City,OK,73110,(405) 737-4830,(405) 737-7640,-97.406401,35.463552,"(35.463552, -97.406401)"
Tinker Tag Agency,2839 South Douglas,Midwest City,OK,73130,(405) 732-2200,(405) 732-2525,-97.370948,35.438353,"(35.438353, -97.370948)"
Minco Tag Agency,210 Main,Minco,OK,73059,(405) 352-4315,,-97.946177,35.313177,"(35.313177, -97.946177)"
Moore Tag Agency,623-D North Broadway,Moore,OK,73160,(405) 794-7144,,-97.487133,35.343445,"(35.343445, -97.487133)"
Mooreland Tag Agency,124 South Main,Mooreland,OK,73852,(580) 994-5453,,-99.204819,36.43362,"(36.43362, -99.204819)"
Morris Tag Agent,317 South Hughes,Morris,OK,74445,(918) 733-1365,,-95.860021,35.607415,"(35.607415, -95.860021)"
Morrison Tag Agency,3rd and Woolsey,Morrison,OK,73061,(580) 724-3511,,-97.008189,36.29616,"(36.29616, -97.008189)"
Mountain View Tag Agency,314 Main Street,Mountain View,OK,73062,(580) 347-2143,,-98.747709,35.09759,"(35.09759, -98.747709)"
Muskogee Tag Agency,315 State Street,Muskogee,OK,74402,(918) 682-3763,,-95.372508,35.751526,"(35.751526, -95.372508)"
Mustang Tag Agency,135 West Highway 152,Mustang,OK,73064,(405) 376-2802,,-97.723288,35.391845,"(35.391845, -97.723288)"
Newcastle Tag Agency,1025 North Main,Newcastle,OK,73065,(405) 387-9200,,-97.600274,35.25698,"(35.25698, -97.600274)"
Tri City Tag Agency,2824 North West 32nd,Newcastle,OK,73065,(405) 392-2525,,-97.653229,35.29098,"(35.29098, -97.653229)"
Newkirk Tag Agency,110 West 7th,Newkirk,OK,74647,(580) 362-3618,,-97.053885,36.882538,"(36.882538, -97.053885)"
Nicoma Park Tag Agency,11524 North East 23rd,Nicoma Park,OK,73066,(405) 769-3353,(405) 769-3354,-97.326529,35.492923,"(35.492923, -97.326529)"
Noble Tag Agency,730 North Main,Noble,OK,73068,(405) 872-9322,,-97.395973,35.147892,"(35.147892, -97.395973)"
Fuson Tag Agency,1236 North Interstate Drive,Norman,OK,73072,(405) 364-1151,(405) 321-4383,-97.487313,35.233509,"(35.233509, -97.487313)"
