OBJECTID,GEO_ID,GEOZONE,Shape__Area,Shape__Length
1,210,Cedar Park,31069573.4499817,24360.1791893781
2,241,John Stanford Int'l,29868748.6453552,29505.8405857209
3,247,McDonald Int'l,22302276.1354065,24040.944653857
4,291,South Shore K-8,45298330.5539551,30337.9999623387
5,292,Hazel Wolf K-8,28620396.9459839,24062.2712680036
6,930,Pathfinder K-8,49034836.9118347,27839.8088120877
7,935,TOPS K-8,22677902.8131409,21552.235821656
8,939,Orca K-8,50801368.0911865,36379.923286453
9,949,Salmon Bay K-8,46203157.7629089,33174.5211002163
10,955,Licton Springs K-8,175873005.574097,76520.5579751708
11,972,Boren STEM K-8,47386644.8707275,37521.596478729
12,974,Queen Anne,101863505.275116,42428.2735119654
13,977,Thornton Creek,78217612.4582214,44998.6325847249
