OBJECTID,PL_LNGTH,PL_TOWNSHIP,PL_RANGE,PL_SECTION,PL_QUARTER,PL_SIXTEENTH,PL_GOVTLOT,PL_FEA_SYM,SHAPE_Length
69,2651.55668,0.0,0.0,1.0,1.0,1.0,0.0,SC,2651.55667482845
162,2687.07475,0.0,0.0,1.0,1.0,1.0,0.0,SC,2687.0749759472
164,2640.01684,0.0,0.0,1.0,1.0,1.0,0.0,SC,2640.01686609221
250,2643.36816,0.0,0.0,0.0,1.0,1.0,0.0,QS,2643.36821209468
336,2638.52851,0.0,0.0,0.0,1.0,1.0,0.0,QS,2638.52863336009
413,2649.09147,0.0,0.0,0.0,1.0,1.0,0.0,QS,2649.09147596653
450,2667.64763,0.0,0.0,1.0,1.0,1.0,0.0,SC,2667.64760715085
451,2599.29943,0.0,0.0,0.0,1.0,1.0,0.0,QS,2599.299639117
486,2700.28489,0.0,0.0,0.0,1.0,1.0,0.0,QS,2700.28485450398
487,2419.67119,0.0,0.0,1.0,1.0,1.0,0.0,SC,2419.67118931753
488,2666.43739,1.0,0.0,1.0,1.0,1.0,0.0,TS,2666.43739232722
499,1246.48631,1.0,0.0,1.0,1.0,1.0,1.0,TS,1246.4863143559
501,1331.0135,1.0,0.0,1.0,1.0,1.0,0.0,TS,1331.01348252342
503,1331.42499,1.0,0.0,1.0,1.0,1.0,0.0,TS,1331.42500720176
505,1331.44698,1.0,0.0,1.0,1.0,1.0,0.0,TS,1331.44701967726
507,1327.98976,1.0,0.0,1.0,1.0,1.0,0.0,TS,1327.98982037047
509,1327.98277,1.0,0.0,1.0,1.0,1.0,0.0,TS,1327.98264539838
516,1330.05694,1.0,0.0,1.0,1.0,1.0,0.0,TS,1330.05694797625
518,1330.07728,1.0,0.0,1.0,1.0,1.0,0.0,TS,1330.0772527355
529,2664.22064,0.0,0.0,1.0,1.0,1.0,0.0,SC,2664.22063882925
531,2633.08727,0.0,0.0,1.0,1.0,1.0,0.0,SC,2633.08729019513
535,2652.56028,0.0,0.0,0.0,1.0,1.0,0.0,QS,2652.56018718512
536,2651.53072,0.0,0.0,0.0,1.0,1.0,0.0,QS,2651.53084755864
538,2657.18935,0.0,0.0,1.0,1.0,1.0,0.0,SC,2657.1892424367
539,2663.05075,0.0,0.0,0.0,1.0,1.0,0.0,QS,2663.05089386897
540,2663.30402,0.0,0.0,0.0,1.0,1.0,0.0,QS,2663.3040169949
541,2623.5475,0.0,0.0,0.0,1.0,1.0,0.0,QS,2623.54736035975
543,2679.76943,0.0,0.0,0.0,1.0,1.0,0.0,QS,2679.76942501117
546,2652.13812,0.0,0.0,0.0,1.0,1.0,0.0,QS,2652.13816273315
547,2645.92837,0.0,0.0,0.0,1.0,1.0,0.0,QS,2645.92841501835
552,2734.37619,0.0,0.0,1.0,1.0,1.0,0.0,SC,2734.37630216289
554,2632.56815,0.0,0.0,1.0,1.0,1.0,0.0,SC,2632.56822037363
555,2476.37851,0.0,0.0,1.0,1.0,1.0,0.0,SC,2476.37847065832
556,2641.82345,0.0,0.0,0.0,1.0,1.0,0.0,QS,2641.82329859095
559,2667.78505,0.0,0.0,1.0,1.0,1.0,0.0,SC,2667.78499151429
562,2649.91083,0.0,0.0,1.0,1.0,1.0,0.0,SC,2649.9107607711
563,2656.27042,0.0,0.0,1.0,1.0,1.0,0.0,SC,2656.270536083
564,0.07806,0.0,0.0,1.0,1.0,1.0,0.0,SC,0.0781404082460756
565,3.19461,0.0,0.0,1.0,1.0,1.0,0.0,SC,3.19474587063248
566,3.19351,0.0,0.0,1.0,1.0,1.0,0.0,SC,3.19355792663834
567,0.05106,0.0,0.0,1.0,1.0,1.0,0.0,SC,0.0512230371529918
568,2650.38813,0.0,0.0,0.0,1.0,1.0,0.0,QS,2650.38828948697
569,2604.28286,0.0,0.0,1.0,1.0,1.0,0.0,SC,2604.28264667396
570,2638.76226,0.0,0.0,1.0,1.0,1.0,0.0,SC,2638.76237216785
571,2686.28797,0.0,0.0,1.0,1.0,1.0,0.0,SC,2686.28812240923
572,2641.78978,0.0,0.0,0.0,1.0,1.0,0.0,QS,2641.78968945447
573,2662.09664,0.0,0.0,1.0,1.0,1.0,0.0,SC,2662.09670934287
575,2732.36126,0.0,0.0,1.0,1.0,1.0,0.0,SC,2732.36124730637
578,2613.36753,0.0,0.0,1.0,1.0,1.0,0.0,SC,2613.36751919187
580,2681.88248,0.0,0.0,0.0,1.0,1.0,0.0,QS,2681.88244556408
583,2659.06106,0.0,0.0,0.0,1.0,1.0,0.0,QS,2659.06110456663
584,2578.79657,0.0,0.0,0.0,1.0,1.0,0.0,QS,2578.79662261934
586,2638.46381,0.0,0.0,0.0,1.0,1.0,0.0,QS,2638.46359407839
587,2645.82173,0.0,0.0,0.0,1.0,1.0,0.0,QS,2645.82196158745
590,2652.03733,0.0,0.0,1.0,1.0,1.0,0.0,SC,2652.03725031001
591,2648.27247,0.0,0.0,0.0,1.0,1.0,0.0,QS,2648.27246742557
592,2646.31312,0.0,0.0,0.0,1.0,1.0,0.0,QS,2646.31300431477
594,2644.29053,0.0,0.0,1.0,1.0,1.0,0.0,SC,2644.29039388906
596,2644.9897,0.0,0.0,0.0,1.0,1.0,0.0,QS,2644.98983246901
597,2632.36335,0.0,0.0,0.0,1.0,1.0,0.0,QS,2632.36332652691
599,2730.8179,0.0,0.0,0.0,1.0,1.0,0.0,QS,2730.81809503176
605,2651.28976,0.0,0.0,0.0,1.0,1.0,0.0,QS,2651.28976220096
613,2605.14966,0.0,0.0,1.0,1.0,1.0,0.0,SC,2605.14970774304
614,2634.08889,0.0,0.0,0.0,1.0,1.0,0.0,QS,2634.08875801111
618,2633.68099,0.0,0.0,0.0,1.0,1.0,0.0,QS,2633.68109935976
619,2627.05665,0.0,0.0,1.0,1.0,1.0,0.0,SC,2627.05651161037
621,2615.98889,0.0,0.0,1.0,1.0,1.0,0.0,SC,2615.98883981154
625,2650.4038,0.0,0.0,1.0,1.0,1.0,0.0,SC,2650.40379868214
630,2656.45696,0.0,0.0,1.0,1.0,1.0,0.0,SC,2656.45711212248
632,2654.6301,0.0,0.0,0.0,1.0,1.0,0.0,QS,2654.6301579687
633,2662.23051,0.0,0.0,1.0,1.0,1.0,0.0,SC,2662.23050937654
636,2645.27676,0.0,0.0,1.0,1.0,1.0,0.0,SC,2645.27676455962
646,2673.65836,0.0,0.0,1.0,1.0,1.0,0.0,SC,2673.65835847251
648,2691.11075,0.0,0.0,0.0,1.0,1.0,0.0,QS,2691.1106785773
649,55.15017,0.0,0.0,0.0,1.0,1.0,0.0,QS,55.1502775143961
654,2664.39988,0.0,0.0,1.0,1.0,1.0,0.0,SC,2664.39985230666
655,2652.50224,0.0,0.0,0.0,1.0,1.0,0.0,QS,2652.50202758222
656,2661.27663,0.0,0.0,0.0,1.0,1.0,0.0,QS,2661.27655416295
657,2649.1006,0.0,0.0,0.0,1.0,1.0,0.0,QS,2649.10061804135
659,2624.48376,0.0,0.0,0.0,1.0,1.0,0.0,QS,2624.4838724453
662,2651.10496,0.0,0.0,1.0,1.0,1.0,0.0,SC,2651.10505044769
663,2655.8792,0.0,0.0,0.0,1.0,1.0,0.0,QS,2655.87917967965
666,2652.49361,0.0,0.0,1.0,1.0,1.0,0.0,SC,2652.49356500241
667,2710.6924,0.0,0.0,0.0,1.0,1.0,0.0,QS,2710.69230251894
668,2644.32844,0.0,0.0,0.0,1.0,1.0,0.0,QS,2644.328437726
669,2593.31052,0.0,0.0,0.0,1.0,1.0,0.0,QS,2593.31067004983
671,2712.91968,0.0,0.0,0.0,1.0,1.0,0.0,QS,2712.91967840206
675,2589.14339,0.0,0.0,0.0,1.0,1.0,0.0,QS,2589.14339317627
676,2638.98126,0.0,0.0,1.0,1.0,1.0,0.0,SC,2638.98127982304
678,2685.87259,0.0,0.0,0.0,1.0,1.0,0.0,QS,2685.87270086918
680,2655.93319,0.0,0.0,1.0,1.0,1.0,0.0,SC,2655.93319205807
682,1314.98125,0.0,0.0,0.0,1.0,1.0,1.0,QS,1314.98124855189
684,1306.30293,0.0,0.0,1.0,1.0,1.0,0.0,SC,1306.3029228883
686,2664.34722,0.0,0.0,0.0,1.0,1.0,0.0,QS,2664.34739701939
690,1323.59669,1.0,0.0,1.0,1.0,1.0,1.0,TS,1323.59669014289
695,1326.92742,1.0,0.0,1.0,1.0,1.0,1.0,TS,1326.92741584548
696,2629.77863,0.0,0.0,0.0,1.0,1.0,0.0,QS,2629.77879902996
706,2654.00095,0.0,0.0,1.0,1.0,1.0,0.0,SC,2654.00089884223
708,2653.14481,0.0,0.0,0.0,1.0,1.0,0.0,QS,2653.14489555783
710,2647.23227,0.0,0.0,1.0,1.0,1.0,0.0,SC,2647.23227137232
712,1315.14149,0.0,0.0,0.0,1.0,1.0,0.0,QS,1315.14149052812
715,1316.56189,1.0,0.0,1.0,1.0,1.0,1.0,TS,1316.56188700351
717,1316.54758,1.0,0.0,1.0,1.0,1.0,1.0,TS,1316.54758097815
719,2606.69872,0.0,0.0,0.0,1.0,1.0,0.0,QS,2606.69872296789
720,1334.13944,1.0,0.0,1.0,1.0,1.0,0.0,TS,1334.13939879375
722,2639.95569,1.0,0.0,1.0,1.0,1.0,0.0,TS,2639.95568655523
724,2656.62442,1.0,0.0,1.0,1.0,1.0,0.0,TS,2656.62442355041
730,1284.61873,0.0,0.0,0.0,1.0,1.0,1.0,QS,1284.61872979266
731,1284.58401,0.0,0.0,0.0,0.0,1.0,1.0,SX,1284.58401401136
732,1318.84261,0.0,0.0,0.0,0.0,1.0,1.0,SX,1318.84260840161
733,1284.62421,0.0,0.0,1.0,1.0,1.0,1.0,SC,1284.62420755634
734,1320.14351,0.0,0.0,0.0,0.0,1.0,1.0,SX,1320.14351111604
736,1325.91109,0.0,0.0,0.0,0.0,1.0,1.0,SX,1325.91109204496
745,2639.99209,0.0,0.0,0.0,1.0,1.0,0.0,QS,2639.99209409568
748,2741.82367,0.0,0.0,0.0,1.0,1.0,0.0,QS,2741.82366517748
749,2628.74153,0.0,0.0,0.0,1.0,1.0,0.0,QS,2628.74153203951
757,2648.07016,0.0,0.0,0.0,1.0,1.0,0.0,QS,2648.07016177494
758,2383.59254,0.0,0.0,0.0,1.0,1.0,0.0,QS,2383.59253636245
759,1360.96605,0.0,0.0,1.0,1.0,1.0,1.0,SC,1360.96604641529
765,2638.86538,0.0,0.0,0.0,1.0,1.0,0.0,QS,2638.86537925133
766,1331.33568,0.0,0.0,0.0,1.0,1.0,1.0,QS,1331.3356780041
773,2156.08863,0.0,0.0,0.0,1.0,1.0,1.0,QS,2156.08862654263
780,2642.38717,0.0,0.0,0.0,1.0,1.0,0.0,QS,2642.38716903825
781,1316.71414,0.0,0.0,0.0,1.0,1.0,0.0,QS,1316.71416477422
784,2644.14665,0.0,0.0,0.0,1.0,1.0,0.0,QS,2644.14665472669
785,1309.08648,0.0,0.0,1.0,1.0,1.0,0.0,SC,1309.08660657466
787,1306.56359,0.0,0.0,0.0,0.0,1.0,1.0,SX,1306.56358535152
788,1318.34158,0.0,0.0,0.0,1.0,1.0,0.0,QS,1318.34158117498
789,1650.66345,0.0,0.0,0.0,1.0,1.0,1.0,QS,1650.66344990662
790,1318.34088,0.0,0.0,0.0,1.0,1.0,1.0,QS,1318.34088173351
792,1317.73665,0.0,0.0,0.0,1.0,1.0,1.0,QS,1317.73664528786
794,1317.72125,0.0,0.0,0.0,1.0,1.0,1.0,QS,1317.72125392042
799,2631.06104,0.0,0.0,1.0,1.0,1.0,0.0,SC,2631.06104013462
800,2629.79477,0.0,0.0,0.0,1.0,1.0,0.0,QS,2629.7947660204
816,1329.00183,0.0,1.0,1.0,1.0,1.0,1.0,RA,1329.00182706086
818,1336.57128,0.0,0.0,0.0,0.0,1.0,1.0,SX,1336.57127578178
819,1334.19206,0.0,0.0,0.0,0.0,1.0,1.0,SX,1334.19206298789
830,2653.70916,0.0,0.0,1.0,1.0,1.0,0.0,SC,2653.70915705902
836,1328.42468,0.0,0.0,0.0,0.0,1.0,1.0,SX,1328.42467520335
843,2643.02993,0.0,0.0,0.0,1.0,1.0,0.0,QS,2643.0299322595
845,2600.01389,0.0,0.0,1.0,1.0,1.0,0.0,SC,2600.01388970961
851,2641.25783,0.0,0.0,1.0,1.0,1.0,0.0,SC,2641.25783213927
857,2647.32813,0.0,0.0,1.0,1.0,1.0,0.0,SC,2647.32812530882
862,2661.79997,0.0,0.0,1.0,1.0,1.0,0.0,SC,2661.79997205426
863,1322.38699,0.0,0.0,1.0,1.0,1.0,1.0,SC,1322.38699447162
865,2653.54597,0.0,0.0,0.0,1.0,1.0,0.0,QS,2653.54596924681
866,1322.48811,0.0,0.0,1.0,1.0,1.0,1.0,SC,1322.48811412585
869,1329.00776,0.0,1.0,1.0,1.0,1.0,1.0,RA,1329.0077599454
870,2634.80081,0.0,0.0,1.0,1.0,1.0,0.0,SC,2634.80080552068
871,1337.26762,0.0,0.0,1.0,1.0,1.0,1.0,SC,1337.26762282792
872,1325.53924,0.0,0.0,0.0,1.0,1.0,0.0,QS,1325.53913841068
875,1333.18486,0.0,0.0,1.0,1.0,1.0,0.0,SC,1333.18473786162
876,2662.82182,0.0,0.0,1.0,1.0,1.0,0.0,SC,2662.82182206975
879,2649.34244,0.0,0.0,1.0,1.0,1.0,0.0,SC,2649.34245491724
880,2677.63517,0.0,0.0,1.0,1.0,1.0,0.0,SC,2677.63508475679
881,2653.49871,0.0,0.0,0.0,1.0,1.0,0.0,QS,2653.49856675191
882,2666.11227,0.0,0.0,1.0,1.0,1.0,0.0,SC,2666.11211639621
883,2650.4149,0.0,0.0,1.0,1.0,1.0,0.0,SC,2650.41489596157
884,2669.07924,0.0,0.0,1.0,1.0,1.0,0.0,SC,2669.07939421817
887,2644.3667,0.0,0.0,0.0,1.0,1.0,0.0,QS,2644.36670288776
888,2645.73865,0.0,0.0,1.0,1.0,1.0,0.0,SC,2645.7386486639
892,2619.77193,0.0,0.0,1.0,1.0,1.0,0.0,SC,2619.77193374641
894,2639.36368,0.0,0.0,1.0,1.0,1.0,0.0,SC,2639.36368423571
895,2661.63368,0.0,0.0,0.0,1.0,1.0,0.0,QS,2661.63367811544
897,1328.57572,0.0,0.0,0.0,0.0,1.0,1.0,SX,1328.57571710188
898,1320.00661,0.0,0.0,1.0,1.0,1.0,1.0,SC,1320.00661394481
902,2639.95661,0.0,0.0,1.0,1.0,1.0,0.0,SC,2639.95661261681
905,2679.8108,0.0,0.0,0.0,1.0,1.0,0.0,QS,2679.81079974927
906,1335.08686,0.0,0.0,1.0,1.0,1.0,0.0,SC,1335.08703948578
909,1553.57201,0.0,0.0,0.0,1.0,1.0,0.0,QS,1553.57201102945
912,1331.74328,0.0,0.0,0.0,1.0,1.0,1.0,QS,1331.74328083566
915,1331.10905,0.0,1.0,1.0,1.0,1.0,1.0,RA,1331.10904691379
916,1329.00028,0.0,0.0,0.0,0.0,1.0,1.0,SX,1329.00028340387
917,1338.88421,0.0,0.0,0.0,0.0,1.0,1.0,SX,1338.88421192682
920,2652.59238,0.0,0.0,1.0,1.0,1.0,0.0,SC,2652.59237516184
929,1344.72376,0.0,0.0,1.0,1.0,1.0,0.0,SC,1344.72376024905
932,1318.59765,0.0,0.0,0.0,1.0,1.0,1.0,QS,1318.59764750532
934,1374.44963,0.0,0.0,0.0,0.0,1.0,1.0,SX,1374.44963370665
935,2639.9921,0.0,0.0,1.0,1.0,1.0,0.0,SC,2639.9920973387
936,2709.00987,0.0,0.0,0.0,1.0,1.0,0.0,QS,2709.00987295415
944,14.80971,0.0,0.0,0.0,1.0,1.0,0.0,QS,14.8098705204291
946,1343.23283,0.0,0.0,0.0,1.0,1.0,1.0,QS,1343.23282996327
950,1319.29219,0.0,0.0,0.0,1.0,1.0,1.0,QS,1319.29218686345
952,1321.78604,0.0,0.0,0.0,1.0,1.0,1.0,QS,1321.78604218856
955,2240.86222,0.0,0.0,0.0,1.0,1.0,0.0,QS,2240.86222366012
956,1332.06847,0.0,0.0,0.0,1.0,1.0,1.0,QS,1332.06847423919
