boro,order_no,main_st,from_st,to_st,sos
B,P-00097673,DECATUR AVENUE,EAST FORDHAM ROAD,EAST  193 STREET,W
B,P-00097679,EAST AVENUE,YANKEE MALL,PARKCHESTER ROAD*S RDWY,W
B,P-00097684,KATONAH AVENUE,EAST  236 STREET,EAST  235 STREET,W
B,P-00097688,KATONAH AVENUE,EAST  240 STREET,EAST  239 STREET,W
B,P-00097689,KATONAH AVENUE,EAST  238 STREET,EAST  237 STREET,W
B,P-00097691,KATONAH AVENUE,EAST  235 STREET,EAST  236 STREET,E
B,P-00097692,KATONAH AVENUE,EAST  238 STREET,EAST  239 STREET,E
B,P-00097703,KATONAH AVENUE,EAST  236 STREET,EAST  237 STREET,E
B,P-010938  ,WOOD AVENUE,METROPOLITAN AVENUE,WEST AVENUE,S
B,P-01249551,EAST  205 STREET,PERRY AVENUE,BAINBRIDGE AVENUE,N
B,P-01249901,EAST  205 STREET,PERRY AVENUE,EAST  204 STREET,S
B,P-01249905,EAST  206 STREET,BAINBRIDGE AVENUE,PERRY AVENUE,S
B,P-01249961,KOSSUTH AVENUE,EAST  210 STREET,DEKALB AVENUE,W
B,P-01250230,WESTCHESTER AVENUE,BUHRE AVENUE,PILGRIM AVENUE,N
B,P-01250308,FOREST AVENUE,EAST  160 STREET,EAST  158 STREET,E
B,P-01250350,WESTCHESTER AVENUE,ZEREGA AVENUE,PARKER STREET,N
B,P-01250378,WESTCHESTER AVENUE,COMMERCE AVENUE,FERRIS PLACE,S
B,P-01250684,OAK POINT AVENUE,LONGFELLOW AVENUE,HUNTS POINT AVENUE,S
B,P-01251242,WESTCHESTER AVENUE,GLOVER STREET,DORIS STREET,N
B,P-01251245,WESTCHESTER AVENUE,PARKER STREET,GLOVER STREET,N
B,P-01251253,WESTCHESTER AVENUE,TAYLOR AVENUE,BEACH AVENUE,N
B,P-01251712,THIRD AVENUE,EAST  146 STREET,EAST  147 STREET,E
B,P-01254461,WHITE PLAINS ROAD,EAST  223 STREET,EAST  224 STREET,E
B,P-01258538,BRONX RIV AVENUE,ROSEDALE AVENUE,EAST TREMONT AVENUE,N
B,P-01260196,WEST  233 STREET,BROADWAY,KINGSBRIDGE AVENUE,N
B,P-01263251,GRAND CONCOURSE*W S/R,EAST  183 STREET,EAST  182 STREET,W
B,P-01263255,GRAND CONCOURSE*W S/R,EAST  184 STREET,FIELD PLACE,W
B,P-01264014,GRAND CONCOURSE,EAST  188 STREET,EAST FORDHAM ROAD,E
B,P-01264365,GRAND CONCOURSE*E S/R,EAST  184 STREET,EAST  187 STREET,E
B,P-01266467,EAST GUN HILL ROAD,ADEE AVENUE,FENTON AVENUE,N
B,P-01266468,FENTON AVENUE,EAST GUNHILL ROAD,KNAPP STREET,E
B,P-01266478,EAST GUNHILL ROAD,SEXTON PLACE,DEWITT PLACE,S
B,P-01266481,EAST GUNHILL ROAD,KNAPP STREET,FENTON AVENUE,S
B,P-01266483,EAST GUN HILL ROAD,WHITE PLAINS ROAD,WILLET AVENUE,N
B,P-01266777,EINSTEIN LOOP EAST,EINSTEIN LOOP NORTH,EINSTEIN LOOP SOUTH,W
B,P-01266816,WILLIAMSBRIDGE ROAD,WARING AVENUE,MACE AVENUE,E
B,P-01266847,ASTOR AVENUE,HOLLAND AVENUE,WALLACE AVENUE,S
B,P-01266853,ASTOR AVENUE,HOLLAND AVENUE,CRUGER AVENUE,N
B,P-01266891,ASTOR AVENUE,CRUGER AVENUE,HOLLAND AVENUE,S
B,P-01268337,WHITE PLAINS ROAD,EAST  219 STREET,EAST  216 STREET,W
B,P-01268366,DREISER LOOP*E,CO-OP CITY BOULEVARD,DREISER LOOP SOUTH,W
B,P-01268397,EAST  233 STREET,BYRON AVENUE,WHITE PLAINS ROAD,N
B,P-01268553,DYRE AVENUE,EAST  233 STREET,DARK STREET,E
B,P-01268571,DYRE AVENUE,LUSTRE STREET,EAST  233 STREET,W
B,P-01268575,EAST  233 STREET,MERRITT AVENUE,DYRE AVENUE,N
B,P-01268977,EASTCHESTER ROAD,KNAPP STREET,ADEE AVENUE,W
B,P-01269025,PELHAM PARKWAY NORTH,CRUGER AVENUE,WHITE PLAINS ROAD,N
B,P-01269920,EAST  241 STREET,RICHARDSON AVENUE,WHITE PLAINS ROAD,S
B,P-01271123,EAST  234 STREET,CARPENTER AVENUE,BRONX BOULEVARD,S
B,P-01271501,EAST  233 STREET,CARPENTER AVENUE,WHITE PLAINS ROAD,S
B,P-01272008,EAST  241 STREET,WHITE PLAINS ROAD,RICHARDSON AVENUE,N
B,P-01272542,EAST  234 STREET,CARPENTER AVENUE,BRONX BOULEVARD,N
B,P-01276490,EAST  163 STREET,SIMPSON STREET,SOUTHERN BOULEVARD,S
B,P-01276883,GERARD AVENUE,EAST  158 STREET,EAST  161 STREET,E
B,P-01276968,WESTCHESTER AVENUE,THIRD AVENUE,BERGEN AVENUE,S
B,P-01276976,WESTCHESTER AVENUE,SIMPSON STREET,SOUTHERN BOULEVARD,S
B,P-01277015,JEROME AVENUE*W RDWY,ELLIOTT PLACE,JEROME AVENUE,W
B,P-01277204,EAST  183 STREET,CRESTON AVENUE,MORRIS AVENUE,N
B,P-01277234,TOWNSEND AVENUE,EAST  170 STREET,EAST  171 STREET,W
B,P-01277248,THIRD AVENUE,EAST  152 STREET,EAST  151 STREET,W
B,P-01277433,WEST MOUNT EDEN AVENUE,JEROME AVENUE,INWOOD AVENUE,S
B,P-01277449,WALTON AVENUE,EAST  170 STREET,ELLIOT PLACE,E
B,P-01277478,MARION AVENUE,EAST  193 STREET,EAST FORDHAM ROAD,E
B,P-01277669,WALTON AVENUE,EAST  171 STREET,EAST  170 STREET,E
B,P-01277671,WALTON AVENUE,EAST  161 STREET,EAST  158 STREET,W
B,P-01277686,EAST  146 STREET,WALTON AVENUE,GERARD AVENUE,N
B,P-01277688,WALTON AVENUE,EAST  170 STREET,ELLIOT PLACE,W
B,P-01277696,THIRD AVENUE,EAST  155 STREET,EAST  154 STREET,W
B,P-01277915,WALTON AVENUE,EAST  171 STREET,EAST  170 STREET,W
B,P-01277953,WYTHE PLACE,EAST  170 STREET,EAST  171 STREET,E
B,P-01277988,WYTHE PLACE,EAST  171 STREET,EAST  170 STREET,W
B,P-01277993,EAST  146 STREET,GERARD AVENUE,WALTON AVENUE,S
B,P-01278811,WESTCHESTER AVENUE,FERRIS PLACE,EAST TREMONT AVENUE,E
B,P-01278830,WESTCHESTER AVENUE,SANDS PLACE,WILKINSON AVENUE,E
B,P-01278832,WESTCHESTER AVENUE,BEACH AVENUE,TAYLOR AVENUE,S
B,P-01279828,WESTCHESTER AVENUE,HAVEMEYER AVENUE,PARKER STREET,S
B,P-01279886,WHITE PLAINS ROAD,EAST  216 STREET,EAST  217 STREET,E
B,P-01279887,WHITE PLAINS ROAD,EAST  217 STREET,EAST  218 STREET,E
B,P-01279904,WHITE PLAINS ROAD,EAST  219 STREET,EAST  220 STREET,E
B,P-01279906,ALLERTON AVENUE,BARKER AVENUE,OLINVILLE AVENUE,S
B,P-01279907,WHITE PLAINS ROAD,EAST  220 STREET,EAST  221 STREET,E
B,P-01279912,WHITE PLAINS ROAD,EAST  221 STREET,EAST  222 STREET,E
B,P-01279930,ALLERTON AVENUE,PAULDING AVENUE,HONE AVENUE,S
B,P-01279932,ALLERTON AVENUE,WALLACE AVENUE,BARNES AVENUE,S
B,P-01280047,WHITE PLAINS ROAD,EAST  222 STREET,EAST  223 STREET,E
B,P-01280055,WHITE PLAINS ROAD,EAST  225 STREET,EAST  226 STREET,E
B,P-01280060,WHITE PLAINS ROAD,EAST  226 STREET,EAST  227 STREET,E
B,P-01280064,WHITE PLAINS ROAD,EAST  227 STREET,EAST  228 STREET,E
B,P-01280066,WHITE PLAINS ROAD,EAST  229 STREET,EAST  230 STREET,E
B,P-01280084,WHITE PLAINS ROAD,EAST  234 STREET,EAST  235 STREET,E
B,P-01280098,WHITE PLAINS ROAD,EAST  235 STREET,EAST  236 STREET,E
B,P-01280100,WHITE PLAINS ROAD,EAST  236 STREET,EAST  237 STREET,E
B,P-01280108,WHITE PLAINS ROAD,EAST  240 STREET,EAST  241 STREET,E
B,P-01280109,WHITE PLAINS ROAD,EAST  242 STREET,EAST  243 STREET,E
B,P-01280111,WHITE PLAINS ROAD,NEREID AVENUE,EAST  239 STREET,E
B,P-01280114,WHITE PLAINS ROAD,PENFIELD STREET,EAST  242 STREET,E
B,P-01280332,MELROSE AVENUE,EAST  151 STREET,EAST  152 STREET,E
B,P-01280552,WHITE PLAINS ROAD,BURKE AVENUE,ROSEWOOD STREET,E
B,P-01280555,WESTCHESTER AVENUE,HOBART AVENUE,MAHAN AVENUE,S
B,P-01280800,WESTCHESTER AVENUE,PILGRIM AVENUE,EDISON AVENUE,S
B,P-01280806,NEWBOLD AVENUE,CASTLEHILL AVENUE,HAVEMEYER AVENUE,S
B,P-01280825,CAMBRELENG AVENUE,EAST FORDHAM ROAD,DEAD END,E
B,P-01280858,EAST  188 STREET,WEBSTER AVENUE,PARK AVENUE,N
B,P-01280876,EAST  190 STREET,CRESTON AVENUE,MORRIS AVENUE,N
B,P-01280877,BRUCKNER BOULEVARD,WILLIS AVENUE,ALEXANDER AVENUE,N
