OBJECTID_1,OBJECTID,Acreage,SqFt,Final_Cat,type,Sector,UpdatePkNm,AlterntNam,Park_Name,Divest,Invest,Redevelop,Relocate,Expand,Naturalize,Notes,Shape__Area,Shape__Length
1,1,1.65951033838,72288.27034,Neighborhood Park,NP,5,Able Long Park,Able Long Park,Able Long Park, ,x, , , , , ,72288.2704772949,1079.63858189321
2,2,0.381543956547,16620.0547472,Neighborhood Park,NP,15,"Albert ""Turk"" Graham Park","Albert ""Turk"" Graham Park","Albert ""Turk"" Graham Park", ,x, , , , , ,16620.0548706055,542.404377626549
3,3,2.50623158576,109171.447876,Community Park,CP,3,Allegheny Center Park Plaza (Public Square),Allegheny Center Park Plaza (Public Square),Allegheny Center Park Plaza (Public Square), ,x, , , , , ,109171.447814941,1999.77616628415
4,4,2.21287893634,96393.0064671,Riverfront Park,RVR,16,Allegheny Landing Park,Allegheny Landing Park,Allegheny Landing Park, ,x, , , , , ,96393.0005493164,1579.93370130468
5,5,1.18447590271,51595.7703221,Riverfront Park,RVR,16,Allegheny Riverfront Park,Allegheny Riverfront Park,Allegheny Riverfront Park, ,x, , , , , ,51595.7702636719,3789.70684425258
6,6,0.130266464496,5674.40719346,Neighborhood Park,NP,3,Alpine Gardens Park,Alpine Gardens Park,Alpine Gardens Park,x, , , , , , ,5674.4072265625,302.562182640053
7,7,4.02706510619,175418.956026,Neighborhood Park,NP,5,Alton Park,Alton Park,Alton Park, ,x, , , , , ,175418.955993652,1680.93778104194
8,9,8.08160084328,352034.532733,Neighborhood Park,NP,15,Ammon Park,Ammon Park,Ammon Park, , ,x, , , , ,352034.532653809,2493.40740147142
9,10,0.573811547578,24995.2310125,Special Use Park,SU,7,Arlington Gym,Arlington Gym,Arlington Gym, , , ,x, , , ,24995.2310180664,686.621046844295
10,11,4.20714378708,183263.183365,Neighborhood Park,NP,7,Arlington Park,Arlington Park,Arlington Park, , ,x, , , , ,183263.183319092,1714.73920066765
11,12,1.58520197137,69051.3978728,Neighborhood Park,NP,7,Armstrong Park,Armstrong Park,Armstrong Park, , ,x, , , , ,69051.3978271484,1015.27727184408
12,13,8.80856053248,383700.896795,Community Park,CP,13,Arsenal Park,Arsenal Park,Arsenal Park, , ,x, , , , ,383700.896789551,2498.19408835536
13,14,16.6391041992,724799.378917,Community Park,CP,5,Banksville Park,Banksville Park,Banksville Park, ,x, , , , , ,724799.37878418,6186.41940110393
14,18,2.38598402663,103933.4642,Neighborhood Park,NP,11,Baxter Park,Baxter Park,Baxter Park, ,x, , , , , ,103933.440368652,1418.32433622636
15,21,0.805114285161,35070.7782616,Regional Park,RP,6,Emerald View Regional Park - Bigbee Field,Emerald View Regional Park,Emerald View Regional Park, ,x, , , , , ,35070.7781982422,908.290369849723
16,22,1.68346293511,73331.6454534,Neighborhood Park,NP,9,Blair St. Park,Blair St. Park,Blair St. Park,x, , , , , , ,73331.6254272461,1179.3083033156
17,23,5.81045789518,253103.545914,Neighborhood Park,NP,13,Bloomfield Park,Bloomfield Park,Bloomfield Park, ,x, , , , , ,253103.546020508,3262.78087789837
18,24,1.02277223722,44551.9586535,Neighborhood Park,NP,6,Bon Air Park,Bon Air Park,Bon Air Park, ,x, , , , , ,44551.9586486816,939.811206372271
19,25,0.457568874492,19931.7001729,Neighborhood Park,NP,14,Boundary St. Park,Boundary St. Park,Boundary St. Park,x, , ,x, ,x, ,19931.7002563477,604.752538422265
20,26,32.0104415497,1394374.83391,Community Park,CP,2,Brighton Heights Park,Brighton Heights Park,Brighton Heights Park, ,x, , , , , ,1394374.83459473,12357.0948232421
21,28,54.3692361332,2368323.92596,Community Park,CP,5,Brookline Memorial Park,Brookline Memorial Park,Brookline Memorial Park, ,x, , , , , ,2368323.90667725,9152.84161222649
22,30,4.40550691988,191903.88143,Neighborhood Park,NP,9,Bud Hammer Park,Bud Hammer Park,Bud Hammer Park, ,x, , , , , ,191903.81842041,2043.23785202166
23,31,6.79009821402,295776.678203,Neighborhood Park,NP,9,Burgwin Park,Burgwin Park,Burgwin Park, , ,x, , , , ,295776.653778076,2232.75902239856
24,33,0.475470697272,20711.5035732,Neighborhood Park,NP,1,Catalano Park,Catalano Park,Catalano Park, ,x, , , , , ,20711.5035400391,567.155739087925
25,34,6.78546893057,295575.026615,Neighborhood Park,NP,11,Chadwick Park,Chadwick Park,Chadwick Park, ,x, , ,x, , ,295575.026672363,2425.20279164895
26,35,6.14843572493,267825.860178,Neighborhood Park,NP,4,Chartiers Park,Chartiers Park,Chartiers Park, ,x, , , , , ,267825.860351563,2197.20250395243
27,36,1.11317138316,48489.7454505,Neighborhood Park,NP,15,Cliffside Park,Cliffside Park,Cliffside Park, , ,x,x, , , ,48489.7453613281,1313.83264370222
28,37,0.874324069526,38085.5564686,Neighborhood Park,NP,7,Cobden St. Park,Cobden St. Park,Cobden St. Park, , , , , ,x, ,38085.5564880371,825.918508273787
29,38,4.22349564677,183975.470373,Neighborhood Park,NP,1,Cowley Park,Cowley Park,Cowley Park, ,x, , , , , ,183975.470397949,1706.7397154784
30,40,0.344122353209,14989.9697058,Neighborhood Park,NP,4,Crafton Heights Park,Crafton Heights Park,Crafton Heights Park, ,x, ,x, , , ,14989.9697570801,540.461947395852
31,42,0.296042869004,12895.6273738,Neighborhood Park,NP,2,Cross and Strauss Park,Cross and Strauss Park,Cross and Strauss Park,x, , , , ,x, ,12895.6274414063,474.712868345296
32,44,7.22025607243,314514.354515,Neighborhood Park,NP,13,Frank Curto Park,Frank Curto Park,Frank Curto Park, ,x, , , , , ,314514.354492188,4947.79134006168
33,45,0.428523288351,18666.4744405,Neighborhood Park,NP,11,Dallas Park,Dallas Park,Dallas Park, , , ,x, , , ,18666.4744262695,575.212343074488
34,46,1.50196207516,65425.4679939,Neighborhood Park,NP,10,Davis Park,Davis Park,Davis Park, ,x, , , , , ,65425.467956543,1052.34532262414
35,47,1.09754410542,47809.021232,Neighborhood Park,NP,13,Denny Park,Denny Park,Denny Park, , ,x, , , , ,47808.9847412109,1158.75001359178
36,48,6.53708980546,284755.631926,Neighborhood Park,NP,7,Devlin Field,Devlin Field,Devlin Field, , , , , ,x, ,284755.631866455,2721.86919526481
37,49,16.4217626896,715331.982759,Community Park,CP,13,Dinan Park,Dinan Park,Dinan Park, ,x, , , , , ,715331.982666016,4324.05085519838
38,50,6.74568843264,293842.188126,Neighborhood Park,NP,4,Dunbar Park,Dunbar Park,Dunbar Park,x, ,x, ,x, , ,293842.188201904,2666.55630682424
39,51,0.805434467349,35084.7253977,Neighborhood Park,NP,13,Duncan Park,Duncan Park,Duncan Park, ,x, , , , , ,35084.7256469727,765.095222090438
40,52,0.4702836238,20485.5546527,Neighborhood Park,NP,4,East Carnegie Park,East Carnegie Park,East Carnegie Park, ,x, , , , , ,20485.5546875,573.249426467846
41,53,21.9789438856,957402.795657,Community Park,CP,3,Allegheny Commons - East Common Park,Allegheny Commons,Allegheny Commons, ,x, , , , , ,957402.795898438,8643.0196572243
42,54,11.135878711,485078.876651,Community Park,CP,11,East Hills Park,East Hills Park,East Hills Park, ,x, , , , , ,485078.876708984,3990.46535438247
43,56,1.44485919562,62938.0665613,Neighborhood Park,NP,12,East Liberty Park,East Liberty Park,East Liberty Park, , ,x, , , , ,62938.0665893555,1034.36708588472
44,59,0.853846946071,37193.5729709,Regional Park,RP,6,Emerald View Regional Park - Eileen McCoy Park,Emerald View Regional Park,Emerald View Regional Park, ,x, , , , , ,37193.572845459,780.268137187418
45,60,0.617731594931,26908.3882752,Neighborhood Park,NP,7,Eleanor Street Park,Eleanor Street Park,Eleanor Street Park, ,x, , , , , ,26908.3883056641,649.21057736842
46,61,2.33476801638,101702.494793,Neighborhood Park,NP,12,Enright Park,Enright Park,Enright Park, ,x, , , , , ,101702.494812012,1394.57267628355
47,62,0.194787408742,8484.93952479,Neighborhood Park,NP,4,Esplen Park,Esplen Park,Esplen Park,x, , , , ,x, ,8484.93957519531,365.828052510818
48,63,3.55486209781,154849.792981,Neighborhood Park,NP,4,Fairywood Park,Fairywood Park,Fairywood Park, ,x, , , , , ,154849.792907715,1580.61786619163
49,64,2.08455277403,90803.1188369,Neighborhood Park,NP,13,Fifty-Seventh Street Park,Fifty-Seventh Street Park,Fifty-Seventh Street Park, ,x, ,x, , , ,90803.1190185547,1535.49617356588
50,68,9.47866553054,412890.670511,Neighborhood Park,NP,12,Fort Pitt Park,Fort Pitt Park,Fort Pitt Park, , , , ,x, , ,412890.670410156,3309.67418802198
51,69,1.76411757386,76844.9615173,Neighborhood Park,NP,9,Four Mile Run Park,Four Mile Run Park,Four Mile Run Park, ,x, , , , , ,76844.985168457,2243.3573059505
52,70,12.6879478484,552687.008278,Community Park,CP,2,Fowler Park,Fowler Park,Fowler Park, ,x, , , , , ,552687.00793457,4338.44853731747
53,72,3.4339630378,149583.429927,Neighborhood Park,NP,14,Frazier Park,Frazier Park,Frazier Park, , ,x, , , , ,149583.414245605,1740.35278329091
54,73,643.802985041,28044058.0284,Regional Park,RP,10,Frick Park,Frick Park,Frick Park, ,x, , , , , ,28044058.0012512,85499.4963372253
55,74,1.95542019498,85178.1036933,Neighborhood Park,NP,12,Friendship Park,Friendship Park,Friendship Park, ,x, , , , , ,85178.1033935547,1901.42659877343
56,75,3.4260553701,149238.971922,Neighborhood Park,NP,1,Gardner Park,Gardner Park,Gardner Park, ,x, , , , , ,149238.971374512,1857.62322655503
57,76,3.20146345041,139455.7479,Neighborhood Park,NP,12,Garland Park,Garland Park,Garland Park, ,x, , , , , ,139455.747680664,1899.44181995891
58,77,3.34404019844,145666.391044,Neighborhood Park,NP,9,Gladstone Park,Gladstone Park,Gladstone Park, , ,x, , , , ,145666.390930176,1630.11987800621
59,80,6.14713537639,267769.216995,Regional Park,RP,6,Emerald View Regional Park - Grandview Overlook,Emerald View Regional Park,Emerald View Regional Park, ,x, , , , , ,267769.217041016,5037.75089770902
60,81,33.4431334849,1456782.8946,Regional Park,RP,6,Emerald View Regional Park - Grandview Park,Emerald View Regional Park,Emerald View Regional Park, ,x, , , , , ,1456782.96682739,14446.4970743584
61,83,0.643227837445,28019.0045991,Neighborhood Park,NP,15,Granville Park,Granville Park,Granville Park,x, , , ,x, , ,28019.0045166016,699.571073326753
62,85,1.26312639417,55021.7857298,Neighborhood Park,NP,8,Hays Park,Hays Park,Hays Park,x, , , , ,x, ,55021.7857971191,1369.16447914264
63,86,1.3066576359,56918.0066196,Special Use Park,SU,9,Hazelwood Senior Center,Hazelwood Senior Center,Hazelwood Senior Center, , , ,x, , , ,56918.0066223145,959.540105627895
64,87,0.847993340904,36938.5899298,Special Use Park,SU,15,Herron Hill Tennis Courts,Herron Hill Tennis Courts,Herron Hill Tennis Courts,x, , , , , , ,36938.58984375,779.549942740541
65,89,5.10805001167,222506.658509,Neighborhood Park,NP,12,Heth's Park,Heth's Park,Heth's Park, ,x, , , , , ,222506.66784668,2181.06130756583
66,91,377.909057199,16461718.5316,Regional Park,RP,12,Highland Park,Highland Park,Highland Park, ,x, , , , , ,16461718.5438843,107319.676944351
67,92,2.68816500892,117096.467788,Neighborhood Park,NP,11,Homewood Park,Homewood Park,Homewood Park, ,x, ,x, , , ,117096.467895508,1360.90801944517
