Geo_FIPS,StateFIPS,CountyFIPS,TractFIPS,BlockgroupFIPS,TotalPopEst2015_19ACS,YearOfStartDate,UnderAge1PopEst2015_19ACS,Age0to17PopEst2015_19ACS,Unique0to17WithED_Visit,Unique0to17WithED_VisitPer100,NumberED_VisitsAge0to17,ED_VisitsPer100Age0to17,NumberLowAcuityED_VisitsAge0to17,LowAcuityED_VisitsPer100Age0to17,NumberAsthmaRelatedED_Visits,AsthmaRelatedED_VisitsPer100Age0to17,NumberED_VisitsByChildrenUnder1YearOld,NumberOfInjuryRelatedVisits,InjuryRelatedEDVisitsPer100Age0to17,NumberAcuteRespiratoryTractInfectionRelatedED_VisitsAge0to17,AcuteRespiratoryTractInfectionRelatedED_VisitsPer100Age0to17
420031301002,42,3,130100,2,518,2016.0,9.4,207,70.0,33.8,122.0,58.9,62.0,30.0,40.0,19.3,14.0,1.0,0.5,18.0,8.7
420031301002,42,3,130100,2,518,2017.0,9.4,207,69.0,33.3,130.0,62.8,80.0,38.6,54.0,26.1,11.0,1.0,0.5,27.0,13.0
420031301002,42,3,130100,2,518,2018.0,9.4,207,66.0,31.9,138.0,66.7,85.0,41.1,59.0,28.5,13.0,2.0,1.0,19.0,9.2
420031301002,42,3,130100,2,518,2019.0,9.4,207,66.0,31.9,148.0,71.5,96.0,46.4,68.0,32.9,7.0,,0.0,27.0,13.0
420031301003,42,3,130100,3,489,2016.0,0.0,134,38.0,28.4,71.0,53.0,39.0,29.1,13.0,9.7,12.0,2.0,1.5,10.0,7.5
420031301003,42,3,130100,3,489,2017.0,0.0,134,35.0,26.1,93.0,69.4,59.0,44.0,31.0,23.1,19.0,1.0,0.7,15.0,11.2
420031301003,42,3,130100,3,489,2018.0,0.0,134,51.0,38.1,86.0,64.2,56.0,41.8,23.0,17.2,9.0,1.0,0.7,15.0,11.2
420031301003,42,3,130100,3,489,2019.0,0.0,134,43.0,32.1,80.0,59.7,62.0,46.3,18.0,13.4,6.0,1.0,0.7,14.0,10.4
420031302001,42,3,130200,1,307,2016.0,0.0,49,60.0,122.4,99.0,202.0,41.0,83.7,45.0,91.8,9.0,,0.0,24.0,49.0
420031302001,42,3,130200,1,307,2017.0,0.0,49,68.0,138.8,134.0,273.5,70.0,142.9,65.0,132.7,30.0,,0.0,36.0,73.5
