age_group,population_percent,age_count,total_Confirmed,age_group_percent,age_group_deceased,total_deceased,deceased_percent,REPORT_BEGIN_DATE,REPORT_END_DATE,LOADED,ObjectId
0,6.3,695,12457,5.58,0,69,0.0,2022/08/14 04:00:00+00,2022/10/08 04:00:00+00,2022/10/09 10:25:00+00,1
5,6.1,597,12457,4.79,0,69,0.0,2022/08/14 04:00:00+00,2022/10/08 04:00:00+00,2022/10/09 10:25:00+00,2
10,6.2,746,12457,5.99,0,69,0.0,2022/08/14 04:00:00+00,2022/10/08 04:00:00+00,2022/10/09 10:25:00+00,3
15,6.0,750,12457,6.02,0,69,0.0,2022/08/14 04:00:00+00,2022/10/08 04:00:00+00,2022/10/09 10:25:00+00,4
20,6.3,760,12457,6.1,0,69,0.0,2022/08/14 04:00:00+00,2022/10/08 04:00:00+00,2022/10/09 10:25:00+00,5
25,7.8,877,12457,7.04,0,69,0.0,2022/08/14 04:00:00+00,2022/10/08 04:00:00+00,2022/10/09 10:25:00+00,6
30,7.0,936,12457,7.51,0,69,0.0,2022/08/14 04:00:00+00,2022/10/08 04:00:00+00,2022/10/09 10:25:00+00,7
35,6.4,846,12457,6.79,0,69,0.0,2022/08/14 04:00:00+00,2022/10/08 04:00:00+00,2022/10/09 10:25:00+00,8
40,6.1,824,12457,6.61,1,69,1.45,2022/08/14 04:00:00+00,2022/10/08 04:00:00+00,2022/10/09 10:25:00+00,9
45,6.2,736,12457,5.91,1,69,1.45,2022/08/14 04:00:00+00,2022/10/08 04:00:00+00,2022/10/09 10:25:00+00,10
50,6.5,800,12457,6.42,0,69,0.0,2022/08/14 04:00:00+00,2022/10/08 04:00:00+00,2022/10/09 10:25:00+00,11
55,7.0,733,12457,5.88,0,69,0.0,2022/08/14 04:00:00+00,2022/10/08 04:00:00+00,2022/10/09 10:25:00+00,12
60,6.5,757,12457,6.08,1,69,1.45,2022/08/14 04:00:00+00,2022/10/08 04:00:00+00,2022/10/09 10:25:00+00,13
65,5.4,679,12457,5.45,7,69,10.14,2022/08/14 04:00:00+00,2022/10/08 04:00:00+00,2022/10/09 10:25:00+00,14
70,3.8,580,12457,4.66,10,69,14.49,2022/08/14 04:00:00+00,2022/10/08 04:00:00+00,2022/10/09 10:25:00+00,15
75,2.5,492,12457,3.95,12,69,17.39,2022/08/14 04:00:00+00,2022/10/08 04:00:00+00,2022/10/09 10:25:00+00,16
80,1.9,307,12457,2.46,12,69,17.39,2022/08/14 04:00:00+00,2022/10/08 04:00:00+00,2022/10/09 10:25:00+00,17
85,2.0,342,12457,2.75,25,69,36.23,2022/08/14 04:00:00+00,2022/10/08 04:00:00+00,2022/10/09 10:25:00+00,18
