                                                   Percentage of Fast-Track Receipts,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
                                                                                For,,,,,
"                     Fiscal Year 2010 (September 26, 2009 through September 24, 2010)1",,,,,
,,,,,
State2,State Abbreviation,Region,Total Fast-Track Receipts3,Total DDS Electronic Receipts4,% of Fast-Track Receipts
Alabama,AL,Atlanta,"2,508","74,232",3.40%
Alaska,AK,Seattle,266,"4,665",5.70%
Arizona,AZ,San Francisco,"1,928","45,918",4.20%
Arkansas5,AR,Dallas,"1,519","49,094",3.10%
California,CA,San Francisco,"11,672","285,323",4.10%
Colorado,CO,Denver,"1,901","33,709",5.60%
Connecticut,CT,Boston,"1,222","26,329",4.60%
Delaware,DE,Philadelphia,374,"8,792",4.30%
District of Columbia,DC,Philadelphia,212,"8,095",2.60%
Florida,FL,Atlanta,"9,029","201,065",4.50%
Georgia,GA,Atlanta,"3,637","107,402",3.40%
Guam,GU,San Francisco,67,860,7.80%
Hawaii,HI,San Francisco,418,"8,221",5.10%
Idaho,ID,Seattle,556,"13,374",4.20%
Illinois,IL,Chicago,"5,501","108,182",5.10%
Indiana,IN,Chicago,"3,001","70,395",4.30%
Iowa,IA,Kansas City,"1,350","23,770",5.70%
Kansas,KS,Kansas City,"1,357","21,941",6.20%
Kentucky,KY,Atlanta,"2,147","66,496",3.20%
Louisiana,LA,Dallas,"2,556","68,769",3.70%
Maine,ME,Boston,584,"14,058",4.20%
Maryland,MD,Philadelphia,"2,012","51,520",3.90%
Massachusetts,MA,Boston,"2,418","57,283",4.20%
Michigan,MI,Chicago,"4,587","115,801",4.00%
Minnesota,MN,Chicago,"2,140","39,381",5.40%
Mississippi5,MS,Atlanta,"1,916","53,020",3.60%
Missouri,MO,Kansas City,"3,165","81,705",3.90%
Montana,MT,Denver,364,"8,200",4.40%
Nebraska,NE,Kansas City,659,"12,641",5.20%
Nevada,NV,San Francisco,"1,001","18,140",5.50%
New Hampshire,NH,Boston,444,"10,236",4.30%
New Jersey,NJ,New York,"3,307","52,053",6.40%
New Mexico,NM,Dallas,888,"21,381",4.20%
New York,NY,New York,"8,589","173,870",4.90%
North Carolina,NC,Atlanta,"4,420","107,053",4.10%
North Dakota,ND,Denver,252,"3,843",6.60%
Ohio,OH,Chicago,"4,904","132,806",3.70%
Oklahoma5,OK,Dallas,"1,633","44,787",3.60%
Oregon,OR,Seattle,"1,531","33,616",4.60%
Pennsylvania,PA,Philadelphia,"5,235","129,630",4.00%
Puerto Rico,PR,New York,526,"25,639",2.10%
Rhode Island,RI,Boston,498,"11,202",4.40%
South Carolina,SC,Atlanta,"2,272","51,401",4.40%
South Dakota,SD,Denver,364,"6,015",6.10%
Tennessee,TN,Atlanta,"3,330","84,540",3.90%
Texas,TX,Dallas,"9,336","239,951",3.90%
Utah,UT,Denver,838,"14,220",5.90%
Vermont,VT,Boston,346,"5,479",6.30%
Virgin Islands,VI,New York,22,348,6.30%
Virginia5,VA,Philadelphia,"3,338","65,289",5.10%
Washington,WA,Seattle,"2,478","53,778",4.60%
West Virginia,WV,Philadelphia,"1,008","26,398",3.80%
Wisconsin,WI,Chicago,"2,677","50,474",5.30%
Wyoming,WY,Denver,267,"3,688",7.20%
Federal Sites/Non-State DDS,FD,,350,"9,749",3.60%
National1,,,"128,920","3,035,827",4.20%
,,,,,
" 1Since the percentage of fast-track cases represent data for the reporting fiscal year 2010, it will not be the same as the percentage of initial disability",,,,,
  claims identified as QDD or CAL in the agency's annual performance plan (APP).  The percentage in the APP is based on data for the reporting ,,,,,
"  month of September 2010 (August 28, 2010 through September 24, 2010).  In September 2010, the QDD and CAL ""fast-track"" processes identified ",,,,,
"  4.6% of electronically filed disability claims for expedited handling, surpassing the APP goal of 4.5%.",,,,,
 2Data reflects initial disability cases received and accepted by the Disability Determination Services (DDS) and Extended Service Teams (ESTs) ,,,,,
"  within the fifty states, District of Columbia, Guam, Puerto Rico, US Virgin Islands, and Federal/Non-State sites.",,,,,
" 3Represents the number of initial disability cases identified as Quick Disability Determinations (QDD), Compassionate Allowances (CAL), or both, ",,,,,
"  that were received and accepted by the DDS, EST, or federal site within the fiscal year. ",,,,,
" 4The number of electronic cases received and accepted by a DDS,EST, or federal site.",,,,,
" 5Data includes cases received by ESTs within the state, assisting with processing the case workloads. ",,,,,
,,,,,
,,,,,
                                                   Percentage of Fast-Track Receipts,,,,,
                                                                                For,,,,,
"                     Fiscal Year 2011 (September 25, 2010 through September 30, 2011)1",,,,,
,,,,,
State2,State Abbreviation,Region,Total Fast-Track Receipts3,Total DDS Electronic Receipts4,% FT Receipts
Alabama,AL,Atlanta,"2,876","77,661",3.70%
Alaska,AK,Seattle,461,"5,177",8.90%
Arizona,AZ,San Francisco,"2,466","47,132",5.20%
Arkansas5,AR,Dallas,"1,718","46,837",3.70%
California,CA,San Francisco,"14,392","301,611",4.80%
Colorado,CO,Denver,"2,375","36,245",6.60%
Connecticut,CT,Boston,"1,410","26,850",5.30%
Delaware,DE,Philadelphia,368,"8,716",4.20%
District of Columbia,DC,Philadelphia,298,"8,480",3.50%
Florida,FL,Atlanta,"10,839","211,948",5.10%
Georgia,GA,Atlanta,"3,685","109,396",3.40%
Guam,GU,San Francisco,68,"1,019",6.70%
Hawaii,HI,San Francisco,436,"8,753",5.00%
Idaho,ID,Seattle,631,"13,350",4.70%
Illinois,IL,Chicago,"6,188","108,065",5.70%
Indiana,IN,Chicago,"3,469","72,287",4.80%
Iowa,IA,Kansas City,"1,489","24,320",6.10%
Kansas ,KS,Kansas City,"1,352","18,218",7.40%
Kentucky,KY,Atlanta,"2,359","66,187",3.60%
Louisiana,LA,Dallas,"2,777","70,028",4.00%
Maine,ME,Boston,639,"13,734",4.70%
Maryland,MD,Philadelphia,"2,445","58,644",4.20%
Massachusetts,MA,Boston,"2,776","50,435",5.50%
Michigan,MI,Chicago,"4,976","123,738",4.00%
Minnesota,MN,Chicago,"2,453","38,583",6.40%
Mississippi5,MS,Atlanta,"2,290","53,941",4.20%
Missouri,MO ,Kansas City,"3,818","82,262",4.60%
Montana,MT,Denver,354,"8,353",4.20%
Nebraska,NE,Kansas City,852,"12,647",6.70%
Nevada,NV,San Francisco,"1,255","21,780",5.80%
New Hampshire,NH,Boston,551,"11,123",5.00%
New Jersey,NJ,New York,"4,290","61,967",6.90%
New Mexico,NM,Dallas,939,"21,377",4.40%
New York,NY,New York,"11,138","169,181",6.60%
North Carolina,NC,Atlanta,"5,177","112,563",4.60%
North Dakota,ND,Denver,298,"3,919",7.60%
Ohio,OH,Chicago,"5,066","131,581",3.90%
Oklahoma5,OK,Dallas,"2,119","44,503",4.80%
