X,Y,OBJECTID,DESCRIPTION,JURISDICTION,STREET_NUMBER,STREET_NAME,CITY,ZIP,GlobalID,CreationDate,Creator,EditDate,Editor
11801218.57,7037484.081,1,HERNDON PO,TOWN OF HERNDON,590,GROVE ST,HERNDON,20170,2eb7ea0c-a448-4920-9466-4016d37d6daa,2023/11/19 06:02:51.892+00,FairfaxCounty,2023/11/19 06:02:51.892+00,FairfaxCounty
11784742.898,7007409.138,2,CHANTILLY PO,COUNTY OF FAIRFAX,4410,BROOKEFIELD CORPORATE DR,CHANTILLY,20151,babc99db-ddc4-4b84-bdb2-e9f69cf4a421,2023/11/19 06:02:51.892+00,FairfaxCounty,2023/11/19 06:02:51.892+00,FairfaxCounty
11820641.48525,6993274.98774999,3,FAIRFAX PO,CITY OF FAIRFAX,10660,PAGE AV,FAIRFAX,22030,9a83e8d9-2d3d-4265-90b8-203a0fdba3aa,2023/11/19 06:02:51.892+00,FairfaxCounty,2023/11/19 06:02:51.892+00,FairfaxCounty
11832609.543,6995191.487,4,TURNPIKE PO,CITY OF FAIRFAX,3601,PICKETT RD,FAIRFAX,22031,8d72edf8-e610-45db-9029-fdc9948805e5,2023/11/19 06:02:51.892+00,FairfaxCounty,2023/11/19 06:02:51.892+00,FairfaxCounty
11842022.723,7023971.545,5,WEST MCLEAN PO,COUNTY OF FAIRFAX,1544,SPRING HILL RD,TYSONS,22102,46c15219-ee75-4853-b71c-b98627b20a8b,2023/11/19 06:02:51.892+00,FairfaxCounty,2023/11/19 06:02:51.892+00,FairfaxCounty
11851489.5195,6942487.1575,6,LORTON PO,COUNTY OF FAIRFAX,7726,GUNSTON PLZ,LORTON,22079,3a76932b-74af-479b-aab8-167aaeaec3b7,2023/11/19 06:02:51.892+00,FairfaxCounty,2023/11/19 06:02:51.892+00,FairfaxCounty
11871993.909,6936362.63725001,7,FORT BELVOIR PO,FORT BELVOIR,5875,21ST ST,FORT BELVOIR,22060,d62e57d5-8f1c-4069-95f2-d5f9fe33b04a,2023/11/19 06:02:51.892+00,FairfaxCounty,2023/11/19 06:02:51.892+00,FairfaxCounty
11885444.45775,6945700.48125,8,MOUNT VERNON PO,COUNTY OF FAIRFAX,3500T,MOUNT VERNON MEMORIAL HWY,MOUNT VERNON,22121,25f8e53b-7f5e-4084-974d-9322be222d70,2023/11/19 06:02:51.892+00,FairfaxCounty,2023/11/19 06:02:51.892+00,FairfaxCounty
11815793.403,7030220.70100001,9,RESTON PO,COUNTY OF FAIRFAX,11110,SUNSET HILLS RD,RESTON,20190,7e80f9ed-8d5e-488d-b8a8-ad59301931a8,2023/11/19 06:02:51.892+00,FairfaxCounty,2023/11/19 06:02:51.892+00,FairfaxCounty
11842983.989,7003206.868,10,MERRIFIELD PO,COUNTY OF FAIRFAX,8409,LEE HWY,MERRIFIELD,22116,46fd40e2-35d2-48f4-a603-4272e686d854,2023/11/19 06:02:51.892+00,FairfaxCounty,2023/11/19 06:02:51.892+00,FairfaxCounty
11862066.15725,7002684.38,11,MOSBY FINANCE UNIT PO,COUNTY OF FAIRFAX,6533,ARLINGTON BLVD,FALLS CHURCH,22042,55834972-c4ef-4f74-a3e8-ea9d9cf661ad,2023/11/19 06:02:51.892+00,FairfaxCounty,2023/11/19 06:02:51.892+00,FairfaxCounty
11867053.76725,7001553.07350001,12,SEVEN CORNERS PO,COUNTY OF FAIRFAX,6375,SEVEN CORNERS CTR,FALLS CHURCH,22044,c65f399e-60ba-4b99-b761-7aca9c5be0b6,2023/11/19 06:02:51.892+00,FairfaxCounty,2023/11/19 06:02:51.892+00,FairfaxCounty
11833319.775,7013304.682,13,VIENNA PO,TOWN OF VIENNA,200,LAWYERS RD NW,VIENNA,22180,99c3d492-a02c-4471-9ca6-7fd671b5b552,2023/11/19 06:02:51.892+00,FairfaxCounty,2023/11/19 06:02:51.892+00,FairfaxCounty
11845801.215,7012466.676,14,DUNN LORING PO,COUNTY OF FAIRFAX,2302,GALLOWS RD,DUNN LORING,22027,d6d3fdbc-22c7-4dad-b1b8-a343196ce985,2023/11/19 06:02:51.892+00,FairfaxCounty,2023/11/19 06:02:51.892+00,FairfaxCounty
11858300.435,7026514.33175001,16,McLEAN PO,COUNTY OF FAIRFAX,6841,ELM ST,MCLEAN,22101,375519ab-90fd-4ed1-82ad-5051dc2935aa,2023/11/19 06:02:51.892+00,FairfaxCounty,2023/11/19 06:02:51.892+00,FairfaxCounty
