oshpd_id9,BigLanguageGroup,LanguageGroup,PLS_DESCRIPTION,NumberofEncounters,AnnotationforNumberofEncounters
106010735,Other Languages,African Languages,Yoruba,1,1 indicates <30 encounters
106010735,Other Languages,African Languages,Igbo,1,1 indicates <30 encounters
106010735,Other Languages,African Languages,Swahili,1,1 indicates <30 encounters
106010735,Other Languages,Asian/Pacfic Islander Languages,Urdu,1,1 indicates <30 encounters
106010735,Other Languages,Asian/Pacfic Islander Languages,Hindi,1,1 indicates <30 encounters
106010735,Other Languages,Asian/Pacfic Islander Languages,Mongolian,1,1 indicates <30 encounters
106010735,Other Languages,Asian/Pacfic Islander Languages,Mien; lu Mien,1,1 indicates <30 encounters
106010735,Other Languages,Asian/Pacfic Islander Languages,Malayalam,1,1 indicates <30 encounters
106010735,Other Languages,Asian/Pacfic Islander Languages,Hmong,1,1 indicates <30 encounters
106010735,Other Languages,Asian/Pacfic Islander Languages,Mandarin,50,
106010735,Other Languages,Asian/Pacfic Islander Languages,Tonga,1,1 indicates <30 encounters
106010735,Other Languages,Asian/Pacfic Islander Languages,Mon-Khmer,1,1 indicates <30 encounters
106010735,Other Languages,Asian/Pacfic Islander Languages,Tagalog,99,
106010735,Other Languages,Asian/Pacfic Islander Languages,Cantonese; Yue Chinese,331,
106010735,Other Languages,Asian/Pacfic Islander Languages,Chinese,1,1 indicates <30 encounters
106010735,Other Languages,Asian/Pacfic Islander Languages,Korean,33,
106010735,Other Languages,Asian/Pacfic Islander Languages,Japanese,1,1 indicates <30 encounters
106010735,Other Languages,Asian/Pacfic Islander Languages,Lao,1,1 indicates <30 encounters
106010735,Other Languages,Asian/Pacfic Islander Languages,Telugu,1,1 indicates <30 encounters
106010735,Other Languages,Asian/Pacfic Islander Languages,Thai,1,1 indicates <30 encounters
106010735,Other Languages,Asian/Pacfic Islander Languages,Vietnamese,147,
106010735,Other Languages,Asian/Pacfic Islander Languages,Nepali,1,1 indicates <30 encounters
106010735,Other Languages,Asian/Pacfic Islander Languages,Panjabi; Punjabi,1,1 indicates <30 encounters
106010735,English Language,English Language,English,"12,340",
106010735,Other Languages,European Languages,Croatian,1,1 indicates <30 encounters
106010735,Other Languages,European Languages,Bosnian,1,1 indicates <30 encounters
106010735,Other Languages,European Languages,Lithuanian,1,1 indicates <30 encounters
106010735,Other Languages,European Languages,French,1,1 indicates <30 encounters
106010735,Other Languages,European Languages,Hungarian,1,1 indicates <30 encounters
106010735,Other Languages,European Languages,Italian,1,1 indicates <30 encounters
