NDC1,NDC2,NDC3,NDC-11,FDA Name(Product Name),COD Status,FDA Application Number/OTC Monograph Number,Drug Category,Drug Type,Unit Type,UPPS,Line Extension,TEC Code,FDA Approval Date,Market Date,Date Transferred From DDR to MDR,Termination Date
23.0,7151.0,60.0,23715160.0,REFRESH OPTIVE MEGA-3,10.0,PART349,N,2.0,ML ,24.0,,NR,08/22/2008,05/30/2017,07/27/2021,
121.0,649.0,5.0,121064905.0,CIMETIDINE HYDROCHLORIDE ORAL SOLUTION,1.0,0074553,N,1.0,ML ,5.0,,AA,07/30/1996,09/01/1996,07/29/2021,
121.0,649.0,40.0,121064940.0,CIMETIDINE HYDROCHLORIDE ORAL SOLUTION,1.0,0074553,N,1.0,ML ,5.0,,AA,07/30/1996,09/01/1996,07/29/2021,
121.0,898.0,5.0,121089805.0,Atovaquone Oral Suspension USP,1.0,0210692,N,1.0,ML ,5.0,,AB,10/11/2018,10/11/2018,07/29/2021,
121.0,898.0,18.0,121089818.0,Atovaquone Oral Suspension USP,1.0,0210692,N,1.0,ML ,5.0,,AB,10/11/2018,10/11/2018,07/29/2021,
121.0,898.0,42.0,121089842.0,Atovaquone Oral Suspension USP,1.0,0210692,N,1.0,ML ,5.0,,AB,10/11/2018,10/11/2018,07/29/2021,
121.0,902.0,4.0,121090204.0,PrednisoLONE Sodium Phosphate Oral Solution,1.0,0075988,N,1.0,ML ,120.0,,AA,05/25/2004,05/25/2004,07/29/2021,
121.0,1298.0,40.0,121129840.0,CIMETIDINE HYDROCHLORIDE ORAL SOLUTION,1.0,0074553,N,1.0,ML ,6.67,,AA,07/30/1996,09/01/1996,07/29/2021,
121.0,1298.0,93.0,121129893.0,CIMETIDINE HYDROCHLORIDE ORAL SOLUTION,1.0,0074553,N,1.0,ML ,6.67,,AA,07/30/1996,09/01/1996,07/29/2021,
143.0,9091.0,1.0,143909101.0,Doxorubicin HCL Inj USP 200mg/100mL x 1 (NovaPlus),1.0,0064097,N,1.0,ML ,100.0,,AP,09/13/1994,05/20/1996,07/30/2021,
143.0,9299.0,1.0,143929901.0,"GANCICLOVIR for Injection USP, 500 mg (IP)",1.0,0076222,N,1.0,EA ,1.0,,NR,07/16/2003,06/17/2021,07/30/2021,
143.0,9299.0,10.0,143929910.0,"GANCICLOVIR for Injection USP, 500 mg x 10",1.0,0076222,N,1.0,EA ,10.0,,NR,07/16/2003,06/17/2021,07/30/2021,
254.0,2053.0,1.0,254205301.0,Chlorzoxazone Tablets USP 375mg 100,1.0,0212743,N,1.0,TAB,1.0,,AB,11/02/2020,06/17/2021,07/30/2021,
642.0,7471.0,1.0,642747101.0,TYBLUME TABLETS,3.0,0209405,S,1.0,EA ,28.0,,NR,03/30/2020,06/16/2021,07/28/2021,
781.0,3474.0,32.0,781347432.0,CARMUSTINE FOR INJ W/ DILUENT,1.0,0211202,N,1.0,EA ,1.0,,AP,03/12/2021,06/17/2021,07/27/2021,
781.0,9227.0,75.0,781922775.0,PHENYLEPHRINE HCL INJ NOVAPLUS,1.0,0208905,N,1.0,ML ,5.0,,AP,01/31/2019,09/06/2019,07/27/2021,
781.0,9227.0,95.0,781922795.0,PHENYLEPHRINE HCL INJ NOVAPLUS,1.0,0208905,N,1.0,ML ,5.0,,AP,01/31/2019,09/06/2019,07/27/2021,
781.0,9228.0,70.0,781922870.0,PHENYLEPHRINE HCL INJ NOVAPLUS,1.0,0208905,N,1.0,ML ,10.0,,AP,01/31/2019,09/06/2019,07/27/2021,
832.0,1410.0,3.0,832141003.0,MOXIFLOXACIN HYDROCHLORIDE EQ 0.5%,1.0,0212616,N,1.0,ML ,3.0,,AT,02/10/2021,06/01/2021,07/27/2021,
11527.0,735.0,16.0,11527073516.0,SODIUM FLUORIDE RINSE 0.2%,7.0,       ,N,1.0,ML ,473.0,,NR,04/15/2021,06/01/2021,07/30/2021,
13107.0,83.0,1.0,13107008301.0,Lorazepam Tablets 0.5 mg - 100/Bottle,1.0,0203572,N,1.0,TAB,100.0,,NR,12/22/2017,08/01/2018,07/26/2021,
13107.0,84.0,1.0,13107008401.0,Lorazepam Tablets 1 mg - 100/Bottle,1.0,0203572,N,1.0,TAB,100.0,,NR,12/22/2017,08/01/2018,07/26/2021,
16729.0,44.0,15.0,16729004415.0,"Atorvastatin Calcium Tabs, 10 mg, 90 count",1.0,0207687,N,1.0,TAB,1.0,,AB,03/30/2018,08/02/2018,07/30/2021,
16729.0,45.0,15.0,16729004515.0,"Atorvastatin Calcium Tabs, 20 mg, 90 count",1.0,0207687,N,1.0,TAB,1.0,,AB,03/30/2018,08/06/2018,07/30/2021,
16729.0,46.0,15.0,16729004615.0,"Atorvastatin Calcium Tabs, 40 mg, 90 count",1.0,0207687,N,1.0,TAB,1.0,,AB,03/30/2018,08/06/2018,07/30/2021,
16729.0,47.0,15.0,16729004715.0,"Atorvastatin Calcium Tabs, 80 mg, 90 count",1.0,0207687,N,1.0,TAB,1.0,,AB,03/30/2018,08/06/2018,07/30/2021,
17478.0,415.0,1.0,17478041501.0,"Ephedrine Sulfate Injection, USP 50 mg/mL",3.0,0208609,I,1.0,ML ,1.0,,AP,03/01/2017,02/01/2018,07/29/2021,
23155.0,19.0,1.0,23155001901.0,"Sulfasalazine 500mg tabs, 100ct",1.0,0080197,N,1.0,TAB,1.0,,NR,09/30/1990,06/09/2021,07/28/2021,
