NDC1,NDC2,NDC3,Labeler Name,Labeler Status,FDA Name,COD Status,FDA Application Number/OTC Monograph Number,Drug Category,Drug Type,Line Extension,FDA Approval Date,Market Date,Unit Type,Units Per Package Size,Therapeutic Equivalent Code,5i Indicator,Purchased Product Date,Coverage Effective Date,Drug Termination Date,Drug Reactivation Date,Date Reported to CMS
69,1031,30,PFIZER LABORATORIES DIV PFIZER INC,Active,TALZENNA 0.1MG CAP 1X30 40CC BTL US,3,211651,S,1,Y,10/16/2018,6/29/2023,CAP,1,NR,N,,6/29/2023,,,7/5/2023
69,1235,30,PFIZER LABORATORIES DIV PFIZER INC,Active,TALZENNA 0.35MG CAP 1X30 40CC BTL US,3,211651,S,1,Y,10/16/2018,6/29/2023,CAP,1,NR,N,,6/29/2023,,,7/5/2023
69,3500,1,PFIZER LABORATORIES DIV PFIZER INC,Active,ZAVZPRET 10MG NASAL SPRAY GVL (IP),3,216386,S,1,N,3/9/2023,6/28/2023,EA,1,NR,Y,,6/28/2023,,,7/5/2023
69,3500,2,PFIZER LABORATORIES DIV PFIZER INC,Active,ZAVZPRET 10MG NASAL SPRAY 1X6 GVL,3,216386,S,1,N,3/9/2023,6/28/2023,EA,6,NR,Y,,6/28/2023,,,7/5/2023
43386,917,1,"LUPIN PHARMACEUTICALS, INC.",Active,Potassium Chloride Tabs 20 mEq x 100ct,1,206347,N,1,N,1/21/2016,12/27/2017,TAB,100,AB,N,,12/27/2017,8/3/2021,,7/5/2023
43598,78,11,"DR. REDDY'S LABORATORIES, INC.",Active,Enalaprilat Inj USP 1.25mg/mL SDV,1,75578,N,1,N,8/22/2000,6/29/2023,ML,1,AP,Y,6/29/2023,6/29/2023,,,7/5/2023
43598,78,58,"DR. REDDY'S LABORATORIES, INC.",Active,Enalaprilat Inj USP 1.25mg/mL SDV x 10,1,75578,N,1,N,8/22/2000,6/29/2023,ML,10,AP,Y,6/29/2023,6/29/2023,,,7/5/2023
43598,169,11,"DR. REDDY'S LABORATORIES, INC.",Active,"Enalaprilat Inj, USP 2.5mg/2ml 1 USA",1,75578,N,1,N,8/22/2000,6/29/2023,ML,2,AP,Y,6/29/2023,6/29/2023,,,7/5/2023
43598,169,58,"DR. REDDY'S LABORATORIES, INC.",Active,"Enalaprilat Inj, USP 2.5mg/2ml 10's USA",1,75578,N,1,N,8/22/2000,6/29/2023,ML,20,AP,Y,6/29/2023,6/29/2023,,,7/5/2023
55150,116,10,Eugia US LLC,Active,Ampicillin & Sulbactam for Injection 1.5g - 10s - PREMIERProRx,1,90349,N,1,N,2/10/2012,9/13/2012,EA,10,AP,Y,,9/13/2012,,,7/5/2023
55150,117,10,Eugia US LLC,Active,Ampicillin & Sulbactam for Injection 3g - 10s - PREMIERProRx,1,90349,N,1,N,2/10/2012,9/13/2012,EA,10,AP,Y,,9/13/2012,,,7/5/2023
55150,118,1,Eugia US LLC,Active,Ampicillin & Sulbactam for Injection 15g - 1s - PREMIERProRx,1,90339,N,1,N,2/10/2012,9/13/2012,EA,5,AP,Y,,9/13/2012,,,7/5/2023
55150,314,1,Eugia US LLC,Active,"Methylprednisolone Acetate Injectable Suspension USP, MDV 40",1,211930,N,1,N,4/13/2023,6/26/2023,ML,5,AP,Y,,6/26/2023,,,7/5/2023
55150,392,1,Eugia US LLC,Active,Bendamustine Hydrochloride for Injection 100 mg/vial 1's,1,214739,N,1,N,6/5/2023,6/29/2023,EA,1,AP,Y,,6/29/2023,,,7/5/2023
55150,425,1,Eugia US LLC,Active,Diltiazem Hydrochloride 25mg/5mL,1,216552,N,1,N,3/29/2023,6/13/2023,ML,5,AP,Y,,6/13/2023,,,7/5/2023
55150,425,10,Eugia US LLC,Active,Diltiazem Hydrochloride 25mg/5mL - 10s,1,216552,N,1,N,3/29/2023,6/13/2023,ML,50,AP,Y,,6/13/2023,,,7/5/2023
55150,426,1,Eugia US LLC,Active,Diltiazem Hydrochloride 50mg/10mL,1,216552,N,1,N,3/29/2023,6/28/2023,ML,10,AP,Y,,6/28/2023,,,7/5/2023
55150,426,10,Eugia US LLC,Active,Diltiazem Hydrochloride 50mg/10mL - 10s,1,216552,N,1,N,3/29/2023,6/28/2023,ML,100,AP,Y,,6/28/2023,,,7/5/2023
55150,427,1,Eugia US LLC,Active,Diltiazem Hydrochloride 125mg/25mL,1,216552,N,1,N,3/29/2023,6/13/2023,ML,25,AP,Y,,6/13/2023,,,7/5/2023
55150,427,10,Eugia US LLC,Active,Diltiazem Hydrochloride 125mg/25mL - 10s,1,216552,N,1,N,3/29/2023,6/13/2023,ML,250,AP,Y,,6/13/2023,,,7/5/2023
55150,459,1,Eugia US LLC,Active,Carboprost Tromethamine Injection 250mcg/mL,1,216939,N,1,N,5/25/2023,6/29/2023,ML,1,AP,Y,,6/29/2023,,,7/5/2023
55150,459,10,Eugia US LLC,Active,Carboprost Tromethamine Injection 250mcg/mL - 10s,1,216939,N,1,N,5/25/2023,6/29/2023,ML,10,AP,Y,,6/29/2023,,,7/5/2023
