OBJECTID,TYPE,QUPOLY_CD,QUATGEOL,SHAPE_Length,SHAPE_Area
1,head,Clf-p,Glacial Lake Connecticut Submerged Lacustrine Fan Deposits Proximal Facies,2167.70658712943,371791.110953176
2,head,Clf-p,Glacial Lake Connecticut Submerged Lacustrine Fan Deposits Proximal Facies,1742.12885030458,239264.323357033
3,tail,Clf-d,Glacial Lake Connecticut Submerged Lacustrine Fan Deposits Distal Facies,4154.04900816976,1073861.53322052
4,tail,Clf-d,Glacial Lake Connecticut Submerged Lacustrine Fan Deposits Distal Facies,3279.07588956688,701879.667778553
5,head,Clf-p,Glacial Lake Connecticut Submerged Lacustrine Fan Deposits Proximal Facies,2784.04910264165,614345.061806738
6,tail,Clf-d,Glacial Lake Connecticut Submerged Lacustrine Fan Deposits Distal Facies,6624.79399130199,2848646.68772208
7,head,Clf-p,Glacial Lake Connecticut Submerged Lacustrine Fan Deposits Proximal Facies,1535.13217309473,185388.864067933
8,tail,Clf-d,Glacial Lake Connecticut Submerged Lacustrine Fan Deposits Distal Facies,3171.59959740923,663377.405053333
9,head,Clf-p,Glacial Lake Connecticut Submerged Lacustrine Fan Deposits Proximal Facies,4906.72404743244,1183933.6166049
10,head,Clf-p,Glacial Lake Connecticut Submerged Lacustrine Fan Deposits Proximal Facies,1608.24573563082,203108.427218925
11,head,Clf-p,Glacial Lake Connecticut Submerged Lacustrine Fan Deposits Proximal Facies,1311.59265915677,134391.533287162
12,tail,Clf-d,Glacial Lake Connecticut Submerged Lacustrine Fan Deposits Distal Facies,4603.92613851378,1324471.2035178
13,tail,Clf-d,Glacial Lake Connecticut Submerged Lacustrine Fan Deposits Distal Facies,6350.01037059233,2300869.63402936
14,head,Clf-p,Glacial Lake Connecticut Submerged Lacustrine Fan Deposits Proximal Facies,590.718505528416,25771.2941399803
15,tail,Clf-d,Glacial Lake Connecticut Submerged Lacustrine Fan Deposits Distal Facies,1408.27930448968,145291.209090417
16,tail,Clf-d,Glacial Lake Connecticut Submerged Lacustrine Fan Deposits Distal Facies,6568.99594317717,2045735.82527313
17,head,Clf-p,Glacial Lake Connecticut Submerged Lacustrine Fan Deposits Proximal Facies,967.875915186791,72220.5886165116
18,tail,Clf-d,Glacial Lake Connecticut Submerged Lacustrine Fan Deposits Distal Facies,2424.80265764979,398333.298173374
19,head,Clf-p,Glacial Lake Connecticut Submerged Lacustrine Fan Deposits Proximal Facies,3984.18171051729,650213.78605855
20,head,Clf-p,Glacial Lake Connecticut Submerged Lacustrine Fan Deposits Proximal Facies,6820.80421635802,2352650.75831752
21,tail,Clf-d,Glacial Lake Connecticut Submerged Lacustrine Fan Deposits Distal Facies,3693.98040553501,871216.81165188
