OBJECTID,TYPE,QUPOLY_CD,QUATGEOL,SHAPE_Length,SHAPE_Area
1,ld,Cld,Glacial Lake Connecticut Submerged Deltaic Deposits,9255.84049262756,3947891.98482543
2,ld,Cld,Glacial Lake Connecticut Submerged Deltaic Deposits,9877.45876757206,7222783.5611345
3,ld,Cld,Glacial Lake Connecticut Submerged Deltaic Deposits,39412.6012069341,26691885.6411842
4,ld,Cld,Glacial Lake Connecticut Submerged Deltaic Deposits,68816.4079925945,92476975.6405313
5,ld,Cld,Glacial Lake Connecticut Submerged Deltaic Deposits,23401.6875990165,12981535.2266905
6,ld,Cld,Glacial Lake Connecticut Submerged Deltaic Deposits,175023.222620223,374599407.252131
7,ld,Cld,Glacial Lake Connecticut Submerged Deltaic Deposits,39071.2533999589,39862519.6864444
8,ld,Cld,Glacial Lake Connecticut Submerged Deltaic Deposits,952.131352402953,64743.0917194592
9,ld,Cld,Glacial Lake Connecticut Submerged Deltaic Deposits,987.162713010414,73134.1793302127
10,ld,Cld,Glacial Lake Connecticut Submerged Deltaic Deposits,1310.48416522205,111463.402495193
11,ld,Cld,Glacial Lake Connecticut Submerged Deltaic Deposits,41297.4893658601,31805398.9031781
12,ld,Cld,Glacial Lake Connecticut Submerged Deltaic Deposits,6948.04048832468,2468453.00860033
13,ld,Cld,Glacial Lake Connecticut Submerged Deltaic Deposits,13376.4626211006,6440965.54936969
14,ld,Cld,Glacial Lake Connecticut Submerged Deltaic Deposits,14710.6748220881,12030197.6627821
15,ld,Cld,Glacial Lake Connecticut Submerged Deltaic Deposits,224023.501022161,496256003.512608
16,lv,Clb,Glacial Lake Connecticut Submerged Lake-bottom Deposits,8636.90390395253,2880370.02642426
17,ld,Cld,Glacial Lake Connecticut Submerged Deltaic Deposits,3447.09154575068,719357.799731418
18,ld,Cld,Glacial Lake Connecticut Submerged Deltaic Deposits,1055.25307909413,83156.5514117286
19,ld,Cld,Glacial Lake Connecticut Submerged Deltaic Deposits,7872.01187778797,3273045.72813945
20,ld,Cld,Glacial Lake Connecticut Submerged Deltaic Deposits,1023.63841009371,59913.744591775
21,ld,Cld,Glacial Lake Connecticut Submerged Deltaic Deposits,9731.7915746323,3955654.62419007
22,ld,Cld,Glacial Lake Connecticut Submerged Deltaic Deposits,912.118843921467,60249.8327638405
23,ld,Cld,Glacial Lake Connecticut Submerged Deltaic Deposits,1977.3580209425,244373.726875704
24,lv,Clb,Glacial Lake Connecticut Submerged Lake-bottom Deposits,9275.16733986553,5694849.53271915
25,ld,Cld,Glacial Lake Connecticut Submerged Deltaic Deposits,4611.58498410538,1108015.69205026
26,lv,Clb,Glacial Lake Connecticut Submerged Lake-bottom Deposits,29260.4391323607,20150096.4006288
27,lv,Clb,Glacial Lake Connecticut Submerged Lake-bottom Deposits,13227.748906038,8070709.39946342
28,lv,Clb,Glacial Lake Connecticut Submerged Lake-bottom Deposits,1646847.79016599,17535731636.3503
29,ld,Cld,Glacial Lake Connecticut Submerged Deltaic Deposits,2435.33305840639,333565.403822451
30,ld,Cld,Glacial Lake Connecticut Submerged Deltaic Deposits,355.715990863869,8853.14691269673
31,ld,Cld,Glacial Lake Connecticut Submerged Deltaic Deposits,11587.7881433997,5374944.91794782
32,lv,Clb,Glacial Lake Connecticut Submerged Lake-bottom Deposits,2965.54077917187,475109.333699645
33,ld,Cld,Glacial Lake Connecticut Submerged Deltaic Deposits,1620.89677730348,183025.347124385
34,lv,Clb,Glacial Lake Connecticut Submerged Lake-bottom Deposits,5934.45399800654,1286172.5277513
35,ld,Cld,Glacial Lake Connecticut Submerged Deltaic Deposits,3044.87349135075,625010.33171743
36,ld,Cld,Glacial Lake Connecticut Submerged Deltaic Deposits,36948.0269894505,57515742.7444741
37,ld,Cld,Glacial Lake Connecticut Submerged Deltaic Deposits,9580.69458854113,3005227.97399215
38,ld,Cld,Glacial Lake Connecticut Submerged Deltaic Deposits,16368.9067054493,8424268.8820887
39,ld,Cld,Glacial Lake Connecticut Submerged Deltaic Deposits,7687.77797650856,2331244.77053864
40,is,Cld,Glacial Lake Connecticut Submerged Deltaic Deposits,972682.310462438,4841575652.14294
41,ld,Cld,Glacial Lake Connecticut Submerged Deltaic Deposits,1216.67047432951,113654.299136758
42,lv,Clb,Glacial Lake Connecticut Submerged Lake-bottom Deposits,9793.28088483054,3297090.97671315
43,ld,Cld,Glacial Lake Connecticut Submerged Deltaic Deposits,17731.5905723399,10331976.4893829
44,ld,Cld,Glacial Lake Connecticut Submerged Deltaic Deposits,3741.52290793609,879623.567135255
45,lv,Clb,Glacial Lake Connecticut Submerged Lake-bottom Deposits,8842.37270594136,3517389.72791487
46,ld,Cld,Glacial Lake Connecticut Submerged Deltaic Deposits,1480.81929195763,165557.864571938
47,ld,Cld,Glacial Lake Connecticut Submerged Deltaic Deposits,16967.8002666787,13840200.9725609
48,ld,Cld,Glacial Lake Connecticut Submerged Deltaic Deposits,212897.618775615,262209637.648194
49,ld,Cld,Glacial Lake Connecticut Submerged Deltaic Deposits,94538.8412784088,338594142.779855
50,lv,Clb,Glacial Lake Connecticut Submerged Lake-bottom Deposits,470605.882787051,2401236707.15487
51,lv,Clb,Glacial Lake Connecticut Submerged Lake-bottom Deposits,16977.1409810691,18224034.0656464
