_Household_ID,Date_Added,Housing_Type,Household_Type,Household_Size,Annual_Income,ZIP_Code,OBJECTID
S1319797480HH,,Unknown,Lives with spouse,2.0,"$36,000 ",40014.0,0
S1342417103HH,,Unknown,Lives with children,4.0,"$10,800 ",40014.0,1
S1359817856HH,,Unknown,Lives with spouse,2.0,"$14,580 ",40014.0,2
S1369095057HH,,Unknown,Lives with spouse,2.0,"$17,376 ",40014.0,3
S1376529586HH,,Unknown,Lives with spouse,2.0,"$31,200 ",40014.0,4
S1381125091HH,,Unknown,Lives with spouse,2.0,"$36,000 ",40014.0,5
210885,8/7/2020 17:54,Rent/Non-Subsidized,Single Parent Female,4.0,"$65,036.16 ",40023.0,6
25547,10/11/2018 14:55,Owns Home,Two Adults No Children,2.0,"$22,464 ",40023.0,7
S1301562083HH,,Unknown,Lives with spouse,2.0,"$14,700 ",40023.0,8
S1311890310HH,,Unknown,Lives with spouse,2.0,"$14,400 ",40023.0,9
S1392589973HH,,Unknown,Lives with spouse,2.0,"$20,400 ",40023.0,10
265946,8/16/2021 20:15,Rent/Non-Subsidized,Single Person,4.0,"$68,928 ",40023.0,11
277519,11/2/2021 14:59,Rent/Non-Subsidized,Single Person,1.0,$0 ,40023.0,12
314126,11/23/2022,Rent/Non-Subsidized,Single Person,1.0,"$16,176 ",40031.0,13
S1312047320HH,,Unknown,Single Person,1.0,"$28,920 ",40041.0,14
S1324953621HH,,Unknown,Single Person,1.0,"$14,400 ",40041.0,15
S1321190844HH,,Unknown,Unknown,1.0,$0 ,40047.0,16
S1350146830HH,,Unknown,Spouse under 65,3.0,"$67,200 ",40047.0,17
S1359321218HH,,Unknown,Lives with spouse,2.0,"$12,144 ",40047.0,18
S1360891401HH,,Unknown,Lives with children,3.0,"$30,000 ",40047.0,19
S1366185939HH,,Unknown,Lives with spouse,2.0,"$36,000 ",40047.0,20
S1391222399HH,,Unknown,Spouse under 65,3.0,"$19,200 ",40047.0,21
S1321257937HH,,Unknown,Single Person,1.0,"$12,000 ",40047.0,22
139139,8/5/2019 19:38,Rent/Non-Subsidized,Single Parent Female,4.0,"$3,936 ",40059.0,23
206860,7/15/2020 19:12,Rent/Non-Subsidized,Single Parent Female,3.0,"$19,368 ",40059.0,24
214295,8/26/2020 15:09,Rent/Subsidized,Single Parent Female,4.0,"$30,654 ",40059.0,25
235777,12/11/2020 21:06,Rent/Non-Subsidized,Single Parent Male,3.0,"$26,238 ",40059.0,26
251069,3/22/2021 19:36,Rent/Non-Subsidized,Single Parent Female,3.0,"$8,753.16 ",40059.0,27
251881,3/29/2021 17:29,Owns Home,Two Adults No Children,2.0,"$18,096 ",40059.0,28
265517,8/13/2021 12:41,Rent/Non-Subsidized,Two Parent Household,4.0,"$34,905 ",40059.0,29
266015,8/17/2021 14:19,Rent/Non-Subsidized,Two Adults No Children,2.0,"$37,200 ",40059.0,30
282431,12/3/2021 17:09,Rent/Non-Subsidized,Two Parent Household,4.0,"$26,400 ",40059.0,31
322428,2/2/2023 20:26,Rent/Non-Subsidized,Two Parent Household,7.0,"$46,687.20 ",40059.0,32
51770,11/8/2018 13:14,Rent/Subsidized,Single Parent Female,6.0,"$13,680 ",40059.0,33
90626,12/11/2018 14:23,Rent/Non-Subsidized,Single Parent Female,5.0,"$27,696.60 ",40059.0,34
92904,12/12/2018 15:45,Rent/Subsidized,Single Parent Female,5.0,$0 ,40059.0,35
S1305743039HH,,Unknown,Lives with spouse,2.0,"$24,000 ",40059.0,36
S1306653196HH,,Unknown,Lives with spouse,2.0,"$60,000 ",40059.0,37
S1311777085HH,,Unknown,Lives with spouse,2.0,"$24,000 ",40059.0,38
S1331505060HH,,Unknown,Lives with spouse,2.0,"$18,000 ",40059.0,39
S1341098994HH,,Unknown,Lives with spouse,2.0,"$21,600 ",40059.0,40
S1347097687HH,,Unknown,Unknown,,,40059.0,41
S1352240794HH,,Unknown,Spouse over 65,2.0,"$36,000 ",40059.0,42
S1356768798HH,,Unknown,Lives with spouse,2.0,"$36,000 ",40059.0,43
S1371432566HH,,Unknown,Lives with spouse,2.0,"$24,000 ",40059.0,44
S1383829980HH,,Unknown,Spouse over 65,2.0,"$48,000 ",40059.0,45
S1397442727HH,,Unknown,Lives with spouse,2.0,"$24,000 ",40059.0,46
105190,1/15/2019 23:04,Rent/Non-Subsidized,Single Person,4.0,$0 ,40059.0,47
195932,5/14/2020 18:32,Rent/Non-Subsidized,Single Person,4.0,$0 ,40059.0,48
19770,10/4/2018 12:15,Owns Home,Single Person,1.0,"$5,772 ",40059.0,49
200349,6/10/2020 19:55,Rent/Non-Subsidized,Single Person,1.0,"$11,808 ",40059.0,50
229432,11/17/2020 19:45,Owns Home,Single Person,1.0,"$14,940 ",40059.0,51
246374,2/24/2021 16:53,Rent/Non-Subsidized,Single Person,1.0,"$9,900 ",40059.0,52
25920,10/11/2018 18:14,Rent/Subsidized,Single Person,1.0,"$10,968 ",40059.0,53
266351,8/19/2021 12:09,Rent/Non-Subsidized,Single Person,3.0,"$34,877.52 ",40059.0,54
268661,9/2/2021 15:59,Rent/Non-Subsidized,Single Person,1.0,"$18,516 ",40059.0,55
274881,10/15/2021 13:36,Rent/Non-Subsidized,Single Person,5.0,"$12,849.84 ",40059.0,56
332011,5/22/2023,Rent/Subsidized,Single Person,1.0,"$11,208 ",40059.0,57
338851,8/30/2023,Rent/Non-Subsidized,Single Person,1.0,$0 ,40059.0,58
340969,9/22/2023,Rent/Non-Subsidized,Single Person,1.0,$0 ,40059.0,59
S1310463118HH,,Unknown,Single Person,1.0,"$9,600 ",40059.0,60
S1323486399HH,,Unknown,Single Person,1.0,"$46,800 ",40059.0,61
S1365784346HH,,Unknown,Single Person,1.0,,40059.0,62
S1368793839HH,,Unknown,Single Person,1.0,"$28,800 ",40059.0,63
S1394120698HH,,Unknown,Single Person,1.0,"$16,800 ",40059.0,64
S1395528509HH,,Unknown,Single Person,1.0,$0 ,40059.0,65
S1332413494HH,,Unknown,Lives with spouse,2.0,"$15,948 ",40071.0,66
S1387161790HH,,Unknown,Spouse over 65,2.0,"$9,000 ",40071.0,67
S1347810876HH,,Unknown,Lives with spouse,2.0,"$14,724 ",40109.0,68
S1300315958HH,,Unknown,Single Person,1.0,"$16,800 ",40109.0,69
S1311062455HH,,Unknown,Single Person,1.0,"$12,144 ",40109.0,70
S1395388454HH,,Unknown,Single Person,1.0,$0 ,40109.0,71
102453,1/10/2019 15:40,Rent/Subsidized,Single Parent Female,2.0,"$22,416 ",40118.0,72
10277,9/24/2018 17:41,Rent/Non-Subsidized,Multigenerational Household,1.0,$0 ,40118.0,73
104619,1/15/2019 15:27,Owns Home,Multigenerational Household,4.0,$0 ,40118.0,74
105860,1/16/2019 20:23,Rent/Non-Subsidized,Single Parent Female,2.0,$0 ,40118.0,75
108921,1/23/2019 22:57,Rent/Non-Subsidized,Single Parent Female,5.0,"$18,048 ",40118.0,76
110750,1/28/2019 18:11,Owns Home,Single Parent Female,3.0,$0 ,40118.0,77
112222,1/31/2019 14:10,Rent/Non-Subsidized,Single Parent Female,3.0,$0 ,40118.0,78
113596,2/4/2019 19:22,Rent/Non-Subsidized,Single Parent Female,2.0,$0 ,40118.0,79
120880,2/28/2019 15:20,Rent/Non-Subsidized,Single Parent Male,5.0,$0 ,40118.0,80
121737,3/4/2019 21:04,Rent/Non-Subsidized,Single Parent Female,4.0,"$11,400 ",40118.0,81
125453,3/22/2019 18:12,Rent/Non-Subsidized,Multigenerational Household,5.0,"$43,904.04 ",40118.0,82
126214,3/27/2019 18:24,Rent/Subsidized,Single Parent Female,2.0,"$7,701.60 ",40118.0,83
127155,4/2/2019 15:42,Rent/Subsidized,Single Parent Male,2.0,"$10,662 ",40118.0,84
127303,4/3/2019 13:46,Rent/Non-Subsidized,Single Parent Female,3.0,"$14,400 ",40118.0,85
127331,4/3/2019 14:48,Rent/Subsidized,Single Parent Female,3.0,$0 ,40118.0,86
130198,4/15/2019 18:21,Rent/Subsidized,Single Parent Female,2.0,$0 ,40118.0,87
130234,4/15/2019 19:06,Rent/Non-Subsidized,Single Parent Female,2.0,"$9,528 ",40118.0,88
138673,8/1/2019 14:20,Rent/Non-Subsidized,Two Adults No Children,1.0,"$15,636 ",40118.0,89
155766,11/8/2019 14:27,Rent/Non-Subsidized,Single Parent Female,2.0,"$23,664 ",40118.0,90
157324,11/13/2019 19:21,Rent/Non-Subsidized,Two Parent Household,3.0,"$25,597.68 ",40118.0,91
165683,12/6/2019 15:54,Rent/Non-Subsidized,Single Parent Female,4.0,"$4,726.80 ",40118.0,92
166180,12/9/2019 14:29,Rent/Subsidized,Two Adults No Children,2.0,"$10,560 ",40118.0,93
169478,12/16/2019 15:28,Rent/Subsidized,Single Parent Female,4.0,$0 ,40118.0,94
173307,1/16/2020 13:16,Rent/Non-Subsidized,Single Parent Female,3.0,"$3,120 ",40118.0,95
174334,1/21/2020 19:01,Rent/Non-Subsidized,Single Parent Male,3.0,$0 ,40118.0,96
175362,1/24/2020 14:27,Rent/Subsidized,Single Parent Female,2.0,$0 ,40118.0,97
176101,1/28/2020 14:28,Rent/Non-Subsidized,Single Parent Female,1.0,"$36,387.24 ",40118.0,98
176252,1/28/2020 16:51,Rent/Non-Subsidized,Single Parent Female,3.0,"$5,520 ",40118.0,99
181143,2/10/2020 18:46,Rent/Non-Subsidized,Single Parent Female,3.0,$0 ,40118.0,100
184537,2/27/2020 15:23,Rent/Non-Subsidized,Two Adults No Children,2.0,$0 ,40118.0,101
185155,3/3/2020 16:04,Rent/Non-Subsidized,Single Parent Female,4.0,$0 ,40118.0,102
185809,3/9/2020 12:38,Rent/Subsidized,Single Parent Female,3.0,"$15,600 ",40118.0,103
191357,4/17/2020 13:48,Rent/Non-Subsidized,Single Parent Female,2.0,$0 ,40118.0,104
191779,4/21/2020 19:21,Rent/Non-Subsidized,Two Parent Household,4.0,"$26,004 ",40118.0,105
194591,5/5/2020 18:20,Rent/Non-Subsidized,Single Parent Female,4.0,"$18,456 ",40118.0,106
195696,5/13/2020 17:08,Rent/Non-Subsidized,Multigenerational Household,6.0,"$43,860 ",40118.0,107
200678,6/12/2020 15:17,Rent/Non-Subsidized,Single Parent Female,3.0,"$9,611.04 ",40118.0,108
202686,6/24/2020 15:13,Rent/Non-Subsidized,Single Parent Female,2.0,$0 ,40118.0,109
203013,6/25/2020 18:23,Rent/Non-Subsidized,Single Parent Female,3.0,"$20,074.56 ",40118.0,110
207014,7/16/2020 17:07,Rent/Non-Subsidized,Other,5.0,$0 ,40118.0,111
209500,7/31/2020 14:24,Owns Home,Single Parent Female,2.0,"$11,388 ",40118.0,112
210002,8/4/2020 14:00,Rent/Non-Subsidized,Two Parent Household,6.0,"$64,500 ",40118.0,113
210788,8/7/2020 14:06,Rent/Subsidized,Single Parent Female,2.0,$0 ,40118.0,114
211323,8/11/2020 14:59,Owns Home,Multigenerational Household,2.0,"$14,520 ",40118.0,115
213007,8/19/2020 17:13,Rent/Non-Subsidized,Two Parent Household,4.0,$0 ,40118.0,116
218032,9/16/2020 13:15,Rent/Non-Subsidized,Two Adults No Children,2.0,"$11,904 ",40118.0,117
220330,9/29/2020 17:25,Rent/Non-Subsidized,Single Parent Female,2.0,"$29,976 ",40118.0,118
220459,9/30/2020 13:34,Rent/Non-Subsidized,Single Parent Female,3.0,$0 ,40118.0,119
222036,10/7/2020 19:39,Rent/Non-Subsidized,Two Parent Household,3.0,"$36,876 ",40118.0,120
222365,10/9/2020 14:22,Rent/Non-Subsidized,Two Parent Household,4.0,$0 ,40118.0,121
227194,11/4/2020 20:04,Rent/Non-Subsidized,Single Parent Female,2.0,$0 ,40118.0,122
227973,11/9/2020 20:05,Rent/Non-Subsidized,Single Parent Female,1.0,"$35,424 ",40118.0,123
228419,11/11/2020 21:38,Rent/Non-Subsidized,Single Parent Female,5.0,$0 ,40118.0,124
230847,11/24/2020 17:45,Rent/Non-Subsidized,Two Adults No Children,2.0,$0 ,40118.0,125
231451,11/30/2020 18:51,Rent/Non-Subsidized,Single Parent Female,2.0,$0 ,40118.0,126
232833,12/4/2020 18:57,Rent/Non-Subsidized,Single Parent Male,3.0,$0 ,40118.0,127
234129,12/9/2020 16:17,Rent/Non-Subsidized,Single Parent Female,2.0,"$5,064 ",40118.0,128
234764,12/10/2020 18:02,Rent/Non-Subsidized,Single Parent Female,3.0,"$10,716 ",40118.0,129
236234,12/14/2020 20:41,Rent/Non-Subsidized,Single Parent Female,3.0,"$33,108.24 ",40118.0,130
237632,12/22/2020 21:35,Rent/Non-Subsidized,Single Parent Female,2.0,"$18,096 ",40118.0,131
238106,1/4/2021 14:30,Rent/Non-Subsidized,Single Parent Female,4.0,"$30,208.80 ",40118.0,132
240006,1/14/2021 16:21,Owns Home,Multigenerational Household,4.0,"$28,800 ",40118.0,133
241893,1/27/2021 17:14,Rent/Non-Subsidized,Single Parent Female,3.0,"$33,984 ",40118.0,134
242977,2/2/2021 18:14,Rent/Non-Subsidized,Single Parent Female,3.0,"$35,360.04 ",40118.0,135
