OBJECTID_12,OBJECTID,TOTAL_POPU,NAME_1,Total_population,Total_White_alone,Percent_White_alone,Total_Black_or_African_American,Percent_Black_or_African_,Total_American_Indian_and_Alask,Percent_American_Indian_a,Total_Asian_alone,Percent_Asian_alone,Total_Native_Hawaiian_and_Other,Percent_Native_Hawaiian,Shape__Area,Shape__Length
1,22,2558,3201.0,3271.0,2730.0,83.0,66.0,2.0,45.0,1.0,105.0,3.0,0.0,0.0,7034969.19921875,12447.1902239769
2,23,4946,3197.06,5698.0,2700.0,47.0,418.0,7.0,89.0,2.0,404.0,7.0,29.0,1.0,1973946.97265625,6148.98512934742
3,24,3412,3197.05,3829.0,2198.0,57.0,172.0,4.0,223.0,6.0,139.0,4.0,12.0,0.0,5535906.54296875,9505.32843194747
4,25,3232,3192.02,3357.0,2038.0,61.0,340.0,10.0,225.0,7.0,352.0,10.0,15.0,0.0,1906637.21484375,5878.71381306566
5,73,5305,3192.01,6452.0,3444.0,53.0,515.0,8.0,71.0,1.0,265.0,4.0,174.0,3.0,1906820.25390625,5849.92903751566
6,74,5102,3191.04,6790.0,3542.0,52.0,337.0,5.0,418.0,6.0,1717.0,25.0,0.0,0.0,1853193.9375,5763.56112561291
7,75,4504,3191.03,5226.0,2023.0,39.0,193.0,4.0,205.0,4.0,2186.0,42.0,20.0,0.0,1377686.82421875,5835.13443295174
8,102,4348,3197.03,4302.0,3101.0,72.0,422.0,10.0,14.0,0.0,73.0,2.0,37.0,1.0,3958508.26953125,8219.71516168073
9,136,5480,3194.01,6829.0,5458.0,80.0,385.0,6.0,77.0,1.0,274.0,4.0,47.0,1.0,3844815.359375,8035.50186572419
10,137,3333,3194.04,3682.0,3056.0,83.0,97.0,3.0,77.0,2.0,90.0,2.0,0.0,0.0,2942818.8359375,8456.88326307164
11,143,4650,3184.0,5648.0,3637.0,64.0,178.0,3.0,54.0,1.0,301.0,5.0,44.0,1.0,12418983.6835938,19059.4802496487
12,146,2420,3193.0,2833.0,1657.0,58.0,104.0,4.0,43.0,2.0,266.0,9.0,0.0,0.0,1573247.15234375,6280.8053055481
13,169,6272,8101.0,6706.0,5383.0,80.0,85.0,1.0,17.0,0.0,702.0,10.0,42.0,1.0,7376151.46484375,16082.6811830339
14,170,1711,8100.0,2517.0,1729.0,69.0,142.0,6.0,83.0,3.0,419.0,17.0,19.0,1.0,4031903.8984375,10114.7620832205
15,198,4088,3194.02,3860.0,3221.0,83.0,58.0,2.0,1.0,0.0,54.0,1.0,28.0,1.0,3770093.9140625,7669.35495515726
16,505,4790,3199.05,5487.0,4644.0,85.0,45.0,1.0,59.0,1.0,339.0,6.0,0.0,0.0,3757947.40234375,7748.48896970086
17,506,6674,3200.07,6874.0,3504.0,51.0,1038.0,15.0,842.0,12.0,609.0,9.0,16.0,0.0,2941397.6328125,7194.71031395416
18,513,5436,3196.0,6456.0,5350.0,83.0,156.0,2.0,114.0,2.0,338.0,5.0,0.0,0.0,3709401.5546875,7707.38770597992
