OBJECTID,GEOID10,B03002_001,White,AA,AI_AN_A,Asian,NHOPIA,Other,TwoRace,Hispanic,RaceEthnic,Shape__Area,Shape__Length
1,261635429001,760,0,692,0,0,0,50,0,18,Black or African American alone,3839865.26953125,9775.13891077376
2,261635428003,651,43,598,0,0,0,0,0,10,Black or African American alone,2621114.04663086,7259.73063071103
3,261635428002,1210,128,1053,0,0,0,0,29,0,Black or African American alone,3419889.37548828,7876.4851023695
4,261635428001,538,49,462,0,0,0,22,5,0,Black or African American alone,3382220.41430664,7807.61842431713
5,261635426004,669,0,669,0,0,0,0,0,0,Black or African American alone,3404186.88500977,9383.95453240452
6,261635426001,771,0,771,0,0,0,0,0,0,Black or African American alone,3236518.29882813,7311.25787894328
7,261635425002,715,15,700,0,0,0,0,0,0,Black or African American alone,2709863.86328125,8310.21879155847
8,261635425001,1076,27,1029,0,0,0,0,0,20,Black or African American alone,3262034.22509766,9337.37945716896
9,261635424003,892,52,831,0,0,0,0,9,0,Black or African American alone,2840686.94165039,7816.06755539216
10,261635424002,691,12,672,0,0,0,0,7,0,Black or African American alone,2571795.39575195,6434.81339966987
11,261635424001,652,0,634,0,0,0,0,18,0,Black or African American alone,1970418.58618164,5724.76587149458
12,261635423002,332,14,318,0,0,0,0,0,0,Black or African American alone,2752378.93652344,8197.97698790065
13,261635423001,759,0,759,0,0,0,0,0,0,Black or African American alone,2002233.13964844,5799.95673900477
14,261635154002,728,346,323,0,24,0,0,0,35,White alone,4406994.61132813,8788.30315457749
15,261635154001,918,313,507,0,20,0,16,42,20,Black or African American alone,5306129.03369141,10087.5968804556
16,261635153002,878,82,770,0,0,0,0,17,9,Black or African American alone,2019722.08325195,5780.82261306789
17,261635153001,1135,286,733,0,0,0,0,30,86,Black or African American alone,2909733.62695313,7892.872322195
18,261635152002,885,30,835,0,0,0,0,5,15,Black or African American alone,4803519.15405273,9011.62512785543
19,261635152001,1013,237,735,5,20,0,0,6,10,Black or African American alone,5200634.95751953,9353.29176385752
20,261635160004,467,44,398,0,6,0,0,8,11,Black or African American alone,3835590.8918457,9344.41916000206
21,261635160002,234,0,234,0,0,0,0,0,0,Black or African American alone,2557397.20849609,9223.55033230335
22,261635142003,649,6,626,0,0,0,0,17,0,Black or African American alone,1774500.85717773,6483.97749539906
23,261635142005,593,3,590,0,0,0,0,0,0,Black or African American alone,1742690.57543945,5882.98653188573
24,261635142004,470,0,462,8,0,0,0,0,0,Black or African American alone,1464453.19580078,6268.41922140976
25,261635159002,335,21,314,0,0,0,0,0,0,Black or African American alone,4051081.70825195,8321.40985704702
26,261635159003,454,31,418,0,3,0,0,0,2,Black or African American alone,2991136.36474609,7676.04234365954
27,261635104003,323,0,323,0,0,0,0,0,0,Black or African American alone,3502259.421875,8310.98650072287
28,261635104001,156,14,142,0,0,0,0,0,0,Black or African American alone,3844883.3046875,8110.21112507274
29,261635079004,339,23,238,0,0,0,19,0,59,Black or African American alone,2732730.34130859,7141.88053101368
30,261635079003,583,119,457,0,0,0,0,7,0,Black or African American alone,2119780.9375,7006.55581682173
31,261635079002,200,50,150,0,0,0,0,0,0,Black or African American alone,2867534.53613281,6880.43446469478
32,261635079001,541,92,437,0,0,0,0,6,6,Black or African American alone,3697589.76904297,8746.29724635605
33,261635078002,141,3,137,0,0,0,0,0,1,Black or African American alone,5045838.40917969,9851.73193340948
34,261635461004,790,63,727,0,0,0,0,0,0,Black or African American alone,2606800.64160156,7262.07471353578
35,261635461003,780,173,556,0,0,0,0,0,51,Black or African American alone,2382481.24731445,7103.42010722981
36,261635461002,933,54,768,0,0,0,0,53,58,Black or African American alone,3404070.76757813,7846.77557564136
37,261635461001,687,52,612,0,0,0,0,23,0,Black or African American alone,2618468.87524414,7250.26527641919
38,261635460004,192,42,150,0,0,0,0,0,0,Black or African American alone,2174899.73803711,5933.93288276544
39,261635460003,625,0,594,0,0,0,0,31,0,Black or African American alone,2596179.29296875,7250.4457042828
40,261635371003,904,7,844,8,8,0,0,37,0,Black or African American alone,3852463.46875,9849.28669004748
41,261635370003,1398,30,1202,0,0,0,12,154,0,Black or African American alone,3497561.43603516,7903.68426461976
42,261635370001,1159,29,1091,0,0,0,0,0,39,Black or African American alone,3476962.87451172,7908.48508727255
43,261635370002,877,22,855,0,0,0,0,0,0,Black or African American alone,3860514.77001953,8213.67978677662
44,261635376002,1279,33,1142,0,0,0,0,0,104,Black or African American alone,3184863.72753906,7741.03625346674
45,261635376003,1757,11,1715,0,20,0,0,11,0,Black or African American alone,4752938.85498047,8869.64396430526
46,261635387003,1009,9,950,0,0,0,0,50,0,Black or African American alone,5167168.20605469,9183.16183197533
47,261635397002,1079,18,1055,0,6,0,0,0,0,Black or African American alone,3917430.37890625,8894.42310620214
48,261635408001,926,33,875,7,0,0,0,5,6,Black or African American alone,9364774.40527344,12451.7173955062
49,261635403005,853,0,853,0,0,0,0,0,0,Black or African American alone,4228112.20458984,9052.9221675629
50,261635402006,653,11,642,0,0,0,0,0,0,Black or African American alone,3845836.25732422,8459.05193236144
51,261635406003,1051,8,1015,0,0,0,0,28,0,Black or African American alone,3528641.33154297,8299.63900773301
52,261635406004,1187,0,1187,0,0,0,0,0,0,Black or African American alone,3429881.19580078,9441.29856650686
53,261635384001,1098,133,953,0,0,0,0,12,0,Black or African American alone,3266388.53320313,7588.19485705266
54,261635381001,955,63,880,0,0,0,0,12,0,Black or African American alone,3959839.68359375,8344.20220510383
55,261635378003,179,0,179,0,0,0,0,0,0,Black or African American alone,2429599.58544922,7070.93728467856
56,261635378002,1221,39,1156,5,0,0,0,21,0,Black or African American alone,3918602.5012207,8633.66635845058
57,261635378001,404,0,404,0,0,0,0,0,0,Black or African American alone,2559715.3815918,6978.51255523114
58,261635377003,870,8,845,0,0,0,0,0,17,Black or African American alone,3497999.45458984,7927.27188585947
59,261635377002,763,7,715,0,0,0,9,32,0,Black or African American alone,3518356.58740234,7955.31830865917
60,261635377001,1224,23,1196,0,0,0,0,5,0,Black or African American alone,3150902.26904297,7679.95598932356
61,261635376001,552,33,423,0,0,0,0,0,96,Black or African American alone,2291526.64794922,7038.02212058515
62,261635375005,778,48,730,0,0,0,0,0,0,Black or African American alone,1737510.703125,5269.45529217214
63,261635375004,692,56,625,11,0,0,0,0,0,Black or African American alone,1728645.85400391,5260.74053592435
64,261635375003,294,2,292,0,0,0,0,0,0,Black or African American alone,1751958.66308594,6603.69695284518
65,261635375002,569,0,569,0,0,0,0,0,0,Black or African American alone,2581080.04589844,7231.63979259217
66,261635375001,478,0,478,0,0,0,0,0,0,Black or African American alone,2317639.890625,7041.25821097019
67,261635373004,579,0,539,0,0,0,0,17,23,Black or African American alone,2757313.71850586,7244.44184696632
68,261635373003,864,2,860,2,0,0,0,0,0,Black or African American alone,3151545.32519531,7293.13103766816
69,261635373001,609,0,589,0,0,0,0,20,0,Black or African American alone,3519237.90356445,9469.80794551256
70,261635372002,463,10,448,0,0,0,0,5,0,Black or African American alone,6488066.63061523,11354.1871103841
71,261635372001,409,5,382,0,0,0,18,0,4,Black or African American alone,6559578.10131836,10761.5121459159
72,261635371002,663,0,663,0,0,0,0,0,0,Black or African American alone,1993106.47900391,6442.75641406739
73,261635165001,1516,385,983,0,46,11,12,61,18,Black or African American alone,25665913.4233398,25762.6408884614
74,261635164001,480,137,312,10,13,0,0,8,0,Black or African American alone,5079177.22021484,10328.5425453685
75,261635164002,371,62,309,0,0,0,0,0,0,Black or African American alone,6011949.92626953,11405.7820139047
76,261635163001,774,76,683,0,0,0,0,4,11,Black or African American alone,6663933.33154297,10291.3147569685
77,261635162002,286,26,224,0,0,0,0,36,0,Black or African American alone,3460679.3112793,9154.21942965304
78,261635162001,554,4,546,4,0,0,0,0,0,Black or African American alone,2622603.23291016,6992.2725494692
79,261635156001,612,5,597,6,0,0,0,4,0,Black or African American alone,3425694.31225586,7543.10537865805
80,261635260002,1523,549,75,0,0,0,70,7,822,Hispanic or Latino:,7307383.3371582,11952.4579896122
81,261635317002,606,2,602,0,2,0,0,0,0,Black or African American alone,5560375.11328125,11959.7919153101
82,261635301001,600,0,600,0,0,0,0,0,0,Black or African American alone,5136792.9296875,11133.749924015
83,261635302003,617,0,605,0,0,0,0,0,12,Black or African American alone,1975694.75439453,5785.70292817312
84,261635302005,173,0,150,0,0,0,0,23,0,Black or African American alone,1918504.85107422,5771.30145911661
85,261635302004,1810,408,1176,0,52,0,0,102,72,Black or African American alone,6364229.59765625,11857.6359986134
86,261635305003,579,19,554,0,0,0,0,6,0,Black or African American alone,2378219.54418945,7445.36492924402
87,261635334004,576,27,549,0,0,0,0,0,0,Black or African American alone,4194196.19824219,8652.57826407306
88,261635327002,466,43,412,0,5,0,0,0,6,Black or African American alone,1833749.75,6278.55881535111
89,261635411004,1052,154,896,0,0,0,0,0,2,Black or African American alone,4989775.45410156,9743.42222141534
90,261635415004,1081,52,1010,0,0,0,0,19,0,Black or African American alone,4955165.04394531,11238.4181393719
91,261635410002,1145,55,1062,0,0,0,0,28,0,Black or African American alone,5022916.34326172,10246.3473667369
92,261635410003,1631,31,1585,15,0,0,0,0,0,Black or African American alone,5005876.96826172,10231.9640570294
