OBJECTID,GEOID,ACRES_TOTAL,PCT_PEOPLE_OF_COLOR,PCT_ENGLISH_LANG_LEARNERS,PCT_FOREIGN_BORN,PCT_POP_UNDER200PCT_POVERTY,PCT_LESS_BACHELOR_DEGREE,PCT_ADULT_NOLEISUREPHYSACTIV,PCT_ADULT_WITH_DIABETES,PCT_ADULT_WITH_OBESITY,PCT_ADULT_MENTALHLTHNOTGOOD,PCT_ADULT_WITH_ASTHMA,LIFE_EXPECTANCY_AT_BIRTH,PCT_ADULT_WITH_DISABILITY,PTL_PEOPLE_OF_COLOR,PTL_ENGLISH_LANG_LEARNERS,PTL_FOREIGN_BORN,PTL_POP_UNDER200PCT_POVERTY,PTL_LESS_BACHELOR_DEGREE,PTL_ADULT_NOLEISUREPHYSACTIV,PTL_ADULT_WITH_DIABETES,PTL_ADULT_WITH_OBESITY,PTL_ADULT_MENTALHLTHNOTGOOD,PTL_ADULT_WITH_ASTHMA,PTL_LOW_LIFE_EXPECT_AT_BIRTH,RACE_ELL_ORIGINS_PERCENTILE,SOCIOECON_DISADV_PERCENTILE,HEALTH_DISADV_PERCENTILE,COMPOSITE_PERCENTILE,RACE_ELL_ORIGINS_QUINTILE,HEALTH_DISADV_QUINTILE,COMPOSITE_QUINTILE,TRACTCE,TRACT,NAME,NAMELSAD,POP_POC,POP_TOTAL_FOR_POC,POP_FOREIGN_BORN,POP_TOTAL_FOR_FOREIGN_BORN,POP_ENGLISH_LANG_LEARNERS,POP_5_YRS_AND_OLDER,POP_LESS_THAN_BACHELOR_DEG,POP_25_YRS_AND_OLDER,POP_UNDER200PCT_POVERTY,POP_POV_STATUS_DETERMINED,POP_ADULT_WITH_DISABILITY,POP_ADULT_CIVILIAN_NONINST,COMPOSITE_SCORE,RACE_ELL_ORIGINS_SCORE,SOCIOECON_DISADV_SCORE,HEALTH_DISADV_SCORE,SOCIOECON_DISADV_QUINTILE,PTL_ADULT_WITH_DISABILITY,SHAPE_Length,SHAPE_Area
1,53033000402,444.49542064,0.3253,0.0501,0.1246,0.1163,0.5104,0.145,0.074,0.199,0.117,0.09,81.69,0.200829111,0.414,0.5,0.306,0.278,0.869,0.744,0.789,0.375,0.159,0.346,0.705,0.397,0.602,0.681,0.585,Second Lowest,Second Highest,Middle,402,402,4.02,Census Tract 4.02,1683,5174,663,5320,256,5108,2111,4136,596,5124,872,4342,0.56,0.4085,0.5735,0.582571429,Second Highest,0.96,21397.1752981976,19362220.5230282
2,53033000403,180.93143961,0.3699,0.0799,0.136,0.3653,0.5508,0.174,0.088,0.233,0.141,0.102,80.02,0.203439444,0.505,0.687,0.375,0.892,0.903,0.886,0.88,0.869,0.812,0.909,0.841,0.551,0.948,0.965,0.869,Middle,Highest Equity Priority/Most Disadvantaged,Highest Equity Priority,403,403,4.03,Census Tract 4.03,1137,3074,433,3184,239,2992,1452,2636,1154,3159,556,2733,0.821333333,0.518,0.8975,0.880285714,Highest Equity Priority/Most Disadvantaged,0.965,14097.0266947453,7881185.92344152
3,53033000700,319.84027533,0.4771,0.089,0.2147,0.1703,0.5147,0.144,0.064,0.223,0.14,0.097,79.3,0.106040564,0.704,0.738,0.681,0.579,0.875,0.738,0.63,0.829,0.795,0.755,0.887,0.721,0.755,0.852,0.823,Second Highest,Highest Equity Priority/Most Disadvantaged,Highest Equity Priority,700,700,7.0,Census Tract 7,2483,5204,1128,5253,441,4954,2055,3993,894,5251,481,4536,0.776,0.70675,0.727,0.750428571,Second Highest,0.619,16134.0299149422,13932242.3935486
4,53033003302,154.9434455,0.2672,0.0213,0.1118,0.1599,0.3116,0.089,0.04,0.201,0.127,0.09,88.6,0.143075046,0.227,0.227,0.221,0.528,0.482,0.085,0.164,0.397,0.465,0.346,0.046,0.215,0.511,0.255,0.312,Second Lowest,Second Lowest,Second Lowest,3302,3302,33.02,Census Tract 33.02,926,3466,451,4034,76,3566,926,2972,645,4034,469,3278,0.327,0.2255,0.505,0.333142857,Middle,0.829,10550.8179265194,6749336.48592019
5,53033003601,166.57206309,0.2835,0.0916,0.1974,0.1873,0.233,0.095,0.042,0.188,0.129,0.091,84.0,0.136035187,0.261,0.767,0.625,0.625,0.267,0.232,0.244,0.13,0.573,0.437,0.483,0.505,0.437,0.397,0.46,Middle,Second Lowest,Middle,3601,3601,36.01,Census Tract 36.01,1088,3838,720,3647,317,3460,691,2966,677,3614,433,3183,0.446333333,0.4785,0.446,0.412571429,Middle,0.789,11894.2888948854,7255879.06806746
6,53033004202,301.69165408,0.2657,0.004,0.0601,0.0265,0.1683,0.093,0.052,0.191,0.114,0.088,85.71,0.032388664,0.215,0.034,0.045,0.0,0.085,0.176,0.392,0.198,0.107,0.159,0.29,0.073,0.017,0.056,0.005,Lowest,Lowest,Lowest,4202,4202,42.02,Census Tract 42.02,1180,4441,288,4791,18,4534,586,3482,127,4789,120,3705,0.048666667,0.12725,0.0425,0.192,Lowest,0.022,15651.6663663576,13141688.4517037
7,53033004701,184.90131575,0.2855,0.0702,0.2096,0.1746,0.2766,0.091,0.04,0.193,0.126,0.089,87.08,0.13785489,0.267,0.636,0.67,0.596,0.403,0.125,0.164,0.227,0.426,0.187,0.12,0.482,0.505,0.198,0.38,Middle,Lowest,Second Lowest,4701,4701,47.01,Census Tract 47.01,1039,3639,695,3316,223,3176,743,2686,579,3316,437,3170,0.395,0.46,0.4995,0.292857143,Middle,0.801,13539.0458426019,6036028.32298528
8,53033005304,18.04515836,0.6004,0.1146,0.2558,0.6832,0.3291,0.172,0.016,0.161,0.233,0.126,83.72,0.087183958,0.852,0.812,0.727,0.982,0.573,0.852,0.0,0.0,0.994,0.994,0.529,0.818,0.818,0.642,0.806,Highest Equity Priority,Second Highest,Highest Equity Priority,5304,5304,53.04,Census Tract 53.04,2105,3506,897,3507,402,3507,52,158,110,161,300,3441,0.759333333,0.81075,0.7775,0.538857143,Highest Equity Priority/Most Disadvantaged,0.403,4083.12606626598,786047.098144594
9,53033005307,32.12870707,0.3578,0.0589,0.132,0.8934,0.3506,0.172,0.033,0.188,0.212,0.121,86.25,0.055678583,0.494,0.568,0.352,1.0,0.63,0.852,0.022,0.13,0.977,0.971,0.233,0.494,0.857,0.517,0.636,Middle,Middle,Second Highest,5307,5307,53.07,Census Tract 53.07,1045,2921,421,3190,188,3190,61,174,930,1041,176,3161,0.622666667,0.477,0.815,0.470285714,Highest Equity Priority/Most Disadvantaged,0.107,4758.85069026771,1399526.47988522
10,53033005902,252.76974047,0.2549,0.0348,0.0743,0.1276,0.254,0.097,0.041,0.188,0.149,0.101,86.81,0.044331856,0.181,0.38,0.056,0.329,0.323,0.272,0.198,0.13,0.886,0.892,0.137,0.181,0.306,0.318,0.267,Lowest,Second Lowest,Second Lowest,5902,5902,59.02,Census Tract 59.02,1052,4127,311,4186,132,3792,731,2878,534,4184,140,3158,0.268333333,0.1995,0.326,0.364142857,Second Lowest,0.034,15184.2205727179,11010649.8948983
