OBJECTID,NAME,TYPE,VISIBLE,RRSYM,DRAW_SYMBOL,GlobalID,CreationDate,Creator,EditDate,Editor,Shape__Length
1281,UNKNOWN,OLD GRADE,N,214.0,,74e9725d-2a80-459f-ab1f-1a940e307c99,2023/10/22 05:06:05.137+00,FairfaxCounty,2023/10/22 05:06:05.137+00,FairfaxCounty,193.10308847319
1282,UNKNOWN,OLD GRADE,N,214.0,,1cb38577-6cc3-401e-9f67-2ff1bc38d564,2023/10/22 05:06:05.137+00,FairfaxCounty,2023/10/22 05:06:05.137+00,FairfaxCounty,1293.12776742078
1283,UNKNOWN,OLD GRADE,N,214.0,,2d3d1141-1d66-4651-83cd-286f47d62be9,2023/10/22 05:06:05.137+00,FairfaxCounty,2023/10/22 05:06:05.137+00,FairfaxCounty,242.054885970024
1284,UNKNOWN,OLD GRADE,N,214.0,,698ff54c-21c2-4042-92aa-dc1a67f6f2d1,2023/10/22 05:06:05.137+00,FairfaxCounty,2023/10/22 05:06:05.137+00,FairfaxCounty,211.006433186223
1285,UNKNOWN,OLD GRADE,N,214.0,,f528d220-1d35-4127-b221-0b56cbf42b1d,2023/10/22 05:06:05.137+00,FairfaxCounty,2023/10/22 05:06:05.137+00,FairfaxCounty,94.4549231237691
1286,RICHMOND FREDERICKSBURG AND POTOMAC,RAILWAY,Y,204.0,,e657cbec-4c04-40bd-ab32-f32f0f1a5884,2023/10/22 05:06:05.137+00,FairfaxCounty,2023/10/22 05:06:05.137+00,FairfaxCounty,188.869364010309
1287,RICHMOND FREDERICKSBURG AND POTOMAC,RAILWAY,Y,204.0,,e2aeb326-d6aa-4b69-848e-7243f23c3400,2023/10/22 05:06:05.137+00,FairfaxCounty,2023/10/22 05:06:05.137+00,FairfaxCounty,1677.95167099245
1288,RICHMOND FREDERICKSBURG AND POTOMAC,RAILWAY,Y,204.0,,493e5bd3-04c0-4089-b0aa-65e0b444064d,2023/10/22 05:06:05.137+00,FairfaxCounty,2023/10/22 05:06:05.137+00,FairfaxCounty,1647.56883326895
1290,RICHMOND FREDERICKSBURG AND POTOMAC,RAILWAY,Y,204.0,,13e612ae-5fe6-437b-86f4-7948adda2407,2023/10/22 05:06:05.137+00,FairfaxCounty,2023/10/22 05:06:05.137+00,FairfaxCounty,202.676736315618
1291,RICHMOND FREDERICKSBURG AND POTOMAC,RAILWAY,Y,204.0,,8433c1bd-0e60-4bb3-8441-b9a53697f16b,2023/10/22 05:06:05.137+00,FairfaxCounty,2023/10/22 05:06:05.137+00,FairfaxCounty,504.835591002957
1293,RICHMOND FREDERICKSBURG AND POTOMAC,RAILWAY,Y,204.0,,9f40f04d-2c51-4c99-9c1a-ecd979bcedd0,2023/10/22 05:06:05.137+00,FairfaxCounty,2023/10/22 05:06:05.137+00,FairfaxCounty,273.954643616315
1307,RICHMOND FREDERICKSBURG AND POTOMAC,RAILWAY,Y,204.0,,da199301-7ec9-440d-8654-22c9214a490a,2023/10/22 05:06:05.137+00,FairfaxCounty,2023/10/22 05:06:05.137+00,FairfaxCounty,1547.82527263362
1308,RICHMOND FREDERICKSBURG AND POTOMAC,RAILWAY,Y,204.0,,cc079315-67bb-434e-9f0f-f38cb30e51fd,2023/10/22 05:06:05.137+00,FairfaxCounty,2023/10/22 05:06:05.137+00,FairfaxCounty,1545.59573825854
1314,RICHMOND FREDERICKSBURG AND POTOMAC,RAILWAY,Y,204.0,,4ace3253-65ee-4fb2-a2c0-37c100d8d555,2023/10/22 05:06:05.137+00,FairfaxCounty,2023/10/22 05:06:05.137+00,FairfaxCounty,39.1733448286882
1315,RICHMOND FREDERICKSBURG AND POTOMAC,RAILWAY,Y,204.0,,7dea9632-1402-42ec-a46b-6cea126c81e7,2023/10/22 05:06:05.137+00,FairfaxCounty,2023/10/22 05:06:05.137+00,FairfaxCounty,28.7673294574082
1316,RICHMOND FREDERICKSBURG AND POTOMAC,RAILWAY,Y,204.0,,ea84fbc2-92a1-4681-a619-ffad8c0a95dc,2023/10/22 05:06:05.137+00,FairfaxCounty,2023/10/22 05:06:05.137+00,FairfaxCounty,2116.26627447798
1317,RICHMOND FREDERICKSBURG AND POTOMAC,RAILWAY,Y,204.0,,ab118214-c8e4-4b9d-8cf8-e77b409f5bd7,2023/10/22 05:06:05.137+00,FairfaxCounty,2023/10/22 05:06:05.137+00,FairfaxCounty,2131.11863675084
1318,RICHMOND FREDERICKSBURG AND POTOMAC,RAILWAY,N,204.0,,7ee90ffd-0ec6-43d7-a748-282d8ca8c799,2023/10/22 05:06:05.137+00,FairfaxCounty,2023/10/22 05:06:05.137+00,FairfaxCounty,92.6308965758896
1319,RICHMOND FREDERICKSBURG AND POTOMAC,RAILWAY,N,204.0,,0afbe24b-e50c-4092-a5e3-7d80716f6608,2023/10/22 05:06:05.137+00,FairfaxCounty,2023/10/22 05:06:05.137+00,FairfaxCounty,93.4261298609508
1320,UNKNOWN,OLD GRADE,N,214.0,,35fbb5af-5384-4f35-ac8d-fde2d8a16379,2023/10/22 05:06:05.137+00,FairfaxCounty,2023/10/22 05:06:05.137+00,FairfaxCounty,1907.19682867856
1321,RICHMOND FREDERICKSBURG AND POTOMAC,RAILWAY,N,204.0,,da2f2264-9df9-4fa2-955b-9dbe3faa8a30,2023/10/22 05:06:05.137+00,FairfaxCounty,2023/10/22 05:06:05.137+00,FairfaxCounty,39.9424854610679
1325,RICHMOND FREDERICKSBURG AND POTOMAC,RAILWAY,Y,204.0,,4e4a9663-8d94-417c-afe0-cf460b320de1,2023/10/22 05:06:05.137+00,FairfaxCounty,2023/10/22 05:06:05.137+00,FairfaxCounty,882.601199939738
1326,RICHMOND FREDERICKSBURG AND POTOMAC,RAILWAY,Y,204.0,,a899e852-e170-4445-9c3b-384c886720ff,2023/10/22 05:06:05.137+00,FairfaxCounty,2023/10/22 05:06:05.137+00,FairfaxCounty,824.349933154861
1327,RICHMOND FREDERICKSBURG AND POTOMAC,RAILWAY,Y,204.0,,ad4a41c3-4003-492f-9d28-21c5e19eec3f,2023/10/22 05:06:05.137+00,FairfaxCounty,2023/10/22 05:06:05.137+00,FairfaxCounty,1010.49492506637
1329,RICHMOND FREDERICKSBURG AND POTOMAC,RAILWAY,Y,204.0,,2f292bc5-1322-4526-9eb3-3f740e631318,2023/10/22 05:06:05.137+00,FairfaxCounty,2023/10/22 05:06:05.137+00,FairfaxCounty,2064.12409331543
1330,RICHMOND FREDERICKSBURG AND POTOMAC,RAILWAY,Y,204.0,,b32e3972-3ce2-450a-bcc2-fa356aca2e32,2023/10/22 05:06:05.137+00,FairfaxCounty,2023/10/22 05:06:05.137+00,FairfaxCounty,3054.63526025444
1331,RICHMOND FREDERICKSBURG AND POTOMAC,RAILWAY,Y,204.0,,77031f4e-db9a-4f2e-8cb0-37d5c9053f6d,2023/10/22 05:06:05.137+00,FairfaxCounty,2023/10/22 05:06:05.137+00,FairfaxCounty,188.370427846644
1332,RICHMOND FREDERICKSBURG AND POTOMAC,RAILWAY,Y,204.0,,b70eb6bf-f74b-48bf-a639-50d258fddd4c,2023/10/22 05:06:05.137+00,FairfaxCounty,2023/10/22 05:06:05.137+00,FairfaxCounty,145.004850794154
1333,RICHMOND FREDERICKSBURG AND POTOMAC,RAILWAY,Y,204.0,,d4d4c430-a49a-4f57-b22b-8ab708d43357,2023/10/22 05:06:05.137+00,FairfaxCounty,2023/10/22 05:06:05.137+00,FairfaxCounty,142.977698335752
1334,RICHMOND FREDERICKSBURG AND POTOMAC,RAILWAY,Y,204.0,,255610f2-87ae-485a-8985-4673554d009f,2023/10/22 05:06:05.137+00,FairfaxCounty,2023/10/22 05:06:05.137+00,FairfaxCounty,2390.00773794809
1335,RICHMOND FREDERICKSBURG AND POTOMAC,RAILWAY,Y,204.0,,7a7bb22d-0c65-40ed-a5eb-f7e202bf863b,2023/10/22 05:06:05.137+00,FairfaxCounty,2023/10/22 05:06:05.137+00,FairfaxCounty,71.4696500738229
1336,RICHMOND FREDERICKSBURG AND POTOMAC,RAILWAY,Y,204.0,,2065f552-1f80-4715-a8bc-cf26c9e6b062,2023/10/22 05:06:05.137+00,FairfaxCounty,2023/10/22 05:06:05.137+00,FairfaxCounty,70.6338991893828
1337,RICHMOND FREDERICKSBURG AND POTOMAC,RAILWAY,Y,204.0,,a2c946f0-25f2-4576-bbd0-d96c6e419048,2023/10/22 05:06:05.137+00,FairfaxCounty,2023/10/22 05:06:05.137+00,FairfaxCounty,1447.85107412049
1338,RICHMOND FREDERICKSBURG AND POTOMAC,RAILWAY,Y,204.0,,4d8598a4-6044-41fd-94cd-82740af3f4a9,2023/10/22 05:06:05.137+00,FairfaxCounty,2023/10/22 05:06:05.137+00,FairfaxCounty,859.58553790457
1340,RICHMOND FREDERICKSBURG AND POTOMAC,RAILWAY,Y,204.0,,0f6775b0-a78b-4a23-8de6-389c994ce8db,2023/10/22 05:06:05.137+00,FairfaxCounty,2023/10/22 05:06:05.137+00,FairfaxCounty,972.880197667384
1341,RICHMOND FREDERICKSBURG AND POTOMAC,RAILWAY,Y,204.0,,3b237f5a-a55f-451e-9e7e-3ace55dd6663,2023/10/22 05:06:05.137+00,FairfaxCounty,2023/10/22 05:06:05.137+00,FairfaxCounty,1031.42664820393
1342,FORT BELVOIR MILITARY RESERVATION,RAILWAY,Y,204.0,,1f49435b-e1fa-45ca-895c-9394d7ba6dde,2023/10/22 05:06:05.137+00,FairfaxCounty,2023/10/22 05:06:05.137+00,FairfaxCounty,3107.46015596447
1343,FORT BELVOIR MILITARY RESERVATION,RAILWAY,Y,204.0,,0f0612a6-724e-4728-94ba-0c0adc4ef8f2,2023/10/22 05:06:05.137+00,FairfaxCounty,2023/10/22 05:06:05.137+00,FairfaxCounty,2787.12496897803
1344,FORT BELVOIR MILITARY RESERVATION,RAILWAY,Y,204.0,,18c6e1ac-ed54-4c52-84ab-59664721b866,2023/10/22 05:06:05.137+00,FairfaxCounty,2023/10/22 05:06:05.137+00,FairfaxCounty,647.462674941038
1345,FORT BELVOIR MILITARY RESERVATION,RAILWAY,Y,204.0,,07449680-c3d5-4296-bdf5-f8a1f55d3737,2023/10/22 05:06:05.137+00,FairfaxCounty,2023/10/22 05:06:05.137+00,FairfaxCounty,222.289130551915
1346,FORT BELVOIR MILITARY RESERVATION,RAILWAY,Y,204.0,,00061541-4faa-47c8-8f1e-25b7e67a2d3d,2023/10/22 05:06:05.137+00,FairfaxCounty,2023/10/22 05:06:05.137+00,FairfaxCounty,151.57938479956
1347,FORT BELVOIR MILITARY RESERVATION,RAILWAY,Y,204.0,,9ae483ea-807e-4477-b39c-d9324ae321c2,2023/10/22 05:06:05.137+00,FairfaxCounty,2023/10/22 05:06:05.137+00,FairfaxCounty,354.526714271187
1348,FORT BELVOIR MILITARY RESERVATION,RAILWAY,Y,204.0,,7cc1580a-1cfd-46fc-b246-158ae393e4e0,2023/10/22 05:06:05.137+00,FairfaxCounty,2023/10/22 05:06:05.137+00,FairfaxCounty,575.413638879649
1349,FORT BELVOIR MILITARY RESERVATION,RAILWAY,Y,204.0,,45609e5b-70df-4c8b-af52-3f3d3b7942df,2023/10/22 05:06:05.137+00,FairfaxCounty,2023/10/22 05:06:05.137+00,FairfaxCounty,682.62296364444
1350,FORT BELVOIR MILITARY RESERVATION,RAILWAY,Y,204.0,,c4b16e20-14fe-4c34-8faf-e0c2f1b4d1ff,2023/10/22 05:06:05.137+00,FairfaxCounty,2023/10/22 05:06:05.137+00,FairfaxCounty,112.443599965129
