OBJECTID,SourceOID,FromPosition,ToPosition,FacilityOID,SourceName,FromCumul_Minutes,ToCumul_Minutes,FromCumul_Miles,ToCumul_Miles,FromCumul_Kilometers,ToCumul_Kilometers
1,12874179,0.58137935,0.56777567,1,main.Routing_Streets,4.70241496,4.17214152,0.24350749,0.21604949,0.3918881,0.34769865
2,12874179,0.5845959,0.58137935,1,main.Routing_Streets,4.82779297,4.70241496,0.25,0.24350749,0.4023368,0.3918881
3,12874179,0.48575167,0.50723767,1,main.Routing_Streets,4.8278169,3.99035441,0.25,0.20662977,0.4023368,0.33253904
4,12874179,0.55095596,0.56777567,1,main.Routing_Streets,4.82777225,4.17214152,0.25,0.21604949,0.4023368,0.34769865
5,12874179,0.52872409,0.50723767,1,main.Routing_Streets,4.8278929,3.99035441,0.25,0.20662977,0.4023368,0.33253904
6,12877048,0.47077833,0.54477745,1,main.Routing_Streets,4.82801308,4.73869425,0.25,0.24537532,0.4023368,0.39489408
7,12877048,0.54477745,1.0,1,main.Routing_Streets,4.73869425,4.18928019,0.24537532,0.21692652,0.39489408,0.34911009
8,12877049,0.02073749,0.0,1,main.Routing_Streets,4.31535441,4.18928019,0.22345443,0.21692652,0.35961576,0.34911009
9,12877049,0.10505061,0.02073749,1,main.Routing_Streets,4.82796348,4.31535441,0.25,0.22345443,0.4023368,0.35961576
10,12877052,0.6109946,0.58195817,1,main.Routing_Streets,4.82786809,4.68473917,0.25,0.2425878,0.4023368,0.390408
11,12877052,0.55292095,0.58195817,1,main.Routing_Streets,4.82787752,4.68473917,0.25,0.2425878,0.4023368,0.390408
12,12877053,0.39792961,0.0,1,main.Routing_Streets,2.46374308,1.96764933,0.12757899,0.10188926,0.20531889,0.1639752
13,12877053,1.0,0.39792961,1,main.Routing_Streets,3.21442667,2.46374308,0.16645253,0.12757899,0.26787992,0.20531889
14,12877054,0.0,1.0,1,main.Routing_Streets,4.68473917,3.21442667,0.2425878,0.16645253,0.390408,0.26787992
15,12877061,0.95735545,1.0,1,main.Routing_Streets,4.82815752,4.79743449,0.25,0.24840935,0.4023368,0.3997769
16,12877062,0.35624418,0.24352384,1,main.Routing_Streets,3.94714152,3.21442667,0.20439217,0.16645253,0.32893797,0.26787992
17,12877062,0.49174067,0.35624418,1,main.Routing_Streets,4.82793564,3.94714152,0.25,0.20439217,0.4023368,0.32893797
18,12877062,0.0,0.24352384,1,main.Routing_Streets,4.79743449,3.21442667,0.24840935,0.16645253,0.3997769,0.26787992
19,12877111,0.35047039,0.38923681,1,main.Routing_Streets,4.17214152,4.09997355,0.21604949,0.21231384,0.34769865,0.34168669
20,12877111,0.38923681,0.69456077,1,main.Routing_Streets,4.09997355,3.53151652,0.21231384,0.18287898,0.34168669,0.29431578
21,12877111,0.69456077,1.0,1,main.Routing_Streets,3.53151652,2.96286417,0.18287898,0.1534299,0.29431578,0.24692198
22,12877111,0.0,0.35047039,1,main.Routing_Streets,4.82468058,4.17214152,0.24984103,0.21604949,0.40208097,0.34769865
23,12877119,0.94152887,1.0,1,main.Routing_Streets,4.82799976,4.73869425,0.25,0.24537532,0.4023368,0.39489408
24,12877125,0.3698127,0.49025926,1,main.Routing_Streets,2.5413798,1.96764933,0.13159908,0.10188926,0.21178862,0.1639752
25,12877125,0.49025926,0.50986153,1,main.Routing_Streets,1.96764933,1.87428996,0.10188926,0.09705614,0.1639752,0.15619703
26,12877125,0.60227227,0.50986153,1,main.Routing_Streets,2.31442667,1.87428996,0.11984931,0.09705614,0.19287916,0.15619703
27,12877125,0.72066171,0.72274226,1,main.Routing_Streets,2.87848723,2.86857707,0.1490507,0.14853752,0.23987432,0.23904844
28,12877125,0.72066171,0.60227227,1,main.Routing_Streets,2.87834464,2.31442667,0.1490507,0.11984931,0.23987432,0.19287916
29,12877125,0.84595662,0.72274226,1,main.Routing_Streets,3.45549113,2.86857707,0.17893,0.14853752,0.28796049,0.23904844
30,12877125,1.0,0.84595662,1,main.Routing_Streets,4.18928019,3.45549113,0.21692652,0.17893,0.34911009,0.28796049
31,12877125,0.0,0.3698127,1,main.Routing_Streets,4.30270792,2.5413798,0.2228097,0.13159908,0.35857817,0.21178862
32,12877126,1.0,0.0,1,main.Routing_Streets,1.33928019,0.528538,0.06935163,0.0273682,0.11161085,0.04404493
33,12877127,0.0,1.0,1,main.Routing_Streets,1.58586222,1.33928019,0.08212064,0.06935163,0.13216062,0.11161085
34,12877128,0.0,1.0,1,main.Routing_Streets,0.528538,0.14567667,0.0273682,0.00754269,0.04404493,0.0121388
35,12877129,0.84396224,1.0,1,main.Routing_Streets,0.53506846,0.40920207,0.0277057,0.02118873,0.04458809,0.03410002
36,12877129,0.0,0.18059675,1,main.Routing_Streets,0.14567667,0.0,0.00754269,0.0,0.0121388,0.0
37,12877129,0.84396224,0.18059675,1,main.Routing_Streets,0.53509756,0.0,0.0277057,0.0,0.04458809,0.0
38,12877130,1.0,0.0,1,main.Routing_Streets,0.40920207,0.14567667,0.02118873,0.00754269,0.03410002,0.0121388
39,12877131,0.0,1.0,1,main.Routing_Streets,2.97482707,2.5745341,0.15404144,0.13331047,0.24790617,0.21454283
40,12877132,0.0,1.0,1,main.Routing_Streets,2.5745341,1.58586222,0.13331047,0.08212064,0.21454283,0.13216062
41,12877133,0.0,1.0,1,main.Routing_Streets,2.86857707,2.5745341,0.14853752,0.13331047,0.23904844,0.21454283
42,12877134,0.0,1.0,1,main.Routing_Streets,1.87428996,1.58586222,0.09705614,0.08212064,0.15619703,0.13216062
43,12877135,0.14950534,1.0,1,main.Routing_Streets,1.81142282,0.528538,0.09379811,0.0273682,0.15095373,0.04404493
44,12877135,0.14950534,0.0,1,main.Routing_Streets,1.81137584,1.58586222,0.09379811,0.08212064,0.15095373,0.13216062
45,12877136,0.68361844,1.0,1,main.Routing_Streets,4.39637839,3.55314738,0.22765704,0.18399304,0.36637922,0.29610868
46,12877136,0.68361844,0.0,1,main.Routing_Streets,4.39653746,2.5745341,0.22765704,0.13331047,0.36637922,0.21454283
47,12877137,0.11040502,1.0,1,main.Routing_Streets,3.58294423,3.34264933,0.18553731,0.17309422,0.29859396,0.27856871
48,12877137,0.11040502,0.0,1,main.Routing_Streets,3.58296967,3.55314738,0.18553731,0.18399304,0.29859396,0.29610868
49,12877138,0.86868804,0.0,1,main.Routing_Streets,4.8278106,3.66594035,0.25,0.18983355,0.4023368,0.3055081
50,12877139,0.57217222,0.49691924,1,main.Routing_Streets,2.9026591,2.47580363,0.15031053,0.12820476,0.24190184,0.20632597
51,12877139,0.62623399,0.57217222,1,main.Routing_Streets,3.20934855,2.9026591,0.16618943,0.15031053,0.26745649,0.24190184
52,12877139,0.64973909,0.62623399,1,main.Routing_Streets,3.34264933,3.20934855,0.17309422,0.16618943,0.27856871,0.26745649
53,12877139,0.82839674,0.64973909,1,main.Routing_Streets,4.35612589,3.34264933,0.22557351,0.17309422,0.3630261,0.27856871
54,12877139,0.91155996,0.82839674,1,main.Routing_Streets,4.82787798,4.35612589,0.25,0.22557351,0.4023368,0.3630261
55,12877139,0.0,0.16507947,1,main.Routing_Streets,3.66594035,2.72961222,0.18983355,0.14134591,0.3055081,0.22747465
56,12877139,0.16507947,0.27800182,1,main.Routing_Streets,2.72961222,2.08908488,0.14134591,0.1081754,0.22747465,0.17409178
57,12877139,0.27800182,0.35336488,1,main.Routing_Streets,2.08908488,1.66154582,0.1081754,0.08604118,0.17409178,0.13847013
58,12877139,0.49691924,0.35336488,1,main.Routing_Streets,2.47580363,1.66154582,0.12820476,0.08604118,0.20632597,0.13847013
59,12877140,0.0,1.0,1,main.Routing_Streets,3.55314738,2.47580363,0.18399304,0.12820476,0.29610868,0.20632597
60,12877143,0.45113458,1.0,1,main.Routing_Streets,4.82778227,3.53151652,0.25,0.18287898,0.4023368,0.29431578
61,12877145,0.0,1.0,1,main.Routing_Streets,2.96286417,2.9026591,0.1534299,0.15031053,0.24692198,0.24190184
62,12877188,0.00424352,0.0,1,main.Routing_Streets,4.8277505,4.82468058,0.25,0.24984103,0.4023368,0.40208097
63,12877215,0.94735034,1.0,1,main.Routing_Streets,4.82795413,4.60944621,0.25,0.23868622,0.4023368,0.38412901
64,12877227,0.22710088,0.25645953,1,main.Routing_Streets,3.99035441,3.68420207,0.20662977,0.19077695,0.33253904,0.30702635
65,12877227,0.25645953,0.27459279,1,main.Routing_Streets,3.68420207,3.49509074,0.19077695,0.18098508,0.30702635,0.29126783
66,12877227,0.27459279,0.29704353,1,main.Routing_Streets,3.49509074,3.26095988,0.18098508,0.1688608,0.29126783,0.27175566
67,12877227,0.29704353,0.34799671,1,main.Routing_Streets,3.26095988,2.72961222,0.1688608,0.14134591,0.27175566,0.22747465
68,12877227,0.39376163,0.34799671,1,main.Routing_Streets,3.20685832,2.72961222,0.16605906,0.14134591,0.26724668,0.22747465
69,12877227,0.50342476,0.39376163,1,main.Routing_Streets,4.350413,3.20685832,0.22527959,0.16605906,0.36255308,0.26724668
70,12877227,0.54345111,0.58805114,1,main.Routing_Streets,4.76776439,4.30270792,0.2468947,0.2228097,0.3973393,0.35857817
71,12877227,0.54345111,0.50342476,1,main.Routing_Streets,4.76777841,4.350413,0.2468947,0.22527959,0.3973393,0.36255308
72,12877227,0.60532093,0.58805114,1,main.Routing_Streets,4.48278605,4.30270792,0.23213461,0.2228097,0.37358518,0.35857817
73,12877227,0.63840321,0.60532093,1,main.Routing_Streets,4.82775226,4.48278605,0.25,0.23213461,0.4023368,0.37358518
74,12877227,0.14678663,0.22710088,1,main.Routing_Streets,4.82784772,3.99035441,0.25,0.20662977,0.4023368,0.33253904
75,12877372,0.0,0.38899711,1,main.Routing_Streets,4.60944621,4.06384074,0.23868622,0.21043653,0.38412901,0.33866545
76,12877372,0.38899711,0.6160748,1,main.Routing_Streets,4.06384074,3.74533488,0.21043653,0.19394372,0.33866545,0.31212278
77,12877372,0.6160748,1.0,1,main.Routing_Streets,3.74533488,3.20685832,0.19394372,0.16605906,0.31212278,0.26724668
78,12877373,0.8166549,0.87245661,1,main.Routing_Streets,4.82783634,4.72282511,0.25,0.24456229,0.4023368,0.39358564
79,12877373,0.87245661,1.0,1,main.Routing_Streets,4.72282511,4.48278605,0.24456229,0.23213461,0.39358564,0.37358518
80,12877374,1.0,0.0,1,main.Routing_Streets,2.92179972,2.5413798,0.15129659,0.13159908,0.24348875,0.21178862
81,12877375,1.0,0.0,1,main.Routing_Streets,3.394163,2.92179972,0.17575848,0.15129659,0.28285643,0.24348875
82,12877376,0.0,1.0,1,main.Routing_Streets,3.37375285,2.92179972,0.17470131,0.15129659,0.28115507,0.24348875
83,12877388,1.0,0.0,1,main.Routing_Streets,1.66154582,0.40920207,0.08604118,0.02118873,0.13847013,0.03410002
84,12877391,0.68879611,1.0,1,main.Routing_Streets,4.82785568,4.350413,0.25,0.22527959,0.4023368,0.36255308
85,12806036,0.29698044,0.0,2,main.Routing_Streets,2.93450859,2.25374687,0.15194786,0.11670093,0.24453686,0.18781231
86,12806036,0.54462332,0.29698044,2,main.Routing_Streets,3.50218437,2.93450859,0.18134005,0.15194786,0.2918391,0.24453686
87,12806036,0.78431106,0.54462332,2,main.Routing_Streets,4.05159843,3.50218437,0.20978885,0.18134005,0.3376231,0.2918391
88,12806036,1.0,0.78431106,2,main.Routing_Streets,4.54603202,4.05159843,0.2353885,0.20978885,0.37882183,0.3376231
89,12806037,0.11395967,0.0,2,main.Routing_Streets,4.82821725,4.54603202,0.25,0.2353885,0.4023368,0.37882183
90,12806042,1.0,0.0,2,main.Routing_Streets,3.57801445,3.23587577,0.18526533,0.16754942,0.29815624,0.2696452
91,12806043,0.0,0.74573541,2,main.Routing_Streets,3.23587577,1.65111015,0.16754942,0.08549779,0.2696452,0.13759564
92,12806043,0.74573541,0.96610349,2,main.Routing_Streets,1.65111015,1.18284843,0.08549779,0.06124923,0.13759564,0.09857128
93,12806043,0.96610349,1.0,2,main.Routing_Streets,1.18284843,1.11082695,0.06124923,0.05752069,0.09857128,0.09257076
94,12806044,1.0,0.0,2,main.Routing_Streets,3.57801445,1.11082695,0.18527244,0.05752069,0.29816769,0.09257076
95,12806045,0.49269426,0.0,2,main.Routing_Streets,4.79344413,3.57801445,0.24820966,0.18527244,0.39945553,0.29816769
96,12806045,0.50670935,0.49269426,2,main.Routing_Streets,4.82802046,4.79344413,0.25,0.24820966,0.4023368,0.39945553
97,12807299,0.48528802,0.92840463,2,main.Routing_Streets,4.82802721,3.7518914,0.25,0.19427499,0.4023368,0.31265591
98,12807299,0.92840463,1.0,2,main.Routing_Streets,3.7518914,3.57801445,0.19427499,0.18527244,0.31265591,0.29816769
99,12807300,0.27715804,0.0,2,main.Routing_Streets,4.828078,3.57801445,0.25,0.18527244,0.4023368,0.29816769
100,12807300,0.4699837,0.53254879,2,main.Routing_Streets,4.82822012,4.54603202,0.25,0.2353885,0.4023368,0.37882183
101,12807300,0.59510594,0.53254879,2,main.Routing_Streets,4.82821556,4.54603202,0.25,0.2353885,0.4023368,0.37882183
102,12876628,0.21443416,0.0,2,main.Routing_Streets,4.82822387,3.14603202,0.25,0.16289645,0.4023368,0.26215694
103,12876630,0.90168835,1.0,2,main.Routing_Streets,4.82799429,4.43670585,0.25,0.22973762,0.4023368,0.36972759
104,12876632,0.60742563,0.53606206,2,main.Routing_Streets,4.43670585,4.14319999,0.22973762,0.21453901,0.36972759,0.34526775
105,12876632,0.70256901,0.60742563,2,main.Routing_Streets,4.82801012,4.43670585,0.25,0.22973762,0.4023368,0.36972759
106,12876632,0.22443502,0.0,2,main.Routing_Streets,2.86155937,1.93851249,0.14817428,0.10037878,0.23846386,0.1615443
107,12876632,0.39020565,0.22443502,2,main.Routing_Streets,3.54329765,2.86155937,0.18347809,0.14817428,0.29527996,0.23846386
108,12876632,0.53606206,0.39020565,2,main.Routing_Streets,4.14319999,3.54329765,0.21453901,0.18347809,0.34526775,0.29527996
109,12876635,0.0,0.23314387,2,main.Routing_Streets,3.79271171,3.23587577,0.19638222,0.16754942,0.31604717,0.2696452
110,12876635,0.44520935,0.23314387,2,main.Routing_Streets,3.74232109,3.23587577,0.19377484,0.16754942,0.31185101,0.2696452
111,12876635,0.57874382,0.44520935,2,main.Routing_Streets,4.06121757,3.74232109,0.21028899,0.19377484,0.338428,0.31185101
112,12876635,0.58905727,0.76273733,2,main.Routing_Streets,4.08576015,3.67103202,0.21156423,0.19008897,0.34048031,0.30591915
113,12876635,0.58905727,0.57874382,2,main.Routing_Streets,4.08584491,4.06121757,0.21156423,0.21028899,0.34048031,0.338428
114,12876635,0.76273733,0.86265665,2,main.Routing_Streets,3.67103202,3.43240898,0.19008897,0.17773239,0.30591915,0.28603314
115,12876635,0.86265665,0.95331079,2,main.Routing_Streets,3.43240898,3.21590507,0.17773239,0.16652307,0.28603314,0.26799343
116,12876635,0.95331079,1.0,2,main.Routing_Streets,3.21590507,3.10443046,0.16652307,0.16074892,0.26799343,0.25870083
117,12876636,0.0,0.7499935,2,main.Routing_Streets,3.10443046,2.06927421,0.16074892,0.10715083,0.25870083,0.17244289
118,12876636,0.7499935,0.92236692,2,main.Routing_Streets,2.06927421,1.83138359,0.10715083,0.09483218,0.17244289,0.15261791
119,12876636,1.0,0.92236692,2,main.Routing_Streets,1.93851249,1.83138359,0.10037878,0.09483218,0.1615443,0.15261791
120,12876637,0.57881975,0.0,2,main.Routing_Streets,2.25374687,1.93851249,0.11670093,0.10037878,0.18781231,0.1615443
121,12876637,1.0,0.57881975,2,main.Routing_Streets,2.48309257,2.25374687,0.12857869,0.11670093,0.20692776,0.18781231
122,12876638,0.35866991,0.0,2,main.Routing_Streets,3.5334832,2.48309257,0.18296373,0.12857869,0.29445217,0.20692776
123,12876638,0.47747707,0.35866991,2,main.Routing_Streets,3.88138359,3.5334832,0.2009783,0.18296373,0.32344387,0.29445217
124,12876638,0.80074279,0.47747707,2,main.Routing_Streets,4.82807624,3.88138359,0.25,0.2009783,0.4023368,0.32344387
125,12876639,0.70204328,1.0,2,main.Routing_Streets,4.82803857,4.14319999,0.25,0.21453901,0.4023368,0.34526775
126,12876680,0.38823595,0.34128979,2,main.Routing_Streets,4.82824959,4.48690117,0.25,0.23232603,0.4023368,0.37389324
127,12876680,0.03118965,0.0,2,main.Routing_Streets,3.80477226,3.57801445,0.19700799,0.18526533,0.31705425,0.29815624
128,12876680,0.10824645,0.03118965,2,main.Routing_Streets,4.36502617,3.80477226,0.22602093,0.19700799,0.36374615,0.31705425
129,12876680,0.12659331,0.10824645,2,main.Routing_Streets,4.4984246,4.36502617,0.23292809,0.22602093,0.37486218,0.36374615
130,12876680,0.17193608,0.12659331,2,main.Routing_Streets,4.82811154,4.4984246,0.25,0.23292809,0.4023368,0.37486218
131,12876680,0.27233999,0.33028167,2,main.Routing_Streets,4.8281407,4.40687187,0.25,0.22818267,0.4023368,0.36722515
132,12876680,0.34128979,0.33028167,2,main.Routing_Streets,4.48690117,4.40687187,0.23232603,0.22818267,0.37389324,0.36722515
133,12876767,0.49602987,0.50318462,2,main.Routing_Streets,4.82801944,4.79344413,0.25,0.24820966,0.4023368,0.39945553
134,12876767,0.51033931,0.50318462,2,main.Routing_Streets,4.82801804,4.79344413,0.25,0.24820966,0.4023368,0.39945553
135,12876788,0.46025009,0.50184494,2,main.Routing_Streets,4.82809879,4.72659843,0.25,0.24474423,0.4023368,0.39387844
136,12876788,0.50184494,1.0,2,main.Routing_Streets,4.72659843,3.51097343,0.24474423,0.18180701,0.39387844,0.2925906
137,12876789,1.0,0.0,2,main.Routing_Streets,4.81683281,3.51097343,0.24941853,0.18180701,0.40140102,0.2925906
138,12876790,0.63441232,1.0,2,main.Routing_Streets,4.34101013,3.88138359,0.22477768,0.2009783,0.36174534,0.32344387
139,12876790,0.63441232,0.0,2,main.Routing_Streets,4.34089767,3.54329765,0.22477768,0.18347809,0.36174534,0.29527996
140,12876791,0.04979886,0.0,2,main.Routing_Streets,4.82806187,4.81683281,0.25,0.24941853,0.4023368,0.40140102
141,12876792,0.9868481,1.0,2,main.Routing_Streets,4.82806072,4.81683281,0.25,0.24941853,0.4023368,0.40140102
142,12876794,0.95866089,1.0,2,main.Routing_Streets,4.8280845,4.72659843,0.25,0.24474423,0.4023368,0.39387844
143,12876795,0.89130837,1.0,2,main.Routing_Streets,4.82811471,4.72659843,0.25,0.24474423,0.4023368,0.39387844
144,12876796,1.0,0.0,2,main.Routing_Streets,4.04871757,3.79271171,0.20963952,0.19638222,0.33738277,0.31604717
145,12876797,0.25615224,0.0,2,main.Routing_Streets,2.88460624,1.93851249,0.14935945,0.10037878,0.24037121,0.1615443
146,12876797,0.28785339,0.25615224,2,main.Routing_Streets,3.00164726,2.88460624,0.1554204,0.14935945,0.25012539,0.24037121
147,12876797,0.32694632,0.28785339,2,main.Routing_Streets,3.14603202,3.00164726,0.16289645,0.1554204,0.26215694,0.25012539
148,12876797,0.33913907,0.32694632,2,main.Routing_Streets,3.19105156,3.14603202,0.16522649,0.16289645,0.26590679,0.26215694
149,12876797,0.66834337,0.33913907,2,main.Routing_Streets,4.40687187,3.19105156,0.22818267,0.16522649,0.36722515,0.26590679
150,12876797,0.78242295,0.66834337,2,main.Routing_Streets,4.8282236,4.40687187,0.25,0.22818267,0.4023368,0.36722515
151,12876800,0.34032673,0.43339643,2,main.Routing_Streets,4.03665702,3.51097343,0.20902797,0.18180701,0.33639858,0.2925906
152,12876800,0.43339643,0.645895,2,main.Routing_Streets,3.51097343,2.31077812,0.18180701,0.11965674,0.2925906,0.19256924
153,12876800,0.645895,0.68600976,2,main.Routing_Streets,2.31077812,2.08421562,0.11965674,0.10792593,0.19256924,0.1736903
154,12876800,0.68600976,0.72848421,2,main.Routing_Streets,2.08421562,1.84432304,0.10792593,0.09550299,0.1736903,0.15369747
155,12876800,0.72848421,0.85835302,2,main.Routing_Streets,1.84432304,1.11082695,0.09550299,0.05752069,0.15369747,0.09257076
156,12876800,0.85835302,0.95746005,2,main.Routing_Streets,1.11082695,0.55106132,0.05752069,0.02853619,0.09257076,0.04592465
157,12876800,0.95746005,1.0,2,main.Routing_Streets,0.55106132,0.31077812,0.02853619,0.01609429,0.04592465,0.0259013
158,12876800,0.20023333,0.21238534,2,main.Routing_Streets,4.82795109,4.75931327,0.25,0.24644613,0.4023368,0.39661739
159,12876800,0.21238534,0.34032673,2,main.Routing_Streets,4.75931327,4.03665702,0.24644613,0.20902797,0.39661739,0.33639858
160,12876801,0.38784367,0.0,2,main.Routing_Streets,0.90052421,0.31077812,0.04663373,0.01609429,0.07504986,0.0259013
161,12876801,0.55155945,0.38784367,2,main.Routing_Streets,1.14944999,0.90052421,0.05952363,0.04663373,0.09579418,0.07504986
162,12876801,1.0,0.55155945,2,main.Routing_Streets,1.83138359,1.14944999,0.09483218,0.05952363,0.15261791,0.09579418
163,12876811,0.77878778,0.8106069,2,main.Routing_Streets,4.82816837,4.71605156,0.25,0.24419431,0.4023368,0.39299343
164,12876811,0.8106069,0.94688749,2,main.Routing_Streets,4.71605156,4.23587577,0.24419431,0.21932946,0.39299343,0.35297726
165,12876811,0.94688749,1.0,2,main.Routing_Streets,4.23587577,4.04871757,0.21932946,0.20963952,0.35297726,0.33738277
166,12876812,0.68865648,1.0,2,main.Routing_Streets,3.96987956,3.79271171,0.20555542,0.19638222,0.33081005,0.31604717
167,12876812,0.68865648,0.0,2,main.Routing_Streets,3.96988957,3.57801445,0.20555542,0.18526533,0.33081005,0.29815624
168,12876813,0.29091905,1.0,2,main.Routing_Streets,4.82820765,4.23587577,0.25,0.21932946,0.4023368,0.35297726
169,12876814,0.0,1.0,2,main.Routing_Streets,4.46146171,3.88138359,0.23101523,0.2009783,0.37178371,0.32344387
170,12876815,0.04761297,0.11299609,2,main.Routing_Streets,4.82822808,4.73934257,0.25,0.24539844,0.4023368,0.3949313
171,12876815,0.11299609,1.0,2,main.Routing_Streets,4.73934257,3.5334832,0.24539844,0.18296373,0.3949313,0.29445217
172,12876816,0.81998246,1.0,2,main.Routing_Streets,4.82820865,4.73934257,0.25,0.24539844,0.4023368,0.3949313
173,12876817,0.8149423,0.0,2,main.Routing_Streets,4.82805729,3.50218437,0.25,0.18134005,0.4023368,0.2918391
174,12876818,1.0,0.0,2,main.Routing_Streets,4.18528984,4.05159843,0.21671261,0.20978885,0.34876583,0.3376231
175,12876819,0.5373494,1.0,2,main.Routing_Streets,4.19142889,3.80477226,0.2170326,0.19700799,0.34928082,0.31705425
176,12876819,0.5373494,0.0,2,main.Routing_Streets,4.19140665,3.74232109,0.2170326,0.19377484,0.34928082,0.31185101
177,12876820,1.0,0.0,2,main.Routing_Streets,3.9406121,3.64881523,0.20404789,0.18893935,0.3283839,0.30406902
178,12876821,0.0,1.0,2,main.Routing_Streets,3.64881523,3.43240898,0.18893935,0.17773239,0.30406902,0.28603314
179,12876822,0.12558353,1.0,2,main.Routing_Streets,4.82808197,3.64881523,0.25,0.18893935,0.4023368,0.30406902
180,12876823,1.0,0.0,2,main.Routing_Streets,4.50687187,3.19105156,0.23335949,0.16522649,0.37555645,0.26590679
181,12876824,0.59252528,1.0,2,main.Routing_Streets,3.68808232,3.21590507,0.19097073,0.16652307,0.30733822,0.26799343
182,12876824,0.59252528,0.0,2,main.Routing_Streets,3.68825908,3.00164726,0.19097073,0.1554204,0.30733822,0.25012539
183,12876825,0.24576372,1.0,2,main.Routing_Streets,4.24967267,3.67103202,0.22005241,0.19008897,0.35414074,0.30591915
184,12876825,0.24576372,0.0,2,main.Routing_Streets,4.24976443,4.06121757,0.22005241,0.21028899,0.35414074,0.338428
185,12876826,0.11989961,0.0,2,main.Routing_Streets,4.82817642,4.71605156,0.25,0.24419431,0.4023368,0.39299343
186,12876827,0.0,0.23260961,2,main.Routing_Streets,0.09420235,0.0,0.00487846,0.0,0.00785114,0.0
