OBJECTID,PARKNAME,ORDINANCENUMBER,TYPEOFEASEMENT,RECORDINGNUMBER,SUB_PARCEL,ACQ_DATE,PIN,SE_ANNO_CAD_DATA,GLOBALID,GIS_CRT,GIS_CRT_DT,GIS_EDT,GIS_EDT_DT,SDQL,SHAPE_Length,SHAPE_Area
1,Washington Park and Arboretum,120933.0,Fence and Slope Maintenance,,,,,,{2713FCF1-0619-40CB-AF71-669193B2B85C},SeattleParks_SeattleCityGIS,2023/08/08 18:43:50+00,SeattleParks_SeattleCityGIS,2023/08/08 18:43:50+00,QL-D3,464.247586174578,3177.04014992618
2,Matthews Beach Park,,Utility,,,,,,{FE8F0512-136F-4898-B153-885BFD28DF9D},SeattleParks_SeattleCityGIS,2023/08/08 18:43:50+00,SeattleParks_SeattleCityGIS,2023/08/08 18:43:50+00,QL-D3,953.856009569955,11074.7597657778
3,Me-Kwa-Mooks Natural Area,,Conservation,,16396.0,2004/03/31 08:00:00+00,5154200075.0,,{AEE1BE40-8BFD-4D9E-8DA1-80FFCA1C1EFF},SeattleParks_SeattleCityGIS,2023/08/08 18:43:50+00,SeattleParks_SeattleCityGIS,2023/08/08 18:43:50+00,QL-D3,593.09494347482,15568.3937945542
4,Kubota Gardens Natural Area,,Conservation,930513632.0,9486.0,1993/05/13 06:59:59+00,7131300345.0,,{1D8FBAA3-8800-4F74-9CB6-E92A7ED2F7F2},SeattleParks_SeattleCityGIS,2023/08/08 18:43:50+00,SeattleParks_SeattleCityGIS,2023/08/08 18:43:50+00,QL-D3,1426.17095970181,109159.974687556
5,Thornton Creek NA: Maple Creek,,Conservation,,9924.0,1997/05/14 06:59:59+00,5210200465.0,,{17EB912E-65C5-46FB-96C1-515EDF825E1A},SeattleParks_SeattleCityGIS,2023/08/08 18:43:50+00,SeattleParks_SeattleCityGIS,2023/08/08 18:43:50+00,QL-D3,455.320169378182,10438.0626984741
6,Thornton Creek NA: Maple Creek,,Conservation,,9920.0,1997/05/14 06:59:59+00,5210200161.0,,{D42BFA7F-0C29-41B8-B6B6-93C3B058884F},SeattleParks_SeattleCityGIS,2023/08/08 18:43:50+00,SeattleParks_SeattleCityGIS,2023/08/08 18:43:50+00,QL-D3,358.83520395718,7763.53051667108
7,Me-Kwa-Mooks Natural Area,,Conservation,,16396.0,2004/03/31 08:00:00+00,7936000113.0,,{BA4CB7B8-83F2-45A4-AC7C-BA090EA6B923},SeattleParks_SeattleCityGIS,2023/08/08 18:43:50+00,SeattleParks_SeattleCityGIS,2023/08/08 18:43:50+00,QL-D3,506.181102791059,11626.5852829753
8,Thornton Creek NA: Maple Creek,,Conservation,,9917.0,1997/12/31 08:00:00+00,5116400035.0,,{450880AE-EB30-40A4-A61C-F6165D5C8610},SeattleParks_SeattleCityGIS,2023/08/08 18:43:50+00,SeattleParks_SeattleCityGIS,2023/08/08 18:43:50+00,QL-D3,591.784707364326,14525.6845503667
9,Thornton Creek NA: Maple Creek,,Conservation,,21475.0,1997/05/14 06:59:59+00,5210200468.0,,{41E450B9-DE99-4C5D-905E-82965FAAF522},SeattleParks_SeattleCityGIS,2023/08/08 18:43:50+00,SeattleParks_SeattleCityGIS,2023/08/08 18:43:50+00,QL-D3,354.566865970813,6839.08610919153
10,Me-Kwa-Mooks Natural Area,,Sewer,,,,,,{C3EA6001-49EE-45F7-B6EB-53835A11D7DB},SeattleParks_SeattleCityGIS,2023/08/08 18:43:50+00,SeattleParks_SeattleCityGIS,2023/08/08 18:43:50+00,QL-D3,469.169324565074,1597.55335441519
11,Thornton Creek NA: Maple Creek,,Conservation,,9923.0,1997/05/14 06:59:59+00,5210200466.0,,{D0D85F08-7534-42EB-A04E-67860B1D5E72},SeattleParks_SeattleCityGIS,2023/08/08 18:43:50+00,SeattleParks_SeattleCityGIS,2023/08/08 18:43:50+00,QL-D3,891.210959977779,42510.6845709533
12,Me-Kwa-Mooks Natural Area,,Conservation,,16396.0,2004/03/31 08:00:00+00,7936000087.0,,{7270F7E4-7EFD-4D71-B201-0AAEB99341C8},SeattleParks_SeattleCityGIS,2023/08/08 18:43:50+00,SeattleParks_SeattleCityGIS,2023/08/08 18:43:50+00,QL-D3,416.48038912566,7717.19481906816
13,Washington Park and Arboretum,120933.0,Irrigation Lines and Water Mains,,,,,,{12C0BC1C-9ED5-431E-A110-E7DC9EB9AE32},SeattleParks_SeattleCityGIS,2023/08/08 18:43:50+00,SeattleParks_SeattleCityGIS,2023/08/08 18:43:50+00,QL-D3,346.31554366841,7150.17576584488
14,Thornton Creek NA: Maple Creek,,Conservation,,9921.0,1997/05/14 06:59:59+00,5210200157.0,,{BFD1A45B-A8EC-4F97-A470-860D8BC3819D},SeattleParks_SeattleCityGIS,2023/08/08 18:43:50+00,SeattleParks_SeattleCityGIS,2023/08/08 18:43:50+00,QL-D3,564.898700475489,12421.7795552906
16,Victory Creek Park,1211629.0,Public Access,20040709000587.0,16395.0,,,,{BA207346-B7F3-4271-8B9C-E42D3A897599},SeattleParks_SeattleCityGIS,2023/08/08 18:43:50+00,SeattleParks_SeattleCityGIS,2023/08/08 18:43:50+00,QL-D3,355.555152735575,3927.53366983416
17,St. Marks Greenbelt,,Conservation,9612181365.0,9659.0,1996/10/28 08:00:00+00,6762700860.0,,{E69A52A9-FC95-48B4-B6CD-53A6015DE223},SeattleParks_SeattleCityGIS,2023/08/08 18:43:50+00,SeattleParks_SeattleCityGIS,2023/08/08 18:43:50+00,QL-D3,1122.66224081734,58755.2368791812
18,Thornton Creek NA: Maple Creek,,Conservation,,21476.0,1997/12/31 08:00:00+00,5210200355.0,,{292504B7-46F6-4240-A0E6-17475D2B43AB},SeattleParks_SeattleCityGIS,2023/08/08 18:43:50+00,SeattleParks_SeattleCityGIS,2023/08/08 18:43:50+00,QL-D3,847.444778046426,45919.9082429093
19,Matthews Beach Park,,Utility,,,,,,{EF6F3412-545E-4235-83C5-AA78F0996958},SeattleParks_SeattleCityGIS,2023/08/08 18:43:50+00,SeattleParks_SeattleCityGIS,2023/08/08 18:43:50+00,QL-D3,1407.75863035757,14460.725725744
20,Hillman P-Patch,,Conservation,,16803.0,2006/06/29 06:59:59+00,3331500530.0,,{21DDC1F4-EAE6-4C72-B749-3F6D02F6BBA8},SeattleParks_SeattleCityGIS,2023/08/08 18:43:50+00,SeattleParks_SeattleCityGIS,2023/08/08 18:43:50+00,QL-D3,325.814877106552,6174.55358506158
21,Me-Kwa-Mooks Natural Area,,Conservation,,16396.0,2004/03/31 08:00:00+00,7936000111.0,,{9B33F655-EF1D-4547-B313-527E571936F0},SeattleParks_SeattleCityGIS,2023/08/08 18:43:50+00,SeattleParks_SeattleCityGIS,2023/08/08 18:43:50+00,QL-D3,300.006321979653,5000.09310809461
22,Thornton Creek NA: 25th/95th,,Conservation,,10173.0,1992/10/02 06:59:59+00,1566100305.0,,{DFC47FA7-BF76-4A5F-B81D-AAB8FB0CCBFB},SeattleParks_SeattleCityGIS,2023/08/08 18:43:50+00,SeattleParks_SeattleCityGIS,2023/08/08 18:43:50+00,QL-D3,409.673892110533,8188.75235742558
