"**Please note** 2021 data in columns H, K, R, and U are populated with 2020 data until current data is released.  ",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29
File Name,File Version,Update Date,Region Code,State Code,Date Type,Date,Population age 18-64*,SSA Disability Beneficiaries  age 18-64*,Percent of Adult Population Receiving SSA Adult Disability Benefits,Eligible Adult Population*,Adult Receipts,Eligible Adult Population Filing Rate,Favorable Adult Determinations,Eligible Adult Population Allowance Rate,All Adult Determinations,Adult Favorable  Determination Rate,Population under age 18*,SSI Disabled Child (DC) Beneficiaries*,Percent of Population under age 18 Receiving SSI DC Benefits,Eligible Child Population*,SSI Disabled Child (DC) Receipts,Eligible Child Population Filing Rate,Favorable SSI Child (DC) Determinations,Eligible Child Population Allowance Rate,All SSI Disabled Child Determinations,SSI Disabled Child Allowance Rate,All Determinations,All Favorable Determinations,Favorable Determination Rate
SSA-SA-FYWL.csv,2,3/13/2023,SEA,AK ,FY,2001,407208,12791,3.14,394417,3487,0.88,1573,0.40,3369,46.69,188453,970,0.51,187483,416,0.22,283,0.15,404,70.05,3773,1856,49.19
SSA-SA-FYWL.csv,2,3/13/2023,ATL,AL ,FY,2001,2760170,211792,7.67,2548378,42416,1.66,15279,0.60,39021,39.16,1118057,25307,2.26,1092750,10602,0.97,4344,0.40,10879,39.93,49900,19623,39.32
SSA-SA-FYWL.csv,2,3/13/2023,DAL,AR ,FY,2001,1636232,122081,7.46,1514151,24423,1.61,7931,0.52,24843,31.92,678719,13811,2.03,664908,6615,0.99,2281,0.34,6451,35.36,31294,10212,32.63
SSA-SA-FYWL.csv,2,3/13/2023,SFO,AZ ,FY,2001,3209672,137268,4.28,3072404,31148,1.01,14446,0.47,27934,51.71,1408285,13416,0.95,1394869,4831,0.35,2599,0.19,4563,56.96,32497,17045,52.45
SSA-SA-FYWL.csv,2,3/13/2023,SFO,CA ,FY,2001,21528766,890019,4.13,20638747,198004,0.96,83116,0.40,189867,43.78,9319305,85598,0.92,9233707,27018,0.29,14996,0.16,26280,57.06,216147,98112,45.39
SSA-SA-FYWL.csv,2,3/13/2023,DEN,CO ,FY,2001,2878695,91320,3.17,2787375,19412,0.70,6586,0.24,17689,37.23,1127131,6489,0.58,1120642,2343,0.21,1321,0.12,2349,56.24,20038,7907,39.46
SSA-SA-FYWL.csv,2,3/13/2023,BOS,CT ,FY,2001,2115946,88615,4.19,2027331,17339,0.86,8060,0.40,17955,44.89,842593,5874,0.70,836719,2344,0.28,1043,0.12,2407,43.33,20362,9103,44.71
SSA-SA-FYWL.csv,2,3/13/2023,PHL,DC ,FY,2001,392066,19553,4.99,372513,4190,1.12,1721,0.46,3457,49.78,116000,3401,2.93,112599,1178,1.05,603,0.54,1029,58.60,4486,2324,51.81
SSA-SA-FYWL.csv,2,3/13/2023,PHL,DE ,FY,2001,495410,22294,4.50,473116,4598,0.97,2154,0.46,4087,52.70,195715,2666,1.36,193049,989,0.51,476,0.25,873,54.52,4960,2630,53.02
SSA-SA-FYWL.csv,2,3/13/2023,ATL,FL ,FY,2001,9792187,489839,5.00,9302348,113158,1.22,38777,0.42,105517,36.75,3712535,69160,1.86,3643375,27504,0.75,11929,0.33,25397,46.97,130914,50706,38.73
