OBJECTID,ZIP,Chlamydia_,Gonorrhea_,SHAPE_Length,SHAPE_Area
1,60010,5.38609819707,0.0,178637.109618213,-802735362.801093
2,60015,10.7770430716,1.36996310233,111400.890557562,-367457579.631725
3,60020,17.3238336912,2.1959789186,92363.08462543,-166617676.169473
4,60030,19.9118677469,1.98434420845,247258.224672015,-845517890.63461
5,60031,23.9978902954,3.95569620253,163995.18156145,-527117600.519725
6,60035,13.2385963736,1.17304018501,115796.723819509,-345792947.352408
7,60040,22.2222222222,0.0,25907.3724672055,-17809434.3375795
8,60042,9.35016362786,0.0,45385.3952256937,-45177572.9803738
9,60044,12.3928534545,0.0,92539.7087308084,-212777737.946437
10,60045,10.479625658,1.09670501072,161457.245301156,-621475385.129652
11,60046,17.7859376345,1.864654752,207743.912573801,-730424359.514813
12,60047,12.6714194358,0.769759124606,176981.859419951,-919381804.827633
13,60048,12.9763693484,1.96352957246,196071.573674229,-819008275.917019
14,60060,21.2796795531,1.38350857775,180171.962435806,-617591322.949219
15,60061,15.395501836,1.6256119951,102713.138127103,-257421150.568738
16,60064,85.2308466474,29.877972072,90452.8955856721,-139901116.547721
17,60069,9.93856161908,0.0,146555.427438204,-170066928.728412
18,60073,33.7051008693,3.81335082828,209118.936757727,-519658694.929367
19,60083,27.4513581198,6.26083606242,164753.217611984,-728237916.581256
20,60084,18.1193672402,1.41803743619,159182.367882784,-505163484.500021
21,60085,70.4874001575,16.4529193385,137038.94775375,-391907383.860635
22,60087,50.238871616,9.19466140896,163122.611792904,-389880041.847101
23,60089,7.8251029302,1.08347579034,164174.744391824,-227772422.156281
24,60096,24.6020260492,0.0,62444.4716610905,-141373658.447506
25,60099,67.4717028723,21.2031402718,188925.390246103,-626264179.765553
26,60041,29.4627383016,0.0,152724.616882952,-391955019.532177
