OBJECTID,AV_LEGEND,CLASS,AREANAME,SHAPE_Length,SHAPE_Area
1,P,Prohibited, ,110528.668108469,34300193.5061836
2,P,Prohibited, ,35403.5743901637,8763263.5000594
3,P,Prohibited, ,1315.90895182164,105410.025814721
4,P,Prohibited, ,2201.43945407448,195759.00766446
5,P,Prohibited, ,2872.36430595912,227998.035807389
6,P,Prohibited, ,11641.0022934196,1475796.1044608
7,P,Prohibited, ,30876.3674207698,9848292.11674598
8,P,Prohibited, ,7093.3757018621,1056936.91631487
9,R-R,Restricted-Relay, ,27000.9381445369,20755835.2610523
10,P,Prohibited, ,8685.80679037615,2153479.33914252
11,P,Prohibited, ,3325.9449398589,649824.448978224
12,P,Prohibited, ,18233.4764051813,2859985.96047554
13,P,Prohibited, ,1049.86262420353,67182.6536737955
14,P,Prohibited, ,76975.9264832246,46030724.9318893
15,P,Prohibited, ,415.336101949793,9645.52116959183
16,P,Prohibited, ,4339.32419125533,310855.431289914
17,P,Prohibited, ,16687.388452351,2825746.35630986
18,P,Prohibited, ,1660.32160976092,117231.179073198
19,P,Prohibited, ,1353.61233538872,100164.306596492
20,P,Prohibited, ,4728.61119485349,277615.059026549
21,R-R,Restricted-Relay, ,5450.32853420267,1364105.06443783
22,P,Prohibited, ,1923.26125629161,81737.0586128351
23,P,Prohibited, ,148625.967604136,70734723.7553447
24,R-R,Restricted-Relay, ,1339.77055579444,99317.0673687885
25,R-R,Restricted-Relay, ,4081.38693715107,984009.890632097
26,R-R,Restricted-Relay, ,4773.12076995344,109471.757126604
27,R-R,Restricted-Relay, ,817.674871529599,21436.2781499921
28,CR-R,Conditionally Restricted-Relay, ,8772.07025853077,2362688.45683972
29,R-R,Restricted-Relay, ,2728.35431443247,308023.919129583
30,R-R,Restricted-Relay, ,12715.6799888886,2116911.65137039
31,R-R,Restricted-Relay, ,2366.17854431149,317640.786683606
32,R-R,Restricted-Relay, ,2675.74803638383,193624.492736182
33,P,Prohibited, ,1468.36570663683,95361.286331016
34,R-R,Restricted-Relay, ,1068.5409137585,28606.2931772373
35,CR-R,Conditionally Restricted-Relay, ,959.129580885024,49499.2173359382
36,P,Prohibited, ,4571.77669296932,472805.553966645
37,R-R,Restricted-Relay, ,1489.00620078079,99971.4773514978
38,CR-R,Conditionally Restricted-Relay, ,1411.77601375596,103028.203659084
39,P,Prohibited, ,34788.8021433486,2917799.54222861
40,P,Prohibited, ,1944.46555867061,96593.3622788378
41,CA,Conditionally Approved,Area 'A',14420.64763498,4777072.00121825
42,CR-R,Conditionally Restricted-Relay, ,863.022719370303,45376.7207542911
43,R-R,Restricted-Relay, ,661.994409315519,25547.7134882978
44,R-R,Restricted-Relay, ,12711.2509825548,1061685.99378869
45,R-R/DP,Restricted-Relay/Depuration, ,2467.91937804004,288656.808841146
46,P,Prohibited, ,900.837136435913,53835.8948120349
47,P,Prohibited, ,19356.9558910938,2356187.83111937
48,R-R,Restricted-Relay, ,860.027067180377,36130.9362767908
49,CR-R,Conditionally Restricted-Relay, ,16760.3997007977,8215749.18181148
50,R-R,Restricted-Relay, ,711.991278784439,26554.9677843795
51,P,Prohibited, ,5847.94087828872,401133.078449882
52,R-R,Restricted-Relay, ,427.273604217364,8786.509033281
53,CA,Conditionally Approved,Area 'B',3755.94782204594,410364.166785631
54,CA,Conditionally Approved,Area 'B',12075.6890563087,4786071.63352225
55,R-R,Restricted-Relay, ,384.400611321269,4301.32838951321
56,P,Prohibited, ,237151.383246752,102939048.345774
57,CR-R,Conditionally Restricted-Relay, ,7747.52644114404,1291581.08733983
58,R-R,Restricted-Relay, ,339.556576782628,3892.42274040548
59,P,Prohibited, ,401.435067613529,9608.58989769386
60,P,Prohibited, ,3361.96927050329,259347.643196741
61,P,Prohibited, ,12265.1749492601,516721.602351944
62,R-R,Restricted-Relay, ,1292.01250763993,27172.8303155482
63,P,Prohibited, ,5134.82699788342,1288818.06906734
64,R-R,Restricted-Relay, ,5581.08411679216,1230029.00997001
65,CR-R,Conditionally Restricted-Relay, ,807.652789258875,40303.248153174
66,R-R,Restricted-Relay, ,3915.49784943099,800184.527546773
67,P,Prohibited, ,1073.41485920645,68213.4936518125
68,P,Prohibited, ,2175.99273531802,193222.485360488
69,P,Prohibited, ,776.257499106676,21818.9302626493
70,CR-R,Conditionally Restricted-Relay, ,1028.96326769872,37834.2190179202
