rpt_rec_num,Provider CCN,Facility Name,Street Address,City,State Code,Zip Code,County,Medicare CBSA Number,Rural versus Urban,Fiscal Year Begin Date,Fiscal Year End Date,Type of Control,Total Days Title V,Total Days Title XVIII,Total Days Title XIX,Total Days Other,Total Days Total,Number of Beds,Total Bed Days Available,Total Discharges Title V,Total Discharges Title XVIII,Total Discharges Title XIX,Total Discharges Title Other,Total Discharges Total,SNF Average Length of Stay Title V,SNF Average Length of Stay Title XVIII,SNF Average Length of Stay Title XIX,SNF Average Length of Stay Total,SNF Admissions Title V,SNF Admissions Title XVIII,SNF Admissions Title XIX,SNF Admissions Other,SNF Admissions Total,SNF Days Title V,SNF Days Title XVIII,SNF Days Title XIX,SNF Days Other,SNF Days Total,SNF Number of Beds,SNF Bed Days Available,SNF Discharges Title V,SNF Discharges Title XVIII,SNF Discharges Title XIX,SNF Discharges Title Other,SNF Discharges Total,NF Number of Beds,NF Bed Days Available,NF Days Title V,NF Days Title XIX,NF Days Other,NF Days Total,NF Discharges Title V,NF Discharges Title XIX,NF Discharges Title Other,NF Discharges Total,NF Average Length of Stay Title V,NF Average Length of Stay Title XIX,NF Average Length of Stay Total,NF Admissions Title V,NF Admissions Title XIX,NF Admissions Other,NF Admissions Total,Total RUG Days,Total Salaries From Worksheet A,Overhead Non-Salary Costs,Total Charges,Total Costs,Wage-related Costs (core),Total Salaries (adjusted),Contract Labor,Cash on hand and in banks,Temporary Investments,Notes Receivable,Accounts Receivable,Less: Allowances for uncollectible notes and accounts receivable,Inventory,Prepaid expenses,Other current assets,Total Current Assets,Land,Land improvements,Buildings,Leasehold improvements,Fixed equipment,Major movable equipment,Minor equipment depreciable,Total fixed Assets,Investments,Other Assets,Total other Assets,Total Assets,Accounts payable,"Salaries, wages, and fees payable",Payroll taxes payable,Notes and Loans Payable (short term),Deferred income,Other current liabilities,Total current liabilities,Mortgage payable,Notes Payable,Unsecured Loans,Other long term liabilities,Total long term liabilities,Total liabilities,General fund balance,Total fund balances,Total Liabilities and fund balances,Total General Inpatient Care Services Revenue,Inpatient Revenue,Outpatient Revenue,Gross Revenue,Less Contractual Allowance and discounts on patients' accounts,Net Patient Revenue,Less Total Operating Expense,Net Income from service to patients,Total Other Income,Total Income,Net Income,Inpatient PPS Amount,Nursing and Allied Health Education Activities,Allowable Bad Debts
1226920,525009,CROSSROADS CARE CENTER OF EAST GREEN,600 S WEBSTER AVENUE,GREEN BAY,WI,54301,BROWN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1228236,45228,MAPLE HEALTHCARE,200 S MAPLE STREET,HAZEN,AR,72064,PRAIRIE,99904.0,R,11/01/2018,12/31/2018,4.0,,42.0,1739.0,131.0,1912.0,70.0,4270.0,,3.0,7.0,1.0,11.0,,14.0,248.43,173.82,,3.0,7.0,2.0,12.0,,42.0,1739.0,131.0,1912.0,70.0,4270.0,,3.0,7.0,1.0,11.0,,,,,,,,,,,,,,,,,,42.0,199985.0,177313.0,77227.0,28381.0,24783.0,199985.0,,-52994.0,,,138970.0,,,,,95653.0,,,,,,6429.0,,5906.0,,10000.0,10000.0,111559.0,7613.0,59825.0,,,,26837.0,94275.0,,,,,,94275.0,17284.0,17284.0,111559.0,340581.0,417808.0,,417808.0,23226.0,394582.0,377298.0,17284.0,,17284.0,17284.0,28381.0,,
1230331,435123,GOOD SAMARITAN SOCIETY-SELBY,4861 LINCOLN AVE,SELBY,SD,57472-0299,WALWORHT,99943.0,R,10/01/2018,11/30/2018,1.0,,204.0,1314.0,1098.0,2616.0,50.0,3050.0,,3.0,7.0,36.0,46.0,,68.0,187.71,56.87,,22.0,8.0,16.0,46.0,,204.0,1314.0,1098.0,2616.0,50.0,3050.0,,3.0,7.0,36.0,46.0,,,,,,,,,,,,,,,,,,204.0,196753.0,1477583.0,168244.0,110922.0,56833.0,196753.0,218135.0,85459.0,10522.0,,320167.0,13479.0,6989.0,2722.0,,412380.0,,,2528.0,,,,,2528.0,,6247.0,6247.0,421155.0,151920.0,88965.0,,,80.0,-3353.0,237612.0,,,,,,237612.0,183543.0,183543.0,421155.0,565600.0,719978.0,14282.0,734260.0,206443.0,527817.0,1674336.0,-1146519.0,4910.0,-1141609.0,-1143442.0,92469.0,,
1232670,525232,CCC OF WEST GREEN BAY  LLC,1760 SHAWANO AVENUE,GREEN BAY,WI,54303,BROWN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1235138,35270,LA ESTANCIA NURSING & REHAB CENTER,15810 SOUTH 42ND STREET,PHOENIX,AZ,85048,MARICOPA,38060.0,U,11/01/2018,12/31/2018,4.0,,328.0,5089.0,813.0,6230.0,192.0,11712.0,,12.0,18.0,31.0,61.0,,27.33,282.72,102.13,,8.0,15.0,37.0,60.0,,328.0,5089.0,813.0,6230.0,192.0,11712.0,,12.0,18.0,31.0,61.0,,,,,,,,,,,,,,,,,,328.0,670243.0,839732.0,538536.0,233121.0,100340.0,670243.0,,6634.0,,,1265667.0,,46452.0,,,1476169.0,,,4242811.0,,,22493.0,,4265304.0,,-784369.0,-784369.0,4957104.0,222514.0,157352.0,,,8074.0,101118.0,489058.0,4396794.0,,,,4396794.0,4885852.0,71252.0,71252.0,4957104.0,1346040.0,1884576.0,,1884576.0,303500.0,1581076.0,1509975.0,71101.0,150.0,71251.0,71251.0,184409.0,,
1235140,35296,WELBROOK SENIOR LIVING FLAGSTAFF LLC,1521 N PINE CLIFF DR,FLAGSTAFF,AZ,86001,COCONINO COUNTY,22380.0,U,10/11/2018,12/31/2018,4.0,,400.0,,124.0,524.0,45.0,3690.0,,19.0,,,19.0,,21.05,,27.58,,20.0,,,20.0,,400.0,,124.0,524.0,45.0,3690.0,,19.0,,,19.0,,,,,,,,,,,,,,,,,,400.0,353280.0,552505.0,135823.0,128982.0,41953.0,353280.0,,108553.0,,,250591.0,10553.0,,1370.0,15205.0,365166.0,,,,,120053.0,25534.0,,141979.0,,,,507145.0,161146.0,88033.0,,,,3000.0,252179.0,,,,,1359205.0,1611384.0,-1104239.0,-1104239.0,507145.0,305400.0,439182.0,,439182.0,188591.0,250591.0,905785.0,-655194.0,348.0,-654846.0,-654846.0,226596.0,,
1235613,145603,ACCOLADE HEALTHCARE OF THE HEARTLAND,1001 EAST PELLS STREET,PAXTON,IL,60957,FORD,16580.0,U,10/17/2018,12/31/2018,6.0,,234.0,3686.0,2582.0,6502.0,103.0,7828.0,,11.0,3.0,77.0,91.0,,21.27,1228.67,71.45,,39.0,38.0,69.0,146.0,,234.0,3686.0,2582.0,6502.0,103.0,7828.0,,11.0,3.0,77.0,91.0,,,,,,,,,,,,,,,,,,234.0,652680.0,950808.0,630541.0,188063.0,118380.0,652680.0,268548.0,18547.0,,,874022.0,96500.0,,10204.0,,758308.0,,,,15000.0,,41588.0,,53689.0,,401604.0,401604.0,1213601.0,527280.0,153614.0,15607.0,,,41652.0,738153.0,,9178.0,,348160.0,657338.0,1395491.0,-181890.0,-181890.0,1213601.0,1547211.0,2177752.0,,2177752.0,759172.0,1418580.0,1603488.0,-184908.0,3018.0,-181890.0,-181890.0,109640.0,,
1235717,365483,MIAMI COV SNF INC.,75 MOTE DRIVE,COVINGTON,OH,45318,MIAMI,19380.0,U,12/01/2018,12/31/2018,5.0,,64.0,1220.0,358.0,1642.0,99.0,3069.0,,2.0,45.0,34.0,81.0,,32.0,27.11,20.27,,13.0,92.0,40.0,145.0,,64.0,1220.0,358.0,1642.0,99.0,3069.0,,2.0,45.0,34.0,81.0,,,,,,,,,,,,,,,,,,64.0,154515.0,227846.0,41016.0,36531.0,16319.0,154515.0,20498.0,62265.0,,,318191.0,,,93758.0,,474214.0,,,,,,,,,,,34000.0,508214.0,56182.0,77758.0,,161228.0,,183541.0,478709.0,,,,,,478709.0,29505.0,29505.0,508214.0,353930.0,394946.0,,394946.0,57744.0,337202.0,382361.0,-45159.0,1864.0,-43295.0,-43295.0,50686.0,,
1235817,15463,KNOLLWOOD HEALTHCARE,3151 A KNOLLWOOD DRIVE,MOBILE,AL,36693,MOBILE,33660.0,U,11/06/2018,12/31/2018,4.0,,310.0,2879.0,535.0,3724.0,71.0,3976.0,,8.0,18.0,7.0,33.0,,38.75,159.94,112.85,,11.0,9.0,7.0,27.0,,310.0,2879.0,535.0,3724.0,71.0,3976.0,,8.0,18.0,7.0,33.0,,,,,,,,,,,,,,,,,,310.0,492037.0,362938.0,223521.0,120641.0,58215.0,492037.0,,11550.0,,,538776.0,,,7369.0,,513044.0,,,,2825.0,,1906.0,,4465.0,,59164.0,59164.0,576673.0,202332.0,139917.0,,,,,342249.0,,,,,,342249.0,234424.0,234424.0,576673.0,958071.0,1181592.0,,1181592.0,160312.0,1021280.0,854975.0,166305.0,3631.0,169936.0,169936.0,116352.0,,
1235869,115733,GLEN EAGLE HEALTHCARE & REHAB,206 MAIN STREET EAST,ABBEVILLE,GA,31001,WILCOX,99911.0,R,10/12/2018,12/31/2018,6.0,,28.0,,1046.0,1074.0,66.0,5346.0,,,,5.0,5.0,,,,214.8,,1.0,,13.0,14.0,,28.0,,1046.0,1074.0,66.0,5346.0,,,,5.0,5.0,,,,,,,,,,,,,,,,,,28.0,440750.0,326962.0,38436.0,24334.0,58803.0,440750.0,,3248.0,,,118943.0,,,100.0,,122291.0,,,,,,39475.0,,37409.0,,-14439.0,-14439.0,145261.0,71242.0,24834.0,9228.0,,,,105304.0,,,,716000.0,716000.0,821304.0,-676043.0,-676043.0,145261.0,176833.0,215269.0,,215269.0,5619.0,209650.0,858614.0,-648964.0,,-648964.0,-651687.0,8329.0,,
