X,Y,OBJECTID,NAME,ADDRESS,DIVISION,SOCCER,OVERLAPPIN,E_SURFACE,E_LIGHTS,PMAID,LOCID,AMWO_ID,RES1,RES2,GLOBALID,GIS_CREATOR,GIS_CRT_DT,GIS_EDITOR,GIS_EDT_DT,SDQL
1262425.24999988,208836.68743889,1059,Delridge PF,Delridge Way S & SW Genesee St,South,1,Y,Synthetic,Yes,450.0,,,4- Sched,,{C5E35159-63E0-4921-8E5C-F704695864BB},SeattleParks_SeattleCityGIS,2023/11/20 20:59:08+00,SeattleParks_SeattleCityGIS,2023/11/20 20:59:08+00,QL-D3
1285682.12507397,207158.703262061,1060,Lakewood PG,S Angeline St & 50th  Ave S,South,1,Y,Grass,No,414.0,,,2- Sched,,{4EF4F907-38AD-44BD-8C84-A63D1F739B3C},SeattleParks_SeattleCityGIS,2023/11/20 20:59:08+00,SeattleParks_SeattleCityGIS,2023/11/20 20:59:08+00,QL-D3
1270117.5000353,257193.093678638,1061,Robert Eagle Staff MS,1330 N 90th St,SSD,1,Y,Synthetic,No,,,,3-Sched,,{29D7681D-E4C5-4134-A7A0-1FB86F615595},SeattleParks_SeattleCityGIS,2023/11/20 20:59:08+00,SeattleParks_SeattleCityGIS,2023/11/20 20:59:08+00,QL-D3
1265653.25010556,235746.156257644,1062,East Queen Anne PG,1912 Warren Ave N,Central,1,N,Grass,No,329.0,,,,,{38194453-6DA2-4E5C-92FE-0301EA4887F4},SeattleParks_SeattleCityGIS,2023/11/20 20:59:08+00,SeattleParks_SeattleCityGIS,2023/11/20 20:59:08+00,QL-D3
1271874.75012971,264571.124854311,1063,Northgate ES,11725 1st Ave NE,SSD,1,Y,Grass,No,,,,3- Sched,,{B9D43DC0-2B04-41CE-A4BF-9C4926284505},SeattleParks_SeattleCityGIS,2023/11/20 20:59:08+00,SeattleParks_SeattleCityGIS,2023/11/20 20:59:08+00,QL-D3
1273979.37518555,228190.328193471,1064,Bobby Morris PF,1700 Negel Pl,Central,1,Y,Synthetic,Yes,3102.0,,,3 - Sched,,{8A9FB5EA-18F8-4553-8D5E-879094BFD21B},SeattleParks_SeattleCityGIS,2023/11/20 20:59:08+00,SeattleParks_SeattleCityGIS,2023/11/20 20:59:08+00,QL-D3
1274408.06527306,204909.551592395,1065,Cleveland PF,5511 15th Ave S,South,1,N,Synthetic,Yes,404.0,,,1- Sched,,{8AD47B2D-4DCD-4327-8DF3-E42A49449749},SeattleParks_SeattleCityGIS,2023/11/20 20:59:08+00,SeattleParks_SeattleCityGIS,2023/11/20 20:59:08+00,QL-D3
1283037.12511463,253459.984346971,1066,Thornton Creek ES,7711 43rd Ave NE,SSD,2,Y,Grass,No,,,,,,{887E6D61-2A95-431E-8673-92D1DE39077E},SeattleParks_SeattleCityGIS,2023/11/20 20:59:08+00,SeattleParks_SeattleCityGIS,2023/11/20 20:59:08+00,QL-D3
1262930.76375264,203390.881729469,1067,Boren K-8,5950 Delridge Way SW,SSD,1,Yes,Grass,No,,,,2- Sched,,{0211D042-130E-47F8-A59F-302DB1F75088},SeattleParks_SeattleCityGIS,2023/11/20 20:59:08+00,SeattleParks_SeattleCityGIS,2023/11/20 20:59:08+00,QL-D3
1280572.27636981,196556.894741312,1068,Van Asselt ES,8311 Beacon Ave S,SE,1,Yes,Grass,No,,,,,,{43CB74C5-76C8-47BE-A2F2-43D54EFA1F9E},SeattleParks_SeattleCityGIS,2023/11/20 20:59:08+00,SeattleParks_SeattleCityGIS,2023/11/20 20:59:08+00,QL-D3
1266839.87502889,243113.437454805,1069,B.F. Day PG,4020 Freemont Ave N,North,1,Y,Grass,No,241.0,,,2- Sched,,{451C8849-3E9E-44AE-8B35-6854687CE402},SeattleParks_SeattleCityGIS,2023/11/20 20:59:08+00,SeattleParks_SeattleCityGIS,2023/11/20 20:59:08+00,QL-D3
1282732.25006822,203275.312406808,1070,Brighton PF,39th Ave W & S Juneau St,South,1,Y,Synthetic,Yes,402.0,,,4- Sched,,{395BF738-E1D3-4653-AC99-90EFABC93867},SeattleParks_SeattleCityGIS,2023/11/20 20:59:08+00,SeattleParks_SeattleCityGIS,2023/11/20 20:59:08+00,QL-D3
1282568.19134122,234511.666272566,1071,McGilvra ES,1617 38th Ave NE,SSD,1,N,Synthetic,No,,,,1- Sched,,{AF0B10C7-127C-4B10-954C-0666CBB20E3A},SeattleParks_SeattleCityGIS,2023/11/20 20:59:08+00,SeattleParks_SeattleCityGIS,2023/11/20 20:59:08+00,QL-D3
1283069.37505014,260621.203292221,1072,John Rogers ES,4030 NE 109th St,SSD,1,Y,Grass,No,,,,2- Sched,,{E8A548AE-0925-4878-A897-E5EA654AD175},SeattleParks_SeattleCityGIS,2023/11/20 20:59:08+00,SeattleParks_SeattleCityGIS,2023/11/20 20:59:08+00,QL-D3
1273035.25010531,204646.734532729,1073,Georgetown PF,750 S Homer St,South,1,Y,Synthetic,Yes,410.0,,,2- Sched,,{A43AE1A4-669B-4156-AD8F-1FC9A7A0EAB5},SeattleParks_SeattleCityGIS,2023/11/20 20:59:08+00,SeattleParks_SeattleCityGIS,2023/11/20 20:59:08+00,QL-D3
1275794.12516497,264776.968602732,1074,Pinehurst PG,12029 14th Ave NE,North,1,N,Grass,No,382.0,,,2- Sched,,{30C39785-23A6-4CF5-804E-6E1BB91BE69C},SeattleParks_SeattleCityGIS,2023/11/20 20:59:08+00,SeattleParks_SeattleCityGIS,2023/11/20 20:59:08+00,QL-D3
1283709.64115806,208827.85970065,1075,Genesee Park & PF,4316 S Genesee St,South,2,N,Synthetic,Yes,409.0,,,2- Sched,,{28E0F6B9-E337-4968-BFD5-240F83F06894},SeattleParks_SeattleCityGIS,2023/11/20 20:59:08+00,SeattleParks_SeattleCityGIS,2023/11/20 20:59:08+00,QL-D3
1255790.25014655,212917.937478483,1076,Madison MS,3429 45th Ave SW,SSD,1,N,Grass,No,,,,1- Sched,,{67B10B2B-D29B-402C-9940-9C6B789D1F08},SeattleParks_SeattleCityGIS,2023/11/20 20:59:08+00,SeattleParks_SeattleCityGIS,2023/11/20 20:59:08+00,QL-D3
1259680.96907113,239654.848899558,1077,Interbay Stadium,3027 17th Ave W,Central,1,N,Synthetic,Yes,3887.0,,,1- Sched,,{7D94EAAA-2BD1-4778-8A13-5497231DBC08},SeattleParks_SeattleCityGIS,2023/11/20 20:59:08+00,SeattleParks_SeattleCityGIS,2023/11/20 20:59:08+00,QL-D3
1259298.71097739,251211.631232142,1078,Salmon Bay K-8,1810 NW 65th St,SSD,1,N,Synthetic,No,,,,1,,{6ACB9906-742B-4527-B07A-456697C84F6C},SeattleParks_SeattleCityGIS,2023/11/20 20:59:08+00,SeattleParks_SeattleCityGIS,2023/11/20 20:59:08+00,QL-D3
1278925.81279922,199397.871014729,1079,Van Asselt ES (Closed),7201 Beacon Ave South,SSD,1,N,Synthetic,No,,,,1,,{55658301-0F78-4C8E-85FD-BA8A58DF9E74},SeattleParks_SeattleCityGIS,2023/11/20 20:59:08+00,SeattleParks_SeattleCityGIS,2023/11/20 20:59:08+00,QL-D3
1279559.0047743,213813.039034724,1080,Franklin HS,3013 S Mt Baker Blvd,SSD,1,Y,Synthetic,No,,,,2- sched,,{782E1A40-10DA-4AD2-896B-BC5E42400260},SeattleParks_SeattleCityGIS,2023/11/20 20:59:08+00,SeattleParks_SeattleCityGIS,2023/11/20 20:59:08+00,QL-D3
1256682.12500322,249293.937560976,1081,Ballard PG,6020 28th Ave NW,North,1,Y,Grass,Yes,497.0,,,3- Sched,,{1902667A-80A8-4E59-9707-1811CA8301C6},SeattleParks_SeattleCityGIS,2023/11/20 20:59:08+00,SeattleParks_SeattleCityGIS,2023/11/20 20:59:08+00,QL-D3
1279690.12491889,200186.734266385,1082,Van Asselt PG,27050 Beacon Ave S,South,1,Y,Grass,No,431.0,,,3- Sched,,{FED6AA45-1EB3-4BC3-A1A7-304FF1CDE8F3},SeattleParks_SeattleCityGIS,2023/11/20 20:59:08+00,SeattleParks_SeattleCityGIS,2023/11/20 20:59:08+00,QL-D3
1264234.4999903,239184.187439308,1083,Queen Anne Bowl PF,2806 3rd Ave W,Central,1,Y,Synthetic,No,3984.0,,,1- Sched,,{5B7A9D6D-995B-46C4-B511-1743812774B8},SeattleParks_SeattleCityGIS,2023/11/20 20:59:08+00,SeattleParks_SeattleCityGIS,2023/11/20 20:59:08+00,QL-D3
1260953.3749909,198073.453059897,1084,E.C. Hughes PG,2805 SW Holden St,South,1,Y,Grass,No,458.0,,,4- Sched,,{09BBCDB7-3480-4604-B85C-BE3D664821CA},SeattleParks_SeattleCityGIS,2023/11/20 20:59:08+00,SeattleParks_SeattleCityGIS,2023/11/20 20:59:08+00,QL-D3
1275427.80667189,209833.197913066,1085,Jefferson Park & PF,3801 Beacon Ave S,South,1,Y,Synthetic,Yes,114.0,,,2- Sched,,{5B0BFB4D-DA6C-4506-A65E-127ED0DEDD9B},SeattleParks_SeattleCityGIS,2023/11/20 20:59:08+00,SeattleParks_SeattleCityGIS,2023/11/20 20:59:08+00,QL-D3
1251949.99995306,214833.45300439,1086,Alki PG,58th Ave SW & SW Lander St,South,1,Y,Grass,No,446.0,,,2- Sched,,{27889058-A304-4BFC-8B56-23BC1F1F5255},SeattleParks_SeattleCityGIS,2023/11/20 20:59:08+00,SeattleParks_SeattleCityGIS,2023/11/20 20:59:08+00,QL-D3
1259574.97814138,258235.700189233,1087,Whitman MS,9201 15th Ave NW,SSD,1,N,Synthetic,No,,,,1- Sched,,{AB35DFC6-E08E-4B5D-A5E2-0AC49B7EEDE1},SeattleParks_SeattleCityGIS,2023/11/20 20:59:08+00,SeattleParks_SeattleCityGIS,2023/11/20 20:59:08+00,QL-D3
1254447.09305598,239585.948774889,1088,West Magnolia PF,2518 34th Ave W,Central,2,Y,Grass,No,319.0,,,11- Sched,,{B38D9D68-81D4-41D2-B92F-AC0B4311FB93},SeattleParks_SeattleCityGIS,2023/11/20 20:59:08+00,SeattleParks_SeattleCityGIS,2023/11/20 20:59:08+00,QL-D3
1285923.52649406,194957.481273472,1089,Rainier Beach HS,8815 Seward Park Ave S,SSD,1,Y,Synthetic and Grass,Yes,,,,3- Sched,,{0E77538B-0031-4EAC-A83F-623DFE1CFCAD},SeattleParks_SeattleCityGIS,2023/11/20 20:59:08+00,SeattleParks_SeattleCityGIS,2023/11/20 20:59:08+00,QL-D3
1261097.0554778,250725.140735313,1090,Ballard HS,1418 NW 65th St,SSD,1,Y,Synthetic,No,,,,2- Sched,,{2F088CF9-92FE-4647-857C-46ED7D8D9F89},SeattleParks_SeattleCityGIS,2023/11/20 20:59:08+00,SeattleParks_SeattleCityGIS,2023/11/20 20:59:08+00,QL-D3
1284679.37478289,194998.28138873,1091,Rainier Beach PF,8825 Rainier Ave S,South,1,N,Grass,No,422.0,,,3- Sched,,{DFCE2C22-8BD8-453C-9423-FA61990AEF5B},SeattleParks_SeattleCityGIS,2023/11/20 20:59:08+00,SeattleParks_SeattleCityGIS,2023/11/20 20:59:08+00,QL-D3
