OBJECTID,AREA,PERIMETER,LC_SOIL2_,LC_SOIL2_I,SOILCODE,SLOPE,SLOPE2,EROSION,SMCHCODE,HYDRIC,HYDINCL,HELSOIL,PRIMEAG,ACRES,GlobalID
1,228514.4566,3396.80943,2,1,530B,B,2, ,C,N,N,N,Y,5.24597,fe200d05-f708-46fb-97a6-fd8c0eb98bd1
2,1138896.15731,15817.14989,3,2,232A,A,1, ,C,Y,N,N,N,26.14546,a2d0d46e-5ee5-4f25-b3af-70a1e4e33d43
3,88576.09415,2268.45337,4,3,530C,C,3, ,C,N,N,N,Y,2.03343,4a538e30-c4a4-4430-9e94-acf60ca48ea9
4,1078316.03405,4523.16641,5,4,W, ,0, ,Z,Y,N,N,N,24.75473,4818ac18-5e0f-49a7-a3fc-036f8d75281b
5,635532.1728,7735.17676,6,5,530D3,D,4,3,C,N,N,N,N,14.58981,e4141614-2683-4e6f-a333-c56399e5bb53
6,50226.11397,844.8631,7,6,232A,A,1, ,C,Y,N,N,N,1.15303,b67838a7-0d81-49d4-89ca-77848ca51680
7,821673.35811,6497.01132,8,7,530C,C,3, ,C,N,N,N,Y,18.86302,dac037e8-c591-4764-9b52-8883e2e31d4d
8,27943.46408,802.53472,9,8,805B,B,2, ,C,N,N,N,N,0.64149,42210db3-dc41-4bd3-b1ea-e6dfb271d8b2
9,112718.52001,2107.88282,10,9,530D,D,4, ,C,N,N,N,N,2.58766,6728efee-69c8-45be-8cca-e45b2939163a
10,334894.04013,3050.3744,11,10,530F,F,6, ,C,N,N,Y,N,7.68811,004988ec-fe4b-4ad9-96a6-1c707b3d1cba
11,694573.16271,6611.8172,12,11,530B,B,2, ,C,N,N,N,Y,15.94521,1d15f970-53bd-4903-8db1-37b9346cfe67
12,328399.9855,2428.88999,13,12,W, ,0, ,Z,Y,N,N,N,7.53903,97838576-b458-4944-9082-241406ce321f
13,92085.02106,1240.20286,14,13,530E2,E,5,2,C,N,N,N,N,2.11398,e0270765-46ec-45d0-b509-b08a34d0ed5b
14,321437.58632,4912.18785,15,14,1103A,A,1, ,D,Y,N,N,N,7.37919,c4ef60f3-ebc8-4081-bd1b-d3df14dec2aa
15,188495.9193,3364.08464,16,15,530C,C,3, ,C,N,N,N,Y,4.32727,95ab98bd-5155-4c47-8f41-84fb8e591793
16,37010.60054,1126.92767,17,16,W, ,0, ,Z,Y,N,N,N,0.84965,b73af54e-337b-4b72-b446-f8317b2e0126
17,431194.67256,6206.51051,18,17,232A,A,1, ,C,Y,N,N,N,9.89887,0cc03c6a-d6a5-4e22-bf70-1c6e326953fd
18,146709.51436,1569.04304,19,18,23B,B,2, ,C,N,N,N,Y,3.36799,456ae9b9-f813-43de-8e05-ac3e6248d091
19,424537.56154,5659.21595,20,19,530B,B,2, ,C,N,N,N,Y,9.74604,dc26a89e-0bf7-4a3e-8909-95c8a95d4e81
20,796621.60823,6816.91728,21,20,1103A,A,1, ,D,Y,N,N,N,18.28792,fa86b80b-ebae-49f5-8f11-24011aa69790
21,50209.08245,1070.69644,22,21,530B2,B,2,2,C,N,N,N,Y,1.15264,96572c78-e59a-451d-b98f-833cde03dc25
22,261177.72469,3013.05146,23,22,232A,A,1, ,C,Y,N,N,N,5.99582,f28662b3-b519-4ce4-90fd-b7a56e4f08ba
23,12787.21626,507.12336,24,23,153A,A,1, ,B,Y,N,N,N,0.29355,cd3f820e-2726-4c38-9ddb-9f0cb65bec4d
24,292828100.52533,623265.38757,25,24,W, ,0, ,Z,Y,N,N,N,6722.40818,574a34ca-052b-410f-886f-f4d528a3c44f
25,51862.6847,1016.88363,26,25,153A,A,1, ,B,Y,N,N,N,1.1906,94813eb5-eafc-4d69-8629-ce065092da26
26,253863.88569,2107.57296,27,26,189B,B,2, ,C,N,N,N,Y,5.82791,57db2d86-8297-48eb-82c1-4d31cad41e29
27,85094.68587,1216.08845,28,27,370C2,C,3,2,C,N,N,N,Y,1.95351,20487627-848c-4e80-b84a-9836ef480b90
28,44125.39422,1323.91106,29,28,189A,A,1, ,C,N,Y,N,Y,1.01298,d1ca43f7-6da9-4207-b915-dcb71d9e08b4
29,1291393.88475,9908.22551,30,29,370B,B,2, ,C,N,N,N,Y,29.64632,aad7fd10-77a0-4e45-b778-f05615c9ed27
30,272564.67594,4572.70861,31,30,465A,A,1, ,D,Y,N,N,N,6.25722,b859e66e-050a-46af-ab0b-04a715462795
31,169757.97793,2511.27725,32,31,530C,C,3, ,C,N,N,N,Y,3.89711,57203dcf-19d1-47ee-bf01-930373a053e0
32,97550.38705,1667.67963,33,32,189A,A,1, ,C,N,Y,N,Y,2.23945,43aff5f3-a216-4fd4-b698-9b854b901b20
33,216381.52684,2435.44055,34,33,370B,B,2, ,C,N,N,N,Y,4.96744,67aa7724-4e08-4053-9cc4-f80cce7c6455
34,764629.04232,4225.46019,35,34,1103A,A,1, ,D,Y,N,N,N,17.55347,98a18223-c766-464f-8709-11cf6f8664cd
35,327332.37266,3671.2934,36,35,530C2,C,3,2,C,N,N,Y,Y,7.51452,d7c8147d-0943-4c62-b08f-6216f43cab54
36,50428.04466,1297.68133,37,36,153A,A,1, ,B,Y,N,N,N,1.15767,c14a9c2a-98b0-4156-b843-88aa9237efe1
37,59261.81286,1049.70641,38,37,530C,C,3, ,C,N,N,N,Y,1.36046,ef490847-0730-440a-be20-45518ab0de07
38,41838.12392,993.43029,39,38,969E2,E,5,2,B,N,N,Y,N,0.96047,85c5b868-c9f1-4459-af44-66153c9c7b8e
39,594605.61868,4663.48861,40,39,530B2,B,2,2,C,N,N,N,Y,13.65027,8eacbea0-0eb0-42a8-9d64-c7fa5975d426
40,171394.75921,2496.263,41,40,530D2,D,4,2,C,N,N,Y,N,3.93468,002fa222-c0fd-41eb-945c-9592912e4ce6
41,222445.32678,2550.45409,42,41,327B,B,2, ,B,N,N,N,Y,5.10664,ebfe7123-4fe2-4b67-ab94-00ce3904c74f
42,276171.05384,4091.94119,43,42,530D2,D,4,2,C,N,N,Y,N,6.34002,43f4f1ef-b2f4-4a7d-90e3-a43c8ce2c2b4
43,505091.6284,2977.42355,44,43,979B,B,2, ,C,N,N,N,Y,11.59531,1aea661b-bd07-4da4-bc95-9ac5c51feb6c
44,1459159.05785,10506.09539,45,44,531B,B,2, ,C,N,N,N,Y,33.49768,396be8c7-7575-42fd-8e0c-731a75da80c1
45,243090.50355,3406.57137,46,45,103A,A,1, ,A,Y,N,N,N,5.58059,f87d8b8f-6416-463e-92e3-238489bc91d8
46,2957193.98608,16264.56859,47,46,4103A,A,1, ,D,Y,N,N,N,67.88783,52bfd981-7a6e-4c18-b14f-7bdd6d930b51
47,43208.4216,847.90459,48,47,1103A,A,1, ,D,Y,N,N,N,0.99193,ec473aec-f666-45c3-bc35-66394252bd8c
48,219832.55762,2271.0842,49,48,298A,A,1, ,C,N,Y,N,N,5.04666,5c7b0c1b-38ff-4522-9104-2a87c4456bc9
49,278015.97664,3149.53666,50,49,530D,D,4, ,C,N,N,N,N,6.38237,c0701f1b-5e65-4b50-bb7e-29687dfae48a
50,38752.99133,1158.37643,51,50,146B,B,2, ,C,N,N,N,Y,0.88965,3749ba46-65fd-4859-99cc-424b48971bb7
51,236432.31219,3094.63097,52,51,189A,A,1, ,C,N,Y,N,Y,5.42774,ae1bd5c6-f85d-4ad8-9e2a-6d454f400710
52,393804.83027,2969.85117,53,52,531B,B,2, ,C,N,N,N,Y,9.04051,99d6eafd-511a-4b77-8a36-e5041eaf35f9
53,346644.97107,2347.51521,54,53,103A,A,1, ,A,Y,N,N,N,7.95787,c8736e81-4793-43de-86c7-0f77fb0270c4
54,275981.52874,2241.16344,55,54,530B,B,2, ,C,N,N,N,Y,6.33566,b51f2e8b-b1e2-448a-8104-ee93f112605d
55,125435.45544,1748.08104,56,55,805B,B,2, ,C,N,N,N,N,2.8796,9bf874e3-c56d-40e6-8763-8b2d230777a5
56,193998.17786,2593.12418,57,56,23B,B,2, ,C,N,N,N,Y,4.45359,8d39a303-77fe-4761-b9ba-1b3f1db399cc
57,1511963.11058,10469.15825,58,57,530B2,B,2,2,C,N,N,N,Y,34.7099,f7ade6cc-4f79-4043-8be5-8c8cac77a819
58,2306975.89415,27997.75661,59,58,298A,A,1, ,C,N,Y,N,N,52.96088,29c1bf59-b153-4759-b0c8-52974d33884e
59,13699.96521,520.54298,60,59,989B,B,2, ,C,N,N,N,Y,0.31451,0d3f7ee1-4026-46ce-9345-7f91ed4f1a8c
60,1041352.45233,7583.707,61,60,530B2,B,2,2,C,N,N,N,Y,23.90616,2826eeff-ed84-4c87-bf5a-67445857069a
61,2881.32391,299.39033,62,61,989B,B,2, ,C,N,N,N,Y,0.06615,7a71943e-6dab-47d1-a4d9-ecb6afeaa723
62,838767.38952,7635.57367,63,62,696B,B,2, ,B,N,N,N,Y,19.25545,f6ade59a-9017-4409-bbcc-f297e835b272
63,461054.34146,4056.88388,64,63,1103A,A,1, ,D,Y,N,N,N,10.58435,75c953c5-0e66-4016-afb4-1d46f654ff30
64,36166.02527,944.69337,65,64,323C2,C,3,2,B,N,N,Y,N,0.83026,0509b969-62ce-4d78-9713-c80bbbeafc1a
65,98183.31837,1258.40633,66,65,802B,B,2, ,B,N,N,N,N,2.25398,04543cb6-b5f2-48b7-abbd-2b304df3c321
66,982860.6626,10168.91171,67,66,465A,A,1, ,D,Y,N,N,N,22.56338,6c895a30-4173-4c47-818c-31cbbd03a81a
67,165339.95851,1642.01978,68,67,189A,A,1, ,C,N,Y,N,Y,3.79568,48910861-6a20-4c31-adad-8097e2e4418f
68,192341.87468,2620.92554,69,68,465A,A,1, ,D,Y,N,N,N,4.41556,d210347a-e23e-45c2-a557-2028d7d07233
69,318112.71005,3023.76073,70,69,189A,A,1, ,C,N,Y,N,Y,7.30286,dde82a41-c4fd-49a1-88d7-68e666ff1da3
70,419096.80424,5290.418,71,70,530B,B,2, ,C,N,N,N,Y,9.62114,80e10c76-850f-41dc-882a-9b9d0d2cc4af
71,71981.22543,1200.03446,72,71,465A,A,1, ,D,Y,N,N,N,1.65246,df2d4d56-5f22-4c76-80de-9800621bd435
72,334431.74703,5372.41981,73,72,153A,A,1, ,B,Y,N,N,N,7.6775,4ea6ece4-8ea9-4726-965e-f183dd32323e
73,180687.47098,3159.55516,74,73,442A,A,1, ,B,N,Y,N,Y,4.14801,c119441c-0ff1-40c8-a859-418af9692817
74,135582.24107,2008.08625,75,74,153A,A,1, ,B,Y,N,N,N,3.11254,915aff05-4810-427d-a591-f8f5f4d8716c
75,2590602.59985,18100.36412,76,75,530B2,B,2,2,C,N,N,N,Y,59.47205,5ee12217-1eef-4d6c-a17b-1e653daf092b
76,92084.35373,1614.64319,77,76,232A,A,1, ,C,Y,N,N,N,2.11397,c4f0802e-5ab9-4475-914d-f48da3a65594
77,618442.95551,7581.95097,78,77,530C2,C,3,2,C,N,N,Y,Y,14.1975,daf01d6f-05c1-417d-9a18-0926de8e95b8
78,57882.54266,1553.77174,79,78,232A,A,1, ,C,Y,N,N,N,1.3288,d8aead44-fca1-46cc-8314-f6aa32f53d04
79,80700.35626,1749.02208,80,79,530B,B,2, ,C,N,N,N,Y,1.85263,ed27de5c-b491-43f1-aefe-46a3ee9c2055
80,54876.41933,1004.78497,81,80,232A,A,1, ,C,Y,N,N,N,1.25979,944a6e7e-2fe6-4bf5-98d1-8f2a4021e6c7
81,1110522.75009,6552.91558,82,81,103A,A,1, ,A,Y,N,N,N,25.49409,38e8d6ca-07c9-40ad-bba7-2d21bce26df2
82,746545.77176,9023.85995,83,82,1103A,A,1, ,D,Y,N,N,N,17.13833,5e76ddca-ef96-4313-a0c3-39a398e0cf91
83,549025.11851,4199.10302,84,83,228C2,C,3,2,D,N,N,N,N,12.60388,7e702733-ab73-4485-b713-6dbdd5f73c38
84,542836.27324,9894.14394,85,84,232A,A,1, ,C,Y,N,N,N,12.46181,cc06095a-d619-4f29-b2d7-a54dd27e24ff
85,2621578.97593,16962.52182,86,85,531B,B,2, ,C,N,N,N,Y,60.18317,8697272f-b365-4d24-a618-9cee26823a67
86,62578.84723,1152.57296,87,86,465A,A,1, ,D,Y,N,N,N,1.43661,8f89eae8-15ef-4377-a378-708ac275349a
87,2352364.78686,25708.4641,88,87,530B2,B,2,2,C,N,N,N,Y,54.00286,4ae1a3c5-c021-4bfe-9970-b273bf8816af
88,209091.84892,2630.94706,89,88,327C2,C,3,2,B,N,N,Y,Y,4.80009,0ff1d768-ca26-448b-b33a-adebfd2f666e
89,62153.07068,2115.45668,90,89,370B,B,2, ,C,N,N,N,Y,1.42684,e802c596-fd1c-4404-b26d-72da2ebcc00a
90,258419.52903,3399.39377,91,90,530B,B,2, ,C,N,N,N,Y,5.9325,fbeffd8d-2389-401d-8baf-d501da179d75
91,37024.88492,973.53522,92,91,23A,A,1, ,C,N,Y,N,N,0.84997,6f37b97f-fba3-4741-8dac-db35990f791a
92,177646.73632,3357.98686,93,92,365A,A,1, ,B,N,Y,N,N,4.07821,2e2c24d3-1bc4-4959-987e-0fa80a3b3b3a
93,143878.39673,2376.29134,94,93,465A,A,1, ,D,Y,N,N,N,3.30299,48c53b57-a053-4629-969b-dc2eaa153a23
94,561900.03107,5711.21041,95,94,530C,C,3, ,C,N,N,N,Y,12.89945,de2c25ea-d677-4eb1-8dbb-dd4acde0e08a
95,128558.92415,1490.17357,96,95,443A,A,1, ,B,N,N,N,Y,2.95131,5bf79d34-d4e5-4a79-a7d8-980e65e4edf2
