OBJECTID,SOIL_NAME,SOIL_NUM,PROB_CLASS,HYDRO_GROUP,EROS_FAC_SRF,EROS_FAC_CRIT,EROS_FAC_T,SUB_PERM_RT,DPTH_WTR_TBL,DPTH_BEDROCK,SOIL_DRAINAGE,SUIT_SEPTIC,SUIT_INFILTRN,EROS_POT,FNDATN_SUPP,OTHER_NOTES
221,Albano silt loam ,1,III,D,0.43,0.43,3.0,0.06 to 0.2,0.0 to 1.5,3.5 to 5,"poor - w, s","poor - w, s, r, c","poor - w, s",low,"poor - b, w, c",Hyd
222,Ashburn silt loam,2,II,C,0.37,0.37,3.0,0.2 to 0.6,1.5 to 2.5,3 to 5,"poor - p, r","poor - w, s, r","poor - r, p",moderate,fair - p,As**
223,Barkers Crossroads loam,3,IVB,D,0.32,0.32,5.0,0.06 to 0.2,>6,>5,fair - s,poor - s,marginal - s,moderate,"fair - c, b",
224,Barker Crossroads - Nathalie complex*,4,IVB,D,0.32,0.32,4.0,0.06 to 2.0,>6,>5,good,"fair - c, s",good,high,"fair - c, b",
225,Barkers Crossroads - Rhodhiss complex*,5,IVB,D,0.32,0.32,3.0,0.06 to 6.0,>6,>5,good,good,good,medium,"fair - c, b",
226,Barkers Crossroads-Rhodhiss-Rock Outcrop complex*,6,IVB,D,0.32,0.32,3.0,0.06 to 6.0,>6,0 to >6,good,"poor - r, s","poor - r , s",high,"fair - c, b",As**
227,Beltsville silt loam,7,II,C,0.37,0.37,3.0,0.06 to 0.2,1.5 to 2.5,>50,"marginal - p, s","poor - p, s","marginal - p, s",low,fair - p,
228,Bermudian silt loam,8,III,B,0.37,0.37,4.0,0.6 to 6.0,>6,>6,poor - f,poor - f,"marginal - f, w",low,fair - f,
229,Birdsboro loam,9,II,B,0.37,0.37,4.0,0.6 to 2.0,4 to 6,7 to 20,marginal - w,"fair - w, i",fair -w,medium,fair -w,As**
230,Bowmansville silt loam,10,III,B/D,0.32,0.32,4.0,0.2 to 0.6,0 to 1.0,>6,"poor - w, f","poor - f, w, s","poor - f, w",low,"poor - f, w, b",Hyd
231,Catlett gravelly silt loam,11,I,C/D,0.2,0.2,2.0,0.6 to 2.0,>6,1 to 3,fair - r,poor - r,poor - r,medium,good,As**
232,Chantilly loam,12,IVB,D,0.32,0.32,5.0,0.06 to 0.2,2.0 to >6,>5,fair - s,poor - s,marginal - s,high,"fair - c, b",As**
233,Chantilly - Albano complex*,13,IVA,D,0.43,0.43,3.0,0.06 to 0.2,0.0 to >6,>3.5,"poor - w, s","poor - w, s, r, c","poor - w, s",low,"poor - b, w, c","Hyd,  As**"
234,Chantilly - Ashburn complex*,14,IVB,D,0.37,0.37,3.0,0.06 to 0.6,1.5 to >6,>3,"poor - p, r, s","poor - w, s, r","poor - r, p, s",medium,fair - p,
