OBJECTID,AREASYMBOL,SPATIALVER,MUSYM,MUKEY,SHAPE_Length,SHAPE_Area
1,VA059,3,73A,2250472,3282.23941080764,-521416.354472447
2,VA059,3,7B,2250257,2616.57520909926,-231094.008197407
3,VA059,3,27C,2250311,762.009932669779,-29613.6024004218
4,VA059,3,105B,2250556,858.490828720148,-33322.3335253071
5,VA059,3,51A,2250391,1529.72685530041,-99885.283664612
6,VA059,3,25B,2250306,749.089449203758,-28782.8194379452
7,VA059,3,39E,2250351,6389.10190398255,-616284.739093607
8,VA059,3,55B,2250407,1281.03889354118,-76422.5759276008
9,VA059,3,25C,2250307,1285.02052437898,-87711.4562659688
10,VA059,3,54C,2250403,2130.22240443671,-137900.906501929
11,VA059,3,105C,2250557,2196.4292575882,-167933.247149161
12,VA059,3,91C,2250531,791.52083064965,-32253.8230691778
13,VA059,3,54B,2250401,2022.01509143101,-145592.450230502
14,VA059,3,81C,2250502,641.276272904139,-22659.7794622754
15,VA059,3,27C,2250311,2552.94480380118,-110379.259476864
16,VA059,3,25B,2250306,2662.76949943961,-130044.104321152
17,VA059,3,27C,2250311,1806.07435644438,-112368.336590656
18,VA059,3,39D,2250350,1178.83513594272,-58415.6636466398
19,VA059,3,25C,2250307,2484.88640464372,-152165.974158989
20,VA059,3,22B,2250297,1156.08146065938,-41087.1543538238
21,VA059,3,81C,2250502,602.996758759437,-23773.5293285612
22,VA059,3,75B,2250477,601.442121764975,-18947.1012481238
23,VA059,3,81C,2250502,1317.00677411249,-48361.7268524442
24,VA059,3,1A,2250238,620.409270789297,-8760.74333286703
25,VA059,3,27B,2250310,1155.2871420656,-88572.961505518
26,VA059,3,39C,2250349,465.569968262533,-14314.160864093
27,VA059,3,101,2250546,1253.19415342416,-93141.9197093876
28,VA059,3,78B,2250491,2068.47955360578,-101089.234228728
29,VA059,3,105C,2250557,3131.29323541919,-198837.389511015
30,VA059,3,W,2250944,1149.40577795999,-74821.2202085396
31,VA059,3,39C,2250349,7657.96143393758,-591536.571170181
32,VA059,3,39B,2250348,598.158334441148,-17651.0017198927
33,VA059,3,88D,2250520,3171.58795333453,-369951.808188159
34,VA059,3,W,2250944,658.736505313311,-26486.7644642912
35,VA059,3,105C,2250557,1861.25698604227,-73865.1821510437
36,VA059,3,89A,2250522,962.106599471605,-50427.3358521944
37,VA059,3,78B,2250491,733.024851290411,-33421.0896107255
38,VA059,3,39E,2250351,1484.5678820689,-89577.6113055953
39,VA059,3,93B,2250537,1451.45322686857,-101547.225897184
40,VA059,3,39B,2250348,822.541101519041,-33920.9335396112
41,VA059,3,105D,2250558,810.986936545483,-41182.0843988913
42,VA059,3,105C,2250557,4870.0903493364,-343670.081897276
43,VA059,3,78B,2250491,762.612690216768,-29009.2838007922
44,VA059,3,93B,2250537,1494.19801252532,-69178.0664549384
45,VA059,3,39C,2250349,2775.28346155034,-220617.046704423
46,VA059,3,39C,2250349,1255.37489835874,-43025.2253688364
47,VA059,3,39D,2250350,1191.50392623294,-49550.3992376554
48,VA059,3,105C,2250557,1241.68628241086,-94948.9569980924
49,VA059,3,95,2250540,739.170137683072,-25722.1665093463
50,VA059,3,102,2250547,1584.35323611336,-139670.217774924
51,VA059,3,103A,2250548,3643.57913759884,-255047.529133815
52,VA059,3,105D,2250558,1743.78700395235,-84919.2435804235
53,VA059,3,105B,2250556,5309.50187986104,-605374.713809141
54,VA059,3,108B,2250561,920.764812155411,-36294.6684300095
55,VA059,3,105D,2250558,4803.28661035774,-407298.359005553
56,VA059,3,105D,2250558,1721.89725869771,-147270.876837205
57,VA059,3,105C,2250557,3191.54455067628,-244018.323158602
58,VA059,3,93B,2250537,769.768429679001,-32313.762922025
59,VA059,3,11C,2250266,1255.6691116663,-44544.7483559539
60,VA059,3,108B,2250561,828.691481838453,-32526.7794214251
61,VA059,3,102,2250547,1649.45098140726,-105257.329966173
62,VA059,3,105D,2250558,2270.43205296585,-220152.824946829
63,VA059,3,39B,2250348,2611.93421067627,-201482.437921478
64,VA059,3,105C,2250557,1604.25395837856,-94498.1059739391
65,VA059,3,105B,2250556,3735.68269623007,-248379.912678027
66,VA059,3,25C,2250307,683.418163277256,-19416.7804564324
67,VA059,3,18C,2250280,820.492226457888,-26060.7210659138
68,VA059,3,81C,2250502,1001.77041854753,-40273.1286058786
69,VA059,3,105C,2250557,6794.7050913859,-681854.022898698
70,VA059,3,W,2250944,794.735290845194,-30675.1992274838
71,VA059,3,84B,2250507,1100.2417128553,-65887.0876137252
72,VA059,3,105D,2250558,1077.21229542299,-52230.3742174902
73,VA059,3,39C,2250349,771.546429410645,-36468.9068340158
74,VA059,3,107B,2250560,2616.52894502568,-131824.901167812
75,VA059,3,25C,2250307,838.701413323984,-33555.0904043807
76,VA059,3,99,2250544,4501.6711618246,-1205004.72109461
77,VA059,3,105C,2250557,1023.69145588712,-42359.3862108463
78,VA059,3,25B,2250306,968.565485977749,-48031.46363216
79,VA059,3,108B,2250561,1539.68547890136,-92108.5093568538
80,VA059,3,108B,2250561,1440.48489892526,-98664.0556481677
81,VA059,3,39D,2250350,2047.99274949514,-277914.519934328
82,VA059,3,84B,2250507,690.686987610961,-22284.8531738307
83,VA059,3,105B,2250556,1323.61109203037,-89412.5515687852
