OBJECTID,ResAr2022,STATE_NAME,STATE_ABBR,Shape_Leng,Include_in_RESOLVE,Shape__Area,Shape__Length
1,IDAHO,Idaho,ID,2722505.16036,0,423521379991.094,3858889.21166588
2,NEVADA MAJOR,Nevada,NV,2396654.99908,0,452886556334.25,3089504.11516081
3,OREGON,Oregon,OR,2262662.69698,0,485015025813.871,3153919.01556465
4,WASHINGTON,Washington,WA,3095746.42919,0,379885502513.734,4578373.23172205
5,ARIZONA MAJOR,Arizona,AZ,2637919.20548,0,397494297614.945,3197236.94185963
6,COLORADO,Colorado,CO,2100330.34215,0,447332327012.633,2708162.62187486
7,MONTANA,Montana,MT,2970589.80512,0,821174410143.945,4337068.3057926
8,NEW MEXICO,New Mexico,NM,2378439.77191,0,465060549192.566,2883357.17293751
9,UTAH,Utah,UT,1974297.64894,0,368158999899.973,2556138.80411921
10,WYOMING,Wyoming,WY,2027596.25084,0,474117105933.723,2775149.43101086
11,GREATER IMPERIAL,California,CA,543580.562525,1,20296552527.6289,650040.553313375
12,GREATER TEHACHAPI,California,CA,678744.766859,1,26619720301.5859,833172.077925838
13,NORTHERN CALIFORNIA,California,CA,3041741.24785,1,281554313264.043,3899654.11728998
14,ARIZONA MINOR,Arizona,AZ,639827.933877,1,32978785591.125,766762.921047741
15,RIVERSIDE,California,CA,872358.789446,1,45564275538.1328,1054943.78690269
16,GREATER KRAMER,California,CA,1412208.84054,1,75422293866.5156,1751606.23990334
17,SAN DIEGO,California,CA,439320.227518,0,9462470151.96094,524073.61638998
18,GREATER LA METRO,California,CA,1193561.24584,1,23568092473.6094,1443052.42007679
19,SPGE,California,CA,1557970.74681,1,116846074378.43,1936148.80584138
20,SNV ELDORADO DESERT, , ,1196412.46724,1,77485826961.9453,1479683.97043479
