OBJECTID,name,reportdt,confirmed,recovered,deaths,active,GlobalID,tested,Negative,Pending,MaleCases,FemaleCases,Cases0to19,Cases20to29,Cases30to39,Cases40to49,Cases50to59,Cases60to69,Cases70to79,Cases80plus,NewCases,MaleDeaths,FemaleDeaths,Deaths0to19,Deaths20to29,Deaths30to39,Deaths40to49,Deaths50to59,Deaths60to69,Deaths70to79,Deaths80plus,AsianCases,BlackCases,HispanicCases,NativeAmCases,OtherCases,WhiteCases,CurrentlyHospitalizedCases,PercAsianCases,PercBlackCases,PercHispanicCases,PercNativeAmCases,PercOtherCases,PercWhiteCases,PercPopAsianCases,PercPopBlackCases,PercPopHispanicCases,PercPopNativeAmCases,PercPopOtherCases,PercPopWhiteCases,NewDailyDeaths,NewDailyTested,DailyPercentPositive,TotalPercentPositive,NewDailyNegative,ThreeDayAvg,SevenDayAvg,Cases0to9,Cases10to19,Deaths0to9,Deaths10to19,TotalDoses,TotalRecipients,MalesVaccinated,FemalesVaccinated,Vaccinated0to9,Vaccinated10to19,Vaccinated20to29,Vaccinated30to39,Vaccinated40to49,Vaccinated50to59,Vaccinated60to69,Vaccinated70to79,Vaccinated80plus,NewDailyDoses,NewDailyRecipients,Total1DoseRecipients,Total2DoseRecipients,TotalJJDoses,TotalJJRecipients,TotalVaccinated,Pfizer3DoseRecipients,Moderna3DoseRecipients,Total3DoseRecipients,PartialVaccinated
1,South Dakota,2020/03/17 21:08:00+00,11,0,1,10,36c295e9-9e73-402c-bc86-f81518c578af,597,551.0,35,9.0,2.0,0.0,1.0,2.0,3.0,3.0,2.0,0.0,0.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,597.0,,1.84254606365159,596.0,,0.14,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,0.0,,,,
2,South Dakota,2020/03/18 05:00:00+00,11,0,1,10,2285f5ef-bbf2-4ac0-bd62-125d55c4628f,912,551.0,350,9.0,2.0,0.0,1.0,2.0,3.0,3.0,2.0,0.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,315.0,,1.20614035087719,315.0,,0.14,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,0.0,,,,
3,South Dakota,2020/03/19 22:46:00+00,11,0,1,10,d9a3c949-65d1-4bba-a5cc-363e2e1592e5,912,551.0,350,9.0,2.0,0.0,1.0,2.0,3.0,3.0,2.0,0.0,0.0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,1.20614035087719,0.0,1.333,0.57,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,0.0,,,,
4,South Dakota,2020/03/20 19:32:00+00,14,0,1,13,b797b1a7-2f84-42be-b804-db3df39e12ad,947,663.0,270,11.0,3.0,0.0,1.0,3.0,4.0,3.0,3.0,0.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,35.0,0.0,1.47835269271383,35.0,1.0,0.57,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,0.0,,,,
5,South Dakota,2020/03/22 17:53:00+00,21,6,1,14,4f2c292e-e14f-4d27-9536-bbe273f23206,1038,740.0,277,15.0,6.0,2.0,3.0,3.0,4.0,4.0,5.0,0.0,0.0,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,65.0,10.7692307692308,2.02312138728324,58.0,2.333,1.57,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,0.0,,,,
6,South Dakota,2020/03/21 17:43:00+00,14,0,1,13,32d14bfd-a257-4dad-bc4d-7269a70c5f04,973,691.0,268,11.0,3.0,0.0,1.0,3.0,4.0,3.0,3.0,0.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,26.0,0.0,1.43884892086331,26.0,1.0,0.57,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,0.0,,,,
7,South Dakota,2020/03/23 16:13:00+00,28,6,1,21,4166a5dd-21b3-462b-8132-f42b4c5b3780,1055,762.0,265,17.0,11.0,2.0,3.0,4.0,4.0,8.0,6.0,1.0,0.0,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,17.0,41.1764705882353,2.65402843601896,10.0,4.667,2.57,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,0.0,,,,
8,South Dakota,2020/03/24 16:52:00+00,30,8,1,21,14ae2e62-3f54-4626-8ccf-c9ce44e60327,1088,790.0,268,19.0,11.0,2.0,4.0,5.0,4.0,8.0,6.0,1.0,0.0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,33.0,6.06060606060606,2.75735294117647,31.0,5.333,2.71,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,0.0,,,,
9,South Dakota,2020/03/25 16:35:00+00,41,13,1,27,da44ab36-bf30-4224-b6d9-88f869aa9884,1128,819.0,268,22.0,19.0,2.0,7.0,6.0,4.0,12.0,8.0,1.0,1.0,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,40.0,27.5,3.63475177304965,29.0,6.667,4.29,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,0.0,,,,
10,South Dakota,2020/03/26 17:24:00+00,46,16,1,29,63f20cbf-7e6d-4273-86be-f848cd0ef620,2144,1973.0,125,26.0,20.0,2.0,8.0,7.0,4.0,14.0,8.0,2.0,1.0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1016.0,0.492125984251969,2.1455223880597,1011.0,6.0,4.57,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,0.0,,,,
