OBJECTID,DIST_ID,ORG_NAME,NAME,ADDR,ADDR2,CITY,ZIP,PHONE,FAX,COLOR,EMAIL,URL,MAPURL,URL2,Shape__Area,Shape__Length
1,101SSA,Antioch Special Service Area 1,ANTIOCH SSA #1,874 Main St, ,Antioch,60002.0,(847) 395-1000,(847) 395-1920 fax,0.0, ,https://www.antioch.il.gov/,https://maps.lakecountyil.gov/output/districtmaps/spec/AntiochSpecialServiceArea1.pdf,,2157146.37109375,6814.85340904749
2,102SSA,Antioch Special Service Area 2,ANTIOCH SSA #2,874 Main St, ,Antioch,60002.0,(847) 395-1000,(847) 395-1920 fax,0.0, ,https://www.antioch.il.gov/,https://maps.lakecountyil.gov/output/districtmaps/spec/AntiochSpecialServiceArea2.pdf,,3347862.8359375,10761.4682665733
3,103SSA,Barrington Special Service Area 10,BARRINGTON SSA #10,206 S Hough, ,Barrington,60010.0,(847) 304-3400,(847) 381-7506 fax,0.0,vobvm@barrington-il.gov,https://www.barrington-il.gov/,https://maps.lakecountyil.gov/output/districtmaps/spec/BarringtonSpecialServiceArea10.pdf,,232410.0078125,2116.09643777883
4,104SSA,Barrington Special Service Area 11,BARRINGTON SSA #11,206 S Hough, ,Barrington,60010.0,(847) 304-3400,(847) 381-7506 fax,0.0,vobvm@barrington-il.gov,https://www.barrington-il.gov/,https://maps.lakecountyil.gov/output/districtmaps/spec/BarringtonSpecialServiceArea11.pdf,,135903.6953125,1770.42266597619
5,105SSA,Barrington Special Service Area 14,BARRINGTON SSA #14,206 S Hough, ,Barrington,60010.0,(847) 304-3400,(847) 381-7506 fax,0.0,vobvm@barrington-il.gov,https://www.barrington-il.gov/,https://maps.lakecountyil.gov/output/districtmaps/spec/BarringtonSpecialServiceArea14.pdf,,234661.28125,2302.12391269485
6,107SSA,Barrington Special Service Area 18,BARRINGTON SSA #18,206 S Hough, ,Barrington,60010.0,(847) 304-3400,(847) 381-7506 fax,0.0,vobvm@barrington-il.gov,https://www.barrington-il.gov/,https://maps.lakecountyil.gov/output/districtmaps/spec/BarringtonSpecialServiceArea18.pdf,,135903.6953125,1770.42266597619
7,108SSA,Barrington Special Service Area 19,BARRINGTON SSA #19,206 S Hough, ,Barrington,60010.0,(847) 304-3400,(847) 381-7506 fax,0.0,vobvm@barrington-il.gov,https://www.barrington-il.gov/,https://maps.lakecountyil.gov/output/districtmaps/spec/BarringtonSpecialServiceArea19.pdf,,62496.203125,1025.69695003938
8,109SSA,Barrington Hills Special Service Area 1,BARRINGTON HILLS SSA #1,112 Algonquin Rd, ,Barrington Hills,60010.0,(847) 551-3000,(847) 551-3050 fax,0.0,village@vbhil.gov,https://barringtonhills-il.gov/,https://maps.lakecountyil.gov/output/districtmaps/spec/BarringtonHillsSpecialServiceArea1.pdf,,378241.61328125,3077.25449207462
9,110SSA,Barrington Special Service Area 1,BARRINGTON SSA #1,206 S Hough, ,Barrington,60010.0,(847) 304-3400,(847) 381-7506 fax,6.0,vobvm@barrington-il.gov,https://www.barrington-il.gov/,https://maps.lakecountyil.gov/output/districtmaps/spec/BarringtonSpecialServiceArea1.pdf,,149201.80078125,2562.94497883546
10,111SSA,Barrington Special Service Area 2,BARRINGTON SSA #2,206 S Hough, ,Barrington,60010.0,(847) 304-3400,(847) 381-7506 fax,1.0,vobvm@barrington-il.gov,https://www.barrington-il.gov/,https://maps.lakecountyil.gov/output/districtmaps/spec/BarringtonSpecialServiceArea2.pdf,,347392.9453125,4660.58503029017
11,112SSA,Barrington Special Service Area 3,BARRINGTON SSA #3,206 S Hough, ,Barrington,60010.0,(847) 304-3400,(847) 381-7506 fax,6.0,vobvm@barrington-il.gov,https://www.barrington-il.gov/,https://maps.lakecountyil.gov/output/districtmaps/spec/BarringtonSpecialServiceArea3.pdf,,402735.6171875,3700.07891278984
12,113SSA,Bannockburn Special Service Area 1,BANNOCKBURN SSA #1,2275 Telegraph Rd, ,Bannockburn,60015.0,(847) 945-6080,(847) 945-8496 fax,5.0, ,https://bannockburn.org/,https://maps.lakecountyil.gov/output/districtmaps/spec/BannockburnSpecialServiceArea1.pdf,,608498.359375,4264.36071688355
13,114SSA,Bannockburn Special Service Area 2,BANNOCKBURN SSA #2,2275 Telegraph Rd, ,Bannockburn,60015.0,(847) 945-6080,(847) 945-8496 fax,1.0, ,https://bannockburn.org/,https://maps.lakecountyil.gov/output/districtmaps/spec/BannockburnSpecialServiceArea2.pdf,,870300.82421875,8098.30319241951
14,115SSA,Bannockburn Special Service Area 3,BANNOCKBURN SSA #3,2275 Telegraph Rd, ,Bannockburn,60015.0,(847) 945-6080,(847) 945-8496 fax,3.0, ,https://bannockburn.org/,https://maps.lakecountyil.gov/output/districtmaps/spec/BannockburnSpecialServiceArea3.pdf,,1934190.87109375,12740.4112373788
15,116SSA,Bannockburn Special Service Area 4,BANNOCKBURN SSA #4,2275 Telegraph Rd, ,Bannockburn,60015.0,(847) 945-6080,(847) 945-8496 fax,4.0, ,https://bannockburn.org/,https://maps.lakecountyil.gov/output/districtmaps/spec/BannockburnSpecialServiceArea4.pdf,,1801430.5,6564.9236296651
16,126SSA,Bannockburn Special Service Area 16,BANNOCKBURN SSA #16,2275 Telegraph Rd, ,Bannockburn,60015.0,(847) 945-6080,(847) 945-8496 fax,0.0, ,https://bannockburn.org/,https://maps.lakecountyil.gov/output/districtmaps/spec/BannockburnSpecialServiceArea16.pdf,,139056.0546875,2240.69629252546
17,127SSA,Bannockburn Special Service Area 17,BANNOCKBURN SSA #17,2275 Telegraph Rd, ,Bannockburn,60015.0,(847) 945-6080,(847) 945-8496 fax,0.0, ,https://bannockburn.org/,https://maps.lakecountyil.gov/output/districtmaps/spec/BannockburnSpecialServiceArea17.pdf,,73041.49609375,1740.55009000835
18,128SSA,Bannockburn Special Service Area 5a,BANNOCKBURN SSA #5A,2275 Telegraph Rd, ,Bannockburn,60015.0,(847) 945-6080,(847) 945-8496 fax,2.0, ,https://bannockburn.org/,https://maps.lakecountyil.gov/output/districtmaps/spec/BannockburnSpecialServiceArea5a.pdf,,148625.6953125,2243.36764770921
19,129SSA,Bannockburn Special Service Area 6a,BANNOCKBURN SSA #6A,2275 Telegraph Rd, ,Bannockburn,60015.0,(847) 945-6080,(847) 945-8496 fax,0.0, ,https://bannockburn.org/,https://maps.lakecountyil.gov/output/districtmaps/spec/BannockburnSpecialServiceArea6a.pdf,,541080.84765625,6096.02310052115
20,133SSA,Beach Park Special Service Area 10,BEACH PARK SSA #10,11270 W Wadsworth Rd, ,Beach Park,60099.0,(847) 746-1770,(847) 746-1797 fax,0.0, ,http://www.villageofbeachpark.com/,https://maps.lakecountyil.gov/output/districtmaps/spec/BeachParkSpecialServiceArea10.pdf,,34967.87890625,1030.70181707076
21,134SSA,Beach Park Special Service Area 11,BEACH PARK SSA #11,11270 W Wadsworth Rd, ,Beach Park,60099.0,(847) 746-1770,(847) 746-1797 fax,0.0, ,http://www.villageofbeachpark.com/,https://maps.lakecountyil.gov/output/districtmaps/spec/BeachParkSpecialServiceArea11.pdf,,52463.4765625,1311.6334647151
22,135SSA,Beach Park Special Service Area 12,BEACH PARK SSA #12,11270 W Wadsworth Rd, ,Beach Park,60099.0,(847) 746-1770,(847) 746-1797 fax,0.0, ,http://www.villageofbeachpark.com/,https://maps.lakecountyil.gov/output/districtmaps/spec/BeachParkSpecialServiceArea12.pdf,,473211.78515625,4342.65504950449
