OBJECTID,ROUTE_ID,BEGIN_POINT,END_POINT,SASC_STE_ADSYS_CODE,STE_ADSYS_CODE_DESC,TOWN_NUMBER,TOWN_NAME,YEAR,GlobalID,Shape__Length
7509,111-N,4.91,11.7,2,State Secondary (State Maintained),84,MONROE,2022,0073258f-c8c0-4ed8-aac6-895bd0e497ab,35881.396792963
7510,113-N,0.0,0.09,2,State Secondary (State Maintained),15,BRIDGEPORT,2022,8be5622b-30f5-4428-bcee-ef1a916fdca2,454.359579766452
7511,117-N,0.0,3.71,2,State Secondary (State Maintained),58,GROTON,2022,2834076e-5b90-4533-9704-b1269e94591b,19614.9042362067
7512,12-N,2.66,8.25,1,State Primary (State Maintained),71,LEDYARD,2022,a940ea19-dc06-4f70-a9ad-773674aff877,29260.4683415719
7513,12-N,15.47,20.58,2,State Secondary (State Maintained),72,LISBON,2022,807a06e9-54bd-4d8f-80d1-8f4436512aea,26986.1981912016
7514,12-N,20.58,23.44,2,State Secondary (State Maintained),57,GRISWOLD,2022,e2708b67-20d5-4746-9e49-eee9e3209e6c,15103.1495615958
7515,12-N,23.58,33.51,2,State Secondary (State Maintained),108,PLAINFIELD,2022,742fa312-cac9-4da2-8f67-70375b2d5314,52368.8125917664
7516,12-N,46.95,54.44,2,State Secondary (State Maintained),141,THOMPSON,2022,5c22419f-3638-478c-8dc7-c10ec5f28a42,39631.1310509606
7517,121-N,0.0,1.88,2,State Secondary (State Maintained),83,MILFORD,2022,4e486fb5-475a-42d5-9c42-da629bcb0e1d,9960.99077896146
7518,122-N,3.39,3.51,1,State Primary (State Maintained),92,NEW HAVEN,2022,d4760b3b-2cfe-4cc8-bc10-2e1249a1f019,708.197187366594
7519,126N-W,0.0,2.0,J,State institution road,130,SOUTHBURY,2022,739dcc2f-e3ab-4726-a269-1077a3f33476,10498.2420804291
7520,127M-S,0.0,0.4,I,State Park and Forest,145,UNION,2022,7023981a-e44b-42db-8524-6a0d36ac6bfb,2147.19863953031
7521,132-N,3.14,9.72,2,State Secondary (State Maintained),10,BETHLEHEM,2022,29a30580-09db-47a6-b53a-a8def7df1d4a,34648.4693531606
7522,132-N,9.88,10.08,2,State Secondary (State Maintained),10,BETHLEHEM,2022,c5974efb-dc73-4fc5-9240-16fb573ca64a,1041.6575578269
7523,1-N,17.99,22.77,2,State Secondary (State Maintained),158,WESTPORT,2022,80710d9b-14e6-4f27-ba39-0d764a1580d6,25324.4114008851
