OBJECTID,SBAS_NO,SUBREGION,RBAS_NO,REGIONAL,MBAS_NO,MAJOR,ACREAGE,AREA_SQMI,SHAPE_Length,SHAPE_Area
1,6000,Housatonic River,60,Housatonic Main Stem,6,Housatonic,399065.0,623.53997802,2395231.87952568,17383287454.3591
2,4300,Farmington River,43,Farmington,4,Connecticut,136702.0,213.59700012,1138812.90177518,5954752915.08131
3,3300,French River,33,French,3,Thames,64663.30078125,101.03600311,390198.524078279,2816733068.00154
4,6004,Konkapot River,60,Housatonic Main Stem,6,Housatonic,39417.0,61.5890007,292380.308540065,1717002581.09969
5,3700,Quinebaug River,37,Quinebaug,3,Thames,124816.0,195.02499389,1110668.64989247,5436986284.89507
6,4307,Hubbard Brook,43,Farmington,4,Connecticut,13276.09960937,20.74390029,137652.84907574,578305583.358609
7,4200,Scantic River,42,Scantic,4,Connecticut,38433.30078125,60.05199813,453540.928809943,1674154070.31141
8,6002,Schenob Brook,60,Housatonic Main Stem,6,Housatonic,13402.59960937,20.94160079,162946.889797544,583818208.178378
9,4304,Sandy Brook,43,Farmington,4,Connecticut,24774.30078125,38.7098999,246862.156716339,1079168975.23433
10,4306,Valley Brook,43,Farmington,4,Connecticut,4763.22998046,7.44255018,82073.7808878066,207486375.405716
11,6101,Whiting River,61,Blackberry,6,Housatonic,12464.20019531,19.47540092,135468.974331586,542941674.389097
12,4001,Great Brook,40,Connecticut Main Stem,4,Connecticut,15580.70019531,24.34480094,133307.506914301,678694959.391519
13,3701,Hamilton Reservoir Brook,37,Quinebaug,3,Thames,13014.70019531,20.33550071,143534.142364337,566921962.78004
14,3301,Mill Brook,33,French,3,Thames,7074.0,11.05309963,89586.5550923796,308143483.46186
15,4301,Slocum Brook,43,Farmington,4,Connecticut,5361.41015625,8.37720012,80251.4264120018,233542880.883032
16,4002,Threemile Brook,40,Connecticut Main Stem,4,Connecticut,6151.60009765,9.6118803,87716.8514348369,267963813.456322
17,4201,Watchaug Brook,42,Scantic,4,Connecticut,5554.52978515,8.67895984,116521.084335401,241955360.57746
18,4101,Muddy Brook,41,Stony Brook,4,Connecticut,12870.29980468,20.10989952,131105.236067598,560630543.032443
19,3702,Breakneck Brook,37,Quinebaug,3,Thames,2796.80004882,4.36998987,72345.8652298549,121828358.757237
20,3704,Cohasse Brook,37,Quinebaug,3,Thames,2720.59008789,4.25091981,76228.4155198713,118508761.75021
21,6001,Sages Ravine Brook,60,Housatonic Main Stem,6,Housatonic,2265.4399414,3.53975009,53666.7253406197,98682466.5537743
22,6003,Andrus Brook,60,Housatonic Main Stem,6,Housatonic,1373.02001953,2.14533996,41915.8968406292,59808616.9963368
23,3703,Hatchet Brook,37,Quinebaug,3,Thames,2520.60009765,3.93844008,54552.9682056369,109797391.458953
24,3705,Lebanon Brook,37,Quinebaug,3,Thames,6301.75976562,9.84650993,132298.810212864,274504775.953227
25,3102,Middle River,31,Willimantic,3,Thames,10451.0,16.32959938,138431.74098986,455244173.864163
26,4003,Freshwater Brook,40,Connecticut Main Stem,4,Connecticut,7420.60009765,11.59469985,119888.451591914,323241435.453167
27,4320,Salmon Brook,43,Farmington,4,Connecticut,29267.69921875,45.73070144,251652.464461224,1274900384.12753
28,3103,Furnace Brook,31,Willimantic,3,Thames,10420.40039062,16.28179931,136142.507840499,453911782.902233
29,3401,Rocky Brook,34,Fivemile,3,Thames,3912.36010742,6.11307001,67994.2341447487,170422500.624962
30,6005,Factory Brook,60,Housatonic Main Stem,6,Housatonic,10044.90039062,15.69509983,127087.624886347,437555284.657476
31,3708,Little River,37,Quinebaug,3,Thames,17528.5,27.38820075,239800.115096941,763539489.251101
32,6006,Spruce Swamp Creek,60,Housatonic Main Stem,6,Housatonic,6736.74023437,10.52610015,91980.4848385694,293452156.435733
33,6100,Blackberry River,61,Blackberry,6,Housatonic,17341.0,27.09539985,213897.686736527,755375161.595815
34,3203,Bigelow Brook,32,Natchaug,3,Thames,18735.0,29.27339935,219869.265410162,816096091.90065
35,6303,Webatuck Creek,63,Tenmile,6,Housatonic,33766.5,52.7602005,346129.70110956,1470869912.29738
36,4308,East Branch Farmington River,43,Farmington,4,Connecticut,24183.09960937,37.78609848,199211.838090231,1053415433.01909
37,4000,Connecticut River,40,Connecticut Main Stem,4,Connecticut,102614.0,160.33399963,1174277.82493236,4469846177.1411
38,4100,Stony Brook,41,Stony Brook,4,Connecticut,15670.5,24.48520088,173128.473184126,682609075.65809
39,4202,Gillettes Brook,42,Scantic,4,Connecticut,3376.62011718,5.27596998,64060.5126148252,147085504.043187
40,3400,Fivemile River,34,Fivemile,3,Thames,24943.69921875,38.97449874,282892.120913781,1086546389.75457
41,3104,Roaring Brook,31,Willimantic,3,Thames,14088.20019531,22.01280021,170738.258798991,613681499.046668
42,3706,English Neighborhood Brook,37,Quinebaug,3,Thames,3088.31005859,4.82547998,66342.0538021597,134526754.146353
43,3101,Edson Brook,31,Willimantic,3,Thames,11271.20019531,17.61120033,121531.285289959,490972346.848561
44,6200,Hollenbeck River,62,Hollenbeck,6,Housatonic,17048.19921875,26.63780021,229142.192706728,742619608.516546
45,4319,West Branch Salmon Brook,43,Farmington,4,Connecticut,17018.5,26.59140014,141097.156663802,741327054.503565
46,3202,Still River,32,Natchaug,3,Thames,10218.90039062,15.967,165281.07779642,445134303.120558
47,4302,Mad River,43,Farmington,4,Connecticut,20318.19921875,31.74710083,177149.827697948,885059593.767132
48,3201,Bungee Brook,32,Natchaug,3,Thames,10729.20019531,16.76429939,129549.251306054,467361887.669986
49,4203,Gulf Stream,42,Scantic,4,Connecticut,2824.78002929,4.41371011,77342.2191130047,123047331.87888
50,6202,Wangum Lake Brook,62,Hollenbeck,6,Housatonic,6841.12988281,10.68929958,97819.7056802757,297999404.603947
51,6007,Salmon Creek,60,Housatonic Main Stem,6,Housatonic,7546.27001953,11.79100036,107807.249123155,328715473.321133
52,4204,Abbey Brook,42,Scantic,4,Connecticut,4927.62011718,7.69940996,68737.9918535763,214647195.217896
53,3707,Mill Brook,37,Quinebaug,3,Thames,4435.18017578,6.92996978,99703.9262239261,193196436.428287
54,4205,Buckhorn Brook,42,Scantic,4,Connecticut,3163.87988281,4.94356012,54884.9059155158,137818518.960513
55,4303,Still River,43,Farmington,4,Connecticut,10315.09960937,16.11739921,185173.367783356,449325952.806882
56,3206,Mount Hope River,32,Natchaug,3,Thames,17966.90039062,28.07320022,238034.634709769,782636176.087711
57,3100,Willimantic River,31,Willimantic,3,Thames,32773.6015625,51.20869827,367782.309367155,1427616420.86433
58,6301,Indian Lake Creek,63,Tenmile,6,Housatonic,12115.29980468,18.93020057,128661.238595994,527744138.683224
59,3207,Fenton River,32,Natchaug,3,Thames,21988.5,34.35699844,229901.556565061,957817640.988814
60,4501,Charters Brook,45,Hockanum,4,Connecticut,7430.77001953,11.61060047,90007.5484069691,323684504.841142
61,3402,Mary Brown Brook,34,Fivemile,3,Thames,5536.47021484,8.65073013,92190.5115680399,241168576.390444
62,6201,Brown Brook,62,Hollenbeck,6,Housatonic,3567.30004882,5.57391023,68041.9949947981,155391662.399102
63,4309,Cherry Brook,43,Farmington,4,Connecticut,8847.83984375,13.82470035,119843.947898077,385411869.272616
64,6901,Hall Meadow Brook,69,Naugatuck,6,Housatonic,7901.64013671,12.34630012,107610.567116682,344195336.04133
65,4206,Broad Brook,42,Scantic,4,Connecticut,10099.20019531,15.78009986,115980.931021031,439922798.594897
66,3710,Mashamoquet Brook,37,Quinebaug,3,Thames,18027.59960937,28.16810035,205526.872731201,785282643.552387
67,6905,East Branch Naugatuck River,69,Naugatuck,6,Housatonic,9040.88964843,14.12639999,165604.263390481,393820954.814869
68,6300,Tenmile River,63,Tenmile,6,Housatonic,46107.1015625,72.04229736,320861.044707747,2008424059.5668
69,4305,Morgan Brook,43,Farmington,4,Connecticut,5795.08007812,9.05482006,82283.5905385261,252433817.70208
70,3106,Skungamaug River,31,Willimantic,3,Thames,19667.69921875,30.73069953,193535.902013932,856723688.2304
71,6902,Hart Brook,69,Naugatuck,6,Housatonic,4312.75,6.73866987,77420.7195910102,187863245.796864
72,3403,Cady Brook,34,Fivemile,3,Thames,5434.70019531,8.49172019,101286.588013521,236735479.56548
73,3709,Wappoquia Brook,37,Quinebaug,3,Thames,3684.69995117,5.75733995,68669.5711084409,160505425.344331
74,3205,Squaw Hollow Brook,32,Natchaug,3,Thames,5468.31982421,8.54424953,89256.2753199687,238200063.426984
75,4318,Hop Brook,43,Farmington,4,Connecticut,8715.61035156,13.61810016,119281.901829044,379652135.295818
76,4207,Ketch Brook,42,Scantic,4,Connecticut,4411.35986328,6.89274978,80402.3892470484,192158713.928866
77,4502,Marsh Brook,45,Hockanum,4,Connecticut,3489.60009765,5.45249986,58571.3551104272,152006959.135812
78,4500,Hockanum River,45,Hockanum,4,Connecticut,22578.5,35.27899932,316609.74340312,983520974.765273
79,6008,Mill Brook,60,Housatonic Main Stem,6,Housatonic,3648.35009765,5.70055007,62889.4780370221,158922059.150648
80,6009,Carse Brook,60,Housatonic Main Stem,6,Housatonic,3459.2199707,5.40502977,62174.4852996944,150683665.830068
81,4310,Nepaug River,43,Farmington,4,Connecticut,20464.30078125,31.9755001,193009.746462548,891425192.169455
82,6701,Marshepaug River,67,Shepaug,6,Housatonic,7291.85986328,11.39350032,146163.732895304,317633336.388849
83,4404,North Branch Park River,44,Park,4,Connecticut,18437.40039062,28.8083992,179338.047600369,803131178.244296
84,6705,Bantam River,67,Shepaug,6,Housatonic,25732.30078125,40.20669937,306656.015410143,1120898220.49807
85,6904,West Branch Naugatuck River,69,Naugatuck,6,Housatonic,5965.50976562,9.32112026,114845.410748431,259857772.701555
86,3404,Whetstone Brook,34,Fivemile,3,Thames,9049.44042968,14.13969993,118655.538451628,394193528.663672
87,4321,Mill Brook,43,Farmington,4,Connecticut,4118.49023437,6.43515014,75816.9728080344,179401592.064734
88,6302,Mill Brook,63,Tenmile,6,Housatonic,7629.4399414,11.92099952,100110.224245875,332338415.665948
89,4004,Podunk River,40,Connecticut Main Stem,4,Connecticut,12997.79980468,20.30900001,145712.991967558,566183754.34796
90,4503,Tankerhoosen River,45,Hockanum,4,Connecticut,8225.91015625,12.85299968,125377.478075044,358320783.889589
91,3200,Natchaug River,32,Natchaug,3,Thames,18732.69921875,29.26989936,239335.926895666,815996789.374298
92,6010,Furnace Brook,60,Housatonic Main Stem,6,Housatonic,8506.04003906,13.29069995,104903.306624162,370523062.08695
93,6903,Nickel Mine Brook,69,Naugatuck,6,Housatonic,3563.26000976,5.56759977,71911.1153166462,155215690.527236
94,4317,Nod Brook,43,Farmington,4,Connecticut,3936.61010742,6.15094995,87348.1862120824,171478578.165644
95,6011,Guinea Brook,60,Housatonic Main Stem,6,Housatonic,5729.41015625,8.95219993,88756.8458013159,249572974.290314
96,4312,Roaring Brook,43,Farmington,4,Connecticut,4834.95019531,7.55460977,99365.0780831617,210610345.447693
97,6703,West Branch Bantam River,67,Shepaug,6,Housatonic,5460.97998046,8.53277015,96465.2553587788,237880073.105807
98,3711,Blackwell Brook,37,Quinebaug,3,Thames,18011.30078125,28.1425991,177919.407506038,784570425.060069
99,6700,Shepaug River,67,Shepaug,6,Housatonic,45400.5,70.9382019,426478.72817425,1977644031.70402
100,3204,Stonehouse Brook,32,Natchaug,3,Thames,4045.92993164,6.32177019,84647.9399793466,176240942.730777
101,3805,Little River,38,Shetucket,3,Thames,27699.09960937,43.27980041,265232.901856589,1206571580.59485
102,3501,Quanduck Brook,35,Moosup,3,Thames,12542.29980468,19.59740066,136792.159626769,546342773.372787
103,3108,Hop River,31,Willimantic,3,Thames,26706.59960937,41.72900009,266987.907102277,1163337910.20711
104,6908,Leadmine Brook,69,Naugatuck,6,Housatonic,10308.29980468,16.10670089,151760.45060085,449029180.552761
105,6015,Macedonia Brook,60,Housatonic Main Stem,6,Housatonic,7039.79003906,10.99969959,108790.22529594,306653374.814603
106,3502,Snake Meadow Brook,35,Moosup,3,Thames,6913.85986328,10.80290031,94990.611333712,301167700.3315
107,6702,West Branch Shepaug River,67,Shepaug,6,Housatonic,6702.83984375,10.47319984,99231.1208529397,291975763.935567
108,4316,Thompson Brook,43,Farmington,4,Connecticut,3009.60009765,4.70248985,61391.4857843374,131097982.897335
109,4400,Park River,44,Park,4,Connecticut,5630.08007812,8.79699993,112811.503166693,245246278.495568
110,6907,Rock Brook,69,Naugatuck,6,Housatonic,5522.37988281,8.62872028,82838.9743024743,240554837.897543
111,6900,Naugatuck River,69,Naugatuck,6,Housatonic,49515.3984375,77.36789703,691285.318520671,2156892551.82206
112,3500,Moosup River,35,Moosup,3,Thames,34150.6015625,53.36040115,331742.099433051,1487602245.44481
113,4403,Trout Brook,44,Park,4,Connecticut,11357.29980468,17.74580001,130271.772401877,494723689.406258
114,6014,Bog Hollow Brook,60,Housatonic Main Stem,6,Housatonic,4189.35986328,6.54587984,84483.6051711673,182488679.840087
115,6704,Butternut Brook,67,Shepaug,6,Housatonic,3854.1899414,6.02216005,71908.3285807924,167888330.564625
116,4311,Burlington Brook,43,Farmington,4,Connecticut,5922.45019531,9.25382041,94642.2362534534,257981815.446183
117,3803,Merrick Brook,38,Shetucket,3,Thames,8311.50976562,12.98670005,148808.400282007,362049255.637672
118,3208,Sawmill Brook,32,Natchaug,3,Thames,4647.10986328,7.26110982,75561.0657515132,202428117.515807
119,3105,Mill Brook,31,Willimantic,3,Thames,3397.03002929,5.30786991,56359.7738292075,147974805.748032
120,6012,Kent Falls Brook,60,Housatonic Main Stem,6,Housatonic,3748.69995117,5.85733985,72835.0033705445,163293219.718072
121,4504,South Fork Hockanum River,45,Hockanum,4,Connecticut,7633.52001953,11.92739963,102504.292971203,332516100.601937
122,3714,Kitt Brook,37,Quinebaug,3,Thames,7976.66015625,12.46350002,131840.995913684,347463518.68173
123,4707,Blackledge River,47,Salmon,4,Connecticut,16680.09960937,26.06270027,197374.118024629,726585609.894888
124,6906,Spruce Brook,69,Naugatuck,6,Housatonic,3597.88989257,5.62170982,63902.992896542,156724275.840643
125,3107,Burnap Brook,31,Willimantic,3,Thames,4680.0,7.3125,89751.7381765509,203860932.673334
126,4006,Salmon Brook,40,Connecticut Main Stem,4,Connecticut,12908.90039062,20.17020034,132674.834249799,562312099.235057
127,4313,Poland River,43,Farmington,4,Connecticut,6482.39013671,10.12870025,91322.8103851222,282372853.906394
128,4314,Copper Mine Brook,43,Farmington,4,Connecticut,11916.09960937,18.61899948,131844.267321194,519067192.449881
129,6502,East Aspetuck River,65,Aspetuck,6,Housatonic,16169.20019531,25.26440048,195273.711098592,704332176.938354
