X,Y,OBJECTID,SBAS_NO,SUBREGION,RBAS_NO,REGIONAL,MBAS_NO,MAJOR,IN_CT,DIRECTION_ANGLE
749195.094498888,560959.123140305,1,7411,Byram River,74,Southwest Western Complex,7,Southwest Coast,Yes,185
745517.353494808,584096.611642137,2,7410,East Branch Byram River,74,Southwest Western Complex,7,Southwest Coast,Yes,202
757374.630305141,569540.591213554,3,7409,Horseneck Brook,74,Southwest Western Complex,7,Southwest Coast,Yes,170
761543.333581895,573260.636594981,4,7408,Greenwich Creek,74,Southwest Western Complex,7,Southwest Coast,Yes,185
766891.410484135,575827.313876316,5,7407,Mianus River,74,Southwest Western Complex,7,Southwest Coast,Yes,180
769506.6126028,603314.89210315,6,7406,East Branch Mianus River,74,Southwest Western Complex,7,Southwest Coast,Yes,200
781853.317896217,621665.285848483,7,7404,Mill River,74,Southwest Western Complex,7,Southwest Coast,Yes,155
779921.620644137,579302.198002636,8,7405,Rippowam River,74,Southwest Western Complex,7,Southwest Coast,Yes,165
790147.791136637,585359.865677312,9,7403,Noroton River,74,Southwest Western Complex,7,Southwest Coast,Yes,165
799040.087984547,584696.559589222,10,7402,Darien River,74,Southwest Western Complex,7,Southwest Coast,Yes,180
808314.188202724,588107.995679721,11,7401,Fivemile River,74,Southwest Western Complex,7,Southwest Coast,Yes,185
810846.951837972,611452.184883639,12,7302,Silvermine River,73,Norwalk,7,Southwest Coast,Yes,125
817872.413836882,604901.558877304,13,7300,Norwalk River,73,Norwalk,7,Southwest Coast,Yes,185
810031.61521405,632846.954758063,14,7301,Comstock Brook,73,Norwalk,7,Southwest Coast,Yes,135
830133.546138719,610480.978820816,15,7200,Saugatuck River,72,Saugatuck,7,Southwest Coast,Yes,188
829751.583319977,624648.53808406,16,7203,West Branch Saugatuck River,72,Saugatuck,7,Southwest Coast,Yes,130
832028.563674137,624794.950848982,17,7202,Aspetuck River,72,Saugatuck,7,Southwest Coast,Yes,235
829121.152822301,667123.832070306,18,7201,Little River,72,Saugatuck,7,Southwest Coast,Yes,200
848758.470502973,607503.273490146,19,7109,Sasco Brook,71,Southwest Eastern,7,Southwest Coast,Yes,175
856054.081567883,613415.397820726,20,7108,Mill River,71,Southwest Eastern,7,Southwest Coast,Yes,197
857848.997597471,632698.03707689,21,7107,Cricker Brook,71,Southwest Eastern,7,Southwest Coast,Yes,120
864974.825209305,616578.35081239,22,7106,Ash Creek,71,Southwest Eastern,7,Southwest Coast,Yes,165
879280.380587637,626856.128485143,23,7105,Pequonnock River,71,Southwest Eastern,7,Southwest Coast,Yes,157
884311.470262975,629805.10979189,24,7103,Yellow Mill Channel,71,Southwest Eastern,7,Southwest Coast,Yes,200
880933.511467725,649003.17113322,25,7104,Booth Hill Brook,71,Southwest Eastern,7,Southwest Coast,Yes,220
887549.929665297,625258.626102731,26,7102,Bruce Brook,71,Southwest Eastern,7,Southwest Coast,Yes,202
888653.099374965,619677.314758807,27,7101,Lewis Gut,71,Southwest Eastern,7,Southwest Coast,Yes,270
792171.259858727,860733.878904566,28,6302,Mill Brook,63,Tenmile,6,Housatonic,No,275
780921.259720966,845872.767550722,29,6303,Webatuck Creek,63,Tenmile,6,Housatonic,No,285
796457.826088727,880304.778082892,30,6301,Indian Lake Creek,63,Tenmile,6,Housatonic,Yes,250
815227.333497137,944550.688632816,31,6001,Sages Ravine Brook,60,Housatonic Main Stem,6,Housatonic,No,105
818191.07166414,917305.938988566,32,6005,Factory Brook,60,Housatonic Main Stem,6,Housatonic,Yes,105
831315.800663978,900914.065932482,33,6007,Salmon Creek,60,Housatonic Main Stem,6,Housatonic,Yes,45
819887.849110469,918430.070598558,34,6006,Spruce Swamp Creek,60,Housatonic Main Stem,6,Housatonic,Yes,158
828294.342139974,873644.119816303,35,6009,Carse Brook,60,Housatonic Main Stem,6,Housatonic,Yes,130
839613.786364555,945171.89736414,36,6004,Konkapot River,60,Housatonic Main Stem,6,Housatonic,No,230
834961.008596644,879199.675306231,37,6008,Mill Brook,60,Housatonic Main Stem,6,Housatonic,Yes,270
831722.179116309,860106.753846481,38,6010,Furnace Brook,60,Housatonic Main Stem,6,Housatonic,Yes,300
827113.786430225,859477.452939734,39,6011,Guinea Brook,60,Housatonic Main Stem,6,Housatonic,Yes,123
819613.786338389,842949.675299808,40,6012,Kent Falls Brook,60,Housatonic Main Stem,6,Housatonic,Yes,315
807183.231147051,833366.342104316,41,6013,Cobble Brook,60,Housatonic Main Stem,6,Housatonic,Yes,340
795724.89743647,832394.119639307,42,6014,Bog Hollow Brook,60,Housatonic Main Stem,6,Housatonic,Yes,135
798433.230930552,826213.564087063,43,6015,Macedonia Brook,60,Housatonic Main Stem,6,Housatonic,Yes,135
801627.675329059,797671.897417232,44,6016,Womenshenuk Brook,60,Housatonic Main Stem,6,Housatonic,Yes,235
800586.008449137,793713.564126566,45,6017,Morrissey Brook,60,Housatonic Main Stem,6,Housatonic,Yes,56
852530.453116477,711074.675270811,46,6019,Deep Brook,60,Housatonic Main Stem,6,Housatonic,Yes,63
841558.230966464,727463.564408973,47,6018,Pond Brook,60,Housatonic Main Stem,6,Housatonic,Yes,38
874891.564234048,716977.4531634,48,6021,Kettletown Brook,60,Housatonic Main Stem,6,Housatonic,Yes,180
886558.230861306,702046.897394642,49,6023,Eightmile Brook,60,Housatonic Main Stem,6,Housatonic,Yes,190
856697.119651884,720449.675221562,50,6020,Pootatuck River,60,Housatonic Main Stem,6,Housatonic,Yes,68
879266.564342305,702185.786552563,51,6022,Halfway River,60,Housatonic Main Stem,6,Housatonic,Yes,55
893016.564401299,667185.786342725,52,6024,Means Brook,60,Housatonic Main Stem,6,Housatonic,Yes,180
905030.45310314,654130.231089056,53,6025,Farmill River,60,Housatonic Main Stem,6,Housatonic,Yes,90
898988.786380723,643713.564258397,54,6026,Pumpkin Ground Brook,60,Housatonic Main Stem,6,Housatonic,Yes,135
