OBJECTID,SampleDate,Location,Ph,Temperature,DissolvedOxygen,Conductivity,BiologicalOxygenDemand,TotalSuspendedSolids,EColi,Ammonia,Nitrate,Weather,R_Humidity,WindSpeed,WindGust,FrozenOver,Comments,LocationID,GlobalID
23963,2012/07/10 09:00:00+00,Big Sioux River @ I-90,4.7,23.6,8.27,0.02,4.7,49.0,39.0,0.03,0.026,,,,,No,,26C,{2B5CC4A5-0688-4607-9098-8EA6805BC50A}
23964,2012/07/17 09:00:00+00,Big Sioux River @ I-90,8.29,26.11,5.14,0.886,5.8,62.0,93.0,0.01,0.031,,,,,No,,26C,{C389E787-81BC-4AD4-8890-584C20B15CB8}
23965,2013/06/06 00:00:00+00,Big Sioux River @ Timberline,8.52,17.99,9.33,1.051,3.4,86.0,111.0,0.04,2.5,,,,,No,,26B,{45DD57AA-9977-4CB9-A5EF-C4C258A29D8B}
23966,2013/06/06 00:00:00+00,Big Sioux River @ Bahnson,8.54,18.03,9.54,1.021,3.5,79.0,102.0,0.04,0.92,,,,,No,,26A,{1B253CC3-E6FF-4908-8545-99E873873978}
23967,2013/04/16 00:00:00+00,Big Sioux River @ Timberline,8.57,7.0,13.98,0.983,5.3,50.0,33.0,,3.5,,,,,No,,26B,{74E232DA-D06F-4BBB-B3F1-C126F2AA1A71}
23968,2013/06/06 00:00:00+00,Big Sioux River @ I-90,8.57,18.15,8.95,0.955,3.1,60.0,155.0,0.04,0.89,,,,,No,,26C,{D6D95F0B-343B-44F4-8000-E55288DB5069}
23969,2013/08/26 00:00:00+00,Big Sioux River @ Timberline,8.95,28.65,8.7,1.13,4.0,35.0,131.0,0.01,4.5,,,,,No,,26B,{5F61F597-392F-42B6-864B-A05032772AC5}
23970,2012/10/02 00:00:00+00,Big Sioux River @ Timberline,8.59,18.51,7.57,1.571,5.4,11.0,219.0,0.2,25.0,,,,,No,,26B,{AE63CDCD-4276-445C-9A36-EE2F0B69045B}
23971,2012/10/30 00:00:00+00,Big Sioux River @ Timberline,8.44,9.62,13.65,1.282,5.1,13.0,249.0,0.03,14.0,,,,,No,,26B,{9DE55B20-A038-41D3-A879-167E15C5A51E}
23972,2013/08/26 00:00:00+00,Big Sioux River @ Bahnson,8.93,28.9,7.44,1.097,4.2,36.0,142.0,0.01,2.0,,,,,No,,26A,{937859C0-73C2-490C-B5D2-33712ADD3159}
23973,2013/04/16 00:00:00+00,Big Sioux River @ Bahnson,8.66,6.1,13.38,0.966,3.3,43.0,51.0,,2.3,,,,,No,,26A,{0690F9DF-4B34-43C9-B708-5E4D70290923}
23974,2013/06/06 00:00:00+00,Skunk Creek @ Marion Road,8.57,17.7,11.48,1.372,4.0,73.0,248.0,0.03,0.76,,,,,No,,26D,{F31E612B-76BB-418D-834D-4D18BADDA868}
23975,2012/10/30 00:00:00+00,Big Sioux River @ Bahnson,8.5,7.97,15.51,1.173,6.6,34.0,84.0,0.05,5.9,,,,,No,,26A,{61CCF7E7-C429-4BF9-8EB0-BEE1A138F044}
23976,2012/11/28 00:00:00+00,Big Sioux River @ Timberline,6.84,6.0,13.52,1.342,6.1,22.0,133.0,0.01,14.0,,,,,No,,26B,{AE95FD3A-5087-400E-9199-55F65521A8C9}
23977,2013/05/09 00:00:00+00,Big Sioux River @ Timberline,8.22,14.95,10.23,1.003,4.1,81.0,,,2.3,,,,,No,,26B,{785920DE-3676-4BB1-B8E5-CB2549DA86C6}
23978,2012/10/02 00:00:00+00,Big Sioux River @ Bahnson,8.5,17.88,7.51,1.724,4.5,14.5,155.0,0.22,17.0,,,,,No,,26A,{0CBE3BC0-4E75-4BB9-B2C3-94D33ADDE2F1}
23979,2013/10/16 00:00:00+00,Big Sioux River @ Timberline,8.77,11.68,11.52,0.941,4.8,26.5,1119.9,0.01,6.8,,,,,No,,26B,{A0D41994-2574-4E7D-8630-DC40BE1F9DC0}
23980,2013/05/09 00:00:00+00,Big Sioux River @ Bahnson,8.41,14.12,10.36,0.955,3.8,57.0,,,1.6,,,,,No,,26A,{DEA9A095-53A7-4385-8690-15EEBCA84294}
23981,2012/11/28 00:00:00+00,Big Sioux River @ Bahnson,7.1,4.85,13.44,1.328,8.6,37.0,22.0,0.07,2.7,,,,,No,,26A,{47656055-7F39-4995-899B-89265BCE6C96}
23982,2012/10/30 00:00:00+00,Big Sioux River @ I-90,8.5,6.3,15.26,0.836,9.9,35.0,67.0,0.02,0.057,,,,,No,,26C,{79B09BD5-C349-4723-8B32-F09D62A9AD8C}
23983,2013/04/16 00:00:00+00,Big Sioux River @ I-90,8.59,6.08,13.52,0.906,3.7,47.0,54.0,,2.1,,,,,No,,26C,{F5CB7449-575C-447C-8299-D97CEC108527}
23984,2013/06/11 00:00:00+00,Big Sioux River @ Timberline,8.39,20.32,8.53,1.042,3.6,122.0,1733.0,0.05,3.0,,,,,No,,26B,{72ED350E-3017-4E19-B0FE-CEED5C92990F}
