X,Y,OBJECTID,FEATURE_TYPE,GlobalID
452427.60015625,167851.356875001,1,Quarry,{473B016C-FD5F-478D-AD1C-54F3FF62C9D8}
452379.255625,167592.963437499,2,Quarry,{3B6AE964-123D-45DA-93F6-E32EF68A8684}
452369.253125,167352.907656251,3,Quarry,{4CA2D948-AFBE-4193-9328-5CD6B1211E44}
452387.59078125,167122.854374999,4,Quarry,{0CFCA873-1955-412F-950E-FCD18858CACC}
452585.97015625,167236.213906251,5,Quarry,{D241F6E7-0D79-430C-8647-04B0ED72DDAA}
457058.671875,167655.63828125,6,Quarry,{983822DD-960F-48FA-80A3-4B297741992D}
458516.6346875,167250.536250001,7,Quarry,{60A72030-1A05-411A-AA20-5D2E16D2745C}
452907.93609375,170760.702500001,8,Quarry,{BBDAFBF1-999B-4CBD-862B-6589A3F3AE18}
452820.976875,170436.7090625,9,Quarry,{6056C6EE-8051-48E4-9BEE-27822B8E2925}
452990.68765625,170425.4884375,10,Quarry,{5C296925-0C92-4A14-A191-98EE647BDB27}
453011.72625,170182.84390625,11,Quarry,{F7632CC0-1F6F-42D0-965F-19C4FB4C15F3}
447401.02796875,169385.174531249,12,Quarry,{233BD6C5-A049-40FA-887D-A092A15A6BCC}
452512.59984375,172639.912968749,13,Quarry,{B18B3045-03C4-4F59-AD46-035AC8820B83}
452703.798125,172790.14015625,14,Quarry,{8519E5CF-A5D1-4742-AE65-E0D75879A2CE}
453260.3215625,174514.338749999,15,Quarry,{304BC84E-56F9-4D9E-9F28-30EEA2A2C252}
453246.66453125,174937.706406251,16,Quarry,{BAAA0EC2-A332-4E23-AB2E-29AFE63131DE}
456874.7796875,173572.81015625,17,Quarry,{88E21382-0DA4-4CD5-8CBF-421FF2D09F6E}
459575.72484375,173724.63125,18,Quarry,{A57660E7-31F6-4C11-9518-DB650EC37753}
453955.44296875,176686.575625001,19,Quarry,{A8F5B20D-678D-4956-8D67-F20DADB3236A}
452114.120625,178068.338437499,20,Quarry,{877EF246-3B35-48A3-87C6-EBF325C034E2}
442407.94484375,179728.231875001,21,Quarry,{54DF2868-7776-402E-B03C-9D35CF3CE0D0}
446539.71671875,182623.384062501,22,Quarry,{F53F652C-482C-45DD-B21D-B49A642C92FE}
450000.47359375,183366.33546875,23,Quarry,{7F571723-25CD-42A6-865D-143553DB3E7C}
453823.18125,179562.67796875,24,Quarry,{BFCBEAE6-2D57-4476-B9D5-66C5CFBE06A8}
451480.2790625,182604.49953125,25,Quarry,{1A81356E-8251-4A57-BC4C-C9B87C95C497}
