OBJECTID,SMPOLY_COD,SURFM_POLY,DESCRIP,IMS_LEGEND,ACREAGE,AREA_SQMI,SHAPE_Length,SHAPE_Area
1,T,Till,Till,Till,438979.0,685.90399169,11173622.5106638,19121914786.0782
2,SG,Sand+Gravel,Sand and Gravel,Coarse,1415.42004394,2.21160006,81800.5639822499,61655861.0518692
3,A/SG,Alluv/Sand+Gravel,Alluvium overlying Sand and Gravel,Natural Postglacial,44.14009857,0.0689688,7278.71013389527,1922741.3096761
4,SW,Swamp,Swamp,Natural Postglacial,36.26969909,0.0566715,9238.4557868359,1579909.40719387
5,SG,Sand+Gravel,Sand and Gravel,Coarse,62.25749969,0.09727729,11392.4175780063,2711934.88217126
6,T,Till,Till,Till,0.89529097,0.00139889,722.310815378553,38998.9076308911
7,SW,Swamp,Swamp,Natural Postglacial,33.79899978,0.052811,6080.9282128952,1472285.965838
8,T,Till,Till,Till,1.13842999,0.0017788,856.031618084458,49590.1584077763
9,A/S/F,Alluv/Sand/Fines,Alluvium overlying Sand overlying Fines,Natural Postglacial,53.16400146,0.0830688,11841.3730762045,2315823.36791341
10,S/F,Sand/Fines,Sand overlying Fines,Coarse over Fine,53.41130065,0.0834551,7120.51147866683,2326596.24712416
11,W,Water,Water,Water,159.70399475,0.249537,142380.005537961,6956684.81624711
12,A/S/F,Alluv/Sand/Fines,Alluvium overlying Sand overlying Fines,Natural Postglacial,719.01501464,1.12346005,116984.1401955,31320275.2853584
13,S/F,Sand/Fines,Sand overlying Fines,Coarse over Fine,530.22302246,0.82847297,46399.5075892575,23096508.5040996
14,T,Till,Till,Till,1.37038004,0.00214123,955.445563505794,59693.9677524417
15,T,Till,Till,Till,9.6212902,0.0150333,3596.38693450506,419103.107524279
16,T,Till,Till,Till,2.91452002,0.00455394,1773.55801125742,126956.415375393
17,W,Water,Water,Water,15.57429981,0.02433479,25839.1914243967,678415.24087793
18,A/F,Alluv/Fines,Alluvium overlying Fines,Natural Postglacial,40.10129928,0.0626583,14213.2001493838,1746813.29051419
19,SG/S/F,Sand+Gravel/Sand/Fines,Sand and Gravel overlying Sand overlying Fines,Coarse over Fine,230.48800659,0.36013799,17186.7992569389,10040070.9878863
20,A/F,Alluv/Fines,Alluvium overlying Fines,Natural Postglacial,130.7519989,0.2043,31595.502351068,5695559.4557824
21,A/F,Alluv/Fines,Alluvium overlying Fines,Natural Postglacial,3.87869,0.00606044,1701.72661315164,168955.585219095
22,TT,Thick Till,Thick Till,Thick Till,690.42199707,1.07878994,27836.7444280744,30074806.1705482
23,A/SG,Alluv/Sand+Gravel,Alluvium overlying Sand and Gravel,Natural Postglacial,44.75490188,0.0699295,10999.6611032873,1949521.85776035
24,T,Till,Till,Till,2.36818003,0.00370028,1271.65082251529,103157.822415025
25,SG,Sand+Gravel,Sand and Gravel,Coarse,12.89540004,0.0201491,3668.18469337654,561724.446454603
26,TT,Thick Till,Thick Till,Thick Till,125.36599731,0.195885,11633.2632148813,5460951.26495532
27,SG/S/F,Sand+Gravel/Sand/Fines,Sand and Gravel overlying Sand overlying Fines,Coarse over Fine,60.69010162,0.0948282,8605.57480504544,2643659.43181427
28,W,Water,Water,Water,5.44806003,0.00851259,2653.74472581042,237317.109935947
29,T,Till,Till,Till,197.43099975,0.30848601,15829.7718123469,8600082.69911939
30,SW,Swamp,Swamp,Natural Postglacial,147.34899902,0.23023399,18205.8834294794,6418542.64888025
31,SW,Swamp,Swamp,Natural Postglacial,41.65029907,0.0650786,9129.90447674008,1814286.98692067
32,SG,Sand+Gravel,Sand and Gravel,Coarse,32.15230178,0.05023799,4684.91515455285,1400554.38778954
33,T,Till,Till,Till,2.18284988,0.0034107,1158.32265950475,95084.9934438716
34,TT,Thick Till,Thick Till,Thick Till,190.72599792,0.298009,14445.5983470916,8308006.36745775
35,S/F,Sand/Fines,Sand overlying Fines,Coarse over Fine,127.42700195,0.19910399,13202.8821078716,5550701.3439132
36,S,Sand,Sand,Coarse,6.94242,0.01084749,2322.45515368168,302411.810632931
37,SW,Swamp,Swamp,Natural Postglacial,26.5095005,0.04142099,5564.65235921953,1154752.21104961
38,A/SG,Alluv/Sand+Gravel,Alluvium overlying Sand and Gravel,Natural Postglacial,23.4538002,0.0366466,7779.6558984124,1021648.13675821
39,A/F,Alluv/Fines,Alluvium overlying Fines,Natural Postglacial,183.56300354,0.28681701,59046.4824604543,7996002.6333727
40,SW,Swamp,Swamp,Natural Postglacial,14.61859989,0.0228416,4169.61028474815,636786.173885614
41,W,Water,Water,Water,45.38119888,0.07090809,7947.58402811328,1976805.18954308
42,W,Water,Water,Water,565.30297851,0.88328599,27834.9053935172,24624600.6596768
43,SG,Sand+Gravel,Sand and Gravel,Coarse,2.61259007,0.00408218,2451.75460669408,113804.756257055
44,W,Water,Water,Water,677.00897216,1.05782997,41073.833540267,29490509.4369077
45,T,Till,Till,Till,18451.5,28.83040046,301101.554734259,803745206.721413
46,T,Till,Till,Till,211.44500732,0.330383,20567.097955277,9210542.69593527
47,SW,Swamp,Swamp,Natural Postglacial,173.71099853,0.27142301,14891.4926313711,7566835.58882532
48,TS,"Till, Sand+Gravel, Boulders","Sandy Till, Sand and Grave, some areas of dense surface bolders",End Moraine,29.10339927,0.0454741,7050.5332735773,1267745.88239973
49,W,Water,Water,Water,98.25830078,0.153529,11522.470087771,4280129.68153583
50,W,Water,Water,Water,14.45779991,0.02259019,5500.83707079701,629779.975054123
51,T,Till,Till,Till,39050.30078125,61.01610183,1074697.70630126,1701031933.25486
