OBJECTID_12_13_14_15_16,ID,NAME,ST_ABBREV,TSEGNAME,TLIFENAME,TURBZNAME,TC_ID,Total_A,Can_A,Grass_A,Soil_A,Water_A,Build_A,Road_A,Paved_A,Perv_A,Imperv_A,Can_P,Grass_P,Soil_P,Water_P,Build_P,Road_P,Paved_P,Perv_P,Imperv_P,TC_E_A,TC_Pv_A,TC_Land_A,TC_Pi_A,TC_P_A,TC_E_P,TC_Pv_P,TC_P_P,TC_Pi_P,Gain,Loss,No_Change,TreeCanopy_2016_Area,TreeCanopy_2021_Area,Change_Area,Change_PercentChange,TreeCanopy_2016_Percent,TreeCanopy_2021_Percent,Change_Percent_AbsDiff,OBJECTID,TC_ID_1,OBJECTID_1,TC_ID_12,OBJECTID_12,TC_ID_12_13,TC_Land_A_1,OBJECTID_12_13,TC_ID_12_13_14,Total_A_1,Can_A_1,Grass_A_1,Soil_A_1,Water_A_1,Build_A_1,Road_A_1,Paved_A_1,Perv_A_1,Imperv_A_1,Can_P_1,Grass_P_1,Soil_P_1,Water_P_1,Build_P_1,Road_P_1,Paved_P_1,Perv_P_1,Imperv_P_1,OBJECTID_12_13_14,TC_ID_12_13_14_15,TC_E_A_1,TC_Pv_A_1,TC_Land_A_12,TC_Pi_A_1,TC_P_A_1,TC_E_P_1,TC_Pv_P_1,TC_P_P_1,TC_Pi_P_1,OBJECTID_12_13_14_15,TC_ID_12_13_14_15_16,TC_Land_A_12_13,Gain_1,Loss_1,No_Change_1,TreeCanopy_2016_Area_1,TreeCanopy_2021_Area_1,Change_Area_1,Change_PercentChange_1,TreeCanopy_2016_Percent_1,TreeCanopy_2021_Percent_1,Change_Percent_AbsDiff_1,Shape__Area,Shape__Length
1,530330001001,530330001.001,WA,Urban Chic,Upscale Avenues,Suburban Periphery,1,9118146,4435431,2738051,7562,132512,1221730,477848,105012,7313556,1804590,48.6440006553964,30.0285935320623,0.0829335261795545,1.45327789223818,13.3988861332117,5.24062676776617,1.15168149314565,80.2088056058764,19.7911943941235,4435431,2738051,8985634,112574,2850625,49.361358363806,30.4714280595003,31.7242500640467,1.25282200454637,343489,496838,4091942,4588780,4435431,-153349,-3.34182506025567,51.0679602574509,49.361358363806,-1.7066018936449,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9118152.70223999,16767.5360373422
2,530330001002,530330001.002,WA,Young and Restless,Midtown Singles,Metro Cities,2,3102106,791956,971026,359,0,653726,383853,301186,1763341,1338765,25.5296240682943,31.302154084999,0.0115727831350702,0.0,21.0736190188214,12.3739485368972,9.70908150785305,56.8433509364284,43.1566490635716,791956,971026,3102106,301545,1272571,25.5296240682943,31.302154084999,41.0228083759872,9.72065429098812,82587,98756,709369,808125,791956,-16169,-2.00080433101315,26.0508506156785,25.5296240682943,-0.521226547384199,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3102060.84902954,8695.75331231833
3,530330001003,530330001.003,WA,Trendsetters,Uptown Individuals,Principal Urban Center,3,3990451,1250912,1353390,0,0,808072,321973,256104,2604302,1386149,31.3476346407962,33.9157152913292,0.0,0.0,20.250142151852,8.06858673367998,6.41792118234255,65.2633499321255,34.7366500678745,1250912,1353390,3990451,256104,1609494,31.3476346407962,33.9157152913292,40.3336364736718,6.41792118234255,137425,149558,1113487,1263045,1250912,-12133,-0.960615021634225,31.6516854861769,31.3476346407962,-0.304050845380697,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3990471.87271118,8560.64623526975
4,530330001004,530330001.004,WA,Young and Restless,Midtown Singles,Metro Cities,4,1363080,275910,415211,3179,0,397475,143786,127519,694300,668780,20.2416585967075,30.4612348504857,0.233221821169704,0.0,29.1600639727676,10.5486104997506,9.35521025911905,50.9361152683628,49.0638847316372,275910,415211,1363080,130698,545909,20.2416585967075,30.4612348504857,40.0496669307744,9.58843208028876,32435,44975,243475,288450,275910,-12540,-4.3473738949558,21.1616339466502,20.2416585967075,-0.9199753499427,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1363046.0619812,4696.34236989575
5,530330001005,530330001.005,WA,Metro Renters,Uptown Individuals,Principal Urban Center,5,2481068,420137,784144,0,0,582498,278301,415988,1204281,1276787,16.9337156418123,31.6050990944222,0.0,0.0,23.4777120175666,11.2169839762554,16.7664892699434,48.5388147362346,51.4611852637654,420137,784144,2481068,415988,1200132,16.9337156418123,31.6050990944222,48.3715883643657,16.7664892699434,58387,67864,361750,429614,420137,-9477,-2.20593369862248,17.3156882439337,16.9337156418123,-0.381972602121401,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2481068.27380371,7450.75966365931
6,530330002001,530330002.001,WA,City Lights,Middle Ground,Urban Periphery,6,4435445,1669252,1652731,0,0,690569,388951,33942,3321983,1113462,37.6343749048855,37.2618981860896,0.0,0.0,15.5693284439329,8.76915394058544,0.76524452450656,74.8962730909751,25.1037269090249,1669252,1652731,4435445,33942,1686673,37.6343749048855,37.2618981860896,38.0271427105961,0.76524452450656,158175,184283,1511077,1695360,1669252,-26108,-1.53996791241978,38.2229967906264,37.6343749048855,-0.588621885740899,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4435476.15426636,12690.2229433827
7,530330002002,530330002.002,WA,Emerald City,Middle Ground,Metro Cities,7,5465886,1759470,1968811,0,0,1061596,415980,260029,3728281,1737605,32.1900237216803,36.0199791945899,0.0,0.0,19.4222126110936,7.61047705715048,4.7573074154858,68.2100029162701,31.7899970837299,1759470,1968811,5465886,260029,2228840,32.1900237216803,36.0199791945899,40.7772866100757,4.7573074154858,163972,213324,1595498,1808822,1759470,-49352,-2.72840555897706,33.0929331493558,32.1900237216803,-0.902909427675503,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5465896.77703857,10233.4784144135
8,530330002003,530330002.003,WA,Trendsetters,Uptown Individuals,Principal Urban Center,8,10635124,4172286,4837438,7555,143570,662132,424790,387353,9160849,1474275,39.231192790982,45.4854875222893,0.0710381938188967,1.3499607526908,6.2258982593903,3.99421765087083,3.64220482995779,86.1376792597811,13.8623207402189,4172286,4837438,10491554,394908,5232346,39.7680458014132,46.1079264330146,49.8719827396399,3.76405630662531,275094,255925,3897192,4153117,4172286,19169,0.461556946264697,39.5853369291146,39.7680458014132,0.182708872298605,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10635140.1954956,16190.4870422365
9,530330002004,530330002.004,WA,Golden Years,Senior Styles,Suburban Periphery,9,4062693,1121088,1474453,0,0,771746,362893,332513,2595541,1467152,27.5947013471114,36.2925035192174,0.0,0.0,18.9959221629594,8.93232641501585,8.18454655569594,63.8872048663288,36.1127951336712,1121088,1474453,4062693,332513,1806966,27.5947013471114,36.2925035192174,44.4770500749134,8.18454655569594,125540,134035,995548,1129583,1121088,-8495,-0.752047436974529,27.8037991056671,27.5947013471114,-0.2090977585557,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4062708.13058472,10072.5434535791
10,530330002005,530330002.005,WA,Emerald City,Middle Ground,Metro Cities,10,5271822,2215171,1567596,3540,0,859409,357549,268557,3786307,1485515,42.0190780341218,29.7353742216638,0.0671494599020984,0.0,16.3019350805092,6.78226616907779,5.09419703472538,71.8216017156877,28.1783982843123,2215171,1567596,5271822,272097,1839693,42.0190780341218,29.7353742216638,34.8967207162913,5.16134649462747,172999,204178,2042172,2246350,2215171,-31179,-1.3879849533688,42.6105054381578,42.0190780341218,-0.591427404036004,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5271791.15274048,9619.23063266162
