OBJECTID_1,NAMELSAD,Total_households,F__Desktop_or_Laptop,F__Desktop_or_laptop_with_no_ot,F__Smartphone,F__Smartphone_with_no_other_typ,F__Tablet_or_other_portable_wir,F__Tablet_or_other_portable_w_1,F__Other_computer,F_Other_computer_with_no_other_,Estimate__Percent__Total_househ,City,Shape__Area,Shape__Length
1,Census Tract 8100,1261.0,95.8762886597938,1.66534496431404,97.3037272006344,3.01348136399683,83.9809674861221,0.0,5.86835844567803,0.0,3.2,Tempe,3994231.51171875,10200.0222576908
2,Census Tract 8101,2175.0,95.3563218390805,1.24137931034483,95.5402298850575,1.47126436781609,84.5057471264368,0.0,5.05747126436782,0.0,0.9,Tempe,7406314.05078125,15302.7528888209
3,Census Tract 8103,2573.0,85.0757870190439,1.98212203653323,92.5767586474932,4.54722114263506,73.0664593859308,0.544111931597357,2.91488534784298,0.0,0.5,Chandler,3682746.61328125,7734.49677447313
4,Census Tract 8104,2112.0,93.655303030303,0.0,95.7859848484848,0.852272727272727,73.5795454545455,0.473484848484849,4.97159090909091,0.0,1.1,Chandler,7797834.25,13680.433149805
5,Census Tract 8105,2000.0,92.7,6.45,91.7,2.85,72.85,0.0,0.45,0.0,6.5,Chandler,4209375.12890625,8693.95624027468
6,Census Tract 8106,2729.0,97.6548186148772,2.45511176255038,96.9219494320264,1.31916452913155,78.9666544521803,0.0,2.6383290582631,0.0,0.0,Chandler,5114143.73046875,9690.17843081663
7,Census Tract 3197.10,987.0,83.6879432624114,2.02634245187437,95.4407294832827,12.1580547112462,57.7507598784195,0.0,7.70010131712259,0.0,0.0,Tempe,8760420.2734375,15407.2541855342
8,Census Tract 1167.38,2700.0,92.3333333333333,1.81481481481481,90.4814814814815,4.85185185185185,72.1481481481482,0.0,3.66666666666667,0.0,13.9,Phoenix,7634304.16796875,20532.5634982066
9,Census Tract 3197.08,1909.0,83.6039811419591,5.08119434258774,90.7805133577789,9.58617077003667,61.2362493452069,0.0,2.82870612886328,0.0,2.6,Tempe,2928961.14453125,8376.79835574327
10,Census Tract 4222.27,645.0,95.5038759689922,2.48062015503876,95.6589147286822,1.08527131782946,77.0542635658915,0.0,2.32558139534884,0.0,1.6,Mesa,1714132.0859375,5613.81970070291
11,Census Tract 3190.02,886.0,88.0361173814898,1.01580135440181,96.7268623024831,8.46501128668172,66.5914221218962,0.0,5.4176072234763,0.0,5.4,Tempe,2356415.6328125,7965.70126286993
12,Census Tract 3198.01,1329.0,65.0865312264861,1.12866817155756,93.9804364183597,15.8765989465764,62.0015048908954,0.0,0.0,0.0,15.9,Tempe,1775942.4296875,5604.32075037829
13,Census Tract 3198.02,1964.0,94.1446028513238,0.0,97.6578411405295,5.04073319755601,58.8594704684318,0.0,1.52749490835031,0.0,9.9,Tempe,1891976.5703125,5818.07353294454
14,Census Tract 1138,1287.0,79.1763791763792,0.0,96.2703962703963,13.8306138306138,55.7109557109557,0.0,8.46930846930847,0.0,0.6,Phoenix,26078844.8398438,23391.1992345095
15,Census Tract 4212.02,1464.0,76.0928961748634,2.18579234972678,93.1010928961749,13.8661202185792,66.5983606557377,0.0,1.4344262295082,0.0,0.0,Mesa,2186088.109375,7048.52973492652
