OBJECTID,AV_LEGEND,CLASS,ACREAGE,SOURCE,SHAPE_Length,SHAPE_Area
1,Tidal Wetland,111,0.202,OLISP 1995 Air Photos,485.595818753745,8788.76348867235
2,Tidal Wetland,111,0.113,OLISP 1995 Air Photos,345.427702363293,4929.88045535191
3,Tidal Wetland,111,7.833,OLISP 1995 Air Photos,8848.19942553439,341201.064567185
4,Tidal Wetland,111,3.157,OLISP 1995 Air Photos,3381.34127366119,137500.711775288
5,Tidal Wetland,111,0.742,OLISP 1995 Air Photos,893.358665778159,32342.1346346445
6,Tidal Wetland,111,0.041,OLISP 1995 Air Photos,244.178776732588,1780.51066588391
7,Tidal Wetland,111,0.333,OLISP 1995 Air Photos,672.023434243647,14523.5321088844
8,Tidal Wetland,111,0.099,OLISP 1995 Air Photos,304.966322666214,4295.89787318285
9,Tidal Wetland,111,2.156,OLISP 1995 Air Photos,2853.3171452924,93904.9969777182
10,Tidal Wetland,111,0.293,OLISP 1995 Air Photos,858.069348524608,12745.5949517853
11,Tidal Wetland,111,0.933,OLISP 1995 Air Photos,936.081476318134,40621.4786041205
12,Tidal Wetland,111,0.06,OLISP 1995 Air Photos,436.996563834359,2610.65934145181
13,Tidal Wetland,111,0.337,OLISP 1995 Air Photos,679.736636827702,14685.1842728548
14,Tidal Wetland,111,0.455,OLISP 1995 Air Photos,1238.39164718192,19832.0869061043
15,Tidal Wetland,111,0.044,OLISP 1995 Air Photos,285.789213426571,1924.38361960899
16,Tidal Wetland,111,2.361,OLISP 1995 Air Photos,3685.12271524241,102845.398207433
17,Tidal Wetland,111,0.201,OLISP 1995 Air Photos,490.857881387845,8735.36113890833
18,Tidal Wetland,111,0.136,OLISP 1995 Air Photos,412.330496569533,5920.78229123202
19,Tidal Wetland,111,0.76,OLISP 1995 Air Photos,1009.09866947786,33103.3034607022
20,Tidal Wetland,111,0.166,OLISP 1995 Air Photos,543.291959812341,7226.8537769619
21,Tidal Wetland,111,0.157,OLISP 1995 Air Photos,331.670258609871,6853.26568932298
22,Tidal Wetland,111,7.552,OLISP 1995 Air Photos,6931.31192163674,328978.598324293
23,Tidal Wetland,111,0.083,OLISP 1995 Air Photos,245.368084403645,3634.26731260343
24,Tidal Wetland,111,0.257,OLISP 1995 Air Photos,818.686385337162,11186.2608715306
25,Tidal Wetland,111,0.079,OLISP 1995 Air Photos,322.489307634854,3437.05162673877
26,Tidal Wetland,111,0.166,OLISP 1995 Air Photos,670.000320805166,7221.06544049916
27,Tidal Wetland,111,5.572,OLISP 1995 Air Photos,7468.84030224449,242708.295335448
28,Tidal Wetland,111,0.153,OLISP 1995 Air Photos,453.301709927492,6664.41939314801
29,Tidal Wetland,111,0.145,OLISP 1995 Air Photos,671.621607412904,6306.5295161987
30,Tidal Wetland,111,0.228,OLISP 1995 Air Photos,559.868723591123,9937.72329546857
31,Tidal Wetland,111,0.036,OLISP 1995 Air Photos,361.130898835889,1570.33874539137
32,Tidal Wetland,111,0.091,OLISP 1995 Air Photos,714.053986919838,3981.49924191475
33,Tidal Wetland,111,0.033,OLISP 1995 Air Photos,242.335726067984,1423.71827372736
34,Tidal Wetland,111,0.054,OLISP 1995 Air Photos,195.845480224558,2332.76964818636
35,Tidal Wetland,111,0.093,OLISP 1995 Air Photos,265.982691699479,4057.48703000817
36,Tidal Wetland,111,25.506,OLISP 1995 Air Photos,4756.57707574044,1111056.1958563
37,Tidal Wetland,111,0.989,OLISP 1995 Air Photos,1174.20718402461,43081.4262466909
38,Tidal Wetland,111,9.694,OLISP 1995 Air Photos,4155.01697765757,422288.710972568
39,Tidal Wetland,111,14.409,OLISP 1995 Air Photos,4838.22146690832,627666.762519709
40,Tidal Wetland,111,3.693,OLISP 1995 Air Photos,2066.19096481834,160874.637317026
41,Tidal Wetland,111,52.347,OLISP 1995 Air Photos,12856.1180726383,2280229.83373199
42,Tidal Wetland,111,26.901,OLISP 1995 Air Photos,8321.57521545811,1171824.24239584
43,Tidal Wetland,111,61.459,OLISP 1995 Air Photos,9978.4225404444,2677133.47036232
44,Tidal Wetland,111,56.146,OLISP 1995 Air Photos,8859.17769268893,2445707.66445264
45,Tidal Wetland,111,329.172,OLISP 1995 Air Photos,30249.65702791,14338740.8732446
46,Tidal Wetland,111,6.048,OLISP 1995 Air Photos,2228.27493504874,263465.10612754
47,Upland,0,0.188, ,421.679145679667,8171.76924187323
48,Upland,0,0.185, ,376.871491334374,8037.58217733446
49,Upland,0,0.597, ,654.044542122559,26009.7973211827
50,Tidal Wetland,111,59.947,OLISP 1995 Air Photos,12142.1081224082,2611294.85314847
51,Tidal Wetland,111,24.802,OLISP 1995 Air Photos,11325.607649254,1080362.48490885
52,Tidal Wetland,111,1.709,OLISP 1995 Air Photos,1675.67358284939,74427.9528216919
53,Tidal Wetland,111,5.888,OLISP 1995 Air Photos,2268.14613443363,256488.462915726
54,Tidal Wetland,111,25.946,OLISP 1995 Air Photos,7751.54466556462,1130194.88450663
55,Tidal Wetland,111,4.018,OLISP 1995 Air Photos,3124.02407321734,175037.880056225
56,Tidal Wetland,111,175.562,OLISP 1995 Air Photos,24971.6467964438,7647485.17685881
57,Tidal Wetland,111,14.517,OLISP 1995 Air Photos,3281.21921851626,632381.411311857
58,Tidal Wetland,111,5.964,OLISP 1995 Air Photos,3175.63818119725,259813.349270378
59,Tidal Wetland,111,1.749,OLISP 1995 Air Photos,1179.04302671872,76205.7794220901
60,Tidal Wetland,111,1.814,OLISP 1995 Air Photos,1462.10311685051,79028.6125072169
