X,Y,OBJECTID,TNF_LS_NO,SLIDE_NO,INVENTORY,CONFID_DAT,YR_INT_TYP,YR_OCCURANCE,LATEST_YEAR_NOTSEEN,FIRST_YEAR_SEEN,TREATMENT,RD_RELATED,STRM_IMPAC,PRED_COVER,COVER_SPP,COVER_PERCENT,FAIL_TYPE,VEG_CLASS,EXAMINER,SLOPE_PER,SLOPE_SHA,BDRK_F_ZON,PM_F_ZONE,LANDSLIDE_NAME,LANDWEHR_N,GROUPED_SL,RECURRANCE,NUMBER_
-133.457157368,55.233127081,36223,21,C0021,C04,E000-1948,2006P,-1948,,1948,N,N,N,BATR,ALRU2,100,SOAR-DEAV-FLOW,PV,Becki Saari,,,,,,,,,
-133.456300477,55.23529977,36224,22,C0022,C04,E000-1948,2006P,-1948,,1948,N,N,N,BATR,PISI,100,SOAR-DEAV-FLOW,CO,Becki Saari,,,,,,,,,
-133.424129814,55.30648681,36225,37,C0037,C04,E000-1948,2006P,-1948,,1948,N,N,Y,BATR,PISI,100,TRZO-DEFL-FLOW,CO,Becki Saari,,,,,,,,,
-133.443387607,55.303686799,36226,38,C0038,C04,E000-1948,2006P,-1948,,1948,N,N,Y,BATR,PISI,100,SOAR-DEAV-FLOW,CO,Becki Saari,,,,,,,,,
-133.413384292,55.305770485,36227,80,C0079,C04,E000-1948,2006P,-1948,,1948,N,N,Y,BATR,ALRU2,100,SOAR-DEAV-FLOW,AL,Becki Saari,,,,,,,,,
-133.398000621,55.235240588,36228,93,C0092,C04,E000-1948,2006P,-1948,,1948,N,N,Y,BATR,ALRU2,100,SOAR-DEFL-FLOW,AL,Becki Saari,,,,,,,,,
-133.375982339,55.303479859,36229,121,C0120,C04,E00001960,2006P,1960,1948.0,1971,N,N,Y,BATR,ALRU2,100,TRZO-DEFL-FLOW,AL,Becki Saari,,,,,,,,,
-133.371594122,55.303896741,36230,122,C0121,C04,E000-1948,2006P,-1948,,1948,N,N,N,BATR,ALRU2,100,SOAR-DEAV-FLOW,AL,Becki Saari,,,,,,,,,
-133.390291291,55.307818078,36231,124,C0123,C04,E000-1948,2006P,-1948,,1948,N,N,Y,BATR,ALRU2,100,SOAR-DEFL-FLOW,AL,Becki Saari,,,,,,,,,
-133.343565147,55.235078268,36232,159,C0158,C04,E000-1948,2006P,-1948,,1948,N,N,N,BATR,ALRU2,100,SOAR-DEAV-FLOW,AL,Becki Saari,,,,,,,,,
-133.455323813,55.305113033,36233,257,C0257,C04,E00001988,2006P,1988,1985.0,1990,N,N,Y,BATR,ALRU2,100,SOAR-DEFL-FLOW,AL,Becki Saari,,,,,,,,,
-133.444337422,55.307776527,36234,267,C0267,C04,E000-1948,2006P,-1948,,1948,N,N,Y,BATR,ALRU2,100,SOAR-DEAV-FLOW,AL,Becki Saari,,,,,,,,,
-133.404197349,55.234103977,36235,280,C0280,C04,E00001960,2006P,1960,1948.0,1971,N,N,N,BATR,ALRU2,100,SOAR-DEAV-FLOW,AL,Becki Saari,,,,,,,,,
-133.400873085,55.234208048,36236,281,C0281,C04,E000-1948,2006P,-1948,,1948,N,N,Y,BATR,ALRU2,100,SOAR-DEFL-FLOW,AL,Becki Saari,,,,,,,,,
-133.365682383,55.308098029,36237,297,C0297,C04,E000-1948,2006P,-1948,,1948,N,N,Y,BATR,ALRU2,100,SOAR-DEFL-FLOW,AL,Becki Saari,,,,,,,,,
-133.343861158,55.233532925,36238,305,C0305,C04,E000-1948,2006P,-1948,,1948,N,N,Y,BATR,ALRU2,40,TRZO-DEFL-FLOW,PV,Becki Saari,,,,,,,,,
-133.349325145,55.305294954,36239,325,C0325,C04,E00001991,2006P,1991,1985.0,1997,N,N,Y,BATR,ALRU2,40,TRZO-DEFL-FLOW,PV,Becki Saari,,,,,,,,,
-133.406189614,55.304747,36240,730,C0732,C05,E000-1948,2002F,-1948,,1948,N,N,Y,BATR,PISI,100,TRZO-DEFL-FLOW,CO,Becki Saari,,,,,,,,,
-133.411701396,55.305602509,36241,732,C0734,C02,E00002000,2002F,2000,1997.0,2002,N,N,Y,BARE,,0,TRZO-DEFL-FLOW,UN,Pam Frone,,,,,,,,,
-131.81305,55.220794405,36242,1070,K0061,T2_3,E00001988,2007P,1988,1948.0,1973,N,N,Y,BATR,ALRU2,100,SOAR-DEAV-FLOW,AL,Darin Silkworth,,,,,,,,,0061
-131.76984046,55.220570848,36243,1115,K0106,T2_3,E00001938,2007P,1938,1929.0,1948,N,N,N,BATR,ALRU2,100,SOAR-DEAV-FLOW,AL,Darin Silkworth,,,,,,,,,0106
-131.768857962,55.293419365,36244,1120,K0111,T2_3,E00001938,2007P,1938,1929.0,1948,N,N,Y,BATR,ALRU2,100,SOAR-DEAV-FLOW,AL,Darin Silkworth,,,,,,,,,0111
