OBJECTID,Value,DateRecorded,ShortDate,FullYear,MonthName,MonthNum
1201,541520452,2019/09/30 16:59:31+00,September 2019,2019,September,9
1601,3733468,1996/01/02 00:00:00+00,January 1996,1996,January,1
1602,7105498,1997/01/02 00:00:00+00,January 1997,1997,January,1
1603,48215336,1998/01/02 00:00:00+00,January 1998,1998,January,1
1604,6879168,1999/01/02 00:00:00+00,January 1999,1999,January,1
1605,13780399,2000/01/02 00:00:00+00,January 2000,2000,January,1
1606,12093334,2001/01/02 00:00:00+00,January 2001,2001,January,1
1607,14650831,2002/01/02 00:00:00+00,January 2002,2002,January,1
1608,2778355,2003/01/02 00:00:00+00,January 2003,2003,January,1
1609,20233976,2004/01/02 00:00:00+00,January 2004,2004,January,1
1610,47401969,2005/01/02 00:00:00+00,January 2005,2005,January,1
1611,25729337,2006/01/02 00:00:00+00,January 2006,2006,January,1
1612,30755280,2007/01/02 00:00:00+00,January 2007,2007,January,1
1613,20666223,2008/01/02 00:00:00+00,January 2008,2008,January,1
1614,7819972,2009/01/02 00:00:00+00,January 2009,2009,January,1
1615,8013901,2010/01/02 00:00:00+00,January 2010,2010,January,1
1616,8808966,2011/01/02 00:00:00+00,January 2011,2011,January,1
1617,14339644,2012/01/02 00:00:00+00,January 2012,2012,January,1
1618,37745814,2013/01/02 00:00:00+00,January 2013,2013,January,1
1619,22935847,2014/01/02 00:00:00+00,January 2014,2014,January,1
1620,22077849,2015/01/02 00:00:00+00,January 2015,2015,January,1
1621,33978166,2016/01/02 00:00:00+00,January 2016,2016,January,1
1622,15750924,2017/01/02 00:00:00+00,January 2017,2017,January,1
1623,29082564,2018/01/02 00:00:00+00,January 2018,2018,January,1
1624,33167989,2019/01/02 00:00:00+00,January 2019,2019,January,1
1625,10788593,1996/02/02 00:00:00+00,February 1996,1996,February,2
1626,20988634,1997/02/02 00:00:00+00,February 1997,1997,February,2
1627,57874126,1998/02/02 00:00:00+00,February 1998,1998,February,2
