OBJECTID,QUAD,SEGMENT,SRC_MAP,SRC_SCALE,SRC_YEAR,HELP_MAP,HELP_SCALE,HELP_DATE,FPR_TRAIL_,JUR,MAINT,MAINT2,CLASS,LONG_,LTS,AT_,ATS,ALTS,CAT,VAST,VAST_1,VAST_2,VAFD,SFT,LRP,PCT,ATV,OT,ID,NOTES,MILES,SHAPElen
1,216,1, ,0,0, ,0, ,0,MU,MU, ,RR, , , , , , , , , , , ,T, , , ,216001,Burlington Bike Path,0.714,1149.36662899499
2,216,2, ,0,0, ,0, ,0,MU,MU, ,RR, , , , , , , , , , , ,T, , , ,216002,Burlington Bike Path,0.457,735.873998847479
3,216,3, ,0,0, ,0, ,0,MU,MU, ,RR, , , , , , , , , , , ,T, , , ,216003,Burlington Bike Path,0.996,1603.13584853478
4,216,4, ,0,0, ,0, ,0,MU,MU, ,RR, , , , , , , , , , , ,T, , , ,216004,Burlington Bike Path,0.229,368.257430964809
5,216,5, ,0,0, ,0, ,0,MU,MU, ,TH, , , , , , , , , , , ,T, , , ,216005,Burlington Bike Path,1.064,1712.66845219307
6,216,6, ,0,0, ,0, ,0,MU,MU, ,RR, , , , , , , , , , , ,T, , , ,216006,Burlington Bike Path,0.397,639.01372970512
7,216,7, ,0,0, ,0, ,0,PC,MU, ,RO, , , , , , , , , , , ,T, , , ,216007,Burlington Bike Path,0.44,707.935992074595
8,213,1, ,0,0, ,0, ,0,PV,VA,PV,OT, , , , , , , , , ,T, , , , , ,213001,Secondary/Feeder Trails Ferrisburg,0.55,885.130413628697
9,213,2, ,0,0, ,0, ,0,PV,VA,PV,OT, , , , , , , , , ,T, , , , , ,213002,Secondary/Feeder Trails Ferrisburg,0.414,667.313141021983
10,213,3, ,0,0, ,0, ,0,PV,VA,PV,OT, , , , , , , , , ,T, , , , , ,213003,Secondary/Feeder Trails Little Otter Creek,1.387,2233.54235104846
11,212,1, ,0,0, ,0, ,0,PV,VA,PV,OT, , , , , , , , , ,T, , , , , ,212001,Secondary/Feeder Trail,0.732,1178.35937874902
12,212,3, ,0,0, ,0, ,0,ST,VA,ST,SF, , , , , , , , , ,T, , , , , ,212003,Secondary/Feeder Trail Dead Creek WMA,0.073,117.410273504836
13,212,4, ,0,0, ,0, ,0,MU,VA,MU,TH, , , , , , , , , ,T, , , , , ,212004,Secondary/Feeder Trail Town Road,0.647,1041.64927481283
