OBJECTID,BOUNDARY,Notes,SHAPE_Length
1,TsunamiZone,Tsunami Regulatory Zone,594.391427445074
2,TsunamiZone,Tsunami Regulatory Zone,2282.91214279059
3,TsunamiZone,Tsunami Regulatory Zone,2257.26193411495
4,TsunamiZone,Tsunami Regulatory Zone,4052.10266544114
5,TsunamiZone,Tsunami Regulatory Zone,11650.7505525528
6,TsunamiZone,Tsunami Regulatory Zone,1326.57239666016
7,TsunamiZone,Tsunami Regulatory Zone,1035.74497041475
8,TsunamiZone,Tsunami Regulatory Zone,707.829324277972
9,TsunamiZone,Tsunami Regulatory Zone,1244.68930680076
10,TsunamiZone,Tsunami Regulatory Zone,1930.45331975307
11,TsunamiZone,Tsunami Regulatory Zone,1482.64783326787
12,TsunamiZone,Tsunami Regulatory Zone,1324.40244753312
13,TsunamiZone,Tsunami Regulatory Zone,501.572147413769
14,TsunamiZone,Tsunami Regulatory Zone,985.818934128954
15,TsunamiZone,Tsunami Regulatory Zone,5510.85362713442
16,TsunamiZone,Tsunami Regulatory Zone,1701.56718089795
17,TsunamiZone,Tsunami Regulatory Zone,12704.764232255
18,TsunamiZone,Tsunami Regulatory Zone,6007.01224000837
19,TsunamiZone,Tsunami Regulatory Zone,164.442621898837
20,TsunamiZone,Tsunami Regulatory Zone,6588.34068284844
21,TsunamiZone,Tsunami Regulatory Zone,1008.3774012172
22,TsunamiZone,Tsunami Regulatory Zone,830.033221772605
23,TsunamiZone,Tsunami Regulatory Zone,921.939460221307
24,TsunamiZone,Tsunami Regulatory Zone,4635.17321832742
25,TsunamiZone,Tsunami Regulatory Zone,353.076310168856
26,TsunamiZone,Tsunami Regulatory Zone,422.246446416801
27,TsunamiZone,Tsunami Regulatory Zone,260.466313188947
28,TsunamiZone,Tsunami Regulatory Zone,1262.92914675145
29,TsunamiZone,Tsunami Regulatory Zone,193.359058615702
30,TsunamiZone,Tsunami Regulatory Zone,330.053807984068
31,TsunamiZone,Tsunami Regulatory Zone,261.713557032546
32,TsunamiZone,Tsunami Regulatory Zone,973.202063572687
33,TsunamiZone,Tsunami Regulatory Zone,1496.72741783317
34,TsunamiZone,Tsunami Regulatory Zone,311.80291438187
35,TsunamiZone,Tsunami Regulatory Zone,622.894327432796
36,TsunamiZone,Tsunami Regulatory Zone,1362.71972673098
37,TsunamiZone,Tsunami Regulatory Zone,324.384515112317
38,TsunamiZone,Tsunami Regulatory Zone,1080.47704014691
39,TsunamiZone,Tsunami Regulatory Zone,437.720677477822
40,TsunamiZone,Tsunami Regulatory Zone,479.155358570083
41,TsunamiZone,Tsunami Regulatory Zone,2695.36371327991
42,TsunamiZone,Tsunami Regulatory Zone,1853.45380688949
43,TsunamiZone,Tsunami Regulatory Zone,2411.23948095547
44,TsunamiZone,Tsunami Regulatory Zone,533.610178287862
45,TsunamiZone,Tsunami Regulatory Zone,5377.2268481845
46,TsunamiZone,Tsunami Regulatory Zone,9544.54287263606
47,TsunamiZone,Tsunami Regulatory Zone,341.790893500638
48,TsunamiZone,Tsunami Regulatory Zone,5802.54904726301
49,TsunamiZone,Tsunami Regulatory Zone,2629.70707651943
50,TsunamiZone,Tsunami Regulatory Zone,279.867612402069
51,TsunamiZone,Tsunami Regulatory Zone,5977.7612317137
52,TsunamiZone,Tsunami Regulatory Zone,1701.71216164583
53,TsunamiZone,Tsunami Regulatory Zone,2071.87597955895
54,TsunamiZone,Tsunami Regulatory Zone,2696.69976100611
55,TsunamiZone,Tsunami Regulatory Zone,9099.12330849584
56,TsunamiZone,Tsunami Regulatory Zone,1560.35630191784
57,TsunamiZone,Tsunami Regulatory Zone,558.724587444335
