OBJECTID,UID,NAME,SHAPE_Length,SHAPE_Area
1,48116a1,Sandpoint,781316.757102808,37407533738.0581
2,47116a1,Spokane,774859.77187737,36688148030.3937
3,47114a1,Wallace,774859.551926753,36688625430.1479
4,46116a1,Pullman,768748.937084525,36008353859.0364
5,46114a1,Hamilton,768742.533262187,36007177193.1809
6,45116a1,Grangeville,762950.023907194,35362462799.4069
7,45114a1,Elk City,762944.095841972,35362219191.3148
8,45112a1,Dillon,762955.103808339,35362929065.6149
9,44116a1,Baker,757451.519234631,34750538281.1947
10,44114a1,Challis,757452.342053933,34750766546.247
11,44112a1,Dubois,757457.714030614,34751086168.5281
12,44110a1,Ashton,757451.152092238,34750669518.5453
13,43116a1,Boise,752235.359125277,34169819571.9703
14,43114a1,Hailey,752235.662511449,34169826685.2771
15,43112a1,Idaho Falls,752233.296895609,34169449906.5309
16,43110a1,Driggs,752235.23703445,34169814983.9085
17,42116a1,Jordan Valley,747273.872218389,33617403796.4824
18,42114a1,Twin Falls,747276.300538393,33617717891.9754
19,42112a1,Pocatello,747274.230518466,33617567626.8786
20,42110a1,Preston,747278.185832224,33617780248.7488
21,41116a1,McDermitt,742562.643275186,33093027907.6135
22,41114a1,Wells,742566.759589615,33093318972.5894
23,41112a1,Brigham City,742562.881747425,33093144323.7807
24,41110a1,Ogden,742566.220510534,33093450012.9603
