OBJECTID,ID_1,Site,Additional_Info_1,Additional_Info_2,Additional_Info_3,Additional_Info_4,Additional_Info_5,Shape__Area,Shape__Length
1,14,City of Detroit: Detroit Historical Museum,"Explore Detroit's role in the Underground Railroad in an exciting exhibit, walk the streets of Old Detroit, learn about how cars built Detroit and Detroit built cars, or view special exhibitions on a wide variety of topics.",,,,,25700.6633300781,823.397166591325
2,17,Second Baptist Church of Detroit,"The church was established in 1836, when 13 former slaves decided to leave the First Baptist Church because of its discriminatory practices. The church quickly became involved in the period's most bitter dispute--slavery. Just miles away from the","freedom that the Canadian border offered to escaped slaves, it soon became a stop on the Underground Railroad. Its leaders helped form the Amherstburg Baptist Association and the Canadian Anti-Slavery Baptist Association, both of which supported","abolitionism. These organizations aided, both spiritually and materially, the ever-increasing number of fugitive slaves fleeing north. The","church's activism was not limited to slavery, however. In 1843 and in 1865, it hosted a ""State Conventionof Colored Citizens"" to petition the Michigan government for Negro Suffrage, and after the Civil War, the church played a vital role in helping"," thousands of migrating freed slaves in securing homes and jobs in and around Detroit. The church assisted more than 5,000 slaves on their way to Canada.",14054.9150390625,506.332203985498
3,13,Charles H. Wright Museum of African American History,"Founded in 1965 by Dr. Charles Wright, an obstetrician and gynecologist, the museum exists to serve Metropolitan Detroit and national communities by providing exceptional exhibitions and programs based on outstanding collections and research that","explore the diversity of African American history and culture. It features both permanent and special exhibitions, and the current ""third generation"" museum (located in Detroit's Cultural Center) is a 120,000 square foot state-of-the-art facility,",It is the largest museum in the world dedicated to the struggles and perseverance of African Americans. The core exhibit traces the history,of the slave trade from Africa to the Americas and Detroit's participation in the UGRR movement. The Ring of Genealogy in the rotunda contains the names of many of the prominent members of Detroit's UGRR organization.,,54374.7170410156,1300.46529219115
4,12,Detroit jail,"At the site of the DPL Skillman branch. Thornton and Ruthy Blackburn were jailed in 1833 due to the Fugitive Slave Law.If the Wayne County Circuit Court judge ruled that they were not free, they would be returned to slavery in Kentucky. After church,","a Mrs. Lightfoot and a Mrs. French visited Ruthie. Mrs. French changed clothes with Ruthie, allowing her to escape to Amherstburg. Mrs. French was released, re-arrested for the plot, re-relased and escaped to Canada for some months. The next morning","when attempting to transfer Thornton, a group of 40 to 200 mostly black, men and women arrived. A pistol was tossed to Thornton, who after","pointing it at the sheriff, fired into the air. The crowd erupted and the shackled Thornton was rushed away on a horse cart. They escaped up Gratiot to Russell then around the city to the Rouge River where they escaped by boat to Sandwich. 29 people"," were tried and 11 sentenced -- all black -- for ""unlawful assembly and a riot and disturbance.""",13484.0676269531,481.200432349087
5,21,Elmwood Cemetery,"Burial site for significant UGRR operatives including William Webb, Dr. Joseph Ferguson, George DeBaptiste, William Lambert as well as former slaves and members of the 102nd U.S. Colored Infantry. The cemetery has published a brochure promoting its",African American Heritage Tour. The list includes many prominent African Americans who made noteable contributions to the community at large.Shubael Conant was the founder and first president—in 1837—of Detroit's Anti-Slavery Society. He originally,owned the land near what is now Conant Gardens. He is buried here.,,,5506586.03588867,10650.3648929619
6,15,First Congregational Church,"As one of the national forerunners in the Anti-slavery movement, the Congregational Church has a rich history in the Underground Railroad nationally. Locally, church records indicate it served as one of the Railroad Stations while located at Fort",and Wayne Streets.,,,,22960.4521484375,723.701111970764
7,9,Governor Steven T. Mason,"The ""Boy Governor"" was 19 when he became governor of the Michigan territory. He was a Virginian and his family brought their household slaves to Michigan in 1830. This was in disregard to the Northwest Ordinance of 1787 which forbade new slaves north",of the Ohio River.,,,,20098.4147949219,695.044788076081
8,4,Sandwich Baptist Church - discussion only,,,,,,5404.873046875,320.972890268382
9,20,William Lambert House,"NE corner of E. Larned and St. Aubin. William  Lambert, a black leader in Michigan for almost fifty years, lived on this  site,"" according to the historical marker. ""Born in New Jersey  about 1817, he moved to Detroit as a young man and became active",in the  antislavery movement and served as the head of the Detroit Vigilance  Committee. In 1843 he helped organize the first State Convention of Colored  Citizens and served as its chairman. He was one of those present at the  meeting between,John Brown and Frederick Douglass at the home of William Webb  where he made a financial contribution to the Harpers Ferry Raid led by John,"Brown in 1859. One writer (Buckmaster) asserts that in 31 years of aiding runaway slaves, Lambert helped30,000 fugitives across the river from Detroit.",,12056.982421875,447.076007328996
10,6,Mariner's Church,"Mariners’ became a point on the Underground Railway, assisting the freedom of former slaves through a tunnel from its basement to the waterfront. http://marinerschurchofdetroit.org/history/ The church was eventually moved to its current lcoation.",,,,,5283.53002929688,349.614652349445
