OBJECTID,UCWS_FEA_KEY,UCWS_REC_WTRBDY_NAME,UCWS_NAME,UCWS_ALT_NAME,UCWS_STREAM_NAME,UCWS_AREA_SQFT_NBR,UCWS_AREA_ACRES_NBR,SHAPE_Length,SHAPE_Area
1,4039563,Puget Sound,PS_CW_007,,,2435526.0847,55.912,10938.3653405706,2435526.09023435
2,4039564,Puget Sound,PS_CW_055,Me-Kwa-Mooks Creek,,21665.8812,0.4974,884.88338745214,21665.8873565959
3,4039565,Lake Washington,LW_CW_045,Washington Park,,7865229.1168,180.5608,15267.597506974,7865229.05270831
4,4039566,Puget Sound,PS_CW_060,Fauntleroy Creek,,6500219.9074,149.2245,14869.6076765205,6500219.90743502
5,4039567,Puget Sound,PS_CW_061,Seloa Beach Creek,Seola Beach,31927473.5606,732.9539,28071.8044054249,31942305.7071363
6,4039568,Lake Washington,LW_CW_052,Taylor Creek,,27371586.7215,628.3652,33958.201955297,27371774.4301853
7,4039569,Lake Washington,LW_CW_050,Mt. Baker Park,,459380.6395,10.5459,3209.92449583263,459380.686263637
8,4039570,Urban Combined System,UC_CW_044,Interlaken Park 4,,670635.3991,15.3957,4316.40034167512,670635.314930771
9,4039571,Puget Sound,PS_CW_017,,,85233.7308,1.9567,1522.00158160911,85233.7894960337
10,4039572,Puget Sound,PS_CW_005,Piper's Creek,,68461875.814,1571.6684,41392.2906289199,68461875.8139615
11,4039573,Puget Sound,PS_CW_054,Schmitz Creek,,4068723.6471,93.405,10491.8837667877,4068724.00278642
12,4039574,Lake Washington,LW_CW_039,Yesler Creek 4,,625165.4003,14.3518,3127.00717126668,625165.445399923
13,4039575,Lake Washington,LW_CW_023,Inverness Creek,,709217.4788,16.2814,4253.77516563264,709217.477372591
14,4039576,Puget Sound,PS_CW_012,,,71360.18,1.6382,1358.89043804547,71360.183706885
15,4039577,Puget Sound,PS_CW_010,,,2831397.0165,64.9999,8984.52820368377,2831396.86601719
16,4039578,Lake Washington,LW_CW_040,Ravenna (lower) Creek,,3968993.6628,91.1156,8642.77175659916,3968993.78823879
17,4039579,Puget Sound,PS_CW_015,,,142614.5679,3.274,1737.11287655334,142614.594902927
