OBJECTID_1,OBJECTID,unitID,descriptn,instCode,codeRef,unitOwner,cSteward,Shape_Leng,instName,effDate,Shape_Le_1,Shape_Le_2,Shape_Le_3,Shape_Le_4,Acres,Shape_Le_5,Shape__Area,Shape__Length
1,1,DLCD,Comp Plan- See DLCD File,2072,GNIS,2072,DLCD,23090.1768974,Adair Village,20060000,23090.1768974,23090.1768974,23090.1768974,23090.1768974,0.0,23090.1768974,2447773.1953125,9902.51605690439
2,2,DLCD,Comp Plan- See DLCD File,35869,GNIS,35869,DLCD,14456.5714326,Adams,19800000,14456.5714326,14456.5714326,14456.5714326,14456.5714326,0.0,14456.5714326,1946278.40625,6314.53430611068
3,3,DLCD,Comp Plan- See DLCD File,29483,GNIS,29483,DLCD,10245.0694668,Adrian,19800000,10245.0694668,10245.0694668,10245.0694668,10245.0694668,0.0,10245.0694668,1211728.375,4323.83942496443
4,4,DLCD,Comp Plan- See DLCD File,28150,GNIS,28150,DLCD,205361.18238,Albany,19800000,205361.18238,205361.18238,205361.18238,205361.18238,0.0,205361.18238,111064174.632813,87977.0697741443
5,5,DLCD,Comp Plan- See DLCD File,41474,GNIS,41474,DLCD,30780.7906301,Amity,20110000,30780.7906301,30780.7906301,30780.7906301,30780.7906301,0.0,30780.7906301,3417330.890625,13299.4706303027
6,6,DLCD,Comp Plan- See DLCD File,39259,GNIS,39259,DLCD,14393.8636013,Antelope,19800000,14393.8636013,14393.8636013,14393.8636013,14393.8636013,0.0,14393.8636013,2373656.25,6197.17738164394
7,7,DLCD,Comp Plan- See DLCD File,11006,GNIS,11006,DLCD,68731.1257473,Arlington,20110000,68731.1257473,68731.1257473,68731.1257473,68731.1257473,0.0,68731.1257473,18236133.671875,30010.2974012776
8,8,DLCD,Comp Plan- See DLCD File,16893,GNIS,16893,DLCD,103651.619557,Ashland,19800000,103651.619557,103651.619557,103651.619557,103651.619557,0.0,103651.619557,34884951.7734375,42638.6864633226
9,9,DLCD,Comp Plan- See DLCD File,4072,GNIS,4072,DLCD,108155.496176,Astoria,19800000,108155.496176,108155.496176,108155.496176,101828.323695,0.0,119070.244164,54825434.0625,52385.9195946146
10,10,DLCD,Comp Plan- See DLCD File,35870,GNIS,35870,DLCD,28288.4098093,Athena,19890000,28288.4098093,28288.4098093,28288.4098093,28288.4098093,0.0,28288.4098093,3416208.8515625,12370.1919041105
11,11,DLCD,Comp Plan- See DLCD File,31920,GNIS,31920,DLCD,28130.8856673,Aumsville,20070000,28130.8856673,28130.8856673,28130.8856673,28130.8856673,0.0,28130.8856673,6701365.7734375,12094.1799706662
12,12,DLCD,Comp Plan- See DLCD File,31921,GNIS,31921,DLCD,27818.8208364,Aurora,19800000,27818.8208364,27818.8208364,27818.8208364,27818.8208364,0.0,27818.8208364,3341928.484375,12042.7422548589
13,13,DLCD,Comp Plan- See DLCD File,517,GNIS,517,DLCD,77371.4213955,Baker City,19940000,77371.4213955,77371.4213955,77371.4213955,77371.4213955,0.0,77371.4213955,39482743.609375,33238.6419435692
14,14,DLCD,Comp Plan- See DLCD File,5227,GNIS,5227,DLCD,79286.2479286,Bandon,19930000,79286.2479286,79286.2479286,79286.2479286,79286.2479286,0.0,79286.2479286,21298385.8828125,33118.0810524246
15,15,DLCD,Comp Plan- See DLCD File,40071,GNIS,40071,DLCD,28072.182713,Banks,20130000,28072.182713,28072.182713,28072.182713,28072.182713,0.0,28072.182713,5837830.6015625,12232.8033683215
16,16,DLCD,Comp Plan- See DLCD File,2856,GNIS,2856,DLCD,8087.12874989,Barlow,19800000,8087.12874989,8087.12874989,8087.12874989,8087.12874989,0.0,8087.12874989,270791.390625,3499.91800686754
17,17,DLCD,Comp Plan- See DLCD File,34999,GNIS,34999,DLCD,43376.8624307,Bay City,20140000,43376.8624307,43376.8624307,43376.8624307,43376.8624307,0.0,43376.8624307,11395026.109375,18868.5859189766
18,18,DLCD,Comp Plan- See DLCD File,8088,GNIS,8088,DLCD,217143.570153,Bend,20160000,217143.570153,217143.570153,217143.570153,217143.570153,0.0,217143.570153,186115982.882813,92133.8366876455
19,19,DLCD,Comp Plan- See DLCD File,32715,GNIS,32715,DLCD,72841.6679543,Boardman,19880000,72841.6679543,72841.6679543,72841.6679543,72841.6679543,0.0,72841.6679543,29200784.984375,31857.2272199637
20,20,DLCD,Comp Plan- See DLCD File,20918,GNIS,20918,DLCD,24251.4399403,Bonanza,19800000,24251.4399403,24251.4399403,24251.4399403,24251.4399403,0.0,24251.4399403,2749317.7109375,9974.06057700622
21,21,DLCD,Comp Plan- See DLCD File,7062,GNIS,7062,DLCD,244920.048936,Brookings,19960000,244920.048936,244920.048936,244920.048936,244920.048936,0.0,244920.048936,56854446.5390625,100544.840477961
22,22,DLCD,Comp Plan- See DLCD File,28155,GNIS,28155,DLCD,38906.1186049,Brownsville,19890000,38906.1186049,38906.1186049,38906.1186049,38906.1186049,0.0,38906.1186049,7351118.3984375,16600.2291966701
23,23,DLCD,Comp Plan- See DLCD File,14277,GNIS,14277,DLCD,52565.1317659,Burns,19990000,52565.1317659,52565.1317659,52565.1317659,52565.1317659,2561.33159633,52565.1317659,19770554.828125,22121.8831747379
24,24,DLCD,Comp Plan- See DLCD File,16902,GNIS,16902,DLCD,15987.6553995,Butte Falls,19800000,15987.6553995,15987.6553995,15987.6553995,15987.6553995,0.0,15987.6553995,1934882.96875,6614.16081479266
25,25,DLCD,Comp Plan- See DLCD File,2869,GNIS,2869,DLCD,70710.2180399,Canby,20030000,70710.2180399,70710.2180399,70710.2180399,70710.2180399,0.0,70710.2180399,28402808.4921875,30632.3992779713
26,26,DLCD,Comp Plan- See DLCD File,4080,GNIS,4080,DLCD,59664.5364543,Cannon Beach,20170000,59664.5364543,59664.5364543,59664.5364543,59664.5364543,0.0,59664.5364543,9165687.6796875,26131.667085546
27,27,DLCD,Comp Plan- See DLCD File,11813,GNIS,11813,DLCD,32448.3787663,Canyon City,19800000,32448.3787663,32448.3787663,32448.3787663,32448.3787663,0.0,32448.3787663,9276413.2734375,13846.4983091708
28,28,DLCD,Comp Plan- See DLCD File,9189,GNIS,9189,DLCD,65235.0438116,Canyonville,20150000,65235.0438116,65235.0438116,65235.0438116,65235.0438116,0.0,65235.0438116,7984261.1875,27163.1463311904
29,29,DLCD,Comp Plan- See DLCD File,41477,GNIS,41477,DLCD,25334.448679,Carlton,19800000,25334.448679,25334.448679,25334.448679,25334.448679,0.0,25334.448679,4615882.015625,10975.477597251
30,30,DLCD,Comp Plan- See DLCD File,16074,GNIS,16074,DLCD,55383.4318448,Cascade Locks,19800000,55383.4318448,55383.4318448,55383.4318448,55383.4318448,0.0,55383.4318448,17077288.84375,24151.7743283957
31,31,DLCD,Comp Plan- See DLCD File,19143,GNIS,19143,DLCD,46226.8491708,Cave Junction,19800000,46226.8491708,46226.8491708,46226.8491708,46226.8491708,0.0,46226.8491708,12467744.53125,19010.7177441555
32,32,DLCD,Comp Plan- See DLCD File,2875,GNIS,2875,DLCD,99044.7523912,Central Point,20220000,99044.7523912,99044.7523912,99044.7523912,99044.7523912,0.0,98679.5468955,22056941.203125,40729.8726334654
33,33,DLCD,Comp Plan- See DLCD File,20923,GNIS,20923,DLCD,31191.1499462,Chiloquin,19800000,31191.1499462,31191.1499462,31191.1499462,31191.1499462,0.0,31191.1499462,4814278.9140625,12916.268949854
34,34,DLCD,Comp Plan- See DLCD File,4616,GNIS,4616,DLCD,57196.9912977,Clatskanie,19800000,57196.9912977,57196.9912977,57196.9912977,57196.9912977,0.0,57196.9912977,12002925.3671875,25131.8131439081
35,35,DLCD,Comp Plan- See DLCD File,24833,GNIS,24833,DLCD,42636.6792989,Coburg,20180000,42636.6792989,42636.6792989,42636.6792989,42636.6792989,0.0,42636.6792989,5943556.453125,18118.0075681709
36,36,DLCD,Comp Plan- See DLCD File,4618,GNIS,4618,DLCD,30586.1216999,Columbia City,20030000,30586.1216999,30586.1216999,30586.1216999,30586.1216999,0.0,30586.1216999,6502176.71875,13398.9113304145
37,37,DLCD,Comp Plan- See DLCD File,11010,GNIS,11010,DLCD,21310.6479848,Condon,19800000,21310.6479848,21310.6479848,21310.6479848,21310.6479848,0.0,21310.6479848,6694525.421875,11386.3573987873
38,38,DLCD,Comp Plan- See DLCD File,5236,GNIS,5236,DLCD,179176.654127,Coos Bay,19980000,179176.654127,179176.654127,179176.654127,179176.654127,0.0,179176.654127,77890663.3359375,75176.0921522921
39,39,DLCD,Comp Plan- See DLCD File,5240,GNIS,5240,DLCD,88482.2675756,Coquille,20060000,88482.2675756,88482.2675756,88482.2675756,88482.2675756,0.0,88482.2675756,17256141.84375,36995.6120679156
40,40,DLCD,Comp Plan- See DLCD File,2086,GNIS,2086,DLCD,202933.834626,Corvallis,19800000,202933.834626,202933.834626,202933.834626,202933.834626,0.0,202933.834626,143665239.046875,86862.1934002738
41,41,DLCD,Comp Plan- See DLCD File,24835,GNIS,24835,DLCD,79094.0565088,Cottage Grove,20100000,79094.0565088,79094.0565088,79094.0565088,79094.0565088,0.0,79094.0565088,23664794.265625,33410.6057494686
42,42,DLCD,Comp Plan- See DLCD File,36844,GNIS,36844,DLCD,22782.2314656,Cove,19800000,22782.2314656,22782.2314656,22782.2314656,22782.2314656,0.0,22782.2314656,3988584.609375,9874.76882701396
43,43,DLCD,Comp Plan- See DLCD File,24837,GNIS,24837,DLCD,54378.9204795,Creswell,20020000,54378.9204795,54378.9204795,54378.9204795,54378.9204795,0.0,54378.9204795,10269867.0390625,23023.3402956946
44,44,DLCD,Comp Plan- See DLCD File,18397,GNIS,18397,DLCD,30454.084062,Culver,20160000,30454.084062,30454.084062,30454.084062,30454.084062,0.0,30454.084062,3529147.9375,13025.6418083911
45,45,DLCD,Comp Plan- See DLCD File,34168,GNIS,34168,DLCD,84373.3408444,Dallas,20170000,84373.3408444,84373.3408444,84373.3408444,84373.3408444,0.0,84373.3408444,32150917.9296875,36312.7177109268
46,46,DLCD,Comp Plan- See DLCD File,41481,GNIS,41481,DLCD,33050.7617265,Dayton,20220000,33050.7617265,33050.7617265,33050.7617265,33050.7617265,0.0,34100.4259659,6129701.984375,14755.3985773662
47,47,DLCD,Comp Plan- See DLCD File,11816,GNIS,11816,DLCD,19616.6946157,Dayville,19800000,19616.6946157,19616.6946157,19616.6946157,19616.6946157,0.0,19616.6946157,2394485.140625,8379.0201798161
