OBJECTID,GEOID10,ALAND10,AWATER10,GlobalID,T_Parcel,T_Str_CR,Pct_S_CR,T_Str_1230,Pct_S_1230,T_Vac_Q413,Pct_V_Q413,T_Vac_Q114,Pct_V_Q114,T_Vac_Q214,Pct_V_Q214,T_Vac_Q314,Pct_V_Q314,T_Vac_Q414,Pct_V_Q414
1,261635078002004,68692,0,2fb8fc63-d0a8-4da4-8233-09947d1b1017,9.0,6.0,0.666666666666667,6.0,0.666666666666667,,,,,,,,,,
2,261635317002005,8098,0,ba6595b5-353e-4656-9e83-73b53520de08,14.0,3.0,0.214285714285714,3.0,0.214285714285714,3.0,1.0,3.0,1.0,3.0,1.0,3.0,1.0,3.0,1.0
3,261635427001017,10382,0,ff172ab8-98a3-4d48-873c-4349db5339b0,,,,,,,,,,,,,,,
4,261635365003019,1226,0,432a17c7-0e2c-4ad4-96a1-d609a58039c0,,,,,,,,,,,,,,,
5,261635122001011,8131,0,bdacfe7e-ac24-4635-b05a-5a0e745753b0,,,,,,,,,,,,,,,
6,261635214001080,5421,0,ae82459d-08c8-4f6f-99a3-e53fd1edda99,,,,,,,,,,,,,,,
7,261635163001000,39527,0,3569d3dd-5bfb-42ac-bef9-b9011a258fc6,48.0,28.0,0.583333333333333,28.0,0.583333333333333,6.0,0.214285714285714,6.0,0.214285714285714,6.0,0.214285714285714,6.0,0.214285714285714,6.0,0.214285714285714
8,261635163001023,5311,0,1ef28529-c316-4066-9cd7-0a97e2a2ae58,,,,,,,,,,,,,,,
9,261635163001022,13087,0,b46cf3dd-f5c4-4292-848c-e797396e7e84,1.0,,,,,,,,,,,,,,
10,261635164002015,28973,0,c2e5b3d1-d9d0-4727-ad66-6e84376bba4a,24.0,6.0,0.25,6.0,0.25,1.0,0.166666666666667,1.0,0.166666666666667,1.0,0.166666666666667,1.0,0.166666666666667,1.0,0.166666666666667
11,261635456001013,19835,0,6238aa25-0f3e-4189-875c-6b2bd9442d5a,28.0,23.0,0.821428571428571,23.0,0.821428571428571,1.0,0.0434782608695652,1.0,0.0434782608695652,3.0,0.130434782608696,3.0,0.130434782608696,3.0,0.130434782608696
12,261635373002003,37039,0,5b6db07a-a0d8-4ac0-8b58-5c3394978e29,56.0,39.0,0.696428571428571,38.0,0.678571428571429,8.0,0.205128205128205,8.0,0.205128205128205,8.0,0.205128205128205,9.0,0.230769230769231,9.0,0.230769230769231
13,261635373001010,26740,0,7a269e15-3756-46b5-8898-17bbdf3b8848,43.0,38.0,0.883720930232558,38.0,0.883720930232558,12.0,0.315789473684211,12.0,0.315789473684211,11.0,0.289473684210526,13.0,0.342105263157895,13.0,0.342105263157895
14,261635373002006,13625,0,8e11ade5-d34a-4268-bef1-a47af9baf23d,27.0,20.0,0.740740740740741,20.0,0.740740740740741,7.0,0.35,6.0,0.3,6.0,0.3,6.0,0.3,6.0,0.3
15,261635249002013,23303,0,818a2e7c-0f08-4fa9-bc32-1f9cd953724b,11.0,8.0,0.727272727272727,8.0,0.727272727272727,,,,,,,,,,
16,261635249002017,6513,0,8e02dc0b-7cb6-4ef5-a399-85b31c333698,9.0,,,,,,,,,,,,,,
17,261635249002044,2062,0,c752f0b4-a117-4649-9f4c-79c718911622,,,,,,,,,,,,,,,
18,261635242005001,21971,0,0e688010-806d-4cf2-b32c-1ddf3b3b7e72,31.0,23.0,0.741935483870968,23.0,0.741935483870968,1.0,0.0434782608695652,1.0,0.0434782608695652,,,,,,
19,261635242004005,23211,0,4499aec6-8e04-4331-8f2d-c8417f601fe0,56.0,30.0,0.535714285714286,30.0,0.535714285714286,3.0,0.1,2.0,0.0666666666666667,2.0,0.0666666666666667,2.0,0.0666666666666667,2.0,0.0666666666666667
20,261635240003003,25971,0,147bf6cb-470a-4ea1-8330-a40fcf277068,54.0,51.0,0.944444444444444,49.0,0.907407407407407,9.0,0.176470588235294,11.0,0.215686274509804,12.0,0.235294117647059,12.0,0.235294117647059,12.0,0.235294117647059
21,261635242002003,18910,0,ebc99fa4-00ee-45a4-ad5f-f902a1f99ebf,42.0,33.0,0.785714285714286,34.0,0.80952380952381,4.0,0.121212121212121,4.0,0.121212121212121,5.0,0.151515151515152,5.0,0.151515151515152,5.0,0.151515151515152
22,261635242002004,19187,0,f8f92532-5d4c-4c46-b0ff-2a3aaaaccd28,41.0,24.0,0.585365853658537,24.0,0.585365853658537,1.0,0.0416666666666667,2.0,0.0833333333333333,1.0,0.0416666666666667,2.0,0.0833333333333333,2.0,0.0833333333333333
