ObjectId,WEEKENDINGDATE,DOSE_1,DOSE_2,BOOSTER,LOADED
1,2020/12/12 05:00:00+00,,,,2022/10/10 10:04:00+00
2,2020/12/19 05:00:00+00,2144.0,1.0,,2022/10/10 10:04:00+00
3,2020/12/26 05:00:00+00,5451.0,5.0,,2022/10/10 10:04:00+00
4,2021/01/02 05:00:00+00,7889.0,81.0,,2022/10/10 10:04:00+00
5,2021/01/09 05:00:00+00,12616.0,2233.0,,2022/10/10 10:04:00+00
6,2021/01/16 05:00:00+00,14889.0,4497.0,,2022/10/10 10:04:00+00
7,2021/01/23 05:00:00+00,18178.0,4738.0,1.0,2022/10/10 10:04:00+00
8,2021/01/30 05:00:00+00,17916.0,10234.0,3.0,2022/10/10 10:04:00+00
9,2021/02/06 05:00:00+00,17772.0,13231.0,2.0,2022/10/10 10:04:00+00
10,2021/02/13 05:00:00+00,14546.0,14118.0,4.0,2022/10/10 10:04:00+00
11,2021/02/20 05:00:00+00,10678.0,16620.0,10.0,2022/10/10 10:04:00+00
12,2021/02/27 05:00:00+00,18182.0,19365.0,8.0,2022/10/10 10:04:00+00
13,2021/03/06 05:00:00+00,25842.0,13001.0,10.0,2022/10/10 10:04:00+00
14,2021/03/13 05:00:00+00,32209.0,13035.0,17.0,2022/10/10 10:04:00+00
15,2021/03/20 03:59:59+00,35349.0,13824.0,4.0,2022/10/10 10:04:00+00
16,2021/03/27 03:59:59+00,36924.0,17921.0,5.0,2022/10/10 10:04:00+00
17,2021/04/03 03:59:59+00,34111.0,24403.0,18.0,2022/10/10 10:04:00+00
18,2021/04/10 03:59:59+00,28855.0,31413.0,17.0,2022/10/10 10:04:00+00
19,2021/04/17 03:59:59+00,30572.0,35443.0,20.0,2022/10/10 10:04:00+00
20,2021/04/24 03:59:59+00,13263.0,33146.0,16.0,2022/10/10 10:04:00+00
21,2021/05/01 03:59:59+00,8769.0,24352.0,19.0,2022/10/10 10:04:00+00
22,2021/05/08 03:59:59+00,9105.0,27938.0,17.0,2022/10/10 10:04:00+00
23,2021/05/15 03:59:59+00,11968.0,13712.0,12.0,2022/10/10 10:04:00+00
24,2021/05/22 03:59:59+00,15379.0,8462.0,13.0,2022/10/10 10:04:00+00
25,2021/05/29 03:59:59+00,8998.0,7175.0,19.0,2022/10/10 10:04:00+00
26,2021/06/05 03:59:59+00,6321.0,9026.0,11.0,2022/10/10 10:04:00+00
27,2021/06/12 03:59:59+00,6210.0,11606.0,12.0,2022/10/10 10:04:00+00
28,2021/06/19 03:59:59+00,4767.0,8276.0,9.0,2022/10/10 10:04:00+00
29,2021/06/26 03:59:59+00,4389.0,5498.0,12.0,2022/10/10 10:04:00+00
30,2021/07/03 03:59:59+00,4028.0,4474.0,12.0,2022/10/10 10:04:00+00
31,2021/07/10 03:59:59+00,3645.0,4014.0,24.0,2022/10/10 10:04:00+00
32,2021/07/17 03:59:59+00,4627.0,3376.0,6.0,2022/10/10 10:04:00+00
33,2021/07/24 03:59:59+00,6015.0,3052.0,6.0,2022/10/10 10:04:00+00
34,2021/07/31 03:59:59+00,6852.0,3010.0,26.0,2022/10/10 10:04:00+00
35,2021/08/07 03:59:59+00,7867.0,3814.0,27.0,2022/10/10 10:04:00+00
36,2021/08/14 03:59:59+00,7329.0,4586.0,101.0,2022/10/10 10:04:00+00
37,2021/08/21 03:59:59+00,7971.0,5307.0,1576.0,2022/10/10 10:04:00+00
38,2021/08/28 03:59:59+00,8712.0,5961.0,1957.0,2022/10/10 10:04:00+00
39,2021/09/04 03:59:59+00,8043.0,5816.0,2799.0,2022/10/10 10:04:00+00
40,2021/09/11 03:59:59+00,6229.0,5284.0,2487.0,2022/10/10 10:04:00+00
41,2021/09/18 03:59:59+00,6602.0,6101.0,2148.0,2022/10/10 10:04:00+00
42,2021/09/25 03:59:59+00,4574.0,5510.0,3457.0,2022/10/10 10:04:00+00
43,2021/10/02 03:59:59+00,5046.0,4495.0,10682.0,2022/10/10 10:04:00+00
44,2021/10/09 03:59:59+00,4613.0,4263.0,10855.0,2022/10/10 10:04:00+00
45,2021/10/16 03:59:59+00,4341.0,3562.0,9681.0,2022/10/10 10:04:00+00
46,2021/10/23 03:59:59+00,3876.0,2700.0,8947.0,2022/10/10 10:04:00+00
47,2021/10/30 03:59:59+00,6056.0,2695.0,11274.0,2022/10/10 10:04:00+00
48,2021/11/06 03:59:59+00,6082.0,2603.0,11439.0,2022/10/10 10:04:00+00
49,2021/11/13 05:00:00+00,9353.0,2308.0,11296.0,2022/10/10 10:04:00+00
50,2021/11/20 05:00:00+00,9931.0,2413.0,12863.0,2022/10/10 10:04:00+00
51,2021/11/27 05:00:00+00,7342.0,1988.0,10665.0,2022/10/10 10:04:00+00
