age_group,completed_series,LOADED,PCT_Vaccinated,population_count,ObjectId
30,37526,2022/10/10 09:50:00+00,69.98247,53622,1
45,35859,2022/10/10 09:50:00+00,75.64232,47406,2
75,19784,2022/10/10 09:50:00+00,100.0,19513,3
35,37175,2022/10/10 09:50:00+00,75.62812,49155,4
70,32464,2022/10/10 09:50:00+00,100.0,29259,5
25,33693,2022/10/10 09:50:00+00,56.60691,59521,6
10,24413,2022/10/10 09:50:00+00,51.21465,47668,7
5,15700,2022/10/10 09:50:00+00,33.77724,46481,8
80,12845,2022/10/10 09:50:00+00,85.85082,14962,9
15,27959,2022/10/10 09:50:00+00,60.74478,46027,10
65,38623,2022/10/10 09:50:00+00,93.33962,41379,11
60,43758,2022/10/10 09:50:00+00,87.47401,50024,12
55,41714,2022/10/10 09:50:00+00,78.19078,53349,13
40,36601,2022/10/10 09:50:00+00,78.05216,46893,14
50,38055,2022/10/10 09:50:00+00,76.74081,49589,15
85,12136,2022/10/10 09:50:00+00,77.36835,15686,16
20,28977,2022/10/10 09:50:00+00,59.93423,48348,17
0,2917,2022/10/10 09:50:00+00,6.00985,48537,18
