admin_date,dose,last_7days,LOADED,rolling_count,ObjectId
2022/08/06 04:00:00+00,3,999,2022/10/10 10:04:00+00,230718,1
2021/04/24 04:00:00+00,2,33146,2022/10/10 10:04:00+00,267309,2
2021/12/04 05:00:00+00,1,8223,2022/10/10 10:04:00+00,600649,3
2020/12/12 05:00:00+00,1,0,2022/10/10 10:04:00+00,0,4
2021/08/28 04:00:00+00,2,5961,2022/10/10 10:04:00+00,420948,5
2022/08/06 04:00:00+00,4,1435,2022/10/10 10:04:00+00,48250,6
2022/02/26 05:00:00+00,4,129,2022/10/10 10:04:00+00,1446,7
2022/05/21 04:00:00+00,4,3404,2022/10/10 10:04:00+00,28212,8
2021/04/24 04:00:00+00,3,55,2022/10/10 10:04:00+00,602,9
2021/12/04 05:00:00+00,2,5493,2022/10/10 10:04:00+00,476179,10
2021/08/28 04:00:00+00,3,1964,2022/10/10 10:04:00+00,4751,11
2022/08/06 04:00:00+00,17,1,2022/10/10 10:04:00+00,1,12
2020/12/12 05:00:00+00,2,0,2022/10/10 10:04:00+00,0,13
2022/03/05 05:00:00+00,1,1128,2022/10/10 10:04:00+00,651000,14
2022/05/21 04:00:00+00,5,21,2022/10/10 10:04:00+00,247,15
2021/05/01 04:00:00+00,1,8769,2022/10/10 10:04:00+00,386155,16
2021/08/28 04:00:00+00,4,8,2022/10/10 10:04:00+00,185,17
2022/08/13 04:00:00+00,1,1082,2022/10/10 10:04:00+00,674705,18
2021/12/04 05:00:00+00,3,14353,2022/10/10 10:04:00+00,127782,19
2022/03/05 05:00:00+00,2,1004,2022/10/10 10:04:00+00,507936,20
2020/12/19 05:00:00+00,1,2144,2022/10/10 10:04:00+00,2144,21
2021/05/01 04:00:00+00,2,24352,2022/10/10 10:04:00+00,291661,22
2021/09/04 04:00:00+00,1,8043,2022/10/10 10:04:00+00,518381,23
2022/05/21 04:00:00+00,6,2,2022/10/10 10:04:00+00,28,24
2022/08/13 04:00:00+00,2,866,2022/10/10 10:04:00+00,529842,25
2021/12/04 05:00:00+00,4,53,2022/10/10 10:04:00+00,618,26
2022/03/05 05:00:00+00,3,1303,2022/10/10 10:04:00+00,208867,27
2020/12/19 05:00:00+00,2,1,2022/10/10 10:04:00+00,1,28
2021/05/01 04:00:00+00,3,56,2022/10/10 10:04:00+00,658,29
2021/12/04 05:00:00+00,5,9,2022/10/10 10:04:00+00,64,30
