OBJECTID,ID,acres,perim_mi,edge_area,PSI,Perimeter,vastmisqmi,sq_mi,value,biophysreg,pct_coreA,pct_coreB,cons_pct,corebcstmn,ELU_Group,ELU_Gr_Sum,ELU_avg_ac,ac_ELUavg,ELUpctlnds,ELUpctINV,ac_ELUwght,vt_eos_den,core500cst,strm_wght,pct_coreB2,theo2020,bldg_dens,avg_parcsz,pop_chg,threatF1,threatF2,threatF3,threatF4,threat,combo,ThreatF5,ELU_rank,F1rcl,F1raw,F2rcl,F2raw,F3rcl,F3raw,F4rcl,F4raw,F5rcl,F5raw,F6rcl,F6raw,F7rcl,F7raw,F8rcl,F8raw,F9rcl,F9raw,F10rcl,F10raw,F11rcl,F11raw,Fwght,Fwghtrcl,threatrcl,PRIORITY,COMPONENT,COMPDESC,GDB_ANRANR_ADMINACT174_Vermont_Conservation_Design_Layers_Highest_Priority_Interior_Forest_BlocksArea,ShapeSTArea,ShapeSTLength
1,22,497.06966989,4.06987454,5.24015015,1.30306943,6549.84126431,0.36128377,0.77667136,22,Champlain Valley,73.9302199,56.34650774,62.54443166,212.5269928,10,fine sediment flats,162,3.0683313,0.0351,0.9649,2.96063287,19.23670006,4.10840988,1.95732723,56.34650774,6.27248299,4.0988102,12.54950047,23.61030006,10,3,2,9,6.8,0.73529412,10,19,2,212.5269928,7,2.96063287,4,6,7,56.34650774,3,497.06966989,10,0.0,0,0.0,10,93.06339292,9,3.0,3,1.95732723,0,0,5.0,6,7,HIGHEST PRIORITY,1A,HIGHEST PRIORITY INTERIOR FOREST BLOCKS,2011577.63229,2011577.59480078,6549.84107733555
2,26,608.73264503,8.59536552,9.03686368,2.4868307,13832.9275952,0.69116408,0.95114476,26,Champlain Valley,60.22027946,37.30662416,4.71816326,87.7303009,10,fine sediment flats,162,3.75760892,0.0351,0.9649,3.62571685,22.4375,18.84160042,1.50986481,37.30662416,5.30516005,2.6942699,35.6026001,10.61240005,10,9,4,4,7.4,0.68918919,10,17,4,87.7303009,7,3.62571685,3,4,5,37.30662416,4,608.73264503,10,0.0,2,0.00678459,10,59.31735433,8,2.65342999,3,1.50986481,0,0,5.1,6,8,HIGHEST PRIORITY,1A,HIGHEST PRIORITY INTERIOR FOREST BLOCKS,2463463.46792,2463463.48365746,13832.9271782259
3,45,726.22451843,15.76607556,13.89417198,4.1762195,25373.0898492,0.0,1.13472581,45,Champlain Valley,44.20354751,18.533263,19.64158416,141.4019928,10,fine sediment flats,162,4.4828674,0.0351,0.9649,4.32551875,12.64579964,9.49709988,13.61817971,0.0,5.44998002,4.58423996,18.43779945,15.88129997,9,5,3,7,6.4,0.7265625,8,25,2,141.4019928,7,4.32551875,4,7,0,0.0,4,726.22451843,8,0.07772803,9,1.96509477,10,49.37490967,9,3.0,9,13.61817971,0,0,4.65,6,6,HIGHEST PRIORITY,1A,HIGHEST PRIORITY INTERIOR FOREST BLOCKS,2938938.11226,2938937.88952448,25373.0919734225
4,112,1293.91663858,14.34384082,7.09478328,2.84647567,23084.2203339,0.35419745,2.02174475,112,Champlain Valley,64.23219048,44.0296989,0.0,40.07830048,7,calc/mod calc low elev steep hills with sed flats,579,2.23474376,0.0422,0.9578,2.14043758,15.19629955,1.09116006,0.6797594,44.0296989,4.76251006,6.12247992,35.6026001,10.61240005,8,9,4,1,5.4,0.88888889,5,24,7,40.07830048,6,2.14043758,0,0,6,44.0296989,5,1293.91663858,5,0.32773672,8,0.97414313,6,4.83845699,4,1.49664998,2,0.6797594,0,0,4.8,6,5,HIGHEST PRIORITY,1A,HIGHEST PRIORITY INTERIOR FOREST BLOCKS,5236315.80413,5236315.79396389,23084.2214482804
5,127,1300.39565786,15.44758245,7.60264978,3.05786236,24860.523849,1.82742342,2.03186822,127,Champlain Valley,60.68046254,39.14227158,63.13942953,199.23800659,10,fine sediment flats,162,8.02713369,0.0351,0.9649,7.7453813,50.99850082,1.37240005,6.08897758,39.14227158,6.186261,13.86209965,12.54950047,23.61030006,4,3,2,9,4.8,1.14583333,6,11,2,199.23800659,8,7.7453813,5,14,5,39.14227158,5,1300.39565786,6,0.28997944,10,6.58033572,10,71.34593955,9,3.0,7,6.08897758,0,0,5.5,7,5,HIGHEST PRIORITY,1A,HIGHEST PRIORITY INTERIOR FOREST BLOCKS,5262535.56978,5262535.53833789,24860.5237818495
6,175,1865.17905662,22.67949941,7.78203013,3.74859366,36499.189294,0.42386735,2.91434228,175,Champlain Valley,62.36094577,42.6154635,10.73958016,103.16200256,10,fine sediment flats,162,11.51345097,0.0351,0.9649,11.10932884,25.20499992,0.74642003,4.81491145,42.6154635,4.57213998,12.34549999,18.43779945,15.88129997,5,5,3,5,4.2,1.17857143,3,20,3,103.16200256,8,11.10932884,3,3,6,42.6154635,5,1865.17905662,3,0.6621048,6,0.31955109,8,14.29966732,9,3.0,6,4.81491145,0,0,4.95,6,4,HIGHEST PRIORITY,1A,HIGHEST PRIORITY INTERIOR FOREST BLOCKS,7548142.03674,7548142.10374768,36499.1899681135
7,189,556.18210201,10.8702569,12.50842915,3.29023161,17494.0177159,0.0,0.86903453,189,Champlain Valley,41.86184689,17.89061526,21.32842815,18.39780045,10,fine sediment flats,162,3.43322285,0.0351,0.9649,3.31271673,6.94224024,6.63853979,3.58409232,0.0,5.49439001,4.92419004,29.15810013,12.59060001,9,7,4,7,6.6,0.73484848,6,22,9,18.39780045,7,3.31271673,0,0,0,0.0,4,556.18210201,6,0.22070469,9,1.4774118,9,19.78889641,9,3.0,5,3.58409232,0,0,4.85,6,7,HIGHEST PRIORITY,1A,HIGHEST PRIORITY INTERIOR FOREST BLOCKS,2250798.11474,2250798.16499426,17494.0182431877
8,199,89.54735977,3.81425979,27.26072855,2.87725958,6138.46838706,0.0,0.13991775,199,Champlain Valley,4.59243021,0.0,70.90225794,18.17959976,9,coarse sediment flats,162,0.55276393,0.0187,0.9813,0.54242724,11.33329964,7.85536003,13.61585649,0.0,6.31,8.0,18.43779945,15.88129997,7,5,3,10,7.0,0.66428571,10,19,9,18.17959976,5,0.54242724,0,0,0,0.0,1,89.54735977,10,0.0,8,0.80292708,7,7.03370821,9,3.0,9,13.61585649,0,0,4.65,6,7,HIGHEST PRIORITY,1A,HIGHEST PRIORITY INTERIOR FOREST BLOCKS,362386.757527,362386.79283388,6138.46871088001
9,206,6076.61792917,26.09158985,2.74801176,2.38926733,41990.4275644,0.66802127,9.49471551,206,Northern Vermont Piedmont,84.27540385,73.60781692,0.10110394,1.54358995,9,coarse sediment flats,162,37.51015323,0.0187,0.9813,36.80871336,6.16436005,0.95265299,0.09567427,73.60781692,6.803249,25.25349998,14.93780041,27.25849915,2,3,2,2,3.2,2.1875,7,1,10,1.54358995,10,36.80871336,6,18,9,73.60781692,7,6076.61792917,7,0.11049304,10,94.60578182,4,1.59138852,0,0.0,2,0.09567427,0,0,7.0,9,3,HIGHEST PRIORITY,1A,HIGHEST PRIORITY INTERIOR FOREST BLOCKS,24591298.6582,24591298.5620111,41990.4274530471
10,240,4166.38484418,37.04956463,5.69119806,4.09730775,59625.6137897,0.12924721,6.50997632,240,Champlain Hills,71.93848653,54.7788883,1.95931252,1.29342997,8,acidic low elevation steep hills with sed flats,675,6.17244931,0.0613,0.9387,5.79407817,4.44343996,0.37546,1.90556761,54.7788883,4.78772998,6.53576994,26.59199905,13.66520023,8,7,3,3,5.2,1.16346154,5,6,10,1.29342997,7,5.79407817,0,0,7,54.7788883,6,4166.38484418,5,0.37278169,8,0.91149765,8,12.54595818,9,2.80060005,3,1.90556761,0,0,6.05,7,5,HIGHEST PRIORITY,1A,HIGHEST PRIORITY INTERIOR FOREST BLOCKS,16860828.7081,16860828.6085282,59625.6160721457
11,289,121.40890896,2.77009714,14.6024059,1.79458853,4458.04812559,0.0,0.18970142,289,Champlain Valley,23.59167893,0.0,0.0,96.50740051,9,coarse sediment flats,162,0.74944103,0.0187,0.9813,0.73542648,51.75,53.30509949,33.57170437,0.0,4.77273011,61.6271019,11.35589981,19.93510056,1,2,2,1,3.2,1.46875,10,18,4,96.50740051,5,0.73542648,5,10,0,0.0,2,121.40890896,10,0.0,8,0.95100105,9,19.60078564,9,3.0,10,33.57170437,0,0,4.7,6,3,HIGHEST PRIORITY,1A,HIGHEST PRIORITY INTERIOR FOREST BLOCKS,491326.388283,491326.333463385,4458.04848792913
