OBJECTID,Type,GlobalID,created_user,created_date,last_edited_user,last_edited_date,ShapeSTArea,ShapeSTLength
5,Bridge,{9B8AE4A6-237F-496E-8DBF-4F14ECC76447},,,,,28330.0862629884,4905.24290334375
6,Road,{8F8AF4A4-F1D9-4B13-B47B-6E1D544BB5BD},GIS,2023/05/05 14:25:42+00,GIS,2023/05/05 18:40:57+00,3969310.85657282,209005.811397007
210,Median,{48544AD5-7A58-4C55-8580-156F1E85AA50},GIS,2023/05/05 14:27:34+00,GIS,2023/05/05 14:30:56+00,75702.5574552211,6613.93851929384
211,Median,{2DB633CE-80C1-4210-99D4-176E4D67A61F},GIS,2023/05/05 14:27:34+00,GIS,2023/05/05 14:27:34+00,47410.6592512436,5062.0029117273
212,Median,{9D26E610-84A8-4D26-9693-75B0F67A86A1},GIS,2023/05/05 14:27:34+00,GIS,2023/05/05 14:27:34+00,40978.8735631428,5078.27151313133
213,Median,{704E4BB6-413A-4313-86EC-4A5AC913AE5C},GIS,2023/05/05 14:27:34+00,GIS,2023/05/05 14:27:34+00,199.971763925464,107.986852077433
214,Median,{7DD07EDD-D234-498B-B168-04D4C47371B7},GIS,2023/05/05 14:27:34+00,GIS,2023/05/05 14:27:34+00,199.692553242567,107.842553549282
215,Median,{246BE1C7-63F3-428C-8DE8-F73FFAA6D5D6},GIS,2023/05/05 14:27:34+00,GIS,2023/05/05 14:27:34+00,57828.9613649379,5104.36681961061
216,Median,{93786342-88DC-4CF1-8432-DE851491C8C2},GIS,2023/05/05 14:27:34+00,GIS,2023/05/05 14:27:34+00,52427.9037921684,5125.99086665064
217,Median,{557F4D53-0368-48DF-9CC8-B208C86A07FD},GIS,2023/05/05 14:27:34+00,GIS,2023/05/05 14:27:34+00,142.20415559112,79.1065332204072
218,Median,{EAE31902-8191-4990-95FB-E9B20AC6A9A2},GIS,2023/05/05 14:27:34+00,GIS,2023/05/05 14:27:34+00,142.209961674994,79.1068561379728
219,Median,{D23253C5-2350-49DB-BECF-7B3A49F2F419},GIS,2023/05/05 14:27:34+00,GIS,2023/05/05 14:27:34+00,52658.6574821324,5139.79984686334
220,Median,{B6DD0DDC-EBE3-4DB3-BF34-EC0B96D9D0F2},GIS,2023/05/05 14:27:34+00,GIS,2023/05/05 14:27:34+00,54210.0369675269,5097.53736559993
221,Median,{87CCF02D-0E38-40C4-9BD2-4E2AC754F9C6},GIS,2023/05/05 14:27:34+00,GIS,2023/05/05 14:27:34+00,51452.117179914,5266.58833892989
222,Median,{4EB7D9BC-3DC7-4EB5-9358-625BF667598D},GIS,2023/05/05 14:27:34+00,GIS,2023/05/05 14:27:34+00,45364.591475646,4719.35179343355
223,Median,{CD1DA130-E2A3-4AF0-B477-38F3233C722B},GIS,2023/05/05 14:27:34+00,GIS,2023/05/05 14:27:34+00,195280.130917309,16506.4813380729
224,Median,{3B89838A-4E07-4629-94F9-328D5AC84F6F},GIS,2023/05/05 14:27:34+00,GIS,2023/05/05 14:27:34+00,164.575165158039,64.8685202121126
225,Median,{CAE4264B-19FF-4984-AA91-63C771853CDA},GIS,2023/05/05 14:27:34+00,GIS,2023/05/05 14:27:34+00,53.385169003754,30.3150828619345
226,Median,{64957654-82C2-49C1-807A-CAD41FDF8D86},GIS,2023/05/05 14:27:34+00,GIS,2023/05/05 14:27:34+00,297.718659301074,77.0936537685624
227,Median,{2283C457-5DEA-44B3-8E0E-93ACF0BFE1F5},GIS,2023/05/05 14:27:34+00,GIS,2023/05/05 14:27:34+00,72838.2668256402,7527.18767270763
228,Median,{0B4AEA29-AD09-45A6-BCF5-B85933D955EF},GIS,2023/05/05 14:27:34+00,GIS,2023/05/05 14:27:34+00,1902.10979442384,864.452027339743
229,Median,{43C9BA0B-5EE0-48C2-BDBF-054BBE987C1C},GIS,2023/05/05 14:27:34+00,GIS,2023/05/05 14:27:34+00,7872.80462917348,1779.62249232461
230,Median,{BAE23789-BDDD-4057-987C-C9645DE6393E},GIS,2023/05/05 14:27:34+00,GIS,2023/05/05 14:27:34+00,14358.1102504894,629.602696124205
231,Median,{8E6014A5-AF55-4EBD-9C53-5A9E31C75D54},GIS,2023/05/05 14:27:34+00,GIS,2023/05/05 14:27:34+00,3472.60357512965,503.586481238856
232,Median,{251A8AF2-6DD8-449B-AA9B-9DACE215577E},GIS,2023/05/05 14:27:34+00,GIS,2023/05/05 14:27:34+00,23431.908704943,994.770673013364
233,Median,{831AEF02-BDBE-403A-8581-570361134BB7},GIS,2023/05/05 14:27:34+00,GIS,2023/05/05 14:27:34+00,16523.7487780874,719.539211216452
234,Median,{009668BF-ACEE-4973-8103-BD8A9DEED03C},GIS,2023/05/05 14:27:34+00,GIS,2023/05/05 14:27:34+00,21485.4534734845,891.025334676166
235,Median,{A1CDE386-59D0-4654-AF0C-B311236AC7FB},GIS,2023/05/05 14:27:34+00,GIS,2023/05/05 14:27:34+00,3785.41965174451,612.393436315788
236,Median,{BF0C8832-5733-4889-98D8-2B6FB48C7350},GIS,2023/05/05 14:27:34+00,GIS,2023/05/05 14:27:34+00,2438.91323704224,874.23618583009
256,Trail,{1CCAE400-8D71-4A1F-B099-974FF683768A},GIS,2023/05/05 14:27:34+00,GIS,2023/05/05 15:59:52+00,33087.7665778397,6637.56950535667
257,Trail,{6F9C7E5D-E603-4940-B1C9-AA23D1503367},GIS,2023/05/05 14:27:34+00,GIS,2023/05/05 14:27:34+00,27853.8778843967,5182.63262369556
258,Trail,{1BE5509D-84F4-4A25-B92E-5C390FD1BE91},GIS,2023/05/05 14:27:34+00,GIS,2023/05/05 14:27:34+00,567.948741265176,118.658251479155
259,Trail,{FA07DAA7-278E-48E9-9BEA-EAA47EDB0790},GIS,2023/05/05 14:27:34+00,GIS,2023/05/05 14:27:34+00,29253.9009939508,5695.01464668996
260,Trail,{E12420CE-FDE8-4EE3-8E14-03953E208A1C},GIS,2023/05/05 14:27:34+00,GIS,2023/05/05 14:27:34+00,25249.3706032515,5077.53942524846
261,Trail,{33A7FFF2-7DEA-4654-A34E-23645B105F66},GIS,2023/05/05 14:27:34+00,GIS,2023/05/05 14:27:34+00,25570.3173516779,5137.29194897685
262,Trail,{DCF27841-E656-4D39-B723-1EB81EE440D9},GIS,2023/05/05 14:27:34+00,GIS,2023/05/05 14:27:34+00,25592.1209149145,5139.77849426854
263,Trail,{5934EF2C-B255-4FC4-8F2D-802D3B26CCE4},GIS,2023/05/05 14:27:34+00,GIS,2023/05/05 14:27:34+00,11836.1018854971,2387.54316571051
264,Trail,{A1BE834E-4AC1-4E97-A006-1FA4F6294C31},GIS,2023/05/05 14:27:34+00,GIS,2023/05/05 14:27:34+00,28452.971788361,5252.09301775481
265,Trail,{48A61DFB-01DD-4738-96F2-5DBBF665C36E},GIS,2023/05/05 14:27:34+00,GIS,2023/05/05 14:27:34+00,20313.3291188022,4094.85634176674
266,Trail,{2D194780-781F-444B-9BF3-E028406CFA9B},GIS,2023/05/05 14:27:34+00,GIS,2023/05/05 14:27:34+00,15752.9788719931,3157.00334419921
267,Trail,{FA5EDDB0-C96A-488F-B0A6-5DD072548DF9},GIS,2023/05/05 14:27:34+00,GIS,2023/05/05 14:27:34+00,25621.4817877568,5159.81427510517
268,Trail,{CFEEB3A0-CE67-4A64-8DF6-227437A7CCE6},GIS,2023/05/05 14:27:34+00,GIS,2023/05/05 14:27:34+00,84227.6968881721,16859.5552115177
269,Trail,{93CFBE40-9C2A-4DBB-96DB-AE07411AE0A7},GIS,2023/05/05 14:27:34+00,GIS,2023/05/05 14:27:34+00,79.1391816761812,38.4080426809992
270,Trail,{2A434ADD-8B6B-4E91-838F-4605768E9D68},GIS,2023/05/05 14:27:34+00,GIS,2023/05/05 14:27:34+00,10604.1803918989,2139.64505985343
271,Trail,{61A81547-3FC9-482E-9604-C374F9C4C2A0},GIS,2023/05/05 14:27:34+00,GIS,2023/05/05 14:27:34+00,28826.794171489,5383.71626990571
272,Trail,{A76E785B-9196-411E-B8FB-E144124D65D4},GIS,2023/05/05 14:27:34+00,GIS,2023/05/05 14:27:34+00,7818.7543936891,1593.47846723939
273,Trail,{E6474562-1CAD-4E37-B1D1-BA2D5B562C13},GIS,2023/05/05 14:27:34+00,GIS,2023/05/05 14:27:34+00,2038.50659417484,429.370638836209
274,Trail,{2C6B8851-C20B-40AE-976D-F5084B88732C},GIS,2023/05/05 14:27:34+00,GIS,2023/05/05 14:27:34+00,1073.84778817686,261.019408482885
275,Trail,{E4722CC7-6356-4C77-8826-CE3A8BD9DFDB},GIS,2023/05/05 14:27:34+00,GIS,2023/05/05 14:27:34+00,2806.06916886085,538.117783330279
276,Trail,{EDFB5BB7-EFAC-476D-8CC2-6DB87C34096D},GIS,2023/05/05 14:27:34+00,GIS,2023/05/05 14:27:34+00,2577.36363489784,543.468624502159
283,Trail,{F9A2A617-9565-4EF2-BE80-01B798619964},GIS,2023/05/05 15:12:04+00,GIS,2023/05/05 16:00:53+00,30961.4837116379,4814.97926103754
289,Road,{0ED7F590-3027-49F4-88F1-26D0603081C0},GIS,2023/05/05 18:15:51+00,GIS,2023/05/05 18:39:54+00,5060908.09028623,291562.049052385
