OBJECTID,Value,DateRecorded,ShortDate
1,4.57,2018/01/01 00:00:00+00,2018
5,4.35,2017/01/01 00:00:00+00,2017
6,5.15,2016/01/01 00:00:00+00,2016
7,4.82,2015/01/01 00:00:00+00,2015
8,4.55,2014/01/01 00:00:00+00,2014
9,4.23,2013/01/01 00:00:00+00,2013
10,3.97,2012/01/01 00:00:00+00,2012
11,3.05,2011/01/01 00:00:00+00,2011
12,2.96,2010/01/01 00:00:00+00,2010
13,3.16,2009/01/01 00:00:00+00,2009
14,3.64,2008/01/01 00:00:00+00,2008
15,2.84,2007/01/01 00:00:00+00,2007
16,3.27,2006/01/01 00:00:00+00,2006
17,4.97,2019/01/01 00:00:00+00,2019
18,6.55,2020/01/01 00:00:00+00,2020
19,5.91,2021/01/01 00:00:00+00,2021
20,6.21,2022/01/01 00:00:00+00,2022
