OBJECTID,WBID,WBNAME,WBDESC
804,VT01-01,North Branch Hoosic River,"North Branch Hoosic River from its headwaters in Vermont to the Massachusetts border and tributaries including Roaring, Brown, Goodrich, Harris and Fuller Brooks and Crazy John Stream"
805,VT01-02,Hoosic River,"Hoosic River mainstem from the Mass border downstream to the NY border and tributaries including Frost Hollow, Ellis Mine Hollow, Lincoln Hollow, Halifax Hollow, Reservoir Hollow, Ladd, Potter Hollow brooks"
806,VT01-03,Walloomsac River,"Walloomsac River from its mouth to headwaters and tributaries including Paran Creek, Furnace Brook, Roaring Branch, Barney Brook, South Stream, Hewitt Brook and Jewett Brook"
807,VT01-05,Tributaries to the Batten Kill,"Batten Kill above West Branch confluence (East Branch of Batten Kill to some) and  most tributaries including the West Branch, Bourn Brook, Tanner Brook, Green River"
808,VT01-06,Roaring Branch,"Roaring Branch of the Batten Kill from its mouth to headwaters and tributaries including Warm, Fayville, Branch Pond, Beaver and North Alder Brooks"
809,VT01-07,Tributaries direct to NY state,Tributaries flowing directly into New York state including Little White Creek
810,VT02-01,Poultney River and tributaries,Poultney River mainstem from the mouth to confluence with the Castleton River and tributaries including Coggman Creek and Mud Brook
811,VT02-02,Hubbardton River,"Hubbardton River from its mouth to headwaters and tributaries including unnamed tribs from Strong Swamp, Lake Hortonia and Sunset Lake"
812,VT02-03,Castleton River,"Castleton River from mouth to headwaters and tributaries including Sucker Brook, North Breton Brook and Gully Brook"
813,VT02-04,Upper Poultney Watershed,Poultney River from its confluence with the Castleton River to headwaters and tributaries including Lewis Brook
814,VT02-05,Mettawee River Watershed,Mettawee River from the NY/VT border to its headwaters and tributaries including Flower and Indian Brooks
815,VT03-02,Tributaries to Lower Otter Creek,Tributaries draining into Lower Otter Creek
816,VT03-04,Tribs to Mid Mainstem Otter Creek,"Tributaries to the Mid Mainstem of Otter Creek including Pleasant Brook, the Leicester River, Arnold Brook, Willow Brook, Neshobe River, Jones Brook, Bresee Mill Brook, Smith Pond Brook."
817,VT03-06,Tributaries to Upper Otter Creek,Tributaries to the Upper Mainstem Otter Creek including Moon Brook and Mussey Brook
818,VT03-07,Little Otter Creek,"Little Otter Creek from mouth to headwaters and tributaries including Mud Creek, Monkton Swamp Creek, and Marsh Creek"
