X,Y,FacilityName,FacilityID,WWInventoryURL
438106.899794778,46392.8191263228,Bennington,1,https://anrweb.vt.gov/DEC/WWInventory/UpdateFacility.aspx?F=1&option=view
498286.585151038,190015.59625372,Barre City,2,https://anrweb.vt.gov/DEC/WWInventory/UpdateFacility.aspx?F=2&option=view
436843.95820697,275521.684427249,Alburgh,3,https://anrweb.vt.gov/DEC/WWInventory/UpdateFacility.aspx?F=3&option=view
524626.074872804,250174.680231705,Barton,4,https://anrweb.vt.gov/DEC/WWInventory/UpdateFacility.aspx?F=4&option=view
434363.179881056,134060.416381856,Benson,5,https://anrweb.vt.gov/DEC/WWInventory/UpdateFacility.aspx?F=5&option=view
548236.056836675,257153.312042925,Brighton,6,https://anrweb.vt.gov/DEC/WWInventory/UpdateFacility.aspx?F=6&option=view
529361.082489453,212428.977934451,Danville,7,https://anrweb.vt.gov/DEC/WWInventory/UpdateFacility.aspx?F=7&option=view
454689.048636111,73396.869467015,Manchester,8,https://anrweb.vt.gov/DEC/WWInventory/UpdateFacility.aspx?F=8&option=view
491989.73865655,194972.578140429,Montpelier,9,https://anrweb.vt.gov/DEC/WWInventory/UpdateFacility.aspx?F=9&option=view
491601.671835411,229230.579125655,Morrisville,10,https://anrweb.vt.gov/DEC/WWInventory/UpdateFacility.aspx?F=10&option=view
457252.388042531,129500.024319607,Proctor,12,https://anrweb.vt.gov/DEC/WWInventory/UpdateFacility.aspx?F=12&option=view
464051.958473573,29128.5706329873,Readsboro,13,https://anrweb.vt.gov/DEC/WWInventory/UpdateFacility.aspx?F=13&option=view
485771.449673724,276646.244160319,Richford,14,https://anrweb.vt.gov/DEC/WWInventory/UpdateFacility.aspx?F=14&option=view
499610.524174062,70815.6251490536,Saxtons River,16,https://anrweb.vt.gov/DEC/WWInventory/UpdateFacility.aspx?F=16&option=view
438956.695541436,95120.1250195575,Pawlet,19,https://anrweb.vt.gov/DEC/WWInventory/UpdateFacility.aspx?F=19&option=view
456540.25492621,121291.752642612,West Rutland,20,https://anrweb.vt.gov/DEC/WWInventory/UpdateFacility.aspx?F=20&option=view
497365.284635551,180801.347521508,Williamstown,21,https://anrweb.vt.gov/DEC/WWInventory/UpdateFacility.aspx?F=21&option=view
444523.464729898,221378.061863169,Winooski,22,https://anrweb.vt.gov/DEC/WWInventory/UpdateFacility.aspx?F=22&option=view
499439.09158368,125561.187100699,Woodstock,23,https://anrweb.vt.gov/DEC/WWInventory/UpdateFacility.aspx?F=23&option=view
514946.035020767,127370.434696879,Hartford - WRJ,24,https://anrweb.vt.gov/DEC/WWInventory/UpdateFacility.aspx?F=24&option=view
451342.182683588,220615.237518117,GLOBALFOUNDRIES,29,https://anrweb.vt.gov/DEC/WWInventory/UpdateFacility.aspx?F=29&option=view
446758.527622553,62916.1475371887,Arlington School,42,https://anrweb.vt.gov/DEC/WWInventory/UpdateFacility.aspx?F=42&option=view
485521.748832413,99118.6434755232,Ludlow,43,https://anrweb.vt.gov/DEC/WWInventory/UpdateFacility.aspx?F=43&option=view
507460.61696621,271387.332043964,Troy & Jay,44,https://anrweb.vt.gov/DEC/WWInventory/UpdateFacility.aspx?F=44&option=view
504645.314498618,69909.982677893,Bellows Falls,45,https://anrweb.vt.gov/DEC/WWInventory/UpdateFacility.aspx?F=45&option=view
495982.471054812,37900.0947877835,Brattleboro WWTF,46,https://anrweb.vt.gov/DEC/WWInventory/UpdateFacility.aspx?F=46&option=view
442721.387619564,219339.95741758,Burlington Main,47,https://anrweb.vt.gov/DEC/WWInventory/UpdateFacility.aspx?F=47&option=view
438914.419112483,225647.020987807,Burlington North,48,https://anrweb.vt.gov/DEC/WWInventory/UpdateFacility.aspx?F=48&option=view
444791.994227323,221038.842508002,Burlington River,49,https://anrweb.vt.gov/DEC/WWInventory/UpdateFacility.aspx?F=49&option=view
450600.167933665,220274.71213817,Essex Junction,50,https://anrweb.vt.gov/DEC/WWInventory/UpdateFacility.aspx?F=50&option=view
445942.078965651,171479.41790573,Middlebury,51,https://anrweb.vt.gov/DEC/WWInventory/UpdateFacility.aspx?F=51&option=view
539524.800063398,225543.75190927,Lyndon,52,https://anrweb.vt.gov/DEC/WWInventory/UpdateFacility.aspx?F=52&option=view
487445.972490862,184876.055012578,Northfield,53,https://anrweb.vt.gov/DEC/WWInventory/UpdateFacility.aspx?F=53&option=view
460131.208265825,122749.267680016,Rutland,54,https://anrweb.vt.gov/DEC/WWInventory/UpdateFacility.aspx?F=54&option=view
502504.638691419,86618.0889769877,Springfield,55,https://anrweb.vt.gov/DEC/WWInventory/UpdateFacility.aspx?F=55&option=view
509028.210870434,108002.850425456,Windsor Main,57,https://anrweb.vt.gov/DEC/WWInventory/UpdateFacility.aspx?F=57&option=view
442673.443301488,211979.639693032,Shelburne 1 (Crown Rd),58,https://anrweb.vt.gov/DEC/WWInventory/UpdateFacility.aspx?F=58&option=view
490176.922667144,147214.622888591,Bethel,61,https://anrweb.vt.gov/DEC/WWInventory/UpdateFacility.aspx?F=61&option=view
530407.299780929,166578.57588343,Bradford,62,https://anrweb.vt.gov/DEC/WWInventory/UpdateFacility.aspx?F=62&option=view
452621.070552065,143630.146702686,Brandon,63,https://anrweb.vt.gov/DEC/WWInventory/UpdateFacility.aspx?F=63&option=view
490378.063544742,120705.503443917,Bridgewater,64,https://anrweb.vt.gov/DEC/WWInventory/UpdateFacility.aspx?F=64&option=view
575731.588598628,276896.460180981,Canaan,65,https://anrweb.vt.gov/DEC/WWInventory/UpdateFacility.aspx?F=65&option=view
442687.343792854,122878.040493654,Castleton,66,https://anrweb.vt.gov/DEC/WWInventory/UpdateFacility.aspx?F=66&option=view
491792.548399529,98555.1593027834,Cavendish,67,https://anrweb.vt.gov/DEC/WWInventory/UpdateFacility.aspx?F=67&option=view
504282.897487408,164473.468137936,Chelsea,68,https://anrweb.vt.gov/DEC/WWInventory/UpdateFacility.aspx?F=68&option=view
493809.017477411,83981.5113963391,Chester,69,https://anrweb.vt.gov/DEC/WWInventory/UpdateFacility.aspx?F=69&option=view
475613.076487287,266997.14212851,Enosburg Falls,70,https://anrweb.vt.gov/DEC/WWInventory/UpdateFacility.aspx?F=70&option=view
458847.523635324,240414.983778677,Fairfax,71,https://anrweb.vt.gov/DEC/WWInventory/UpdateFacility.aspx?F=71&option=view
437075.007140111,121638.751225535,Fair Haven,72,https://anrweb.vt.gov/DEC/WWInventory/UpdateFacility.aspx?F=72&option=view
509837.529920035,223899.478942292,Hardwick,73,https://anrweb.vt.gov/DEC/WWInventory/UpdateFacility.aspx?F=73&option=view
