OBJECTID,NAME,REGION,EDITDATE,STATE,LANDSCAPEACRES,INVESTMENTSTARTYEAR,INVESTMENTENDYEAR,PROJECTID,SHAPEAREA,SHAPELEN
993,4FRI,3,2022/08/08 19:50:26+00,Arizona,5813800,2022,,NPL005,2.31190501397324,17.3447412447781
994,Enchanted Circle,3,2022/08/08 19:50:26+00,New Mexico,1462847,2022,,NPL025,0.595501335483311,7.91260393975475
995,Stanislaus,5,2022/08/08 11:28:49+00,California,304623,2022,,NPL008,0.126651795939972,2.16017809416648
996,Prescott,3,2022/08/08 11:28:35+00,Arizona,778196,2022,,NPL004,0.309107230285877,3.80748549860194
997,Colorado Front Range,2,2022/08/08 19:50:26+00,Colorado,3584180,2022,,NPL036,1.52200746564375,11.0257380101323
998,Mount Hood Forest Health and Fire-Resilient Communities,6,2023/01/18 08:20:38+00,Oregon,1056913,2023,,NPL016,0.491292323339579,4.27212196791898
999,Pine Valley,4,2023/01/18 08:20:49+00,Utah,402067,2023,,NPL003,0.165845651137691,3.05974532364549
1000,Plumas Community Protection,5,2023/01/18 08:20:55+00,California,267449,2023,,NPL011,0.113841276448618,3.10412206608178
1001,San Carlos Apache Tribal Forest Protection,3,2023/01/18 08:21:01+00,Arizona,3014316,2023,,NPL002,1.1807647082283,9.99692130755118
1002,Southern California Fireshed Risk Reduction Strategy,5,2023/01/18 08:21:14+00,California,4044276,2023,,NPL012,1.60599951005856,29.5760777536676
1003,Trinity Forest Health and Fire-Resilient Rural Communities,5,2023/01/18 08:21:20+00,California,1641661,2023,,NPL014,0.707717859982109,6.72783294394144
1004,Colville Northeast Washington Vision,6,2023/01/18 08:21:25+00,Washington,1752987,2023,,NPL015,0.866269344749471,22.8126209539627
1005,Klamath River Basin,6,2023/01/18 08:21:31+00,Oregon,8543864,2023,,NPL009,3.78042422056644,16.5855833853904
1006,Nez Perce-Clearwater-Lower Salmon,1,2023/01/18 08:21:45+00,Idaho,1948643,2023,,NPL017,0.913378837926229,6.34612903332673
1007,Wasatch,4,2023/01/18 08:21:53+00,Utah,1053896,2023,,NPL007,0.45322659884854,7.83037126586409
1008,Kootenai Complex,1,2023/01/20 13:31:44+00,Montana,1009420,2022,,NPL001,0.498215948345127,6.75788075245022
1009,North Yuba,5,2022/08/08 19:47:36+00,California,356863,2022,,NPL029,0.151379263591443,2.35992385240214
1010,Sierra and Elko Fronts,4,2023/01/18 08:21:07+00,Nevada,3386303,2023,,NPL006,1.4390753387271,14.5858389441118
1011,Southwest Idaho,4,2022/06/30 20:26:18+00,Idaho,1726325,2022,,NPL013,0.790440994298386,7.626508438613
1012,Central Washington Initiative,6,2023/07/12 19:50:26+00,Washington,2440611,2022,,NPL028,1.53547954038683,18.3548861720031
1013,Central Oregon,6,2023/07/12 19:50:26+00,Oregon,2614875,2022,,NPL010,1.23583278042376,8.31374737669586
