X,Y,OBJECTID,ODF_FPD,LO_NAME,SPOT,OFFSETA,OFFSETB,AZANGLE,RADIUS2,COUNTY,GlobalID,last_edited_user,last_edited_date,LMClass,LOType
-13080396.6175,5642078.8984,1,Wallowa Whitman NF,Mule Peak,8543.0,0.0,0.0,0.0,0.0,UNION,{56250658-4C54-4126-B5A7-C15174A46210},LZWART,2014/07/21 22:00:58+00,0,2.0
-13521601.0714,5671704.9441,2,Mt Hood NF,Flag Point,5618.0,0.0,0.0,0.675,84480.0,WASCO,{BD791D65-BDCE-40B9-8ECF-7F55F65A1BB6},ENILE,2020/04/28 22:00:58+00,0,2.0
-13309780.357,5414817.4233,3,Ochoco NF,Dry Mountain,6243.0,70.0,0.0,-0.653,84480.0,HARNEY,{4E643A8F-D2D6-4538-90B5-84E6FAE6E7EE},LZWART,2014/07/17 17:29:25+00,0,2.0
-13251777.15,5511004.2828,4,Malheur NF,Fall Mountain,5906.0,0.0,0.0,-1.017,84480.0,GRANT,{1D5D4D58-5E60-4FA8-B993-C0EEA89680AB},LZWART,2014/07/21 18:34:17+00,0,2.0
-13585912.553,5562120.8676,5,Williamette NF,Coffin Mtn.,5611.0,0.0,0.0,1.078,84480.0,LINN,{9341AE2A-3B91-44BB-AAE2-63FF7981A00A},GIS,2014/07/16 00:33:08+00,0,2.0
-13840842.6683,5292515.9098,6,Coos FPA,Edson Butte,2733.0,43.0,0.0,2.676,84480.0,CURRY,{0999421C-ACB5-44EB-A01B-44B5763B0BC1},LZWART,2014/07/17 17:24:13+00,4,1.0
-13591989.3642,5429183.8132,7,Williamette NF,Waldo Mountain,,,,,,Lane,{5D1798B4-8E4D-41AB-8CA5-1D97DC46A125},LZWART,2014/08/12 23:25:35+00,0,2.0
-13537278.2234,5329809.247,8,Winema NF,Sugarpine Mountain,6369.0,40.0,0.0,0.773,84480.0,KLAMATH,{9B77B752-070A-485B-A5CD-9424B61AB0FA},GIS,2014/07/16 00:33:08+00,0,2.0
-13731665.5045,5139744.9891,9,Klamath NF,Slater Butte,0.0,0.0,0.0,1.991,84480.0,SISKIYOU,{AE7E7FEC-0B84-4540-BE62-6DFEF592A79C},GIS,2014/07/16 00:32:17+00,0,2.0
-13035802.2741,5746519.7171,10,Wallowa-Whitman NF,Red Hill,5004.0,0.0,0.0,-2.371,84480.0,WALLOWA,{A6BEFD54-5A8F-461A-8F3F-AA971F6500E2},CBULLOCK,2014/07/25 22:34:14+00,0,2.0
-13822034.3348,5212618.8049,11,Coos FPA,Snow Camp,,,,,,Curry,{F9F65E15-968B-405B-BC9E-42B9C0D5C958},ENILE,2020/04/28 23:13:21+00,0,2.0
-13548718.6696,5427993.6285,12,Deschutes NF,Round Mountain,5845.0,35.0,0.0,0.845,84480.0,DESCHUTES,{32BB28C6-A0BC-46D2-BB75-FBC314F86E1B},GIS,2014/07/16 00:31:29+00,0,2.0
-13808719.6592,5197289.6227,13,,Quail Prairie,,,,,,,{2971F9E8-EC29-4E30-A4B1-B1E278E2356B},ENILE,2020/04/28 23:12:12+00,0,2.0
-13445733.0655,5547368.1936,14,Central Oregon,Foley Butte,5486.0,63.0,0.0,0.199,84480.0,CROOK,{9EF679BB-9EA2-4E6D-9099-0E53A5FBA2D0},CDSWANSON,2019/04/08 20:45:50+00,4,1.0
-13088412.5394,5812936.9521,15,Umatilla NF,Clearwater,5660.0,94.0,0.0,-2.042,84480.0,GARFIELD,{93515AA5-95CE-4237-8BFD-FAD3D88E3398},LZWART,2014/07/21 18:30:21+00,0,2.0
-13092392.0375,5771982.4221,16,Umatilla NF,Hoodoo Ridge,4192.0,107.0,0.0,-2.016,84480.0,WALLOWA,{CDF40EA5-A801-4719-9A47-26DB80AEA943},LZWART,2014/07/21 18:44:27+00,0,2.0
-13597611.8917,5527678.9707,17,Willamette NF,Iron Mountain,,,,,,Linn,{C78C0BE5-8A2E-44BF-9776-96C746AB1187},LZWART,2014/08/12 23:54:08+00,0,2.0
-13509297.3589,5452750.1173,18,Deschutes NF,Lava Butte,4951.0,13.0,0.0,0.597,105600.0,DESCHUTES,{0AE92884-36F6-4681-A709-A169524EBCC5},GIS,2014/07/16 00:31:29+00,0,2.0
-13631610.1074,5317073.6556,19,Umpqua_Rogue NF,Hershberger,6179.0,,,,,Douglas,{F01D1342-5FDD-41F2-8261-4D14B91BA83C},LZWART,2016/08/24 18:51:03+00,0,2.0
-13278295.8619,5494284.0582,20,Malheur NF,Flagtail Mountain,6546.0,0.0,0.0,-0.851,84480.0,GRANT,{ACB78807-0153-4C3A-A4DD-0F698D2F6F0F},LZWART,2014/07/21 18:34:49+00,0,2.0
-13102538.8343,5680246.4691,21,Wallowa-Whitman NF,Point Prominence,6701.0,0.0,0.0,-1.953,84480.0,UNION,{317F2EB7-2A1E-4F81-850F-44D26C83E807},CDSWANSON,2019/04/08 20:44:23+00,0,2.0
-13373666.6367,5605523.6069,22,Central Oregon,Rancheria Rock,4850.0,0.0,0.0,-0.253,84480.0,WHEELER,{2F28D882-2E51-4A1F-B820-42E583F20043},CDSWANSON,2019/04/08 20:45:50+00,4,1.0
-13384610.8767,5536447.8034,23,Ochoco NF,Pisgah,6803.0,0.0,0.0,-0.184,84480.0,WHEELER,{4965376B-D85E-4E92-B66B-EC06B7940417},LZWART,2014/07/17 17:29:25+00,0,2.0
-13355158.2842,5567633.2281,24,Malheur NF,Baldy,5864.0,0.0,0.0,-0.369,84480.0,WHEELER,{11870489-0414-4618-8FA3-E0D9B03DFC00},CBULLOCK,2014/07/25 23:16:03+00,0,2.0
-13227577.6265,5454326.8231,25,Malheur NF,Calamity Butte,6617.0,0.0,0.0,-1.169,84480.0,HARNEY,{190105AB-BBF9-4114-AD49-CCF3E5DECFDF},LZWART,2014/07/21 18:28:06+00,0,2.0
-13631196.7252,5507016.4589,26,South Cascade,Green Mountain ,,,,,,Linn,{503D80AA-998F-450F-8613-39BE5C4233EB},LZWART,2014/08/12 23:49:06+00,4,1.0
-13237096.0506,5497739.8095,27,Malheur NF,Dry Soda,5564.0,0.0,0.0,-1.109,84480.0,GRANT,{9734AEE6-6BEA-45AA-B503-557897E4E16D},CDSWANSON,2019/04/08 20:47:30+00,0,2.0
-13699509.4259,5368800.525,28,Douglas FPA,Mt Scott,4207.0,45.0,0.0,1.79,84480.0,DOUGLAS,{C70EA9AB-48A1-41D2-B673-B594CE88D47C},GIS,2014/07/16 00:31:41+00,4,1.0
-13357226.6794,5615299.5087,29,Central Oregon,Snow Board Ridge,5092.0,0.0,0.0,-0.356,84480.0,WHEELER,{A9F1EE0D-5F2F-4A0B-8575-DC94557E5EF8},CDSWANSON,2019/04/08 20:45:50+00,4,1.0
-13500405.6393,5166115.489,30,Klamath Lake,Bryant Mountain,6416.0,5.0,0.0,0.542,84480.0,KLAMATH,{AD653894-6DE9-45A2-91D3-67B3D87E9733},GIS,2014/07/16 00:32:03+00,4,1.0
-13612025.3587,5176777.818,31,Klamath Lake,Parker Mountain,5189.0,5.0,0.0,1.241,84480.0,KLAMATH,{6D713F1C-870E-41D8-8341-447E0211D807},GIS,2014/07/16 00:32:03+00,4,1.0
-13549687.8001,5267519.4733,32,Winema NF,Applegate,6068.0,,,,,,{64911DFD-7462-4BFA-973D-255C15772759},CBULLOCK,2014/07/28 18:02:58+00,0,2.0
-13680144.4036,5167510.7694,33,Rogue River NF,Dutchman Peak,7310.0,0.0,0.0,1.669,84480.0,JACKSON,{9BE339F6-626F-4A1D-BF2F-ACA38F9CE375},CBULLOCK,2014/07/28 16:43:40+00,0,2.0
-13391259.1579,5474288.4981,34,Ochoco NF,Tower Point,6051.0,0.0,0.0,-0.143,84480.0,CROOK,{BD4DF8D8-906D-417A-ADA3-437A3A68C79B},LZWART,2014/07/17 17:29:25+00,0,2.0
-13778963.8214,5312235.7333,35,Coos FPA,Signal Tree,3300.0,53.0,0.0,2.288,84480.0,COOS,{73018161-6A56-4038-8464-75DED0F91366},LZWART,2014/07/17 17:24:13+00,4,1.0
-13418945.7745,5242213.2774,36,Fremont NF,Morgan Butte,7182.0,8.0,0.0,0.031,84480.0,LAKE,{5775A477-1E52-4791-9C9F-E7323EB9D8C8},GIS,2014/07/16 00:31:54+00,0,2.0
-13509210.2519,5353808.1217,37,Fremont NF,Bald Mountain,7386.0,,,,,,{8868EC59-561A-49EF-9461-858557F7DCF3},CBULLOCK,2014/07/28 18:05:05+00,0,2.0
-13765801.6657,5291700.1001,38,Douglas FPA,Dutchman Butte,3846.0,25.0,0.0,2.205,84480.0,DOUGLAS,{4E754EBF-314E-495D-A5E7-665CB9C85AE5},GIS,2014/07/16 00:31:41+00,4,1.0
-13299878.2838,5638443.3036,39,Umatilla NF,Madison Butte,5657.0,37.0,0.0,-0.715,84480.0,MORROW,{C133C57A-3D8E-4702-8C8D-01DA2C7E4CF0},LZWART,2014/07/21 21:59:44+00,0,2.0
-13747284.5858,5190729.5848,40,Southwest Oregon,Little Grayback Peak,5102.0,0.0,0.0,2.063,84480.0,JOSEPHINE,{792C8AFB-8DAB-4C71-94C1-C73AAF00559D},GIS,2014/07/16 00:32:50+00,4,1.0
-13789262.8874,5403301.6945,41,Coos FPA,Cougar Pass,1870.0,0.0,0.0,2.352,84480.0,DOUGLAS,{1D271BB2-40CD-40D1-9534-A41BD88435C0},LZWART,2014/07/21 18:31:27+00,4,1.0
-13623486.0942,5396055.9659,42,Wlliamette NF,Warner Mtn.,5683.0,5.0,0.0,1.313,84480.0,LANE,{BB759069-D929-4403-BB80-F3610730A93E},CBULLOCK,2014/07/28 17:49:38+00,0,2.0
