PACKING_SLIP_NUMBER,PART_NUMBER,SERIAL_NUMBER,PO_NUMBER,PO_LINE_ITEM_NUMBER,SHIP_DATE,CONTAINER_ID,VENDOR_TRACKING_NUMBER
23707,70P867230-1003,67187,S60027N,64,20040429,1,4002305
23707,70P867230-1003,67408,S60027N,64,20040429,1,4002305
23707,70P867230-1003,67066,S60027N,64,20040429,1,4002305
23707,70P867230-1003,67065,S60027N,64,20040429,1,4002305
23707,70P867230-1003,67295,S60027N,64,20040429,1,4002305
23707,70P867230-1003,67409,S60027N,64,20040429,1,4002305
23707,70P867230-1003,67262,S60027N,64,20040429,1,4002305
23707,70P867230-1003,67133,S60027N,64,20040429,1,4002305
23707,70P867230-1003,67263,S60027N,64,20040429,1,4002305
23707,70P867230-1003,67324,S60027N,64,20040429,1,4002305
23707,70P867230-1003,67438,S60027N,64,20040429,1,4002305
23707,70P867230-1003,67148,S60027N,64,20040429,1,4002305
23707,70P867230-1003,67349,S60027N,64,20040429,1,4002305
23707,70P867230-1003,67264,S60027N,64,20040429,1,4002305
23707,70P867230-1003,67325,S60027N,64,20040429,1,4002305
23707,70P867230-1003,66836,S60027N,64,20040429,1,4002305
23707,70P867230-1003,67135,S60027N,64,20040429,1,4002305
23707,70P867230-1003,67439,S60027N,64,20040429,1,4002305
23707,70P867230-1003,67249,S60027N,64,20040429,1,4002305
23707,70P867230-1003,67136,S60027N,64,20040429,1,4002305
23707,70P867230-1003,67069,S60027N,64,20040429,1,4002305
23707,70P867230-1003,67440,S60027N,64,20040429,1,4002305
23707,70P867230-1003,67381,S60027N,64,20040429,1,4002305
23707,70P867230-1003,67297,S60027N,64,20040429,1,4002305
23707,70P867230-1003,67415,S60027N,64,20040429,1,4002305
23707,70P867230-1003,67192,S60027N,64,20040429,1,4002305
23707,70P867230-1003,67351,S60027N,64,20040429,1,4002305
23707,70P867230-1003,67070,S60027N,64,20040429,1,4002305
23707,70P867230-1003,67468,S60027N,64,20040429,1,4002305
23707,70P867230-1003,67416,S60027N,64,20040429,1,4002305
23707,70P867230-1003,67188,S60027N,64,20040429,2,4002308
23707,70P867230-1003,66835,S60027N,64,20040429,2,4002308
23707,70P867230-1003,67296,S60027N,64,20040429,2,4002308
23707,70P867230-1003,67250,S60027N,64,20040429,2,4002308
23707,70P867230-1003,66927,S60027N,64,20040429,2,4002308
23707,70P867230-1003,67410,S60027N,64,20040429,2,4002308
23707,70P867230-1003,67134,S60027N,64,20040429,2,4002308
23707,70P867230-1003,67411,S60027N,64,20040429,2,4002308
23707,70P867230-1003,67348,S60027N,64,20040429,2,4002308
23707,70P867230-1003,67189,S60027N,64,20040429,2,4002308
23707,70P867230-1003,67323,S60027N,64,20040429,2,4002308
23707,70P867230-1003,67190,S60027N,64,20040429,2,4002308
23707,70P867230-1003,67412,S60027N,64,20040429,2,4002308
23707,70P867230-1003,67068,S60027N,64,20040429,2,4002308
23707,70P867230-1003,67265,S60027N,64,20040429,2,4002308
23707,70P867230-1003,67326,S60027N,64,20040429,2,4002308
23707,70P867230-1003,67413,S60027N,64,20040429,2,4002308
23707,70P867230-1003,67149,S60027N,64,20040429,2,4002308
23707,70P867230-1003,66837,S60027N,64,20040429,2,4002308
23707,70P867230-1003,67191,S60027N,64,20040429,2,4002308
23707,70P867230-1003,67441,S60027N,64,20040429,2,4002308
23707,70P867230-1003,67414,S60027N,64,20040429,2,4002308
23707,70P867230-1003,67266,S60027N,64,20040429,2,4002308
23707,70P867230-1003,67350,S60027N,64,20040429,2,4002308
23707,70P867230-1003,67248,S60027N,64,20040429,2,4002308
23707,70P867230-1003,67382,S60027N,64,20040429,2,4002308
23707,70P867230-1003,67137,S60027N,64,20040429,2,4002308
23707,70P867230-1003,67298,S60027N,64,20040429,2,4002308
23707,70P867230-1003,67327,S60027N,64,20040429,2,4002308
23707,70P867230-1003,67150,S60027N,64,20040429,2,4002308
