X,Y,OBJECTID,Station_ID,Station_Name,Position_Source,Stage_Peak_Record,Date_Peak_Record,Source_Peak_Record,PeakStage_USACE_1976,PeakYear_USACE_1976,PeakStage_USACE_1992,PeakYear_USACE_1992,Stage_USACE1976_50yr_Stat,Stage_USACE1976_100yr_Stat,Stage_USACE1992_50yr_Stat,Stage_USACE1992_100yr_Stat,Vertical_Datum_Conversion,Stage_Tide_High_Typical,Stage_Tide_Low_Typical,DSS_File,Last_Modified_Date,Last_Modified_By,Comments
-13534658.0627,4597736.7192,1,B94100,Georgiana Slough at Mokelumne River,Hydstra,9.69,2/6/1998,Hydstra,9.24,1956.0,9.54,1986,9.44,9.74,10.04,10.34,2.54,7.0,2.0,North Delta,2023/06/15 00:00:00+00,"Joel Dudas, Division of Engineering",
-13519735.0218,4554045.3129,2,B95300,Grant Line Canal at Tracy Road Bridge,Hydstra,13.42,1/9/1997,Hydstra,10.92,1969.0,11.02,1983,11.02,11.32,11.22,11.62,2.42,6.5,2.0,South Delta,2023/06/15 00:00:00+00,"Joel Dudas, Division of Engineering",
-13527969.6176,4579669.8181,3,B95460,Middle River at Bacon Island,Hydstra,9.64,2/6/1998,Hydstra,8.93,1973.0,9.13,1986,9.73,9.93,9.63,9.93,2.73,7.0,2.0,Central Delta,2023/06/15 00:00:00+00,"Joel Dudas, Division of Engineering",
-13524020.8572,4564016.3896,4,B95500,Middle River at Borden Highway,Hydstra,9.7,2/6/1998,Hydstra,9.43,1956.0,9.43,1956 and 1983,9.83,10.13,9.83,10.13,2.53,6.5,2.0,Central Delta,2023/06/15 00:00:00+00,"Joel Dudas, Division of Engineering",
-13512363.2327,4556182.8586,5,B95540,Middle River at Mowry Bridge,Hydstra,15.33,2/5/1997,Hydstra,14.59,1958.0,14.59,1958,14.79,15.49,15.09,15.69,2.29,6.5,2.5,South Delta,2023/06/15 00:00:00+00,"Joel Dudas, Division of Engineering",
-13524299.1603,4611299.7862,6,B94150,Mokelumne River at New Hope Landing,Hydstra,16.29,1/3/1997,Hydstra,17.59,1956.0,16.59,1986,16.79,17.59,15.99,16.59,2.59,6.5,2.5,North Delta,2023/06/15 00:00:00+00,"Joel Dudas, Division of Engineering",Mokelumne River at New Hope Bridge B95140 in Corp reports
-13531225.7109,4555243.2291,7,B95340,Old River at Clifton Court Ferry,Hydstra,9.89,5/11/1905,USACE report,9.89,1958.0,9.89,1958,10.09,10.39,10.09,10.39,2.59,6.0,2.0,South Delta,2023/06/15 00:00:00+00,"Joel Dudas, Division of Engineering",
-13519691.7628,4551916.066,8,B95380,Old River near Tracy Road Bridge,Hydstra,11.67,2/4/1997,Hydstra,11.5,1969.0,11.8,1969,11.2,11.5,11.4,11.8,2.6,6.5,2.5,South Delta,2023/06/15 00:00:00+00,"Joel Dudas, Division of Engineering",
-13525876.1953,4662914.5166,9,A02100,Sacramento River at I Street Bridge,Hydstra,33.1,2/19/1986,Daily gage height,32.57,1951.0,33.07,1986,32.67,33.07,32.77,33.77,2.37,6.5,4.5,North Delta,2023/06/15 00:00:00+00,"Joel Dudas, Division of Engineering",NOAA: Datum changed from (NGVD29) to NAVD88 on 10/01/2016. The difference is +2.37 ft.
-13546744.3153,4600157.1134,10,B91210,"Sacramento River at Rio Vista, Old Station",Hydstra,10.01,12/3/1983,Hydstra,9.2,1973.0,10.0,1984,9.4,9.6,10.7,11.1,2.4,6.5,2.0,West Delta,2023/06/15 00:00:00+00,"Joel Dudas, Division of Engineering","station moved upstream, this station stopped in 1984, metadata on this gage included in this dataset supp info"
-13529054.9874,4628929.3202,11,B91750,Sacramento River at Snodgrass Slough,Hydstra,22.59,2/20/1986,Hydstra,20.55,1951.0,22.25,1986,20.75,21.05,22.65,23.15,2.55,7.0,4.0,North Delta,2023/06/15 00:00:00+00,"Joel Dudas, Division of Engineering",
-13527174.9219,4613701.1415,12,B91650,Sacramento River at Walnut Grove,Hydstra,17.33,2/20/1986,Hydstra,15.04,1956.0,16.64,1986,15.64,15.94,17.04,17.64,2.64,7.0,3.0,North Delta,2023/06/15 00:00:00+00,"Joel Dudas, Division of Engineering",
-13559055.5904,4581938.2293,13,B95020,San Joaquin River at Antioch,Hydstra,9.28,12/31/2005,Hydstra,9.09,1956.0,9.19,1983,9.19,9.39,9.19,9.39,2.89,6.0,1.5,West Delta,2023/06/15 00:00:00+00,"Joel Dudas, Division of Engineering",
-13505625.0632,4560320.4266,14,B95740,San Joaquin River at Brandt Bridge,Hydstra,17.33,1/8/1997,Hydstra,15.27,1958.0,15.27,1958,16.27,16.97,17.17,19.27,2.27,6.0,3.0,Central Delta,2023/06/15 00:00:00+00,"Joel Dudas, Division of Engineering",
-13503778.1157,4549259.2555,15,B95820,San Joaquin River at Mossdale Bridge,Hydstra,28.39,3/16/1938,Daily gage height,26.79,1951.0,26.79,1951,27.89,29.89,24.79,27.39,2.39,6.5,3.5,South Delta,2023/06/15 00:00:00+00,"Joel Dudas, Division of Engineering",NOAA: Datum changed from NGVD29 to NAVD88 on 10/01/2006. The difference is +2.38 ft.
-13516352.1801,4579034.1246,16,B95620,San Joaquin River at Rindge Pump,Hydstra,9.86,2/6/1998,Hydstra,9.3,1956.0,9.4,"1983, 84",9.6,9.9,9.7,9.9,2.5,7.0,2.0,Central Delta,2023/06/15 00:00:00+00,"Joel Dudas, Division of Engineering",
-13535492.9586,4594034.3606,17,B95100,San Joaquin River at San Andreas Landing,Hydstra,9.57,2/6/1998,Hydstra,9.23,1973.0,9.53,1983,9.43,9.73,9.53,9.73,2.73,7.0,2.0,Central Delta,2023/06/15 00:00:00+00,"Joel Dudas, Division of Engineering",
